page_id,keyword,annotation,url
6,text,TEXT函数是Excel中一个非常有用的函数。TEXT 函数可通过格式代码向数字应用格式，进而更改数字的显示方式。如果要变更可读的格式显示数字，或者将数字与文本或符号组合，它将非常有用。,https://baike.baidu.com/item/text%E5%87%BD%E6%95%B0/8423080
5,text,TEXT函数是Excel中一个非常有用的函数。TEXT 函数可通过格式代码向数字应用格式，进而更改数字的显示方式。如果要变更可读的格式显示数字，或者将数字与文本或符号组合，它将非常有用。,https://baike.baidu.com/item/text%E5%87%BD%E6%95%B0/8423080
6,here,here，英语单词，主要用作名词，副词，意为“这里,在这里;向这里”。,https://baike.baidu.com/item/here/7777329
6,enter,,https://baike.baidu.com//item/enter/16008197
4,number,number，英文单词，主要用作名词、及物动词、不及物动词，作名词时意为“数；（杂志等的）期；号码；数字；算术”，作及物动词时意为“编号；计入；数…的数目；使为数有限”，作不及物动词时意为“计入；总数达到”。,https://baike.baidu.com/item/number/2171269
6,Click,,https://baike.baidu.com//item/.click
5,here,here，英语单词，主要用作名词，副词，意为“这里,在这里;向这里”。,https://baike.baidu.com/item/here/7777329
5,Click,,https://baike.baidu.com//item/.click
4,text,TEXT函数是Excel中一个非常有用的函数。TEXT 函数可通过格式代码向数字应用格式，进而更改数字的显示方式。如果要变更可读的格式显示数字，或者将数字与文本或符号组合，它将非常有用。,https://baike.baidu.com/item/text%E5%87%BD%E6%95%B0/8423080
4,here,here，英语单词，主要用作名词，副词，意为“这里,在这里;向这里”。,https://baike.baidu.com/item/here/7777329
5,enter,,https://baike.baidu.com//item/enter/16008197
3,health,health，英语单词，主要用作为名词，意为健康；卫生；保健；兴旺。,https://baike.baidu.com/item/health/9636570
4,limit,LIMIT是一种数据语言，主要是用于查询之后要显示返回的前几条或者中间某几行数据。,https://baike.baidu.com/item/LIMIT/14902327
2,text,TEXT函数是Excel中一个非常有用的函数。TEXT 函数可通过格式代码向数字应用格式，进而更改数字的显示方式。如果要变更可读的格式显示数字，或者将数字与文本或符号组合，它将非常有用。,https://baike.baidu.com/item/text%E5%87%BD%E6%95%B0/8423080
3,Click,,https://baike.baidu.com//item/.click
3,research,研究，读音，汉语词语，意思是主动寻求根本性原因与更高可靠性依据，从而为提高事业或功利的可靠性和稳健性而做的工作。,https://baike.baidu.com/item/%E7%A0%94%E7%A9%B6/1883844
2,here,here，英语单词，主要用作名词，副词，意为“这里,在这里;向这里”。,https://baike.baidu.com/item/here/7777329
2,enter,,https://baike.baidu.com//item/enter/16008197
1,form,3form是一家生产、制造、设计建筑材料的公司。,https://baike.baidu.com/item/3form/6729468
3,how,how，英语单词，主要用作名词、副词、连词，作名词时意思是“方法；方式”，作副词时意思是“如何；多少；多么”，作连词时意思是“如何”。,https://baike.baidu.com/item/how/2286245
1,Section,section，英语单词，名词、及物动词、不及物动词，作名词时意为“截面；部分；部门；地区；章节”。作及物动词时意为“把…分段；将…切片；对…进行划分”。作不及物动词时意为“被切割成片；被分成部分”。,https://baike.baidu.com/item/section/9374058
1,Module,module，意思是宇宙飞船的分离舱。n. [计] 模块；组件；模数。[网络] 模块；模；模组。[专业] 模块 [计算机科学技术]；模块 [电子、通信与自动控制技术]；构件 [农业科学]。,https://baike.baidu.com/item/module/7488800
1,HRC,,https://baike.baidu.com//item/HRC/19627915
2,Click,,https://baike.baidu.com//item/.click
