page_id,keyword,annotation,url
22,研发,研发即研究开发、研究与开发、研究发展，是指各种研究机构、企业或个人为获得科学技术（不包括人文、社会科学）新知识，创造性运用科学技术新知识，或实质性改进技术、产品和服务而持续进行的具有明确目标的系统活动，包括系统及设备的测试，安装，维护，维修等一系列的系统活动。2016年2月，美国国家科学基金会发布的《美国科学与工程指标》显示，中国已成为不容置疑的世界第二研发大国。所了解，全球研发支出总体呈上升趋势，并仍集中在北美、欧洲及东亚和东南亚地区。美国仍然是世界第一研发大国，中国居第二位，中国的研发开支接近欧盟的总和。在按购买力平价计算的全球研发总支出当中，中国约占20%，仅次于美国（27%）；日本居第三位，占10%；德国第四，占6%；接下来是韩国、法国、俄罗斯、英国和印度，他们分别占全球研发支出总额的2%至4%。,https://baike.baidu.com/item/%E7%A0%94%E5%8F%91/4815440
15,咨询服务,咨询是类似于请教、询问、商议等意思，服务是指提供帮助，咨询服务的字面意思是提供解决问题的帮助。从广义上讲，任何涉及到请教、询问、商议等意思的双方问答事件，对于问方来讲，都可作为咨询服务，如甲向乙问路。,https://baike.baidu.com/item/%E5%92%A8%E8%AF%A2%E6%9C%8D%E5%8A%A1/1120172
18,声效,音效就是指由声音所制造的效果，是指为增进一场面之真实感、气氛或戏剧讯息，而加于声带上的杂音或声音。所谓的声音则包括了乐音和效果音。包括数字音效、环境音效、MP3音效（普通音效、专业音效）。音效或声效（Sound effects或Audio effects）是人工制造或加强的声音，用来增强对电影、电子游戏、音乐或其他媒体的艺术或其他内容的声音处理。在电影和电视制作中，一个音效是录制和展示的一个声音，用于不通过对话或音乐来给出特定的剧情或创意。这个术语经常用来指代用于录制的处理过程，而不用指代该录音本身。在专业影视制作中，对话、音乐和音效录制的分离是很严重的，必须理解在这个上下文中，录制下来的对话和音乐是从来不作为音效，而应用在它们上的处理过程常常是音效。,https://baike.baidu.com/item/%E9%9F%B3%E6%95%88/4124866
19,预演,预演，指在某项行动（军事演习）大规模开展之前的预备性演习；影片作商业性上映前的小范围内的放映。,https://baike.baidu.com/item/%E9%A2%84%E6%BC%94/5743216
14,科技咨询,科技咨询是普及科学技术的一种形式。常见的方式是先由个人或企事业单位提出问题，再由科技人员提供答案，可以面谈，也可以用信函沟通。科技咨询一般分常识咨询和技术咨询两种。前者重点在宣传普及科学常识上，后者重点在解决技术难题上，有时还可能发展成科技攻关。我国城乡已经出现数以万计的科技咨询机构。随着科技市场的发展，一部分科技咨询已经由无偿服务变成有偿服务。,https://baike.baidu.com/item/%E7%A7%91%E6%8A%80%E5%92%A8%E8%AF%A2/7274445
21,感知,感知即意识对内外界信息的觉察、感觉、注意、知觉的一系列过程。感知可分为感觉过程和知觉过程。感觉过程中被感觉的信息包括有机体内部的生理状态，心理活动，也包含外部环境的存在以及存在关系信息。感觉不仅接受信息，也受到心理作用影响。知觉过程中对感觉信息进行有组织的处理，对事物存在形式进行理解认识。,https://baike.baidu.com/item/%E6%84%9F%E7%9F%A5/10752910
20,融合,物理意义上指熔成或如熔化那样融成一体。心理意义上指不同个体或不同群体在一定的碰撞或接触之后，认知、情感或态度倾向融为一体。,https://baike.baidu.com/item/%E8%9E%8D%E5%90%88/72742
16,咨询服务,咨询是类似于请教、询问、商议等意思，服务是指提供帮助，咨询服务的字面意思是提供解决问题的帮助。从广义上讲，任何涉及到请教、询问、商议等意思的双方问答事件，对于问方来讲，都可作为咨询服务，如甲向乙问路。,https://baike.baidu.com/item/%E5%92%A8%E8%AF%A2%E6%9C%8D%E5%8A%A1/1120172
17,空间,空间是与时间相对的一种物质客观 存在形式，但两者密不可分，按照宇宙大爆炸理论，宇宙从奇点爆炸之后，宇宙的状态由初始的“一”分裂开来，从而有了不同的存在形式、运动状态等差异，物与物的位置差异度量称之为“空间”，位置的变化则由“时间”度量。空间由长度、宽度、高度、大小表现出来。通常指四方（方向）上下。空间有宇宙空间、网络空间、思想空间、数字空间、物理空间等等，都属空间的范畴。地理学与天文学中指地球表面的一部分，有绝对空间与相对空间之分。空间由不同的线组成，线组成不同形状，线内便是空间。空间是一个相对概念，构成了事物的抽象概念，事物的抽象概念是参照于空间存在的。,https://baike.baidu.com/item/%E7%A9%BA%E9%97%B4/55280
11,服务,服务是一个汉语词汇，拼音是fú wù。意思是指履行职务，为他人做事，并使他人从中受益的一种有偿或无偿的活动，不以实物形式而以提供劳动的形式满足他人某种特殊需要；也指任职。,https://baike.baidu.com/item/%E6%9C%8D%E5%8A%A1/85523
