page_id,keyword,annotation,url
33,沙化,干旱地区因土壤开发利用不当，植被破坏，造成表土风蚀、土壤生产能力降低的现象。可用营造防护林及轮封、轮牧等措施加以防止。,https://baike.baidu.com/item/%E6%B2%99%E5%8C%96/3058907
30,加氢,氢与其他化合物相互作用的反应过程，通常是在催化剂存在下进行的。加氢反应属还原的范畴。,https://baike.baidu.com/item/%E5%8A%A0%E6%B0%A2/2837694
29,燃料电池,燃料电池是一种把燃料所具有的化学能直接转换成电能的化学装置，又称电化学发电器。它是继水力发电、热能发电和原子能发电之后的第四种发电技术。由于燃料电池是通过电化学反应把燃料的化学能中的吉布斯自由能部分转换成电能，不受卡诺循环效应的限制，因此效率高; 另外，燃料电池用燃料和氧气作为原料；同时没有机械传动部件，故没有噪声污染，排放出的有害气体极少。由此可见，从节约能源和保护生态环境的角度来看，燃料电池是最有发展前途的发电技术。,https://baike.baidu.com/item/%E7%87%83%E6%96%99%E7%94%B5%E6%B1%A0/111249
25,智慧,智慧是一个汉语词语，拼音是zhì huì，一指聪明才智，二指梵语“般若”（音bo-re）的意译。出自《墨子·尚贤中》：“若此之使治国家，则此使不智慧者治国家也，国家之乱，既可得而知已。”智慧 是生命所具有的基于生理和心理器官的一种高级创造思维能力，包含对自然与人文的感知、记忆、理解、分析、判断、升华等所有能力。智慧与智力不同，智慧表达智力器官的综合终极功能，与“形而上之道”有异曲同工之处；智力则谓“形而下之器”，是生命的一部分技能。在我们的日常生活中，智慧体现为更好的解决问题的能力。,https://baike.baidu.com/item/%E6%99%BA%E6%85%A7/129438
27,研发,研发即研究开发、研究与开发、研究发展，是指各种研究机构、企业或个人为获得科学技术（不包括人文、社会科学）新知识，创造性运用科学技术新知识，或实质性改进技术、产品和服务而持续进行的具有明确目标的系统活动，包括系统及设备的测试，安装，维护，维修等一系列的系统活动。2016年2月，美国国家科学基金会发布的《美国科学与工程指标》显示，中国已成为不容置疑的世界第二研发大国。所了解，全球研发支出总体呈上升趋势，并仍集中在北美、欧洲及东亚和东南亚地区。美国仍然是世界第一研发大国，中国居第二位，中国的研发开支接近欧盟的总和。在按购买力平价计算的全球研发总支出当中，中国约占20%，仅次于美国（27%）；日本居第三位，占10%；德国第四，占6%；接下来是韩国、法国、俄罗斯、英国和印度，他们分别占全球研发支出总额的2%至4%。,https://baike.baidu.com/item/%E7%A0%94%E5%8F%91/4815440
31,冬奥,,https://baike.baidu.com/item/2020%E5%B9%B4%E5%8C%97%E4%BA%AC%E5%86%AC%E5%A5%A5%E4%BC%9A/18032261
28,小镇,居民不多的集中地，比城市小一点，英语叫small town。一般在自然环境较好的地方。较偏僻。,https://baike.baidu.com/item/%E5%B0%8F%E9%95%87/35999
23,基于,基于是一个汉语词语，拼音是jī yú，意思是由于、根据。出自老舍 《四世同堂》四五：“友情的结合，往往是基于一件偶然的事情与遭遇的。”,https://baike.baidu.com/item/%E5%9F%BA%E4%BA%8E/763397
26,小镇,居民不多的集中地，比城市小一点，英语叫small town。一般在自然环境较好的地方。较偏僻。,https://baike.baidu.com/item/%E5%B0%8F%E9%95%87/35999
22,冬奥,,https://baike.baidu.com/item/2020%E5%B9%B4%E5%8C%97%E4%BA%AC%E5%86%AC%E5%A5%A5%E4%BC%9A/18032261
