page_id,keyword,annotation,url
5,5cm,5cm是香港i.t集团旗下其中一个自创品牌，于1998年秋季推出首个系列，设计概念以简洁，休闲的中性化服饰为主，主打风格为东京和香港街头路线。,https://baike.baidu.com/item/5cm/80871
5,MPa,,https://baike.baidu.com//item/MPA/20230480
4,定位精度,定位精度（PositionaIAccuracy）是空间实体位置信息（通常为坐标）与其真实位置之间的接近程度。,https://baike.baidu.com/item/%E5%AE%9A%E4%BD%8D%E7%B2%BE%E5%BA%A6/5165935
4,地压,地压是泛指在岩体中存在的力，它既包含原岩对围岩的作用力，围岩间的相互作用力，又包含围岩对支护体的作用力。地压的大小，不仅与岩体的应力状态、岩体的物理力学性质、岩体结构有关，还与工碜壮质、支护类型及支护时间等因素有关。地压会引起围岩及护体的变形、移动和破坏，称为地压现象。。为便于分析各种不同性质的地压，按其表现形式，将地压分为四类：散体地压、变形地压、冲击地压和膨胀地压。矿床开采过程中，地压显现往往给采矿工作带来巨大灾难，它不仅危害生产安全，而且会使矿山局部停产，甚至毁灭整个矿山。详细介绍了地压的定义、分类、井巷地压、采场地压、冲击地压及其控制。,https://baike.baidu.com/item/%E5%9C%B0%E5%8E%8B/4638070
4,矿井,矿井是形成地下煤矿生产系统的井巷、硐室、装备、地面建筑物和构筑物的总称。有时把矿山地下开拓中的斜井、竖井、平硐等也称为矿井。每一个矿井的井田范围大小、矿井生产能力和服务年限的确定，是矿井自体设计中必须解决好的关键问题之一。,https://baike.baidu.com/item/%E7%9F%BF%E4%BA%95/2216727
4,钻孔,钻孔是指用钻头在实体材料上加工出孔的操作。这里讲述了勘探工作里的钻孔工作，以及钻孔需要的辅助工具以及部分应急措施方法。在地质勘查工作中，利用钻探设备向地下钻成的直径较小深度较大的柱状圆孔，又称钻井。钻探石油和天然气以及地下水的钻孔直径较大些。钻孔直径和深度大小，取决于地质矿产埋藏深度和钻孔的用途。,https://baike.baidu.com/item/%E9%92%BB%E5%AD%94/4291999
5,30m,苏-30战斗机（俄文编号：Су-30，英文编号：Su-30，北约代号：Flanker-C，译文：侧卫-C），是俄罗斯一型双座双发多用途战斗机，在世代上属于第三代战斗机的改进型，即三代半战斗机。苏-30战斗机在苏-27基础上改进而成的战斗轰炸机，作用类似于F-15E，突出了对空对地双重用途的能力，具有超低空持续飞行能力、良好的机动性和一定的隐身性能，在缺乏地面指挥系统信息时仍可独立完成歼击与攻击任务，包括在敌领域纵深执行战斗任务。苏-30战斗机由苏霍伊航空公司（Сухой或Sukhoi）设计，主要由阿穆尔河畔共青城加加林飞机制造厂以及伊尔库茨克飞机制造厂生产，最初称为苏-27PU，1989年12月31日首飞，出口型命名为苏-30K（K是俄文出口、商业的意思），增强对地作战功能。其中出口印度的型号为苏-30MKI，出口中国的为苏-30MKK。,https://baike.baidu.com/item/%E8%8B%8F-30%E6%88%98%E6%96%97%E6%9C%BA/2900403
5,3.5,3.5英寸软盘为便携式软盘，有时也称作微软盘，它被封装在一个硬质塑料壳内，塑料壳上有防尘、防接角的金属保护罩，盘体无裸露，当将此盘放入软盘驱动器时，计算机会自动移开金属罩而读取此盘中的数据。软盘是个人计算机（PC）中最早使用的可移介质。,https://baike.baidu.com/item/3.5%E8%8B%B1%E5%AF%B8%E8%BD%AF%E7%9B%98/4756298
4,机器人,机器人（Robot）是一种能够半自主或全自主工作的智能机器。历史上最早的机器人见于隋炀帝命工匠按照柳抃形象所营造的木偶机器人，施有机关，有坐、起、拜、伏等能力。机器人具有感知、决策、执行等基本特征，可以辅助甚至替代人类完成危险、繁重、复杂的工作，提高工作效率与质量，服务人类生活，扩大或延伸人的活动及能力范围。,https://baike.baidu.com/item/%E6%9C%BA%E5%99%A8%E4%BA%BA/888
3,巷道,巷道是在地表与矿体之间钻凿出的各种通路，用来运矿、通风、排水、行人以及为冶金设备采出矿石新开凿的各种必要准备工程等。这些通路，统称为巷道。,https://baike.baidu.com/item/%E5%B7%B7%E9%81%93/1223653
3,机器人,机器人（Robot）是一种能够半自主或全自主工作的智能机器。历史上最早的机器人见于隋炀帝命工匠按照柳抃形象所营造的木偶机器人，施有机关，有坐、起、拜、伏等能力。机器人具有感知、决策、执行等基本特征，可以辅助甚至替代人类完成危险、繁重、复杂的工作，提高工作效率与质量，服务人类生活，扩大或延伸人的活动及能力范围。,https://baike.baidu.com/item/%E6%9C%BA%E5%99%A8%E4%BA%BA/888
3,煤矿,是人类在富含煤炭的矿区开采煤炭资源的区域，一般分为井工煤矿和露天煤矿。当煤层离地表远时，一般选择向地下开掘巷道采掘煤炭，此为井工煤矿。当煤层距地表的距离很近时，一般选择直接剥离地表土层挖掘煤炭，此为露天煤矿。我国绝大部分煤矿属于井工煤矿。煤矿范围包括地上地下以及相关设施的很大区域。煤矿是人类在开掘富含有煤炭的地质层时所挖掘的合理空间，通常包括巷道、井硐和采掘面等等。煤是最主要的固体燃料，是可燃性有机岩的一种。它是由一定地质年代生长的繁茂植物，在适宜的地质环境中，逐渐堆积成厚层，并埋没在水底或泥沙中，经过漫长地质年代的天然煤化作用而形成的。在世界上各地质时期中，以石炭纪、二叠纪、侏罗纪和第三纪的地层中产煤最多，是重要的成煤时代。煤的含碳量一般为46～97%，呈褐色至黑色，具有暗淡至金属光泽。根据煤化程度的不同，煤可分为泥炭、褐煤、烟煤和无烟煤四类。2018年，山西化解煤炭过剩产能关闭退出煤矿36座，退出产能2330万吨/年。,https://baike.baidu.com/item/%E7%85%A4%E7%9F%BF/3079106
3,截割,截割，读音为jié gē，汉语词语，意思是割裂。,https://baike.baidu.com/item/%E6%88%AA%E5%89%B2/9141928
5,7MPa,,https://baike.baidu.com/item/7MPa

2,经费,经费是指行政事业单位为完成工作任务和事业计划所需经常费用的统称。这些单位一般不直接从事物质资料生产，没有独立、稳定的收入来源。或者虽有一部分收入，但大都不足以抵补本身的业务支出，需要国家预算拨付经费。经费按用途可分为人员经费和公用经费。或分为维持经费和发展经费。前者指维持原有行政事业单位机构及规模的人员经费和公用经费; 后者是指在计划年度内，经批准新增加的机构、人员或其他事业项目所需的经费。原单位增加少量人员，不增设机构和不扩大事业项目的，属于自然增长，不作为发展经费。,https://baike.baidu.com/item/%E7%BB%8F%E8%B4%B9/1705671
