page_id,keyword,annotation,url
2,Zc,,https://baike.baidu.com/item/zc/2575311
4,角分,角分，又称弧分，是量度角度的单位，符号为 ′，在不会引起混淆时，可简称作分。“角分”二字只限用于描述角度，不能于其他以“分”作单位的情况使用（如时间的分，或者考试分数）。,https://baike.baidu.com/item/%E8%A7%92%E5%88%86/8637816
3,介子,介子是自旋为整数、重子数为零的强子，参与强相互作用。介子类包括带正负电的以及中性的π介子；带正负电的以及中性的κ介子；以及发现的η介子。介子的静态质量介于轻子和重子之间，所以取名为介子，介子的自旋量子数为零。,https://baike.baidu.com/item/%E4%BB%8B%E5%AD%90/469911
4,搜寻,搜寻，拼音sōu xún，汉语词语，意思是搜索；寻求，寻找。仔细的寻找（隐藏的人或东西）。,https://baike.baidu.com/item/%E6%90%9C%E5%AF%BB/9917901
4,角秒,角秒，又称弧秒，是量度平面角的单位，即角分的六十分之一，符号为″。在不会引起混淆时，可简称作秒。“角秒”二字只限用于描述角度，不能于其他以“秒”作单位的情况使用（如时间）。,https://baike.baidu.com/item/%E5%BC%A7%E7%A7%92/10447078
4,测光,数码相机的测光系统一般是测定被摄对像反射回来的光亮度，也称之为反射式测光。测光方式按测光元件的安放位置不同一般可分为外测光和内测光两种方式（l）外测光：在外测光方式中，测光元件与镜头的光路是各自独立的。这种测光方式广泛应用于平视取景镜头快门照相机中，它具有足够的灵敏度和准确度。单镜头反光照相机一般不使用这种测光方式。（2）内测光：这种测光方式是通过镜头来进行测光，即所谓TTL测光，与摄影条件一致，在更换相机镜头或摄影距离变化、加滤色镜时均能进行自动校正。目前几乎所有的单镜头反光相机都采用这种测光方式。,https://baike.baidu.com/item/%E6%B5%8B%E5%85%89/7167959
3,精度,精度是表示观测值与真值的接近程度。每一种物理量要用数值表示时，必须先要制定一种标准，并选定一种单位 (unit)。这种标准的制定，通常是根据人们对于所要测量的物理量的认识与了解，并且要考虑这标准是否容易复制，或测量的过程是否容易操作等实际问题。,https://baike.baidu.com/item/%E7%B2%BE%E5%BA%A6/5167954
3,申报,《申报》原名《申江新报》，1872年4月30日（清同治十一年三月二十三日）在上海创刊，1949年5月27日停刊。是近代中国发行时间最久、具有广泛社会影响的报纸，是中国现代报纸开端的标志。它前后总计经营了77年，历经晚清、北洋政府、国民政府三个时代，共出版27000余期，出版时间之长，影响之广泛，同时期其它报纸难以企及，在中国新闻史和社会史研究上都占有重要地位，被人称为研究中国近现代史的“百科全书”。,https://baike.baidu.com/item/%E7%94%B3%E6%8A%A5/3577852
3,衰变,衰变亦称“蜕变”，指放射性元素放射出粒子而转变为另一种元素的过程，如镭放出α粒子后变成氡。,https://baike.baidu.com/item/%E8%A1%B0%E5%8F%98/13826090
2,强子谱,J/ψ粒子是由粲夸克和反粲夸克组成的一类介子，其质量为3.1GeV/c2。J/ψ粒子在正负电子对撞中产额很高，J/ψ粒子的衰变是研究强子谱和寻找新粒子的理想途径。,https://baike.baidu.com/item/J%2F%CF%88%E7%B2%92%E5%AD%90/10796139
3,QCD,,https://baike.baidu.com//item/QCD%E5%B0%BA%E5%BA%A6
2,GPU,GPU-Z是一款显卡识别工具，绿色免安装（可选安装），界面直观，运行后即可显示GPU核心，以及运行频率、带宽、传感器信息等。,https://baike.baidu.com/item/GPU-Z/1583575
2,研究,研究，读音，汉语词语，意思是主动寻求根本性原因与更高可靠性依据，从而为提高事业或功利的可靠性和稳健性而做的工作。,https://baike.baidu.com/item/%E7%A0%94%E7%A9%B6/1883844
3,强子,强子，属于现代粒子物理学中的概念，也是量子力学中的重要概念。强子(Hadron)是一种亚原子粒子，所有受到强相互作用影响的亚原子粒子都被称为强子。强子，包括重子和介子。按现代的粒子物理学中的标准模型理论而言，强子是由夸克、反夸克和胶子组成的。胶子是量子色动力学中的基本粒子，它将夸克连在一起，强子是这些连接的产物。,https://baike.baidu.com/item/%E5%BC%BA%E5%AD%90/19868
1,专项,特定的某个项目。例句：～训练。进行～检查。～资金。[1-2],https://baike.baidu.com/item/%E4%B8%93%E9%A1%B9/10927791
2,偶素,偶素是粒子物理学名词，也有"我是"的意思。,https://baike.baidu.com/item/%E5%81%B6%E7%B4%A0/2263169
1,研究,研究，读音，汉语词语，意思是主动寻求根本性原因与更高可靠性依据，从而为提高事业或功利的可靠性和稳健性而做的工作。,https://baike.baidu.com/item/%E7%A0%94%E7%A9%B6/1883844
1,装置,装置或称设备一词有多种含义。装置可以是：机械的一种叫法；工具的一种叫法；设备的一种叫法；仪器的一种叫法；测量仪器，用来进行各种测试以取得相关数据的工具；器具，日常生活中用到的各种工具。,https://baike.baidu.com/item/%E8%A3%85%E7%BD%AE/7145594
2,分波,,https://baike.baidu.com//item/%E5%88%86%E6%B3%A2%E6%B3%95
1,支持,支持，汉语词语，拼音是zhī chí，意思是支撑，供应，赞同鼓励。,https://baike.baidu.com/item/%E6%94%AF%E6%8C%81/676624
1,前沿,前沿是一个汉语词汇，拼音是qían yán，指前部的边沿，一般指防御阵地最前面的边沿也泛指斗争的第一线。语出《澹定集·读作品记（五）》。,https://baike.baidu.com/item/%E5%89%8D%E6%B2%BF/33481
1,科学,科学（Science）是一个建立在可检验的解释和对客观事物的形式、组织等进行预测的有序知识系统，是已系统化和公式化了的知识。根据科学反映对象的领域，主要分为自然科学、社会科学、思维科学、形式科学和交叉学科。,https://baike.baidu.com/item/%E7%A7%91%E5%AD%A6/10406
