page_id,keyword,annotation,url
3,Coordinator,coordinator，英语单词，主要用作名词，作名词时译为“协调者；[自] 协调器；同等的人或物”。,https://baike.baidu.com/item/coordinator/4591717
3,Tel,Tel，是英文“telephone”的简写，意思为电话机，打电话。,https://baike.baidu.com/item/Tel/6072086
3,Position,CSSposition属性用于指定一个元素在文档中的定位方式。top，right，bottom和left属性则决定了该元素的最终位置。,https://baike.baidu.com/item/position/7662311
3,Chinese,Chinese English译为中国式英语在现实生活中，不少英语学习者发现在交际过程中有时不能很好表达自己的思想或理解别人的情感，会说出闹不少笑话的chinglish (中国式英语)。,https://baike.baidu.com/item/chinese%20english/9909125
3,Fax,FAX即传真，一种传输静态图像的通信手段，是指把纸上的文字、图表、相片等静止的图像变换成电信号，经传输路线传输到接收方的通信方式。传真机是用来实现传真通信的终端设备，是完成传真通信的工具。,https://baike.baidu.com/item/fax/4776686
2,目的,目的，通常是指行为主体根据自身的需要，借助意识、观念的中介作用预先设想的行为目标和结果。作为观念形态，反映了人对客观事物的实践关系。人的实践活动以目的为依据，目的贯穿实践过程的始终。,https://baike.baidu.com/item/%E7%9B%AE%E7%9A%84/10924745
2,结果,结果是一个汉语词汇，读音为jiē guǒ&、jié guǒ，本指植物长出果实（开花结果）；现常用义为事物发展的后续影响或阶段终了时的状态；较罕见的意思还有杀死（黑话）。,https://baike.baidu.com/item/%E7%BB%93%E6%9E%9C/29394
2,预期,预期，汉语词语，拼音是yù qī，意思是事先的期望。,https://baike.baidu.com/item/%E9%A2%84%E6%9C%9F/5738100
3,Name,英语单词“name”有多种词性，通常是意为名字的意思，西方国家的人的名字是由三个名字构成的。在漫画中的NAME俗称分镜大纲，是掌握漫画整体节奏的重要步骤。,https://baike.baidu.com/item/name/2544589
3,Affiliation,,https://baike.baidu.com//item/Affiliation
2,会议,会议是指有组织、有领导、有目的的议事活动，它是在限定的时间和地点，按照一定的程序进行的。会议一般包括议论、决定、行动3个要素。因此，必须做到会而有议、议而有决、决而有行，否则就是闲谈或议论，不能成为会议。会议是一种普遍的社会现象，几乎有组织的地方都会有会议，会议的主要功能包括决策、控制、协调和教育等功能。,https://baike.baidu.com/item/%E4%BC%9A%E8%AE%AE/9531378
2,内容,内容是指事物所包含的实质性事物。一个艺术作品的表现、基本含义、意味或审美价值。内容关涉的是我们在艺术作品中感受到的感觉的、主观的、心理的和情感方面的意涵，与我们对描绘性方面的单纯知觉相对。,https://baike.baidu.com/item/%E5%86%85%E5%AE%B9/869297
1,组织者,组织者，亦称“先行组织者”（advance organizer）。奥苏伯尔有意义言语学习理论中的一个重要术语。指在学习新材料之前给学习者呈现的一种引导性材料。它在概括和包容水平上高于新学习材料，但以学习者熟悉的语言陈述。由于它与认知结构中原有有关观念和新学习材料都有清晰联系，故可以为新的学习提供观念支架，或可以提高新旧观念之间的可辨别程度。设计组织者最初被奥苏伯尔等作为改变被试原有认知结构以进行学习与记忆实验的方法，后作为组织与呈现教材以促进学习与迁移的重要教学技术。,https://baike.baidu.com/item/%E7%BB%84%E7%BB%87%E8%80%85/3188042
1,传真,传真是近百年发展最快的非话电信业务之一。将文字、图表、相片等记录在纸面上的静止图像，通过扫描和光电变换，变成电信号，经各类信道传送到目的地，在接收端通过一系列逆变换过程，获得与发送原稿相似记录副本的通信方式，称为传真。,https://baike.baidu.com/item/%E4%BC%A0%E7%9C%9F/97950
1,单位,单位，指机关、团体或属于一个机关、团体的各个部门；指数学方面或物理方面计量事物的标准量的名称。一般有：米（m）、千米（km）、牛（顿） N、帕（斯卡）Pa等单位；在佛教传统意义上讲单位，特指长度、质量、时间等的定量单位，也有专门的术语如：刹那、一瞬、弹指、须臾等。准确的说，单位就是将一定数量物质的集合规定为“1” ，成为一个单位。从广义上讲：单位是一个相对概念，其为事物坐标系中的坐标轴中能构成个体的抽象概念。事物的最小单位为零。,https://baike.baidu.com/item/%E5%8D%95%E4%BD%8D/32292
1,联系电话,《联系电话》是一款Android平台的应用。,https://baike.baidu.com/item/%E8%81%94%E7%B3%BB%E7%94%B5%E8%AF%9D/2962285
1,通信地址,通讯地址是指能在信封、邮寄物品、电子邮箱等一切通过邮政方式或互联网发送的邮件上，注明并接收的有效实际地址。通讯地址一般由地区名，街道名及门牌号码组成；一般大型网站就可以注册免费的个人邮箱，申请的邮箱即是你的电子地址。,https://baike.baidu.com/item/%E9%80%9A%E8%AE%AF%E5%9C%B0%E5%9D%80/2501858
1,韩方,韩方，男，汉族，1964年10月出生，江苏射阳人，大学学历，1986年6月加入中国共产党，1987年8月参加工作。曾任中国共产党高邮市委员会书记(中共高邮市委书记)。现任南通市委常委、南通市纪委书记、南通市监察委员会主任。,https://baike.baidu.com/item/%E9%9F%A9%E6%96%B9/498776
1,职称,职称（Professional Title）最初源于职务名称，理论上职称是指专业技术人员的专业技术水平、能力，以及成就的等级称号，是反映专业技术人员的技术水平、工作能力的标志。随着社会发展的需要，逐步产生了对专业技术人员的水平评价与聘任岗位相分离的需要，即“评聘分离”，职称的概念也相应发生了变化。聘任的岗位称之为“专业技术职务”，简称职务；而专业技术人员的水平则以“专业技术职务任职资格”来标识，简称职称。,https://baike.baidu.com/item/%E8%81%8C%E7%A7%B0/1035081
