page_id,keyword,annotation,url
6,青稞,青稞（学名：Hordeum vulgareL. var.nudumHook.f.）是禾本科、大麦属 一年生草本植物，三秆直立，光滑，高可达100厘米，叶鞘光滑，两侧具两叶耳，互相抱茎；叶舌膜质，叶片微粗糙。穗状花序成熟后黄褐色或为紫褐色，小穗颖线状披针形，被短毛，先端渐尖呈芒状，外稃先端延伸，两侧具细刺毛。颖果成熟时易于脱出俘体。中国西北、西南各省常栽培。适宜生长在高原清凉气候。耐寒性强，生长期短，高产早熟，适应性广。青稞是中国藏区居民主要食粮、燃料和牲畜饲料，而且也是啤酒、医药和保健品生产的原料。（概述图参考来源：中国自然标本馆）,https://baike.baidu.com/item/%E9%9D%92%E7%A8%9E/2364
5,示范,示范，读音为shì fàn，汉语词语，意思是做出榜样或典范,供人们学习；起示范作用；把事物摆出来或指出来使人知道。,https://baike.baidu.com/item/%E7%A4%BA%E8%8C%83/363731
5,优质,多义词。1.优良的质量。语出艾青《光的赞歌》：“激光，刺穿优质钢板。”2.使器物质地、质量优化。源词见于陈志岁《载敬堂集·江南靖士联稿·油漆店》联：“上品美成优质器;精工妙择制宜机。”,https://baike.baidu.com/item/%E4%BC%98%E8%B4%A8/4204006
5,饲草,饲草是指茎叶可作为食草动物饲料的草本植物。饲草再生力强，一年可收割多次，富含各种微量元素和维生素，因此成为饲养家畜的首选。饲草品种的优劣直接影响到畜牧业经济效益的高低，需加以重视。,https://baike.baidu.com/item/%E9%A5%B2%E8%8D%89/5884340
6,饲草,饲草是指茎叶可作为食草动物饲料的草本植物。饲草再生力强，一年可收割多次，富含各种微量元素和维生素，因此成为饲养家畜的首选。饲草品种的优劣直接影响到畜牧业经济效益的高低，需加以重视。,https://baike.baidu.com/item/%E9%A5%B2%E8%8D%89/5884340
5,青稞,青稞（学名：Hordeum vulgareL. var.nudumHook.f.）是禾本科、大麦属 一年生草本植物，三秆直立，光滑，高可达100厘米，叶鞘光滑，两侧具两叶耳，互相抱茎；叶舌膜质，叶片微粗糙。穗状花序成熟后黄褐色或为紫褐色，小穗颖线状披针形，被短毛，先端渐尖呈芒状，外稃先端延伸，两侧具细刺毛。颖果成熟时易于脱出俘体。中国西北、西南各省常栽培。适宜生长在高原清凉气候。耐寒性强，生长期短，高产早熟，适应性广。青稞是中国藏区居民主要食粮、燃料和牲畜饲料，而且也是啤酒、医药和保健品生产的原料。（概述图参考来源：中国自然标本馆）,https://baike.baidu.com/item/%E9%9D%92%E7%A8%9E/2364
6,15%,15号钢优质碳素结构钢的S，P杂质含量比普通碳素结构钢要低些，一般在0.035%（质量分数）以下。按碳含量由低到高可分为低碳钢，中碳钢和高碳钢；按锰含量不同可分为普通含锰量和较高含锰量两类。这类钢产量较大，用途较广，多轧制（或锻造）成圆、方、扁平产品，有的制成管材和丝材。一般经正火或调质等热处理后使用，多用于机械或机器结构件。15号钢是一种低碳钢材料，它的延展性、可塑性都是比较好的，由于它的含碳量低（在0.12-0.18%之间）所以，硬度比较低。另外，由于15号钢的含碳量低，对这样的材料制成的零件在进行热处理提高其硬度比较困难。需要加热到1100℃以上，一般的钡盐浴炉是不能处理的，需要用高温硝酸盐浴炉来加热。,https://baike.baidu.com/item/15%E5%8F%B7%E9%92%A2/6561903
4,林下,林下，是汉语词语，拼音为lín xià，释义树林底下。田野。引伸指退隐或退隐之处,https://baike.baidu.com/item/%E6%9E%97%E4%B8%8B/3395324
4,中药材,中药材就有道地性的说法，它是指人们传统公认的且来源于特定产区的具有中国特色的名优正品药材，其本质是药材质量好、疗效好，在长期使用中得到了医者与患者的普遍认可。然而，中药材道地性的划分标准主要来源于实践经验，是人为的、相对的、模糊的，许多道地药材质量形成的科学机理尚不清楚，只知其然不知其所以然，特别是在道地产区内同种药材的质量也参差不齐。中药材指在汉族传统医术指导下应用的原生药材，用于治疗疾病。一般传统中药材讲究地道药材，是指在一特定自然条件、生态环境的地域内所产的药材，因生产较为集中，栽培技术、采收 加工也都有一定的讲究，以致较同种药材在其他地区所产者品质佳、疗效好。,https://baike.baidu.com/item/%E4%B8%AD%E8%8D%AF%E6%9D%90/15524
6,增效,,https://baike.baidu.com//item/%E5%A2%9E%E6%95%88
