page_id,keyword,annotation,url
7,纳米材料,纳米材料是指在三维空间中至少有一维处于纳米尺寸(1-100 nm)或由它们作为基本单元构成的材料，这大约相当于10~1000个原子紧密排列在一起的尺度。,https://baike.baidu.com/item/%E7%BA%B3%E7%B1%B3%E6%9D%90%E6%96%99/1534350
7,废水,废水(wastewater)是指居民活动过程中排出的水及径流雨水的总称。它包括生活污水、工业废水和初雨径流入排水管渠等其它无用水，一般指经过一定技术处理后不能再循环利用或者一级污染后制纯处理难度达不到一定标准的水。,https://baike.baidu.com/item/%E5%BA%9F%E6%B0%B4/10875141
6,超声,超声波是一种频率高于20000Hz（赫兹）的声波，它的方向性好，反射能力强，易于获得较集中的声能，在水中传播距离比空气中远，可用于测距、测速、清洗、焊接、碎石、杀菌消毒等。在医学、军事、工业、农业上有很多的应用。超声波因其频率下限超过人的听觉上限而得名。科学家们将每秒钟振动的次数称为声音的频率，它的单位是赫兹（Hz）。我们人类耳朵能听到的声波频率为20Hz~20000Hz。因此，我们把频率高于20000Hz的声波称为“超声波”。通常用于医学诊断的超声波频率为1MHz~30MHz。,https://baike.baidu.com/item/%E8%B6%85%E5%A3%B0%E6%B3%A2/603430
8,90%,,https://baike.baidu.com//item/90%20%25
8,50%,《50%》是日本女子偶像团体AKB48的专辑《ひまわり组 2nd Stage 梦を死なせるわけにいかない》里的单曲。,https://baike.baidu.com/item/50%25/8675014
6,纳米材料,纳米材料是指在三维空间中至少有一维处于纳米尺寸(1-100 nm)或由它们作为基本单元构成的材料，这大约相当于10~1000个原子紧密排列在一起的尺度。,https://baike.baidu.com/item/%E7%BA%B3%E7%B1%B3%E6%9D%90%E6%96%99/1534350
8,膜技术,膜是具有选择性分离功能的材料。利用膜的选择性分离实现料液的不同组分的分离、纯化、浓缩的过程称作膜分离。它与传统过滤的不同在于膜可以在分子范围内进行分离，并且这过程是一种物理过程，不需发生相的变化和添加助剂。膜的孔径一般为微米级，依据其孔径的不同（或称为截留分子量），可将膜分为微滤膜、超滤膜、纳滤膜和反渗透膜，根据材料的不同可分为无机膜和有机膜，无机膜主要还只有微滤级别的膜，主要是陶瓷膜和金属膜。有机膜是由高分子材料做成的，如醋酸纤维素、芳香族聚酰胺、聚醚砜、聚氟聚合物等等。,https://baike.baidu.com/item/%E8%86%9C%E6%8A%80%E6%9C%AF/4958034
6,裂解,,https://baike.baidu.com//item/%E8%A3%82%E8%A7%A3%E6%B3%95
5,肿瘤,肿瘤（tumour）是指机体在各种致瘤因子作用下，局部组织细胞增生所形成的新生物（neogrowth），因为这种新生物多呈占位性块状突起，也称赘生物（neoplasm）。研究发现，肿瘤细胞会出现不同于正常细胞的代谢变化，同时肿瘤细胞自身可通过糖酵解和氧化磷酸化（OXPHOS）之间的转换来适应代谢环境的改变。2019年，Cancer Cell最新刊登了一篇文章，研究人员发现在禁食状态下使用二甲双胍可以显著抑制肿瘤生长，并提出PP2A-GSK3β-MCL-1通路可能是肿瘤治疗的新靶点。,https://baike.baidu.com/item/%E8%82%BF%E7%98%A4/15525
7,毒性,毒性（toxicity）：又称生物有害性，一般是指外源化学物质与生命机体接触或进入生物活体体内后，能引起直接或间接损害作用的相对能力，或简称为损伤生物体的能力。也可简单表述为，外源化学物在一定条件下损伤生物体的能力。,https://baike.baidu.com/item/%E6%AF%92%E6%80%A7/1523971
5,纳米,纳米（符号:nm），即为毫微米，是长度的度量单位。1纳米=10的负9次方米。1纳米相当于4倍原子大小，比单个细菌的长度还要小的多。,https://baike.baidu.com/item/%E7%BA%B3%E7%B1%B3/410859
3,材料,,https://baike.baidu.com/item/%E6%9D%90%E6%96%99
