page_id,keyword,annotation,url
4,材料,材料是人类用于制造物品、器件、构件、机器或其他产品的那些物质。,https://baike.baidu.com/item/%E6%9D%90%E6%96%99/2089204
4,水冷,水冷散热器有一个进水口及出水口，散热器内部有多条水道，这样可以充分发挥水冷的优势，能带走更多的热量。这就是水冷散热器的基本原理。从水冷的安装方式来看，又可以分为内置水冷和外置水冷两种。对于内置水冷而言，主要由散热器、水管、水泵、足够的水源组成，这就注定了大部分水冷散热系统“体积”较大，而且要求机箱内部空间足够宽余。外置水冷散热器方面，由于其散热水箱以及水泵等工作元件全部安排在机箱之外，不仅减少了机箱内空间的占用，而且能够获得更好的散热效果。,https://baike.baidu.com/item/%E6%B0%B4%E5%86%B7/10507598
4,托卡马克,托卡马克，是一种利用磁约束来实现受控核聚变的环形容器。它的名字Tokamak 来源于环形、真空室、磁、线圈。最初是由位于苏联莫斯科的库尔恰托夫研究所的阿齐莫维齐等人在20世纪50年代发明的。托卡马克的中央是一个环形的真空室，外面缠绕着线圈。在通电的时候托卡马克的内部会产生巨大的螺旋型磁场，将其中的等离子体加热到很高的温度，以达到核聚变的目的。,https://baike.baidu.com/item/%E6%89%98%E5%8D%A1%E9%A9%AC%E5%85%8B/476241
4,包层,包层（Cladding）是指在携带光波的光纤芯纤外面覆盖的一层玻璃或其他的透明材料，它具有比芯线略低的折射系数，因此能将光限制在芯线里传播。在包层外面还应有一层外包层。对于有包层的阶跃型光纤，要测定的基本参数有四个：纤芯和包层半径以及它们的相对折射率。,https://baike.baidu.com/item/%E5%8C%85%E5%B1%82/5930459
3,模块,模块是一个设计术语，是指对词条中部分内容进行格式化整理的模板。例如歌手类词条中的“音乐作品”模块，电视剧类词条的“分集剧情”模块。,https://baike.baidu.com/item/%E6%A8%A1%E5%9D%97/437198
3,负荷,负荷是人类社会中的一种专业词语，拼音是fù hè。指机器或主动机所克服的外界阻力，对某一系统业务能力所提出的要求（如电路交换台，邮政，铁路），又指物体所承载的重量。引申为资源被占用的比例。,https://baike.baidu.com/item/%E8%B4%9F%E8%8D%B7/11010944
4,整体,整体是指一个由有内在关系的部分所组成的体系对象。各个组成部分一定有某种内在关系，或功能互补，或利益共同，或协调行动等等。简单地说，就是一个有组织的事物。一般情况下，“整体”有一定的组成原则、组织规则、组织机构、运转规则和运行秩序等。在词性理解和实际应用上，要特别注意“整体”和“总体”的区别。通过这两个词的对比，可以实现更为准确的词性和使用环境的把握。（下文有描述）,https://baike.baidu.com/item/%E6%95%B4%E4%BD%93/7193606
3,材料,材料是人类用于制造物品、器件、构件、机器或其他产品的那些物质。,https://baike.baidu.com/item/%E6%9D%90%E6%96%99/2089204
3,钨基,钨基重合金是以钨为基体，添加镍、铁、铜或其他金属元素所组成的合金，也称钨基高密度合金。钨含量一般在90%~98%，合金的相对密度≥17。,https://baike.baidu.com/item/%E9%92%A8%E5%9F%BA%E9%87%8D%E5%90%88%E9%87%91/2719607
3,滤器,中文读音lǜ qì；英文读法[filter; strainer] 过滤用的装置，一定是对液体或气体进行过滤的器具。,https://baike.baidu.com/item/%E6%BB%A4%E5%99%A8/11042759
2,数据库,数据库是“按照数据结构来组织、存储和管理数据的仓库”。是一个长期存储在计算机内的、有组织的、可共享的、统一管理的大量数据的集合。,https://baike.baidu.com/item/%E6%95%B0%E6%8D%AE%E5%BA%93/103728
2,项目,项目是人们通过努力，运用新的方法，将人力的、材料的和财务的资源组织起来，在给定的费用和时间约束规范内，完成一项独立的、一次性的工作任务，以期达到由数量和质量指标所限定的目标。叶圣陶《倪焕之》二五：“教育这个项目当然是不容轻易忽略的。” 洪深 《戏剧导演的初步知识》上篇二：“它们的式样、大小、制造的材料、使用的方法等等，项目繁多。” 秦牧 《艺海拾贝·核心》：“生动的语言和丰富的词汇，看来该是技巧性很强的一个项目了。”项目参数包括项目范围、质量、成本、时间、资源。美国项目管理协会（project Management Institute，PMI)在其出版的《项目管理知识体系指南》（Project Management Body of Knowledge，PMBOK）中为项目所做的定义是：项目是为创造独特的产品、服务或成果而进行的临时性工作。以下活动都可以称为一个项目：1、开发一项新产品；2、计划举行一项大型活动（如策划组织婚礼、大型国际会议等）；3、策划一次自驾游旅游；4、ERP的咨询、开发、实施与培训。,https://baike.baidu.com/item/%E9%A1%B9%E7%9B%AE/477803
3,高热,发热是多种疾病的常见症状。高热(High Fever)在临床上属于危重症范畴。小儿正常体温常以肛温36.5～37.5℃，腋温36～37℃衡量。通常情况下，腋温比口温（舌下）低0.2～0.5℃，肛温比腋温约高0.5℃左右。肛温虽比腋温准确，但因种种原因常以腋温为准。若腋温超过37.4℃，且一日间体温波动超过1℃以上，可认为发热。所谓低热，指腋温为37.5℃~38℃、中度热38.1～39℃、高热39.1～40℃、超高热则为40℃以上。发热时间超过两周为长期发热。,https://baike.baidu.com/item/%E9%AB%98%E7%83%AD/3824548
4,模块,模块是一个设计术语，是指对词条中部分内容进行格式化整理的模板。例如歌手类词条中的“音乐作品”模块，电视剧类词条的“分集剧情”模块。,https://baike.baidu.com/item/%E6%A8%A1%E5%9D%97/437198
1,开展,开展，汉语词语，读音为kāi zhǎn，意思是指使从小向大发展，使展开。开朗。开豁等。,https://baike.baidu.com/item/%E5%BC%80%E5%B1%95/11050121
2,聚变,核聚变（nuclear fusion），又称核融合、融合反应、聚变反应或热核反应。核是指由质量小的原子，主要是指氘，在一定条件下（如超高温和高压），只有在极高的温度和压力下才能让核外电子摆脱原子核的束缚，让两个原子核能够互相吸引而碰撞到一起，发生原子核互相聚合作用，生成新的质量更重的原子核（如氦），中子虽然质量比较大，但是由于中子不带电，因此也能够在这个碰撞过程中逃离原子核的束缚而释放出来，大量电子和中子的释放所表现出来的就是巨大的能量释放。这是一种核反应的形式。原子核中蕴藏巨大的能量，原子核的变化（从一种原子核变化为另外一种原子核）往往伴随着能量的释放。核聚变是核裂变相反的核反应形式。科学家正在努力研究可控核聚变，核聚变可能成为未来的能量来源。核聚变燃料可来源于海水和一些轻核，所以核聚变燃料是无穷无尽的。 人类已经可以实现不受控制的核聚变，如氢弹的爆炸。,https://baike.baidu.com/item/%E6%A0%B8%E8%81%9A%E5%8F%98/426375
