page_id,keyword,annotation,url
17,纳米,纳米（符号:nm），即为毫微米，是长度的度量单位。1纳米=10的负9次方米。1纳米相当于4倍原子大小，比单个细菌的长度还要小的多。,https://baike.baidu.com/item/%E7%BA%B3%E7%B1%B3/410859
16,污染物,污染物是指进入环境后能够直接或者间接危害人类的物质。种类很多，危害很大还可以解释为：进入环境后使得环境的正常组成发生变化，直接或者间接有害于人类的物质。实际上，污染物可以定义为：进入环境后使环境的正常组成发生变化，直接或者间接有害于生物生长、发育和繁殖的物质。污染物的作用对象是包括人在内的所有生物。环境污染物是指由于人类的活动进入环境，使环境正常组成和性质发生改变，直接或者间接有害于生物和人类的物质。,https://baike.baidu.com/item/%E6%B1%A1%E6%9F%93%E7%89%A9/5660142
15,阻控,1月10日上午，2019年度国家科学技术奖励大会在人民大会堂隆重举行。党和国家领导人出席颁奖仪式。由广东省生态环境技术研究所所长李芳柏主持的“稻田镉砷污染阻控关键技术与应用”喜获2019年度国家科学技术进步二等奖,https://baike.baidu.com/item/%E7%A8%BB%E7%94%B0%E9%95%89%E7%A0%B7%E6%B1%A1%E6%9F%93%E9%98%BB%E6%8E%A7%E5%85%B3%E9%94%AE%E6%8A%80%E6%9C%AF%E4%B8%8E%E5%BA%94%E7%94%A8/24295130
15,纳米材料,纳米材料是指在三维空间中至少有一维处于纳米尺寸(1-100 nm)或由它们作为基本单元构成的材料，这大约相当于10~1000个原子紧密排列在一起的尺度。,https://baike.baidu.com/item/%E7%BA%B3%E7%B1%B3%E6%9D%90%E6%96%99/1534350
16,纳米材料,纳米材料是指在三维空间中至少有一维处于纳米尺寸(1-100 nm)或由它们作为基本单元构成的材料，这大约相当于10~1000个原子紧密排列在一起的尺度。,https://baike.baidu.com/item/%E7%BA%B3%E7%B1%B3%E6%9D%90%E6%96%99/1534350
14,催化剂,在化学反应里能改变反应物化学反应速率（提高或降低）而不改变化学平衡，且本身的质量和化学性质在化学反应前后都没有发生改变的物质叫催化剂（固体催化剂也叫触媒）。据统计，约有90%以上的工业过程中使用催化剂，如化工、石化、生化、环保等。催化剂种类繁多，按状态可分为液体催化剂和固体催化剂;按反应体系的相态分为均相催化剂和多相催化剂，均相催化剂有酸、碱、可溶性过渡金属化合物和过氧化物催化剂。催化剂在现代化学工业中占有极其重要的地位，例如，合成氨生产采用铁催化剂，硫酸生产采用钒催化剂，乙烯的聚合以及用丁二烯制橡胶等三大合成材料的生产中，都采用不同的催化剂。,https://baike.baidu.com/item/%E5%82%AC%E5%8C%96%E5%89%82/1132343
13,纳米,纳米材料是指在三维空间中至少有一维处于纳米尺寸(1-100 nm)或由它们作为基本单元构成的材料，这大约相当于10~1000个原子紧密排列在一起的尺度。,https://baike.baidu.com/item/%E7%BA%B3%E7%B1%B3%E6%9D%90%E6%96%99/1534350
14,纳米,纳米材料是指在三维空间中至少有一维处于纳米尺寸(1-100 nm)或由它们作为基本单元构成的材料，这大约相当于10~1000个原子紧密排列在一起的尺度。,https://baike.baidu.com/item/%E7%BA%B3%E7%B1%B3%E6%9D%90%E6%96%99/1534350
9,载流子,释词：电流载体，称载流子。在物理学中，载流子指可以自由移动的带有电荷的物质微粒，如电子和离子。在半导体物理学中，电子流失导致共价键上留下的空位（空穴引）被视为载流子。金属中为电子，半导体中有两种载流子即电子和空穴。在电场作用下能作定向运动的带电粒子。如半导体中的自由电子与空穴，导体中的自由电子，电解液中的正、负离子，放电气体中的离子等。,https://baike.baidu.com/item/%E8%BD%BD%E6%B5%81%E5%AD%90/7163305
17,重大,重庆大学（Chongqing University，CQU），简称重大，学校是中华人民共和国教育部直属，由教育部、重庆市、国家国防科技工业局共建的全国重点大学；入选国家“世界一流大学建设高校（A类）”、“211工程”、”985工程”、“高等学校创新能力提升计划”、“高等学校学科创新引智计划”、“卓越工程师教育培养计划”、“卓越法律人才教育培养计划”、国家建设高水平大学公派研究生项目、中国政府奖学金来华留学生接收院校、教育部来华留学示范基地；为卓越大学联盟、中俄工科大学联盟、中波大学联盟、一带一路高校联盟、“长江—伏尔加河”高校联盟、CDIO工程教育联盟成员单位。[1-2]重庆大学创办于1929年；1942年，学校成为国立综合性大学；1952年调整为国家高教部直属、以工科为主的多科性大学；1960年被确定为全国重点大学；1996年成为国家“211工程”重点建设高校，1999年列入国家“985工程”重点建设高校；2000年5月，原重庆建筑大学、重庆建筑高等专科学校与重庆大学合并组建为新的重庆大学。截至2020年6月，学校有4个校区，占地面积5200余亩，校舍建筑面积近170万平方米；设有二级学院36个，开办本科专业99个；有一级学科博士学位授权点33个、二级学科博士学位授权点1个、一级学科硕士学位授权点53个、专业学位授权类别25个；有在校学生48000余人，其中硕士、博士研究生21000余人，本科生25000余人，外国留学生1900余人；有教职工5300余人，其中专任教师2900余人；图书馆累计藏书495.26万册。,https://baike.baidu.com/item/%E9%87%8D%E5%BA%86%E5%A4%A7%E5%AD%A6/189560
