page_id,keyword,annotation,url
3,气溶胶,气溶胶是指悬浮在气体介质中的固态或液态颗粒所组成的气态分散系统。这些固态或液态颗粒的密度与气体介质的密度可以相差微小，也可以悬殊很大。气溶胶颗粒大小通常在0.01~10μm之间[2-5]，但由于来源和形成原因范围很大，例如：花粉等植物气溶胶的粒径为5-100µm、木材及烟草燃烧产生的气溶胶，其粒径为0.01-1000µm等。颗粒的形状多种多样，可以是近乎球形，诸如液态雾珠，也可以是片状、针状及其它不规则形状。从流体力学角度，气溶胶实质上是气态为连续相，固、液态为分散相的多相流体。天空中的云、雾、尘埃，工业上和运输业上用的锅炉和各种发动机里未燃尽的燃料所形成的烟，采矿过程、采石场采掘与石料加工过程和粮食加工时所形成的固体粉尘，人造的掩蔽烟幕和毒烟等都是气溶胶的具体实例。,https://baike.baidu.com/item/%E6%B0%94%E6%BA%B6%E8%83%B6/1022460
6,自筹经费,根据国家有关规定，被录取的研究生有国家计划内、国家计划外之分。国家计划内包括非定向生和定向生。被国家计划内录取的学生在学习期间由国家拨款培养；国家计划外研究生又分为委培生和自筹经费生，委培生的培养经费由委培单位负担，自筹经费生的培养经费由自己负担。,https://baike.baidu.com/item/%E8%87%AA%E7%AD%B9%E7%BB%8F%E8%B4%B9/3848027
6,总额,总额，读音zǒng é，汉语词语，指总数。,https://baike.baidu.com/item/%E6%80%BB%E9%A2%9D/125628
5,技术类,专业技术类职位，指机关中从事专业技术工作，履行专业技术职责，为实施公共管理提供专业技术支持和技术手段保障的职位。,https://baike.baidu.com/item/%E4%B8%93%E4%B8%9A%E6%8A%80%E6%9C%AF%E7%B1%BB%E8%81%8C%E4%BD%8D/10094582
5,模型,通过主观意识借助实体或者虚拟表现构成客观阐述形态结构的一种表达目的的物件（物件并不等于物体，不局限于实体与虚拟、不限于平面与立体）。模型≠商品。任何物件定义为商品之前的研发过程中形态均为模型，当定义型号、规格并匹配相应价格的时候，模型将会以商品形式呈现出来。从广义上讲：如果一件事物能随着另一件事物的改变而改变，那么此事物就是另一件事物的模型。模型的作用就是表达不同概念的性质，一个概念可以使很多模型发生不同程度的改变，但只要很少模型就能表达出一个概念的性质，所以一个概念可以通过参考不同的模型从而改变性质的表达形式。当模型与事物发生联系时会产生一个具有性质的框架，此性质决定模型怎样随事物变化,https://baike.baidu.com/item/%E6%A8%A1%E5%9E%8B/1741186
4,监测,监测是一个汉语词语，读音为jiān cè，动词，释义为监视、检测。监，监视监听监督的意思。测，测试测量测验的意思。,https://baike.baidu.com/item/%E7%9B%91%E6%B5%8B/1024076
5,研究,研究，读音，汉语词语，意思是主动寻求根本性原因与更高可靠性依据，从而为提高事业或功利的可靠性和稳健性而做的工作。,https://baike.baidu.com/item/%E7%A0%94%E7%A9%B6/1883844
5,超高温,超高温为相对的 ，没有具体的数值标准，一般高温和超高温之间没有绝对的分界线。,https://baike.baidu.com/item/%E8%B6%85%E9%AB%98%E6%B8%A9/4905110
6,堆芯,,https://baike.baidu.com//item/%E5%A0%86%E8%8A%AF
4,实时,实时，【释义】[real time] 事物发生过程中的实际时间;在某事发生、发展过程中的同一时间：进行～报道|～传递股市行情|～测量，实时计算。,https://baike.baidu.com/item/%E5%AE%9E%E6%97%B6/1410621
4,风险,风险，就是生产目的与劳动成果之间的不确定性，大致有两层含义：一种定义强调了风险表现为收益不确定性；而另一种定义则强调风险表现为成本或代价的不确定性，若风险表现为收益或者代价的不确定性，说明风险产生的结果可能带来损失、获利或是无损失也无获利，属于广义风险，所有人行使所有权的活动，应被视为管理风险，金融风险属于此类。而风险表现为损失的不确定性，说明风险只能表现出损失，没有从风险中获利的可能性，属于狭义风险。风险和收益成正比，所以一般积极进取的投资者偏向于高风险是为了获得更高的利润，而稳健型的投资者则着重于安全性的考虑。,https://baike.baidu.com/item/%E9%A3%8E%E9%99%A9/2833020
3,安全壳,安全壳即核反应堆安全壳，或称反应堆安全壳、安全壳建筑或围阻体、安全厂房、安全掩体，是构成压水反应堆最外围的建筑，指包容了核蒸汽供应系统的大部分系统和设备的外壳建筑，用以容纳反应堆压力容器以及部分安全系统（包括一回路主系统和设备、停堆冷却系统），将其与外部环境完全隔离，期望能实现安全保护屏障的功能。,https://baike.baidu.com/item/%E5%AE%89%E5%85%A8%E5%A3%B3/4413420
6,经费,经费是指行政事业单位为完成工作任务和事业计划所需经常费用的统称。这些单位一般不直接从事物质资料生产，没有独立、稳定的收入来源。或者虽有一部分收入，但大都不足以抵补本身的业务支出，需要国家预算拨付经费。经费按用途可分为人员经费和公用经费。或分为维持经费和发展经费。前者指维持原有行政事业单位机构及规模的人员经费和公用经费; 后者是指在计划年度内，经批准新增加的机构、人员或其他事业项目所需的经费。原单位增加少量人员，不增设机构和不扩大事业项目的，属于自然增长，不作为发展经费。,https://baike.baidu.com/item/%E7%BB%8F%E8%B4%B9/1705671
2,经费,经费是指行政事业单位为完成工作任务和事业计划所需经常费用的统称。这些单位一般不直接从事物质资料生产，没有独立、稳定的收入来源。或者虽有一部分收入，但大都不足以抵补本身的业务支出，需要国家预算拨付经费。经费按用途可分为人员经费和公用经费。或分为维持经费和发展经费。前者指维持原有行政事业单位机构及规模的人员经费和公用经费; 后者是指在计划年度内，经批准新增加的机构、人员或其他事业项目所需的经费。原单位增加少量人员，不增设机构和不扩大事业项目的，属于自然增长，不作为发展经费。,https://baike.baidu.com/item/%E7%BB%8F%E8%B4%B9/1705671
2,研究,研究，读音，汉语词语，意思是主动寻求根本性原因与更高可靠性依据，从而为提高事业或功利的可靠性和稳健性而做的工作。,https://baike.baidu.com/item/%E7%A0%94%E7%A9%B6/1883844
3,去除,去除是一个汉语词汇，拼音是qùchú，意思是除掉，不要了。,https://baike.baidu.com/item/%E5%8E%BB%E9%99%A4/677144
1,重点,基本解释：1. [Stress;Main point;Focal point]∶重要的或主要的重点学校2. [Important point]∶指主要的或重要的一个或几个部分在一幅风景画中被用作重点的植物3. [Emphasize]∶着重地；有重点地重点培养,https://baike.baidu.com/item/%E9%87%8D%E7%82%B9/4660315
2,项目,项目是人们通过努力，运用新的方法，将人力的、材料的和财务的资源组织起来，在给定的费用和时间约束规范内，完成一项独立的、一次性的工作任务，以期达到由数量和质量指标所限定的目标。叶圣陶《倪焕之》二五：“教育这个项目当然是不容轻易忽略的。” 洪深 《戏剧导演的初步知识》上篇二：“它们的式样、大小、制造的材料、使用的方法等等，项目繁多。” 秦牧 《艺海拾贝·核心》：“生动的语言和丰富的词汇，看来该是技巧性很强的一个项目了。”项目参数包括项目范围、质量、成本、时间、资源。美国项目管理协会（project Management Institute，PMI)在其出版的《项目管理知识体系指南》（Project Management Body of Knowledge，PMBOK）中为项目所做的定义是：项目是为创造独特的产品、服务或成果而进行的临时性工作。以下活动都可以称为一个项目：1、开发一项新产品；2、计划举行一项大型活动（如策划组织婚礼、大型国际会议等）；3、策划一次自驾游旅游；4、ERP的咨询、开发、实施与培训。,https://baike.baidu.com/item/%E9%A1%B9%E7%9B%AE/477803
3,严重事故,根据生产安全事故（以下简称事故）造成的人员伤亡或者直接经济损失，事故一般分为以下等级：特别重大事故、重大事故、较大事故、一般事故。,https://baike.baidu.com/item/%E9%87%8D%E5%A4%A7%E5%AE%89%E5%85%A8%E4%BA%8B%E6%95%85/7029681
1,核能,核能（或称原子能）是通过核反应从原子核释放的能量，符合阿尔伯特·爱因斯坦的质能方程E=mc² ，其中E=能量，m=质量，c=光速。核能可通过三种核反应之一释放：1、核裂变，较重的原子核分裂释放结核能。2、核聚变，较轻的原子核聚合在一起释放结核能。3、核衰变，原子核自发衰变过程中释放能量。,https://baike.baidu.com/item/%E6%A0%B8%E8%83%BD/426514
