page_id,keyword,annotation,url
7,自润滑,自润滑是一种通过布孔开槽及固体润滑剂制成的滑动轴承产品。,https://baike.baidu.com/item/%E8%87%AA%E6%B6%A6%E6%BB%91/733401
6,铝合金,以铝为基添加一定量其他合金化元素的合金，是轻金属材料之一。,https://baike.baidu.com/item/%E9%93%9D%E5%90%88%E9%87%91/2218146
7,轴承,轴承（Bearing）是当代机械设备中一种重要零部件。它的主要功能是支撑机械旋转体，降低其运动过程中的摩擦系数（friction coefficient），并保证其回转精度（accuracy）。,https://baike.baidu.com/item/%E8%BD%B4%E6%89%BF/177492
7,复合材料,复合材料是人们运用先进的材料制备技术将不同性质的材料组分优化组合而成的新材料。一般定义的复合材料需满足以下条件:(i) 复合材料必须是人造的，是人们根据需要设计制造的材料;(ii) 复合材料必须由两种或两种以上化学、物理性质不同的材料组分，以所设计的形式、比例、分布组合而成，各组分之间有明显的界面存在;(iii)它具有结构可设计性，可进行复合结构设计;(iv) 复合材料不仅保持各组分材料性能的优点，而且通过各组分性能的互补和关联可以获得单一组成材料所不能达到的综合性能。复合材料的基体材料分为金属和非金属两大类。金属基体常用的有铝、镁、铜、钛及其合金。非金属基体主要有合成树脂、橡胶、陶瓷、石墨、碳等。增强材料主要有玻璃纤维、碳纤维、硼纤维、芳纶纤维、碳化硅纤维、石棉纤维、晶须、金属。,https://baike.baidu.com/item/%E5%A4%8D%E5%90%88%E6%9D%90%E6%96%99/837682
6,全等轴晶,等轴晶，晶粒在各方向上尺寸相差较小的晶粒叫等轴晶。,https://baike.baidu.com/item/%E7%AD%89%E8%BD%B4%E6%99%B6/7581552
5,聚酯,聚酯，由多元醇和多元酸缩聚而得的聚合物总称。主要指聚对苯二甲酸乙二酯(PET)，习惯上也包括聚对苯二甲酸丁二酯(PBT)和聚芳酯等线型热塑性树脂。是一类性能优异、用途广泛的工程塑料。也可制成聚酯纤维和聚酯薄膜。聚酯包括聚酯树脂和聚酯弹性体。聚酯树脂又包括聚对苯二甲酸乙二酯(PET)、聚对苯二甲酸丁二酯(PBT))和聚芳酯(PAR)等。聚酯弹性体(TPEE)一般由对苯二甲酸二甲酯、1,4-丁二醇和聚丁醇聚合而成，链段包括硬段部分和软段部分，为热塑性弹性体。,https://baike.baidu.com/item/%E8%81%9A%E9%85%AF/3588553
5,原液,原液一词最早来源工业制造中，用于描述某种工业原料浓缩液体的母体。在酿酒业中也有应用，意指酿酒的原浆，未加勾兑的酒。被引入化妆品行业后，原液专门指代一种护肤品类。化妆品行业中的原液，指的是添加相对单一的高浓度护肤成分，能够针对各种肌肤需要，给肌肤更直接、更安全、更强效的保养，让肌肤在短时间内恢复最佳状态的美容产品。,https://baike.baidu.com/item/%E5%8E%9F%E6%B6%B2/725946
6,MPa,,https://baike.baidu.com//item/MPA/20230480
4,TFT,TFT（Thin Film Transistor）是薄膜晶体管的缩写。TFT式显示屏是各类笔记本电脑和台式机上的主流显示设备，该类显示屏上的每个液晶像素点都是由集成在像素点后面的薄膜晶体管来驱动，因此TFT式显示屏也是一类有源矩阵液晶显示设备。是最好的LCD彩色显示器之一，TFT式显示器具有高响应度、高亮度、高对比度等优点，其显示效果接近CRT式显示器。同时，TFT式屏幕也普遍应用于中高端彩屏手机中，分65536 色、16 万色，1600万色三种，其显示效果非常出色。TFT是指液晶显示器上的每一液晶像素点都是由集成在其后的薄膜晶体管来驱动。从而可以做到高速度高亮度高对比度显示屏幕信息，TFT-LCD（薄膜晶体管液晶显示器）是多数液晶显示器的一种。,https://baike.baidu.com/item/TFT/189410
4,弹性体,弹性体泛指在除去外力后能恢复原状的材料，然而具有弹性的材料并不一定是弹性体。弹性体只是在弱应力下形变显著，应力松弛后能迅速恢复到接近原有状态和尺寸的高分子材料。热塑性弹性体是弹性体一类重要组成，两种概念不可混为一谈。,https://baike.baidu.com/item/%E5%BC%B9%E6%80%A7%E4%BD%93/3536566
3,Ni,National Instruments （美国国家仪器有限公司，简称NI）创立于1976年，总部设于德克萨斯州首府奥斯汀，是一家测量行业的上市公司(纳斯达克挂牌代号 NATI) ，在世界各地设有50多个分公司和办事处，和众多系统联盟成员。,https://baike.baidu.com/item/NI/4037934
3,Si,.SI域名后缀是斯洛文尼亚的国家域名(ccTLD）。斯洛文尼亚（斯洛文尼亚语：Slovenija）是一个位于中欧南部，比邻阿尔卑斯山的小国。,https://baike.baidu.com/item/.si/4960391
5,dtex,特克斯tex、分特克斯dtex、旦尼尔D都是线密度单位，定义是比值，纺织业常用。,https://baike.baidu.com/item/dtex/9763373
2,指南,指南，汉语词语，拼音是zhǐ nán，意思是指导，辨别方向的依据。,https://baike.baidu.com/item/%E6%8C%87%E5%8D%97/10153109
2,项目,项目是人们通过努力，运用新的方法，将人力的、材料的和财务的资源组织起来，在给定的费用和时间约束规范内，完成一项独立的、一次性的工作任务，以期达到由数量和质量指标所限定的目标。叶圣陶《倪焕之》二五：“教育这个项目当然是不容轻易忽略的。” 洪深 《戏剧导演的初步知识》上篇二：“它们的式样、大小、制造的材料、使用的方法等等，项目繁多。” 秦牧 《艺海拾贝·核心》：“生动的语言和丰富的词汇，看来该是技巧性很强的一个项目了。”项目参数包括项目范围、质量、成本、时间、资源。美国项目管理协会（project Management Institute，PMI)在其出版的《项目管理知识体系指南》（Project Management Body of Knowledge，PMBOK）中为项目所做的定义是：项目是为创造独特的产品、服务或成果而进行的临时性工作。以下活动都可以称为一个项目：1、开发一项新产品；2、计划举行一项大型活动（如策划组织婚礼、大型国际会议等）；3、策划一次自驾游旅游；4、ERP的咨询、开发、实施与培训。,https://baike.baidu.com/item/%E9%A1%B9%E7%9B%AE/477803
3,Cu,CU是一个网络用语，意思是see you（再见）。在英语中，“C”音同“see”，“U”音同“you”。在现今的快节奏时代，人们常常会因为怕麻烦而简写一些单词，CU也就从此而来。,https://baike.baidu.com/item/CU/15286245
2,经费,经费是指行政事业单位为完成工作任务和事业计划所需经常费用的统称。这些单位一般不直接从事物质资料生产，没有独立、稳定的收入来源。或者虽有一部分收入，但大都不足以抵补本身的业务支出，需要国家预算拨付经费。经费按用途可分为人员经费和公用经费。或分为维持经费和发展经费。前者指维持原有行政事业单位机构及规模的人员经费和公用经费; 后者是指在计划年度内，经批准新增加的机构、人员或其他事业项目所需的经费。原单位增加少量人员，不增设机构和不扩大事业项目的，属于自然增长，不作为发展经费。,https://baike.baidu.com/item/%E7%BB%8F%E8%B4%B9/1705671
1,材料,,https://baike.baidu.com/item/%E6%9D%90%E6%96%99
1,专项,特定的某个项目。例句：～训练。进行～检查。～资金。[1-2],https://baike.baidu.com/item/%E4%B8%93%E9%A1%B9/10927791
1,重点,基本解释：1. [Stress;Main point;Focal point]∶重要的或主要的重点学校2. [Important point]∶指主要的或重要的一个或几个部分在一幅风景画中被用作重点的植物3. [Emphasize]∶着重地；有重点地重点培养,https://baike.baidu.com/item/%E9%87%8D%E7%82%B9/4660315
4,LCD,LCD （ Liquid Crystal Display 的简称）液晶显示器。LCD 的构造是在两片平行的玻璃基板当中放置液晶盒，下基板玻璃上设置TFT（薄膜晶体管），上基板玻璃上设置彩色滤光片，通过TFT上的信号与电压改变来控制液晶分子的转动方向，从而达到控制每个像素点偏振光出射与否而达到显示目的。LCD已经替代CRT成为主流，价格也已经下降了很多，并已充分普及。日前，根据CINNO Research调研机构数据显示，2020年有望成为LCD屏幕屏下指纹识别手机量产上市的元年。,https://baike.baidu.com/item/LCD/361823
