page_id,keyword,annotation,url
20,生物,《生物》是由人民教育出版社出版的教材，共四册，供七年级和八年级学生使用。,https://baike.baidu.com/item/%E7%94%9F%E7%89%A9/14895952
20,活性,活性：原来是从溶液离子的活动度和酶的活性开始，上至高级生命系统和生理机构的功能活动都适用的一种极其概括的非专门术语。活性是指具有生命力 能够顽强活跃下去的一种活动性质。,https://baike.baidu.com/item/%E6%B4%BB%E6%80%A7/7208823
18,合成,合成，是指：①由部分组成整体：～词丨合力是分力～的。②通过化学反应使成分比较简单的物质变成成分复杂的物质。,https://baike.baidu.com/item/%E5%90%88%E6%88%90/1013900
19,移液,用来准确移取一定体积的溶液的量器。移液管是一种量出式仪器，只用来测量它所放出溶液的体积。它是一根中间有一膨大部分的细长玻璃管。其下端为尖嘴状，上端管颈处刻有一标线，是所取的准确体积的标志。,https://baike.baidu.com/item/%E7%A7%BB%E6%B6%B2%E7%AE%A1/1925280
18,造影剂,造影剂（又称对比剂，contrast media）是为增强影像观察效果而注入（或服用）到人体组织或器官的化学制品。这些制品的密度高于或低于周围组织，形成的对比用某些器械显示图像。如X线观察常用的碘制剂、硫酸钡等。,https://baike.baidu.com/item/%E9%80%A0%E5%BD%B1%E5%89%82/153924
19,合成,合成，是指：①由部分组成整体：～词丨合力是分力～的。②通过化学反应使成分比较简单的物质变成成分复杂的物质。,https://baike.baidu.com/item/%E5%90%88%E6%88%90/1013900
17,基因,基因（遗传因子）是产生一条多肽链或功能RNA所需的全部核苷酸序列。基因支持着生命的基本构造和性能。储存着生命的种族、血型、孕育、生长、凋亡等过程的全部信息。环境和遗传的互相依赖，演绎着生命的繁衍、细胞分裂和蛋白质合成等重要生理过程。生物体的生、长、衰、病、老、死等一切生命现象都与基因有关。它也是决定生命健康的内在因素。因此，基因具有双重属性：物质性（存在方式）和信息性（根本属性）。带有遗传信息的DNA片段称为基因，其他的DNA序列，有些直接以自身构造发挥作用，有些则参与调控遗传信息的表现。组成简单生命最少要265到350个基因。（这涉及基因工作组的力量，人类的基因工作组与果蝇的基本相似）,https://baike.baidu.com/item/%E5%9F%BA%E5%9B%A0/227875
16,真核,真核生物eukaryotes 由真核细胞构成的生物。包括原生生物界、真菌界、植物界和动物界。真核生物是所有单细胞或多细胞的、其细胞具有细胞核的生物的总称，它包括所有动物、植物、真菌和其他具有由膜包裹着的复杂亚细胞结构的生物。 真核生物与原核生物的根本性区别是前者的细胞内有以核膜为边界的细胞核，因此以真核来命名这一类细胞。许多真核细胞中还含有其它细胞器，如线粒体、叶绿体、高尔基体等。,https://baike.baidu.com/item/%E7%9C%9F%E6%A0%B8%E7%94%9F%E7%89%A9/1398395
17,肿瘤,肿瘤（tumour）是指机体在各种致瘤因子作用下，局部组织细胞增生所形成的新生物（neogrowth），因为这种新生物多呈占位性块状突起，也称赘生物（neoplasm）。研究发现，肿瘤细胞会出现不同于正常细胞的代谢变化，同时肿瘤细胞自身可通过糖酵解和氧化磷酸化（OXPHOS）之间的转换来适应代谢环境的改变。2019年，Cancer Cell最新刊登了一篇文章，研究人员发现在禁食状态下使用二甲双胍可以显著抑制肿瘤生长，并提出PP2A-GSK3β-MCL-1通路可能是肿瘤治疗的新靶点。,https://baike.baidu.com/item/%E8%82%BF%E7%98%A4/15525
16,DNA,DNA即脱氧核糖核酸（英文Deoxyribonucleic acid的缩写）,是染色体主要组成成分，同时也是主要遗传物质。,https://baike.baidu.com/item/DNA%E5%88%86%E5%AD%90/925879
