page_id,keyword,annotation,url
17,牧场,牧场是一个多义词，常见于词语解析，分为两种基本的含义：一种是指适于放牧的草场；另一种是指经营畜牧业的生产单位。,https://baike.baidu.com/item/%E7%89%A7%E5%9C%BA/81542
16,牧场,牧场是一个多义词，常见于词语解析，分为两种基本的含义：一种是指适于放牧的草场；另一种是指经营畜牧业的生产单位。,https://baike.baidu.com/item/%E7%89%A7%E5%9C%BA/81542
17,风电,风电技术就是利用风能发电的技术，主要靠制造风能发电机为主。因为风能是可再生环保能源，所以开发风电技术是当今诸多国家的发展主要战略。,https://baike.baidu.com/item/%E9%A3%8E%E7%94%B5%E6%8A%80%E6%9C%AF/6515844
14,加工,加工是通过一定工序和方式将原材料、半成品转化为目标需求的过程的总称。,https://baike.baidu.com/item/%E5%8A%A0%E5%B7%A5/7353178
13,保鲜,保鲜 ，读音bǎo xiān ，含义为保持蔬菜、水果、肉类等易腐食物的新鲜，常用词有保鲜纸、食品保鲜、改进水产品保鲜技术。,https://baike.baidu.com/item/%E4%BF%9D%E9%B2%9C/10898653
16,海洋,海洋（sea），地理名词，是地球上最广阔的水体的总称。地球表面被各大陆地分隔为彼此相通的广大水域称为海洋，海洋的中心部分称作洋，边缘部分称作海，彼此沟通组成统一的水体。[1-2]地球上海洋总面积约为3.6亿平方公里，约占地球表面积的71%，平均水深约3795米。海洋中含有十三亿五千多万立方千米的水，约占地球上总水量的97%，而可用于人类饮用只占2%。地球四个主要的大洋为太平洋、大西洋、印度洋、北冰洋，大部分以陆地和海底地形线为界。目前为止，人类已探索的海底只有5%，还有95%大海的海底是未知的。,https://baike.baidu.com/item/%E6%B5%B7%E6%B4%8B/523
15,加工,加工是通过一定工序和方式将原材料、半成品转化为目标需求的过程的总称。,https://baike.baidu.com/item/%E5%8A%A0%E5%B7%A5/7353178
11,海洋,海洋（sea），地理名词，是地球上最广阔的水体的总称。地球表面被各大陆地分隔为彼此相通的广大水域称为海洋，海洋的中心部分称作洋，边缘部分称作海，彼此沟通组成统一的水体。[1-2]地球上海洋总面积约为3.6亿平方公里，约占地球表面积的71%，平均水深约3795米。海洋中含有十三亿五千多万立方千米的水，约占地球上总水量的97%，而可用于人类饮用只占2%。地球四个主要的大洋为太平洋、大西洋、印度洋、北冰洋，大部分以陆地和海底地形线为界。目前为止，人类已探索的海底只有5%，还有95%大海的海底是未知的。,https://baike.baidu.com/item/%E6%B5%B7%E6%B4%8B/523
11,牧场,牧场是一个多义词，常见于词语解析，分为两种基本的含义：一种是指适于放牧的草场；另一种是指经营畜牧业的生产单位。,https://baike.baidu.com/item/%E7%89%A7%E5%9C%BA/81542
15,水产品,水产品是海洋和淡水渔业生产的水产动植物产品及其加工产品的总称。包括：(1) 捕捞和养殖生产的鱼、虾、蟹、贝、藻类、海兽等鲜活品；(2)经过冷冻、腌制、干制、熏制、熟制、罐装和综合利用的加工产品。水产食品营养丰富，风味各异。低值鱼类和加工废弃物等制成的鱼粉、浓鱼汁等是重要的蛋白质饲料。利用水产动植物制成的蛋白质水鲜产品，如油脂、胶类、维生素、激素和其他制品，是有多种用途的化工、医药用品。,https://baike.baidu.com/item/%E6%B0%B4%E4%BA%A7%E5%93%81/6510693
13,保活,,https://baike.baidu.com//item/%E4%BF%9D%E6%B4%BB
