page_id,keyword,annotation,url
3,专项,特定的某个项目。例句：～训练。进行～检查。～资金。[1-2],https://baike.baidu.com/item/%E4%B8%93%E9%A1%B9/10927791
3,符合国家,国家承认(recognition of state)是指既存国家对新产生的国家给予的认可并接受由此而产生的法律后果，与新国家建立关系的行为。[1-2]新国家获得既存国家的承认就是它与承认国家进行交往的开端。,https://baike.baidu.com/item/%E5%9B%BD%E5%AE%B6%E6%89%BF%E8%AE%A4/8539350
3,责任人,直接责任 direct liability 间接责任的对称。民事主体对自己不法行为后果依法应当直接承担的民事责任。自近代始，英美法和大陆法民法均奉行以下基本规则：任何有行为能力的人均应直接承担自己的行为后果；谁的行为造成不法侵害，就由谁直接承担民事责任。学理上称为“自己责任原则”。 因此负直接责任的人，也称直接责任人。,https://baike.baidu.com/item/%E7%9B%B4%E6%8E%A5%E8%B4%A3%E4%BB%BB%E4%BA%BA/9550097
3,微生物,微生物包括：细菌、病毒、真菌以及一些小型的原生生物、显微藻类等在内的一大类生物群体，它个体微小，与人类关系密切。涵盖了有益跟有害的众多种类，广泛涉及食品、医药、工农业、环保、体育等诸多领域。在我国教科书中，将微生物划分为以下8大类：细菌、病毒、真菌、放线菌、立克次氏体、支原体、衣原体、螺旋体。有些微生物是肉眼可以看见的，像属于真菌的蘑菇、灵芝、香菇等。还有微生物是一类由核酸和蛋白质等少数几种成分组成的“非细胞生物”,https://baike.baidu.com/item/%E5%BE%AE%E7%94%9F%E7%89%A9/147527
3,病原,病原，指病因。引起疾病的根源。,https://baike.baidu.com/item/%E7%97%85%E5%8E%9F/307416
2,不得,不得，读音为bù dé，汉语词语，意思是不能得到；得不到。,https://baike.baidu.com/item/%E4%B8%8D%E5%BE%97/5089092
2,任务,任务，汉语词汇，通常指交派的工作，担负的责任。在现代计算机中，“任务”也是其基本工作单位的专业术语。在众多游戏中，有目的的指引玩家进行游戏活动，并给予玩家一定奖励的手段，即为游戏任务。,https://baike.baidu.com/item/%E4%BB%BB%E5%8A%A1/33127
2,重点,基本解释：1. [Stress;Main point;Focal point]∶重要的或主要的重点学校2. [Important point]∶指主要的或重要的一个或几个部分在一幅风景画中被用作重点的植物3. [Emphasize]∶着重地；有重点地重点培养,https://baike.baidu.com/item/%E9%87%8D%E7%82%B9/4660315
3,高等级,,https://baike.baidu.com//item/%E9%AB%98%E7%AD%89%E7%BA%A7
3,田金强,,https://baike.baidu.com//item/%E7%94%B0%E9%87%91%E5%BC%BA
