page_id,keyword,annotation,url
7,综合,综合，本词汇的基本原意来源于纺织技术：“综”是织机上使经线上下提放以接受纬线的机构。一综可提数千根经丝，故含有“总聚”、“集合”之意。“综合”就是将几千根不同的经线通过“综丝”把它们合并起来便于操作。因此，“综合”是在头脑中把事物或对象的各个部分与属性联合为一个整体。,https://baike.baidu.com/item/%E7%BB%BC%E5%90%88/3374369
7,司法,1.古代官名、星官名2.现指检察机关或法院依照法律对民事、刑事案件进行侦查、审判。3.司法（Justice），又称法的适用，通常是指国家司法机关及其司法人员依照法定职权和法定程序，具体运用法律处理案件的专门活动。,https://baike.baidu.com/item/%E5%8F%B8%E6%B3%95/415263
6,构建,构建，汉语词汇。注音：gòu jiàn，建立（多用于抽象事物）：～新的学科体系。,https://baike.baidu.com/item/%E6%9E%84%E5%BB%BA/8601024
6,司法,1.古代官名、星官名2.现指检察机关或法院依照法律对民事、刑事案件进行侦查、审判。3.司法（Justice），又称法的适用，通常是指国家司法机关及其司法人员依照法定职权和法定程序，具体运用法律处理案件的专门活动。,https://baike.baidu.com/item/%E5%8F%B8%E6%B3%95/415263
6,协同,协同一词来自古希腊语, 或曰协和、同步、和谐、协调、协作、合作, 是协同(Synergetics)的基本范畴。协同的定义, 《说文》提到“协, 众之同和也。同, 合会也”。所谓协同，就是指协调两个或者两个以上的不同资源或者个体，协同一致地完成某一目标的过程或能力。而所有有助于协同的软件都可以称作是协同软件。协同，按照康德关于范畴表中关于关系范畴的论述，协同至主动与受动之间的交互作用。,https://baike.baidu.com/item/%E5%8D%8F%E5%90%8C/5865610
5,准确率,准确率是指对一个事物表达或描述的正确程度，用来反映对事物的正确性解答。,https://baike.baidu.com/item/%E5%87%86%E7%A1%AE%E7%8E%87/5165407
5,情节,情节是一个汉语词汇，拼音是qíng jié，指事情的表现和经过。有时也引申为情义节操等。语出晋殷仲文《解尚书表》：“名义以之俱沦，情节自兹兼挠。”,https://baike.baidu.com/item/%E6%83%85%E8%8A%82/85220
7,舆情,舆情是“舆论情况”的简称，是指在一定的社会空间内，围绕中介性社会事件的发生、发展和变化，作为主体的民众对作为客体的社会管理者、企业、个人及其他各类组织及其政治、社会、道德等方面的取向产生和持有的社会态度。它是较多群众关于社会中各种现象、问题所表达的信念、态度、意见和情绪等等表现的总和。,https://baike.baidu.com/item/%E8%88%86%E6%83%85/684767
4,司法,1.古代官名、星官名2.现指检察机关或法院依照法律对民事、刑事案件进行侦查、审判。3.司法（Justice），又称法的适用，通常是指国家司法机关及其司法人员依照法定职权和法定程序，具体运用法律处理案件的专门活动。,https://baike.baidu.com/item/%E5%8F%B8%E6%B3%95/415263
4,构建,构建，汉语词汇。注音：gòu jiàn，建立（多用于抽象事物）：～新的学科体系。,https://baike.baidu.com/item/%E6%9E%84%E5%BB%BA/8601024
4,知识,知识是符合文明方向的，人类对物质世界以及精神世界探索的结果总和。知识，至今也没有一个统一而明确的界定。但知识的价值判断标准在于实用性，以能否让人类创造新物质，得到力量和权力等等为考量。有一个经典的定义来自于柏拉图：一条陈述能称得上是知识必须满足三个条件，它一定是被验证过的，正确的，而且是被人们相信的，这也是科学与非科学的区分标准。由此看来，知识属于文化，而文化是感性与知识上的升华，这就是知识与文化之间的关系。有关于知识的悖论是：知识如果不能改变行为，就没有用处；但是知识一旦改变了行为，知识本身就立刻失去意义——《未来简史》。,https://baike.baidu.com/item/%E7%9F%A5%E8%AF%86/74245
5,司法,1.古代官名、星官名2.现指检察机关或法院依照法律对民事、刑事案件进行侦查、审判。3.司法（Justice），又称法的适用，通常是指国家司法机关及其司法人员依照法定职权和法定程序，具体运用法律处理案件的专门活动。,https://baike.baidu.com/item/%E5%8F%B8%E6%B3%95/415263
2,申报,《申报》原名《申江新报》，1872年4月30日（清同治十一年三月二十三日）在上海创刊，1949年5月27日停刊。是近代中国发行时间最久、具有广泛社会影响的报纸，是中国现代报纸开端的标志。它前后总计经营了77年，历经晚清、北洋政府、国民政府三个时代，共出版27000余期，出版时间之长，影响之广泛，同时期其它报纸难以企及，在中国新闻史和社会史研究上都占有重要地位，被人称为研究中国近现代史的“百科全书”。,https://baike.baidu.com/item/%E7%94%B3%E6%8A%A5/3577852
2,司法,1.古代官名、星官名2.现指检察机关或法院依照法律对民事、刑事案件进行侦查、审判。3.司法（Justice），又称法的适用，通常是指国家司法机关及其司法人员依照法定职权和法定程序，具体运用法律处理案件的专门活动。,https://baike.baidu.com/item/%E5%8F%B8%E6%B3%95/415263
1,技术,技术是解决问题的方法及方法原理，是指人们利用现有事物形成新事物，或是改变现有事物功能、性能的方法。技术应具备明确的使用范围和被其它人认知的形式和载体，如原材料（输入）、产成品（输出）、工艺、工具、设备、设施、标准、规范、指标、计量方法等。技术与科学相比，技术更强调实用，而科学更强调研究；技术与艺术相比，技术更强调功能，艺术更强调表达。,https://baike.baidu.com/item/%E6%8A%80%E6%9C%AF/832247
1,公正司法,司法公正，是指司法权运作过程中各种因素达到的理想状态，是现代社会政治民主、进步的重要标志，也是现代国家经济发展和社会稳定的重要保证。司法公正它是法律的自身要求，也是依法治国的要求，其基本内涵是要在司法活动的过程和结果中体现公平、平等、正当、正义的精神。其主体是以法官为主的司法人员。司法公正的对象包括各类案件的当事人及其他诉讼参与人。司法公正包括实体公正和程序公正，前者是司法公正的根本目标，后者是司法公正的重要保障。整体公正与个体公正的关系反映了司法公正的价值定位和取向。,https://baike.baidu.com/item/%E5%8F%B8%E6%B3%95%E5%85%AC%E6%AD%A3/7724725
2,项目,项目是人们通过努力，运用新的方法，将人力的、材料的和财务的资源组织起来，在给定的费用和时间约束规范内，完成一项独立的、一次性的工作任务，以期达到由数量和质量指标所限定的目标。叶圣陶《倪焕之》二五：“教育这个项目当然是不容轻易忽略的。” 洪深 《戏剧导演的初步知识》上篇二：“它们的式样、大小、制造的材料、使用的方法等等，项目繁多。” 秦牧 《艺海拾贝·核心》：“生动的语言和丰富的词汇，看来该是技巧性很强的一个项目了。”项目参数包括项目范围、质量、成本、时间、资源。美国项目管理协会（project Management Institute，PMI)在其出版的《项目管理知识体系指南》（Project Management Body of Knowledge，PMBOK）中为项目所做的定义是：项目是为创造独特的产品、服务或成果而进行的临时性工作。以下活动都可以称为一个项目：1、开发一项新产品；2、计划举行一项大型活动（如策划组织婚礼、大型国际会议等）；3、策划一次自驾游旅游；4、ERP的咨询、开发、实施与培训。,https://baike.baidu.com/item/%E9%A1%B9%E7%9B%AE/477803
3,诉辩,诉辩，汉语词语，拼音是sù biàn，意思是申诉并辩白。,https://baike.baidu.com/item/%E8%AF%89%E8%BE%A9/2142145
1,司法,1.古代官名、星官名2.现指检察机关或法院依照法律对民事、刑事案件进行侦查、审判。3.司法（Justice），又称法的适用，通常是指国家司法机关及其司法人员依照法定职权和法定程序，具体运用法律处理案件的专门活动。,https://baike.baidu.com/item/%E5%8F%B8%E6%B3%95/415263
3,自动,自动，指不用人力而用机械、电气等装置直接操作的；或自己主动。,https://baike.baidu.com/item/%E8%87%AA%E5%8A%A8/9374325
3,低于,《低于零度》是由Justin Thomas Ostensen执导的加拿大惊悚片，爱德华·福隆、迈克尔·贝里曼等参加演出，于2011年上映。该片讲述了创作进入瓶颈的作家杰克，在经纪人的安排下来到了冰天雪地的山区。将所处的环境和遇到的人和事编入故事中，却发生意想不到的事情的故事。,https://baike.baidu.com/item/%E4%BD%8E%E4%BA%8E%E9%9B%B6%E5%BA%A6/13834751
