page_id,keyword,annotation,url
31,模型,通过主观意识借助实体或者虚拟表现构成客观阐述形态结构的一种表达目的的物件（物件并不等于物体，不局限于实体与虚拟、不限于平面与立体）。模型≠商品。任何物件定义为商品之前的研发过程中形态均为模型，当定义型号、规格并匹配相应价格的时候，模型将会以商品形式呈现出来。从广义上讲：如果一件事物能随着另一件事物的改变而改变，那么此事物就是另一件事物的模型。模型的作用就是表达不同概念的性质，一个概念可以使很多模型发生不同程度的改变，但只要很少模型就能表达出一个概念的性质，所以一个概念可以通过参考不同的模型从而改变性质的表达形式。当模型与事物发生联系时会产生一个具有性质的框架，此性质决定模型怎样随事物变化,https://baike.baidu.com/item/%E6%A8%A1%E5%9E%8B/1741186
33,颠覆性,颠覆性创新理论是由Innosight公司的创始人，哈佛大学商学院的商业管理教授，创新大师——克莱顿·克里斯坦森(Clayton Christensen)Christensen在哈佛所做的研究工作而总结提出的理论。,https://baike.baidu.com/item/%E9%A2%A0%E8%A6%86%E6%80%A7%E5%88%9B%E6%96%B0%E7%90%86%E8%AE%BA/4281218
32,颠覆性,颠覆性创新理论是由Innosight公司的创始人，哈佛大学商学院的商业管理教授，创新大师——克莱顿·克里斯坦森(Clayton Christensen)Christensen在哈佛所做的研究工作而总结提出的理论。,https://baike.baidu.com/item/%E9%A2%A0%E8%A6%86%E6%80%A7%E5%88%9B%E6%96%B0%E7%90%86%E8%AE%BA/4281218
29,测序,测序指的是对基因的序列进行判断的一种方法。,https://baike.baidu.com/item/%E6%B5%8B%E5%BA%8F/8198232
30,家犬,家犬，通常指犬，俗称狗。一种常见的犬科哺乳动物，是灰狼的亚种。狗是一种不晚于14000年前——甚至可能在15000年前，就已经被人类驯化的家畜。今天，家犬的种类已达数百种，身高从只有十几厘米的吉娃娃到近一米高的爱尔兰猎狼犬，颜色也从白色到黑、灰或棕都有。家犬是一种高度社会化的集体猎食动物。,https://baike.baidu.com/item/%E5%AE%B6%E7%8A%AC/9302960
28,纳米,纳米（符号:nm），即为毫微米，是长度的度量单位。1纳米=10的负9次方米。1纳米相当于4倍原子大小，比单个细菌的长度还要小的多。,https://baike.baidu.com/item/%E7%BA%B3%E7%B1%B3/410859
27,肿瘤,肿瘤（tumour）是指机体在各种致瘤因子作用下，局部组织细胞增生所形成的新生物（neogrowth），因为这种新生物多呈占位性块状突起，也称赘生物（neoplasm）。研究发现，肿瘤细胞会出现不同于正常细胞的代谢变化，同时肿瘤细胞自身可通过糖酵解和氧化磷酸化（OXPHOS）之间的转换来适应代谢环境的改变。2019年，Cancer Cell最新刊登了一篇文章，研究人员发现在禁食状态下使用二甲双胍可以显著抑制肿瘤生长，并提出PP2A-GSK3β-MCL-1通路可能是肿瘤治疗的新靶点。,https://baike.baidu.com/item/%E8%82%BF%E7%98%A4/15525
26,降解,降解，一般指有机化合物分子中的碳原子数目减少，分子量降低。对于降解，不同的学者持有有不同的观点，有一种观点认为降解物最终要被分解成二氧化碳和水才能称为降解。,https://baike.baidu.com/item/%E9%99%8D%E8%A7%A3/2752067
22,升力,升力，就是向上的力。 使你上升的力。 有很多种了。一般都是说在空气中。 也就是向上的力大于向下的力，其合力可以使物体上升。 这个力就是升力。升力的成因较复杂，因为要考虑实际流体的粘性、可压缩性等诸多条件。大多用的是库塔儒可夫斯基定理，它是工程师计算飞机升力最精确的方法。具体内容就是由绕翼环流导致升力，产生了上下压力差，这个压力差就是升力 (Y)，升力和向后的诱导阻力（d）合成为空气动力（R）。流过各个剖面升力总合就是机翼的升力。升力维持飞机在空中飞行。,https://baike.baidu.com/item/%E5%8D%87%E5%8A%9B/5747784
25,纳米,纳米（符号:nm），即为毫微米，是长度的度量单位。1纳米=10的负9次方米。1纳米相当于4倍原子大小，比单个细菌的长度还要小的多。,https://baike.baidu.com/item/%E7%BA%B3%E7%B1%B3/410859
