page_id,keyword,annotation,url
24,再生能源,能源可以进一步分为再生能源和非再生能源两大类型。再生能源包括太阳能、水能、风能、生物质能、波浪能、潮汐能、海洋温差能、地热能等。它们在自然界可以循环再生。是取之不尽，用之不竭的能源，不需要人力参与便会自动再生，是相对于会穷尽的非再生能源的一种能源。,https://baike.baidu.com/item/%E5%86%8D%E7%94%9F%E8%83%BD%E6%BA%90/5898604
22,电堆,伏打电堆是1800年3月20日意大利教授伏打发明了世界上第一个发电器，也就是电池组，伏打电堆开创了电学发展的新时代。伏打电堆是由多层银和锌叠合而成，其间隔有浸渍水的物质，亦称伏打电池。这是最早的化学电源，为电 学研究提供了稳定的容量较大的电源，成为电磁学发展的基础。电压单位伏特即是以其名命名的。,https://baike.baidu.com/item/%E4%BC%8F%E6%89%93%E7%94%B5%E5%A0%86/9800103
21,电堆,伏打电堆是1800年3月20日意大利教授伏打发明了世界上第一个发电器，也就是电池组，伏打电堆开创了电学发展的新时代。伏打电堆是由多层银和锌叠合而成，其间隔有浸渍水的物质，亦称伏打电池。这是最早的化学电源，为电 学研究提供了稳定的容量较大的电源，成为电磁学发展的基础。电压单位伏特即是以其名命名的。,https://baike.baidu.com/item/%E4%BC%8F%E6%89%93%E7%94%B5%E5%A0%86/9800103
26,制氢,利用太阳能生产氢气的系统,有光分解制氢，太阳能发电和电解水组合制氢系统。太阳能制氢是近30～40年才发展起来的。到目前为止，对太阳能制氢的研究主要集中在如下几种技术：热化学法制氢、光电化学分解法制氢、光催化法制氢、人工光合作用制氢和生物制氢。,https://baike.baidu.com/item/%E5%A4%AA%E9%98%B3%E8%83%BD%E5%88%B6%E6%B0%A2/5810962
23,测试,测试是具有试验性质的测量，即测量和试验的综合。而测试手段就是仪器仪表。由于测试和测量密切相关，在实际使用中往往并不严格区分测试与测量。测试的基本任务就是获取有用的信息，通过借助专门的仪器、设备，设计合理的实验方法以及进行必要的信号分析与数据处理，从而获得与被测对象有关的信息。测试最终的结果是将显示的信息输入到信息处理库中，进行控制。,https://baike.baidu.com/item/测试

20,燃料电池,燃料电池是一种把燃料所具有的化学能直接转换成电能的化学装置，又称电化学发电器。它是继水力发电、热能发电和原子能发电之后的第四种发电技术。由于燃料电池是通过电化学反应把燃料的化学能中的吉布斯自由能部分转换成电能，不受卡诺循环效应的限制，因此效率高; 另外，燃料电池用燃料和氧气作为原料；同时没有机械传动部件，故没有噪声污染，排放出的有害气体极少。由此可见，从节约能源和保护生态环境的角度来看，燃料电池是最有发展前途的发电技术。,https://baike.baidu.com/item/%E7%87%83%E6%96%99%E7%94%B5%E6%B1%A0/111249
19,电池,化学能转换成电能的装置叫化学电池，一般简称为电池。放电后，能够用充电的方式使内部活性物质再生——把电能储存为化学能；需要放电时再次把化学能转换为电能。将这类电池称为蓄电池(StorageBattery)，也称二次电池。所谓蓄电池即是贮存化学能量，于必要时放出电能的一种电气化学设备。,https://baike.baidu.com/item/%E8%93%84%E7%94%B5%E6%B1%A0/990661
18,储氢,储氢材料(hydrogen storage material)一类能可逆地吸收和释放氢气的材料。最早发现的是金属钯，1体积钯能溶解几百体积的氢气，但钯很贵，缺少实用价值。,https://baike.baidu.com/item/%E5%82%A8%E6%B0%A2%E6%9D%90%E6%96%99/2375853
17,海洋能,海洋能指依附在海水中的可再生能源，海洋通过各种物理过程接收、储存和散发能量，这些能量以潮汐能、波浪能、温差能、盐差能、海流能等形式存在于海洋之中。海洋能的利用是指利用一定的方法、设备把各种海洋能转换成电能或其他可利用形式的能。由于海洋能具有可再生性和不污染环境等优点，因此是一种亟待开发的具有战略意义的新能源。,https://baike.baidu.com/item/%E6%B5%B7%E6%B4%8B%E8%83%BD/1188721
25,再生能源,能源可以进一步分为再生能源和非再生能源两大类型。再生能源包括太阳能、水能、风能、生物质能、波浪能、潮汐能、海洋温差能、地热能等。它们在自然界可以循环再生。是取之不尽，用之不竭的能源，不需要人力参与便会自动再生，是相对于会穷尽的非再生能源的一种能源。,https://baike.baidu.com/item/%E5%86%8D%E7%94%9F%E8%83%BD%E6%BA%90/5898604
16,干热岩,新兴地热能源，是一般温度大于180℃，埋深数千米，内部不存在流体或仅有少量地下流体（致密不透水）的高温岩体。存量巨大。中国首次发现大规模可利用干热岩资源于青海省共和盆地。青藏高原南部约占我国大陆地区干热岩总资源量的1/5。2019年在山东省日照市和威海市的部分区域发现干热岩富存区，资源量总计相当于188亿吨标准煤。,https://baike.baidu.com/item/%E5%B9%B2%E7%83%AD%E5%B2%A9/927787
12,机组,机组指一组机器，比如压缩机组，制冷机组，发电机组等，一般由原动机驱动压缩机，还包括辅机组成的一套系统。,https://baike.baidu.com/item/%E6%9C%BA%E7%BB%84/11056688
13,纤维素,纤维素（cellulose）是由葡萄糖组成的大分子多糖。不溶于水及一般有机溶剂。是植物细胞壁的主要成分。纤维素是自然界中分布最广、含量最多的一种多糖，占植物界碳含量的50%以上。棉花的纤维素含量接近100%，为天然的最纯纤维素来源。一般木材中，纤维素占40～50%，还有10～30%的半纤维素和20～30%的木质素。纤维素是植物细胞壁的主要结构成分，通常与半纤维素、果胶和木质素结合在一起，其结合方式和程度对植物源食品的质地影响很大。而植物在成熟和后熟时质地的变化则由果胶物质发生变化引起的。人体消化道内不存在纤维素酶，纤维素是一种重要的膳食纤维。自然界中分布最广、含量最多的一种多糖。,https://baike.baidu.com/item/%E7%BA%A4%E7%BB%B4%E7%B4%A0/775570
9,CO2,二氧化碳（carbon dioxide），一种碳氧化合物，化学式为CO2，化学式量为44.0095，常温常压下是一种无色无味或无色无嗅而其水溶液略有酸味的气体，也是一种常见的温室气体，还是空气的组分之一（占大气总体积的0.03%-0.04%）。在物理性质方面，二氧化碳的熔点为-56.6℃，沸点为-78.5℃，密度比空气密度大（标准条件下），溶于水。在化学性质方面，二氧化碳的化学性质不活泼，热稳定性很高（2000℃时仅有1.8%分解），不能燃烧，通常也不支持燃烧，属于酸性氧化物，具有酸性氧化物的通性，因与水反应生成的是碳酸，所以是碳酸的酸酐。[2-3]二氧化碳一般可由高温煅烧石灰石或由石灰石和稀盐酸反应制得，主要应用于冷藏易腐败的食品（固态）、作致冷剂（液态）、制造碳化软饮料（气态）和作均相反应的溶剂（超临界状态）等。关于其毒性，研究表明：低浓度的二氧化碳没有毒性，高浓度的二氧化碳则会使动物中毒。,https://baike.baidu.com/item/%E4%BA%8C%E6%B0%A7%E5%8C%96%E7%A2%B3/349143
7,光伏,光伏（Photovoltaic）：是太阳能光伏发电系统（Solar power system）的简称，是一种利用太阳电池半导体材料的光伏效应，将太阳光辐射能直接转换为电能的一种新型发电系统，有独立运行和并网运行两种方式。同时，太阳能光伏发电系统分类，一种是集中式，如大型西北地面光伏发电系统；一种是分布式（以>6MW为分界），如工商企业厂房屋顶光伏发电系统，民居屋顶光伏发电系统。,https://baike.baidu.com/item/%E5%85%89%E4%BC%8F/19958
8,光伏,光伏（Photovoltaic）：是太阳能光伏发电系统（Solar power system）的简称，是一种利用太阳电池半导体材料的光伏效应，将太阳光辐射能直接转换为电能的一种新型发电系统，有独立运行和并网运行两种方式。同时，太阳能光伏发电系统分类，一种是集中式，如大型西北地面光伏发电系统；一种是分布式（以>6MW为分界），如工商企业厂房屋顶光伏发电系统，民居屋顶光伏发电系统。,https://baike.baidu.com/item/%E5%85%89%E4%BC%8F/19958
14,生物质,生物质能是自然界中有生命的植物提供的能量，这些植物以生物质作为媒介储存太阳能，属再生能源。据计算，生物质储存的能量比目前世界能源消费总量大2倍。人类历史上最早使用的能源是生物质能。19世纪后半期以前，人类利用的能源以薪柴为主。当前较为有效地利用生物质能的方式有： (1) 制取沼气。主要是利用城乡有机垃圾、秸秆、水、人畜粪便，通过厌氧消化产生可燃气体甲烷，供生活、生产之用。(2) 利用生物质制取酒精。当前的世界能源结构中，生物质能所占比重微乎其微。,https://baike.baidu.com/item/%E7%94%9F%E7%89%A9%E8%B4%A8%E8%83%BD/745167
11,传动链,传动链的结构由内链节和外链节组成。它又由内链板，外链板，销轴，套筒，滚柱五个小部件组成，链条的优劣取决于销轴和套筒。,https://baike.baidu.com/item/%E4%BC%A0%E5%8A%A8%E9%93%BE/2821719
15,燃料,指可燃烧的物质。根据物质的状态可分为固体燃料，如： 煤、油页岩及煤加工后的产品焦炭等； 液体燃料，如石油及其加工后的产品汽油、柴油等；气体燃料，如煤气、天然气等。根据来源可划分为： 天然燃料，如煤、石油、天然气、油页岩等；人造燃料或合成燃料，如合成石油、合成汽油等。此外还有利用原子核反应放出巨大热量的核燃料等。燃料在工农业生产、交通运输以及人民生活方面都起着重要的不可缺少的作用。燃料广泛应用于工农业生产和人民生活，能通过化学反应释放出能量的物质。燃料有许多种，最常见的如煤炭、焦炭、天然气和沼气等等。随着科技的发展，人类正在更加合理地开发和利用燃料，并尽量追求环保理念。燃料也是物理学中需要学习的一部分内容，其吸放热的公式为q=Q/m。,https://baike.baidu.com/item/%E7%87%83%E6%96%99/29734
4,电池,电池（Battery）指盛有电解质溶液和金属电极以产生电流的杯、槽或其他容器或复合容器的部分空间，能将化学能转化成电能的装置。具有正极、负极之分。随着科技的进步，电池泛指能产生电能的小型装置。如太阳能电池。电池的性能参数主要有电动势、容量、比能量和电阻。利用电池作为能量来源，可以得到具有稳定电压，稳定电流，长时间稳定供电，受外界影响很小的电流，并且电池结构简单，携带方便，充放电操作简便易行，不受外界气候和温度的影响，性能稳定可靠，在现代社会生活中的各个方面发挥有很大作用。,https://baike.baidu.com/item/%E7%94%B5%E6%B1%A0/336292
5,电池,电池（Battery）指盛有电解质溶液和金属电极以产生电流的杯、槽或其他容器或复合容器的部分空间，能将化学能转化成电能的装置。具有正极、负极之分。随着科技的进步，电池泛指能产生电能的小型装置。如太阳能电池。电池的性能参数主要有电动势、容量、比能量和电阻。利用电池作为能量来源，可以得到具有稳定电压，稳定电流，长时间稳定供电，受外界影响很小的电流，并且电池结构简单，携带方便，充放电操作简便易行，不受外界气候和温度的影响，性能稳定可靠，在现代社会生活中的各个方面发挥有很大作用。,https://baike.baidu.com/item/%E7%94%B5%E6%B1%A0/336292
10,风电场,《风电场工程》是2014年机械工业出版社出版的图书，作者是胡宏彬。,https://baike.baidu.com/item/%E9%A3%8E%E7%94%B5%E5%9C%BA%E5%B7%A5%E7%A8%8B/12808783
2,项目,项目是人们通过努力，运用新的方法，将人力的、材料的和财务的资源组织起来，在给定的费用和时间约束规范内，完成一项独立的、一次性的工作任务，以期达到由数量和质量指标所限定的目标。叶圣陶《倪焕之》二五：“教育这个项目当然是不容轻易忽略的。” 洪深 《戏剧导演的初步知识》上篇二：“它们的式样、大小、制造的材料、使用的方法等等，项目繁多。” 秦牧 《艺海拾贝·核心》：“生动的语言和丰富的词汇，看来该是技巧性很强的一个项目了。”项目参数包括项目范围、质量、成本、时间、资源。美国项目管理协会（project Management Institute，PMI)在其出版的《项目管理知识体系指南》（Project Management Body of Knowledge，PMBOK）中为项目所做的定义是：项目是为创造独特的产品、服务或成果而进行的临时性工作。以下活动都可以称为一个项目：1、开发一项新产品；2、计划举行一项大型活动（如策划组织婚礼、大型国际会议等）；3、策划一次自驾游旅游；4、ERP的咨询、开发、实施与培训。,https://baike.baidu.com/item/%E9%A1%B9%E7%9B%AE/477803
3,电池,电池（Battery）指盛有电解质溶液和金属电极以产生电流的杯、槽或其他容器或复合容器的部分空间，能将化学能转化成电能的装置。具有正极、负极之分。随着科技的进步，电池泛指能产生电能的小型装置。如太阳能电池。电池的性能参数主要有电动势、容量、比能量和电阻。利用电池作为能量来源，可以得到具有稳定电压，稳定电流，长时间稳定供电，受外界影响很小的电流，并且电池结构简单，携带方便，充放电操作简便易行，不受外界气候和温度的影响，性能稳定可靠，在现代社会生活中的各个方面发挥有很大作用。,https://baike.baidu.com/item/%E7%94%B5%E6%B1%A0/336292
6,组件,组件（Component）是对数据和方法的简单封装。C++ Builder中，一个组件就是一个从TComponent派生出来的特定对象。组件可以有自己的属性和方法。属性是组件数据的简单访问者。方法则是组件的一些简单而可见的功能。使用组件可以实现拖放式编程、快速的属性处理以及真正的面向对象的设计。VCL和CLX组件是C++ Builder系统的核心。,https://baike.baidu.com/item/%E7%BB%84%E4%BB%B6/6902128
