page_id,keyword,annotation,url
6,防治,防治是一个汉语词汇，拼音为fáng zhì，译为预防和治疗或预防和治理。,https://baike.baidu.com/item/%E9%98%B2%E6%B2%BB/1094160
5,示范,示范，读音为shì fàn，汉语词语，意思是做出榜样或典范,供人们学习；起示范作用；把事物摆出来或指出来使人知道。,https://baike.baidu.com/item/%E7%A4%BA%E8%8C%83/363731
6,空气质量,空气质量（Air quality）的好坏反映了空气污染程度，它是依据空气中污染物浓度的高低来判断的。空气污染是一个复杂的现象，在特定时间和地点空气污染物浓度受到许多因素影响。来自固定和流动污染源的人为污染物排放大小是影响空气质量的最主要因素之一，其中包括车辆、船舶、飞机的尾气、工业污染、居民生活和取暖、垃圾焚烧等。城市的发展密度、地形地貌和气象等也是影响空气质量的重要因素。另外，“负氧离子”浓度是空气质量好坏的标志之一。根据世界卫生组织的标准，当空气中负氧离子浓度高于每立方厘米1000个—1500个时，才能称得上是“清新空气”。,https://baike.baidu.com/item/%E7%A9%BA%E6%B0%94%E8%B4%A8%E9%87%8F/551887
5,技术,世界知识产权组织在1977年版的《供发展中国家使用的许可证贸易手册》中，给技术下的定义：“技术是制造一种产品的系统知识，所采用的一种工艺或提供的一项服务，不论这种知识是否反映在一项发明、一项外形设计、一项实用新型或者一种植物新品种，或者反映在技术情报或技能中，或者反映在专家为设计、安装、开办或维修一个工厂或为管理一个工商业企业或其活动而提供的服务或协助等方面。”这是至今为止国际上给技术所下的最为全面和完整的定义。知识产权组织把世界上所有能带来经济效益的科学知识都定义为技术。,https://baike.baidu.com/item/%E6%8A%80%E6%9C%AF/13014499
4,焦化,焦化一般指有机物质碳化变焦的过程。在煤的干馏中指高温干馏。在石油加工中，焦化是渣油焦炭化的简称，是指重质油（如重油，减压渣油，裂化渣油甚至土沥青等）在500℃左右的高温条件下进行深度的裂解和缩合反应，产生气体、汽油、柴油、蜡油和石油焦的过程。焦化主要包括延迟焦化、釜式焦化、平炉焦化、流化焦化和灵活焦化等五种工艺过程。,https://baike.baidu.com/item/%E7%84%A6%E5%8C%96/4369387
6,大气污染,大气污染是由于人类活动或自然过程引起某些物质进入大气中，呈现出足够的浓度，达到足够的时间，并因此危害了人体的舒适、健康和福利或环境的现象。大气污染物由人为源或者天然源进入大气（输入），参与大气的循环过程，经过一定的滞留时间之后，又通过大气中的化学反应、生物活动和物理沉降从大气中去除（输出）。如果输出的速率小于输入的速率，就会在大气中相对集聚，造成大气中某种物质的浓度升高。当浓度升高到一定程度时，就会直接或间接地对人、生物或材料等造成急性、慢性危害，大气就被污染了。,https://baike.baidu.com/item/%E5%A4%A7%E6%B0%94%E6%B1%A1%E6%9F%93/778495
6,智能化,智能化是指事物在网络、大数据、物联网和人工智能等技术的支持下，所具有的能满足人的各种需求的属性。比如无人驾驶汽车，就是一种智能化的事物，它将传感器物联网、移动互联网、大数据分析等技术融为一体，从而能动地满足人的出行需求。它之所以是能动的，是因为它不像传统的汽车，需要被动的人为操作驾驶。相对传统媒体，智能化是建立在数据化的基础上的媒体功能的全面升华。它意味着新媒体能通过智能技术的应用，逐步具备类似于人类的感知能力、记忆和思维能力、学习能力、自适应能力和行为决策能力，在各种场景中，以人类的需求为中心，能动地感知外界事物，按照与人类思维模式相近的方式和给定的知识与规则，通过数据的处理和反馈，对随机性的外部环境做出决策并付诸行动。智能化是现代人类文明发展的趋势，要实现智能化，智能材料是不可缺少的重要环节。智能材料是材料科学发展的一个重要方向，也是材料科学发展的必然。智能材料结构是一门新兴起的多学科交叉的综合科学。智能材料的研究内容十分丰富，涉及许多前沿学科和高新智能材料在工农业生产、科学技术、人民生活、国民经济等各方面起着非常重要的作用，应用领域十分广阔。,https://baike.baidu.com/item/%E6%99%BA%E8%83%BD%E5%8C%96/6084673
5,大气污染,大气污染是由于人类活动或自然过程引起某些物质进入大气中，呈现出足够的浓度，达到足够的时间，并因此危害了人体的舒适、健康和福利或环境的现象。大气污染物由人为源或者天然源进入大气（输入），参与大气的循环过程，经过一定的滞留时间之后，又通过大气中的化学反应、生物活动和物理沉降从大气中去除（输出）。如果输出的速率小于输入的速率，就会在大气中相对集聚，造成大气中某种物质的浓度升高。当浓度升高到一定程度时，就会直接或间接地对人、生物或材料等造成急性、慢性危害，大气就被污染了。,https://baike.baidu.com/item/%E5%A4%A7%E6%B0%94%E6%B1%A1%E6%9F%93/778495
5,工业园区,工业园区是一个国家或区域的政府根据自身经济发展的内在要求，通过行政手段划出一块区域，聚集各种生产要素，在一定空间范围内进行科学整合，提高工业化的集约强度，突出产业特色，优化功能布局，使之成为适应市场竞争和产业升级的现代化产业分工协作生产区。中工招商网资料里显示我国的工业园区包括各种类型的开发区，如：国家级经济技术开发区、高新技术产业开发区、保税区、出口加工区以及各类省级工业园区等。,https://baike.baidu.com/item/%E5%B7%A5%E4%B8%9A%E5%9B%AD%E5%8C%BA/87786
3,污染物,污染物是指进入环境后能够直接或者间接危害人类的物质。种类很多，危害很大还可以解释为：进入环境后使得环境的正常组成发生变化，直接或者间接有害于人类的物质。实际上，污染物可以定义为：进入环境后使环境的正常组成发生变化，直接或者间接有害于生物生长、发育和繁殖的物质。污染物的作用对象是包括人在内的所有生物。环境污染物是指由于人类的活动进入环境，使环境正常组成和性质发生改变，直接或者间接有害于生物和人类的物质。,https://baike.baidu.com/item/%E6%B1%A1%E6%9F%93%E7%89%A9/5660142
3,预报,预报，读音yù bào，汉语词语，意思是先报告，预先告知。,https://baike.baidu.com/item/%E9%A2%84%E6%8A%A5/646213
4,颗粒物,颗粒物，又称尘，气溶胶体系中均匀分散的各种固体或液体微粒。颗粒物可分为一次颗粒物和二次颗粒物。一次颗粒物是由直接污染源释放到大气中造成污染的颗粒物，例如土壤粒子、海盐粒子、燃烧烟尘等等。二次颗粒物是由大气中某些污染气体组分（如二氧化硫、氮氧化物、碳氢化合物等）之间，或这些组分与大气中的正常组分（如氧气）之间通过光化学氧化反应、催化氧化反应或其他化学反应转化生成的颗粒物，例如二氧化硫转化生成硫酸盐。2017年10月27日，世界卫生组织国际癌症研究机构公布的致癌物清单初步整理参考，含颗粒物的室外空气污染在一类致癌物清单中。,https://baike.baidu.com/item/%E9%A2%97%E7%B2%92%E7%89%A9/3719575
3,大气污染,大气污染是由于人类活动或自然过程引起某些物质进入大气中，呈现出足够的浓度，达到足够的时间，并因此危害了人体的舒适、健康和福利或环境的现象。大气污染物由人为源或者天然源进入大气（输入），参与大气的循环过程，经过一定的滞留时间之后，又通过大气中的化学反应、生物活动和物理沉降从大气中去除（输出）。如果输出的速率小于输入的速率，就会在大气中相对集聚，造成大气中某种物质的浓度升高。当浓度升高到一定程度时，就会直接或间接地对人、生物或材料等造成急性、慢性危害，大气就被污染了。,https://baike.baidu.com/item/%E5%A4%A7%E6%B0%94%E6%B1%A1%E6%9F%93/778495
4,排放,排放（ discharge），指排泄放出；按顺序安放。 是指将已有的物体或东西，在某一空间内按顺序放到另一空间内，以及通过倾倒、燃烧释放等手段，将污染物（废气、颗粒物、废水、固体废弃物等）扩散、放置、排出到环境中的行为。,https://baike.baidu.com/item/%E6%8E%92%E6%94%BE/2282185
3,测量,测量是按照某种规律，用数据来描述观察到的现象，即对事物作出量化描述。测量是对非量化实物的量化过程。在机械工程里面，测量指将被测量与具有计量单位的标准量在数值上进行比较，从而确定二者比值的实验认识过程。,https://baike.baidu.com/item/%E6%B5%8B%E9%87%8F/398072
2,申报,《申报》原名《申江新报》，1872年4月30日（清同治十一年三月二十三日）在上海创刊，1949年5月27日停刊。是近代中国发行时间最久、具有广泛社会影响的报纸，是中国现代报纸开端的标志。它前后总计经营了77年，历经晚清、北洋政府、国民政府三个时代，共出版27000余期，出版时间之长，影响之广泛，同时期其它报纸难以企及，在中国新闻史和社会史研究上都占有重要地位，被人称为研究中国近现代史的“百科全书”。,https://baike.baidu.com/item/%E7%94%B3%E6%8A%A5/3577852
2,项目,项目是人们通过努力，运用新的方法，将人力的、材料的和财务的资源组织起来，在给定的费用和时间约束规范内，完成一项独立的、一次性的工作任务，以期达到由数量和质量指标所限定的目标。叶圣陶《倪焕之》二五：“教育这个项目当然是不容轻易忽略的。” 洪深 《戏剧导演的初步知识》上篇二：“它们的式样、大小、制造的材料、使用的方法等等，项目繁多。” 秦牧 《艺海拾贝·核心》：“生动的语言和丰富的词汇，看来该是技巧性很强的一个项目了。”项目参数包括项目范围、质量、成本、时间、资源。美国项目管理协会（project Management Institute，PMI)在其出版的《项目管理知识体系指南》（Project Management Body of Knowledge，PMBOK）中为项目所做的定义是：项目是为创造独特的产品、服务或成果而进行的临时性工作。以下活动都可以称为一个项目：1、开发一项新产品；2、计划举行一项大型活动（如策划组织婚礼、大型国际会议等）；3、策划一次自驾游旅游；4、ERP的咨询、开发、实施与培训。,https://baike.baidu.com/item/%E9%A1%B9%E7%9B%AE/477803
2,指南,指南，汉语词语，拼音是zhǐ nán，意思是指导，辨别方向的依据。,https://baike.baidu.com/item/%E6%8C%87%E5%8D%97/10153109
1,技术,技术是解决问题的方法及方法原理，是指人们利用现有事物形成新事物，或是改变现有事物功能、性能的方法。技术应具备明确的使用范围和被其它人认知的形式和载体，如原材料（输入）、产成品（输出）、工艺、工具、设备、设施、标准、规范、指标、计量方法等。技术与科学相比，技术更强调实用，而科学更强调研究；技术与艺术相比，技术更强调功能，艺术更强调表达。,https://baike.baidu.com/item/%E6%8A%80%E6%9C%AF/832247
1,cid,电荷注入检测器（charge injection device ），属一种光学传感器，简称CID。,https://baike.baidu.com/item/CID/7287846
4,VOCs,,https://baike.baidu.com//item/VOCs%E6%B1%A1%E6%9F%93%E9%A2%84%E9%98%B2
2,预报,预报，读音yù bào，汉语词语，意思是先报告，预先告知。,https://baike.baidu.com/item/%E9%A2%84%E6%8A%A5/646213
1,防治,防治是一个汉语词汇，拼音为fáng zhì，译为预防和治疗或预防和治理。,https://baike.baidu.com/item/%E9%98%B2%E6%B2%BB/1094160
1,大气污染,大气污染是由于人类活动或自然过程引起某些物质进入大气中，呈现出足够的浓度，达到足够的时间，并因此危害了人体的舒适、健康和福利或环境的现象。大气污染物由人为源或者天然源进入大气（输入），参与大气的循环过程，经过一定的滞留时间之后，又通过大气中的化学反应、生物活动和物理沉降从大气中去除（输出）。如果输出的速率小于输入的速率，就会在大气中相对集聚，造成大气中某种物质的浓度升高。当浓度升高到一定程度时，就会直接或间接地对人、生物或材料等造成急性、慢性危害，大气就被污染了。,https://baike.baidu.com/item/%E5%A4%A7%E6%B0%94%E6%B1%A1%E6%9F%93/778495
