page_id,keyword,annotation,url
11,研究,研究，读音，汉语词语，意思是主动寻求根本性原因与更高可靠性依据，从而为提高事业或功利的可靠性和稳健性而做的工作。,https://baike.baidu.com/item/%E7%A0%94%E7%A9%B6/1883844
10,硫化物,无机化学中，硫化物(sulfide)指电正性较强的金属或非金属与硫形成的一类化合物。大多数金属硫化物都可看作氢硫酸的盐。由于氢硫酸是二元弱酸，因此硫化物可分为酸式盐（HS，氢硫化物）、正盐（S）和多硫化物（Sn）三类。,https://baike.baidu.com/item/%E7%A1%AB%E5%8C%96%E7%89%A9/8289770
9,柔性,1、物理方面柔性英文为Flexible，也可解释为挠性，是相对刚性而言的一种物体特性。挠性是指物体受力后变形，作用力失去之后物体自身不能恢复原来形状的一种物理性质。而刚性物体受力后，在宏观来看其形状可视为没有发生改变。弹性是指物体受力后变形，作用力失去之后物体自身能恢复原来形状的一种物理性质。其侧重物体的变形结果，而挠性侧重物体自身性质。2、社会方面常用于柔性管理、柔性生产等词语。,https://baike.baidu.com/item/%E6%9F%94%E6%80%A7/300024
9,纳米,纳米（符号:nm），即为毫微米，是长度的度量单位。1纳米=10的负9次方米。1纳米相当于4倍原子大小，比单个细菌的长度还要小的多。,https://baike.baidu.com/item/%E7%BA%B3%E7%B1%B3/410859
8,阵列,阵列，亦作"陈列"，指作战的阵势﹑队列。前蜀韦庄有《旅次甬西见儿童以竹枪纸旗戏为阵列主人叟曰斯子也三世没于阵思所袭祖父雠余因感之》诗。,https://baike.baidu.com/item/%E9%98%B5%E5%88%97/2644035
7,纳米,纳米（符号:nm），即为毫微米，是长度的度量单位。1纳米=10的负9次方米。1纳米相当于4倍原子大小，比单个细菌的长度还要小的多。,https://baike.baidu.com/item/%E7%BA%B3%E7%B1%B3/410859
6,临床,临床是指直接接触病人，对病人进行实际的观察。如内科学、外科学、妇产科学、儿科学等学科属于临床医学。 从医院内部分工来说，则分为临床、医技、行政、工勤等部门。临床科室是医院的主体，它直接担负着对病人的收治、诊断、治疗等任务；临床人员包括直接参与治疗、护理病人的医生、护士；医技科室即过去所说的“非临床”科室，它也有医生和护士，但是不直接参与对病人的治疗和护理，只是为临床诊断、治疗直接提供服务。,https://baike.baidu.com/item/%E4%B8%B4%E5%BA%8A/5507460
8,纳米,纳米（符号:nm），即为毫微米，是长度的度量单位。1纳米=10的负9次方米。1纳米相当于4倍原子大小，比单个细菌的长度还要小的多。,https://baike.baidu.com/item/%E7%BA%B3%E7%B1%B3/410859
10,催化,催化作用，催化剂在化学反应中所起的作用。在催化反应中，催化剂与反应物发生化学作用，改变了反应途径，从而降低了反应的活化能。由于催化剂的介入而加速或减缓化学反应速率的现象称为催化作用。在催化反应中，催化剂与反应物发生作用，改变了反应途径，从而降低了反应的活化能，这是催化剂得以提高反应速率的原因。如化学反应A+B→AB，所需活化能为E，加入催化剂C后，反应分两步进行，所需活化能分别为F，G，其中F，G均小于E。,https://baike.baidu.com/item/%E5%82%AC%E5%8C%96%E4%BD%9C%E7%94%A8/1911443
4,模拟,模拟（mó nǐ），是对真实事物或者过程的虚拟。模拟要表现出选定的物理系统或抽象系统的关键特性。模拟的关键问题包括有效信息的获取、关键特性和表现的选定、近似简化和假设的应用，以及模拟的重现度和有效性。可以认为仿真是一种重现系统外在表现的特殊的模拟。模拟在计算机体系中的概念：模拟：用软件的方法在一台现有的计算机（称为宿主机）上实现另一台计算机（称为虚拟机）的指令系统。,https://baike.baidu.com/item/%E6%A8%A1%E6%8B%9F/7698898
5,纳米,纳米材料是指在三维空间中至少有一维处于纳米尺寸(1-100 nm)或由它们作为基本单元构成的材料，这大约相当于10~1000个原子紧密排列在一起的尺度。,https://baike.baidu.com/item/%E7%BA%B3%E7%B1%B3%E6%9D%90%E6%96%99/1534350
4,纳米,纳米（符号:nm），即为毫微米，是长度的度量单位。1纳米=10的负9次方米。1纳米相当于4倍原子大小，比单个细菌的长度还要小的多。,https://baike.baidu.com/item/%E7%BA%B3%E7%B1%B3/410859
5,光谱,光谱（spectrum） ：是复色光经过色散系统（如棱镜、光栅）分光后，被色散开的单色光按波长（或频率）大小而依次排列的图案，全称为光学频谱。光谱中最大的一部分可见光谱是电磁波谱中人眼可见的一部分，在这个波长范围内的电磁辐射被称作可见光。光谱并没有包含人类大脑视觉所能区别的所有颜色，譬如褐色和粉红色。光波是由原子运动过程中的电子产生的电磁辐射。各种物质的原子内部电子的运动情况不同，所以它们发射的光波也不同。研究不同物质的发光和吸收光的情况，有重要的理论和实际意义，已成为一门专门的学科——光谱学。分子的红外吸收光谱一般是研究分子的振动光谱与转动光谱的，其中分子振动光谱一直是主要的研究课题。,https://baike.baidu.com/item/%E5%85%89%E8%B0%B1/757474
7,组装,组装是一个汉语词语，意思是组合在一起然后再安装到一部机器上。在计算机领域， 组装分为电脑组装和机械组装。,https://baike.baidu.com/item/%E7%BB%84%E8%A3%85/10840733
3,纳米,纳米（符号:nm），即为毫微米，是长度的度量单位。1纳米=10的负9次方米。1纳米相当于4倍原子大小，比单个细菌的长度还要小的多。,https://baike.baidu.com/item/%E7%BA%B3%E7%B1%B3/410859
