page_id,keyword,annotation,url
14,毫米波,毫米波 （millimeter wave ）：波长为1～10毫米的电磁波称毫米波，它位于微波与远红外波相交叠的波长范围，因而兼有两种波谱的特点。毫米波的理论和技术分别是微波向高频的延伸和光波向低频的发展。2020年6月15日，中国工程院院士刘韵洁表示，南京网络通讯与安全紫金山实验室已研制出CMOS毫米波全集成4通道相控阵芯片。,https://baike.baidu.com/item/%E6%AF%AB%E7%B1%B3%E6%B3%A2/2458350
18,线性方程,线性方程也称一次方程式。指未知数都是一次的方程。其一般的形式是ax+by+...+cz+d=0。线性方程的本质是等式两边乘以任何相同的非零数，方程的本质都不受影响。因为在笛卡尔坐标系上任何一个一次方程的表示都是一条直线。组成一次方程的每个项必须是常数或者是一个常数和一个变量的乘积。且方程中必须包含一个变量，因为如果没有变量只有常数的式子是代数式而非方程式。,https://baike.baidu.com/item/%E7%BA%BF%E6%80%A7%E6%96%B9%E7%A8%8B/6129663
18,模拟计算,模拟计算机是根据相似原理，用一种连续变化的模拟量作为被运算的对象的计算机。模拟计算机以电子线路构成基本运算部件。由运算部件、控制部件、排题板、输入输出设备等组成。在用相似原理求解中，包含了模拟的概念，故称模拟计算机。它是以并行计算为基础的，计算速度快。它把功能固定化的运算器适当组合起来，所以程序比较简单，但解题灵活性比较差。,https://baike.baidu.com/item/%E6%A8%A1%E6%8B%9F%E8%AE%A1%E7%AE%97%E6%9C%BA/2721398
17,器件,电子、电工仪器上能独立起控制变换作用的单元，常有几个元件组成，有时也指较大的元件。,https://baike.baidu.com/item/%E5%99%A8%E4%BB%B6/8755458
16,技术,技术是解决问题的方法及方法原理，是指人们利用现有事物形成新事物，或是改变现有事物功能、性能的方法。技术应具备明确的使用范围和被其它人认知的形式和载体，如原材料（输入）、产成品（输出）、工艺、工具、设备、设施、标准、规范、指标、计量方法等。技术与科学相比，技术更强调实用，而科学更强调研究；技术与艺术相比，技术更强调功能，艺术更强调表达。,https://baike.baidu.com/item/%E6%8A%80%E6%9C%AF/832247
15,DRAM,DRAM芯片即动态随机存取存储器，DRAM 只能将数据保持很短的时间，所以需要定时刷新。DRAM 分为很多种，常见的主要有FPRAM/FastPage、EDORAM、SDRAM、DDR RAM、RDRAM、SGRAM 以及 WRAM 等。,https://baike.baidu.com/item/Dram%E8%8A%AF%E7%89%87/1701756
15,植入式,“植入式广告”(Product Placement)，是指，把产品及其服务具有代表性的视听品牌符号融入影视或舞台作品中的一种广告方式，给观众留下相当的印象，以达到营销目的。“植入式广告”是随着电影、电视、游戏等的发展而兴起的一种广告形式，它是指在影视剧情、游戏中刻意插入商家的产品或服务，以达到潜移默化的宣传效果。由于受众对广告有天生的抵触心理，把商品融入这些娱乐方式的做法往往比硬性推销的效果好得多。,https://baike.baidu.com/item/%E6%A4%8D%E5%85%A5%E5%BC%8F%E5%B9%BF%E5%91%8A/9955814
17,存算,,https://baike.baidu.com//item/%E7%BC%93%E5%AD%98%E7%AE%97%E6%B3%95
13,研究,研究，读音，汉语词语，意思是主动寻求根本性原因与更高可靠性依据，从而为提高事业或功利的可靠性和稳健性而做的工作。,https://baike.baidu.com/item/%E7%A0%94%E7%A9%B6/1883844
12,多模,多模（Multimode）指的是具有多种工作模式的设备或技术。在不同的领域，多模具有不同的概念，如多模通信，多模光纤，多模手机等。,https://baike.baidu.com/item/%E5%A4%9A%E6%A8%A1/2810330
11,USB4.0,DM-TS201S-TOOLKIT开发套件是北京东方迪码公司开发的一款套件。,https://baike.baidu.com/item/DM-TS201S-TOOLKIT%E5%BC%80%E5%8F%91%E5%A5%97%E4%BB%B6/8810099
16,微纳,,https://baike.baidu.com//item/%E5%BE%AE%E7%BA%B3%E5%88%B6%E9%80%A0%E6%8A%80%E6%9C%AF
10,图像,图像是人类视觉的基础，是自然景物的客观反映，是人类认识世界和人类本身的重要源泉。“图”是物体反射或透射光的分布，“像“是人的视觉系统所接受的图在人脑中所形版的印象或认识，照片、绘画、剪贴画、地图、书法作品、手写汉学、传真、卫星云图、影视画面、X光片、脑电图、心电图等都是图像。,https://baike.baidu.com/item/%E5%9B%BE%E5%83%8F/773234
10,三维,通常我们说的三维是指在平面二维系中又加入了一个方向向量构成的空间系。三维既是坐标轴的三个轴，即x轴、y轴、z轴，其中x表示左右空间，y表示前后空间，z表示上下空间（不可用平面直角坐标系去理解空间方向）。在实际应用方面，一般把用X轴形容左右运动，而Z轴用来形容上下运动，Y轴用来形容前后运动，这样就形成了人的视觉立体感。三维是由一维和二维组成的，二维即只存在两个方向的交错，将一个二维和一个一维叠合在一起就得到了三维。三维具有立体性，前后，左右，上下都只是相对于观察的视点来说。没有绝对的前后，左右，上下。,https://baike.baidu.com/item/%E4%B8%89%E7%BB%B4/9517577
9,器件,电子、电工仪器上能独立起控制变换作用的单元，常有几个元件组成，有时也指较大的元件。,https://baike.baidu.com/item/%E5%99%A8%E4%BB%B6/8755458
14,芯片,集成电路英语：integrated circuit，缩写作 IC；或称微电路（microcircuit）、微芯片（microchip）、晶片/芯片（chip）在电子学中是一种将电路（主要包括半导体设备，也包括被动组件等）小型化的方式，并时常制造在半导体晶圆表面上。,https://baike.baidu.com/item/%E8%8A%AF%E7%89%87/32249
11,DP2.0,,https://baike.baidu.com/item/DP2.0

9,光纤,光纤是光导纤维的简写，是一种由玻璃或塑料制成的纤维，可作为光传导工具。传输原理是“光的全反射”。前香港中文大学校长高锟和George A. Hockham首先提出光纤可以用于通讯传输的设想，高锟因此获得2009年诺贝尔物理学奖。,https://baike.baidu.com/item/%E5%85%89%E7%BA%A4/171632
8,光学,光学（optics）是物理学的重要分支学科。也是与光学工程技术相关的学科。狭义来说，光学是关于光和视见的科学，optics词早期只用于跟眼睛和视见相联系的事物。而今天常说的光学是广义的，是研究从微波、红外线、可见光、紫外线直到X射线和γ射线的宽广波段范围内的电磁辐射的产生、传播、接收和显示，以及与物质相互作用的科学，着重研究的范围是从红外到紫外波段。它是物理学的一个重要组成部分。光学是研究光的行为和性质的物理学科。光是一种电磁波，在物理学中，电磁波由电动力学中的麦克斯韦方程组来描述；同时，光具有波粒二象性，光的粒子性则需要用量子力学来描述。,https://baike.baidu.com/item/%E5%85%89%E5%AD%A6/81785
12,低功耗,随着计算机技术和微电子技术的迅速发展，嵌入式系统应用领域越来越广泛。节能是全球化的热潮，如计算机里的许多芯片过去用5V供电，现在用3.3V、1.8V，并提出了绿色系统的概念。很多厂商很注重微控制器的低功耗问题。电路与系统的低功耗设计一直都是电子工程技术人员设计时需要考虑的重要因素。,https://baike.baidu.com/item/%E4%BD%8E%E5%8A%9F%E8%80%97/712641
13,低功耗,随着计算机技术和微电子技术的迅速发展，嵌入式系统应用领域越来越广泛。节能是全球化的热潮，如计算机里的许多芯片过去用5V供电，现在用3.3V、1.8V，并提出了绿色系统的概念。很多厂商很注重微控制器的低功耗问题。电路与系统的低功耗设计一直都是电子工程技术人员设计时需要考虑的重要因素。,https://baike.baidu.com/item/%E4%BD%8E%E5%8A%9F%E8%80%97/712641
8,采样,取样是指从总体中抽取个体或样品的过程，也即对总体进行试验或观测的过程。分随机抽样和非随机抽样两种类型。前者指遵照随机化原则从总体中抽取样本的抽样方法，它不带任何主观性，包括简单随机抽样、系统抽样、整群抽样和分层抽样。后者是一种凭研究者的观点、经验或者有关知识来抽取样本的方法，带有明显主观色彩。参见“随机抽样”、“非随机抽样”。,https://baike.baidu.com/item/%E5%8F%96%E6%A0%B7/8973899
6,探测器,探测器(detector)，是观察、记录粒子的装置 ，核物理和粒子物理实验研究中不可缺少的设备。探测器可分为两类：计数器和径迹探测器。金属探测器利用电磁感应的原理，利用有交流电通过的线圈，产生迅速变化的磁场。,https://baike.baidu.com/item/%E6%8E%A2%E6%B5%8B%E5%99%A8/5868186
6,单芯片,,https://baike.baidu.com/item/%E5%8D%95%E8%8A%AF%E7%89%87/12717589
7,复用,通信术语中的复用，指的是信道复用技术。复用（multiplexing）是通信技术中的基本概念。在计算机网络中的信道广泛地使用各种复用技术。,https://baike.baidu.com/item/%E5%A4%8D%E7%94%A8/9857249
5,材料,,https://baike.baidu.com/item/%E6%9D%90%E6%96%99
4,宽带,宽带并没有很严格的定义。从一般的角度理解，它是能够满足人们感观所能感受到的各种媒体在网络上传输所需要的带宽，因此它也是一个动态的、发展的概念。FCC（Federal Communications Commission，美国联邦通讯委员会）2015年1月7日做了年度宽带进程报告，在报告中现任主席Tom Wheeler对“宽带”进行了重新定义，原定的下行速度4Mbps调整成25Mbps，原定的上行速度1Mbps调整成3Mbps。美国宽带网新标准：25Mbps下行/3Mbps上行。,https://baike.baidu.com/item/%E5%AE%BD%E5%B8%A6/98703
5,芯片,集成电路英语：integrated circuit，缩写作 IC；或称微电路（microcircuit）、微芯片（microchip）、晶片/芯片（chip）在电子学中是一种将电路（主要包括半导体设备，也包括被动组件等）小型化的方式，并时常制造在半导体晶圆表面上。,https://baike.baidu.com/item/%E8%8A%AF%E7%89%87/32249
7,多维,多维空间，是指由4条或者更多条维度组成的空间。多维空间定义 “维”是一种度量，在三维空间坐标上，加上时间，时空互相联系，就构成四维时空。,https://baike.baidu.com/item/多维

4,芯片,集成电路英语：integrated circuit，缩写作 IC；或称微电路（microcircuit）、微芯片（microchip）、晶片/芯片（chip）在电子学中是一种将电路（主要包括半导体设备，也包括被动组件等）小型化的方式，并时常制造在半导体晶圆表面上。,https://baike.baidu.com/item/%E8%8A%AF%E7%89%87/32249
2,项目,项目是人们通过努力，运用新的方法，将人力的、材料的和财务的资源组织起来，在给定的费用和时间约束规范内，完成一项独立的、一次性的工作任务，以期达到由数量和质量指标所限定的目标。叶圣陶《倪焕之》二五：“教育这个项目当然是不容轻易忽略的。” 洪深 《戏剧导演的初步知识》上篇二：“它们的式样、大小、制造的材料、使用的方法等等，项目繁多。” 秦牧 《艺海拾贝·核心》：“生动的语言和丰富的词汇，看来该是技巧性很强的一个项目了。”项目参数包括项目范围、质量、成本、时间、资源。美国项目管理协会（project Management Institute，PMI)在其出版的《项目管理知识体系指南》（Project Management Body of Knowledge，PMBOK）中为项目所做的定义是：项目是为创造独特的产品、服务或成果而进行的临时性工作。以下活动都可以称为一个项目：1、开发一项新产品；2、计划举行一项大型活动（如策划组织婚礼、大型国际会议等）；3、策划一次自驾游旅游；4、ERP的咨询、开发、实施与培训。,https://baike.baidu.com/item/%E9%A1%B9%E7%9B%AE/477803
3,层间,由于变压器的结构关系，一个绕组有很多层。如果说匝间短路使匝数发生小的变化，那么层间短路就使匝数发生了大的变化，所以层间绝缘就更重要了。我们把层间的绝缘叫做层间绝缘。,https://baike.baidu.com/item/%E5%B1%82%E9%97%B4%E7%BB%9D%E7%BC%98/3910161
2,芯片,集成电路英语：integrated circuit，缩写作 IC；或称微电路（microcircuit）、微芯片（microchip）、晶片/芯片（chip）在电子学中是一种将电路（主要包括半导体设备，也包括被动组件等）小型化的方式，并时常制造在半导体晶圆表面上。,https://baike.baidu.com/item/%E8%8A%AF%E7%89%87/32249
1,专项,特定的某个项目。例句：～训练。进行～检查。～资金。[1-2],https://baike.baidu.com/item/%E4%B8%93%E9%A1%B9/10927791
1,芯片,集成电路英语：integrated circuit，缩写作 IC；或称微电路（microcircuit）、微芯片（microchip）、晶片/芯片（chip）在电子学中是一种将电路（主要包括半导体设备，也包括被动组件等）小型化的方式，并时常制造在半导体晶圆表面上。,https://baike.baidu.com/item/%E8%8A%AF%E7%89%87/32249
3,重构,重构（Refactoring）就是通过调整程序代码改善软件的质量、性能，使其程序的设计模式和架构更趋合理，提高软件的扩展性和维护性。,https://baike.baidu.com/item/%E9%87%8D%E6%9E%84/2182519
