page_id,keyword,annotation,url
28,理论,理论 科学学意义上的理论严格指科学理论，是人类通过概念—判断—推理等思维类型，论题—论据—论证的逻辑推导过程来认识、把握世界的逻辑体系，包括知性认识阶段的理论和理性认识阶段的理论。,https://baike.baidu.com/item/%E7%90%86%E8%AE%BA/13016357
26,随机,随机，读音suí jī，汉语词语，指不预设立场，没有特定的对象。,https://baike.baidu.com/item/%E9%9A%8F%E6%9C%BA/4878685
27,研究,研究，读音，汉语词语，意思是主动寻求根本性原因与更高可靠性依据，从而为提高事业或功利的可靠性和稳健性而做的工作。,https://baike.baidu.com/item/%E7%A0%94%E7%A9%B6/1883844
25,微生物,微生物包括：细菌、病毒、真菌以及一些小型的原生生物、显微藻类等在内的一大类生物群体，它个体微小，与人类关系密切。涵盖了有益跟有害的众多种类，广泛涉及食品、医药、工农业、环保、体育等诸多领域。在我国教科书中，将微生物划分为以下8大类：细菌、病毒、真菌、放线菌、立克次氏体、支原体、衣原体、螺旋体。有些微生物是肉眼可以看见的，像属于真菌的蘑菇、灵芝、香菇等。还有微生物是一类由核酸和蛋白质等少数几种成分组成的“非细胞生物”,https://baike.baidu.com/item/%E5%BE%AE%E7%94%9F%E7%89%A9/147527
22,轴承,轴承（Bearing）是当代机械设备中一种重要零部件。它的主要功能是支撑机械旋转体，降低其运动过程中的摩擦系数（friction coefficient），并保证其回转精度（accuracy）。,https://baike.baidu.com/item/%E8%BD%B4%E6%89%BF/177492
23,架构,架构，又名软件架构，是有关软件整体结构与组件的抽象描述，用于指导大型软件系统各个方面的设计。架构描述语言（ADL）用于描述软件的体系架构。现在已有多种架构描述语言，如Wright（由卡内基梅隆大学开发），Acme（由卡内基梅隆大学开发），C2（由UCI开发），Darwin（由伦敦帝国学院开发）。ADL的基本构成包括组件、连接器和配置。,https://baike.baidu.com/item/%E6%9E%B6%E6%9E%84/13004195
20,乳腺癌,女性乳腺是由皮肤、纤维组织、乳腺腺体和脂肪组成的，乳腺癌是发生在乳腺腺上皮组织的恶性肿瘤。乳腺癌中99%发生在女性，男性仅占1%。乳腺并不是维持人体生命活动的重要器官，原位乳腺癌并不致命；但由于乳腺癌细胞丧失了正常细胞的特性，细胞之间连接松散，容易脱落。癌细胞一旦脱落，游离的癌细胞可以随血液或淋巴液播散全身，形成转移，危及生命。目前乳腺癌已成为威胁女性身心健康的常见肿瘤。全球乳腺癌发病率自20世纪70年代末开始一直呈上升趋势。美国8名妇女一生中就会有1人患乳腺癌。中国不是乳腺癌的高发国家，但不宜乐观，近年我国乳腺癌发病率的增长速度却高出高发国家1～2个百分点。据国家癌症中心和卫生部疾病预防控制局2012年公布的2009年乳腺癌发病数据显示：全国肿瘤登记地区乳腺癌发病率位居女性恶性肿瘤的第1位，女性乳腺癌发病率（粗率）全国合计为42.55/10万，城市为51.91/10万，农村为23.12/10万。乳腺癌已成为当前社会的重大公共卫生问题。自20世纪90年代全球乳腺癌死亡率呈现出下降趋势；究其原因，一是乳腺癌筛查工作的开展，使早期病例的比例增加；二是乳腺癌综合治疗的开展，提高了疗效。乳腺癌已成为疗效最佳的实体肿瘤之一。,https://baike.baidu.com/item/%E4%B9%B3%E8%85%BA%E7%99%8C/821595
21,扰动,扰动，汉语词汇，拼音 rǎo dòng，意思是指骚动，骚乱。,https://baike.baidu.com/item/%E6%89%B0%E5%8A%A8/8546348
16,高维,高维空间，是一种物理学理论。据90年代提出的M理论（超弦理论的一种），宇宙是十一维的，由震动的平面构成的。,https://baike.baidu.com/item/%E9%AB%98%E7%BB%B4%E7%A9%BA%E9%97%B4/692559
17,DNA,DNA即脱氧核糖核酸（英文Deoxyribonucleic acid的缩写）,是染色体主要组成成分，同时也是主要遗传物质。,https://baike.baidu.com/item/DNA%E5%88%86%E5%AD%90/925879
18,算法,算法（Algorithm）是指解题方案的准确而完整的描述，是一系列解决问题的清晰指令，算法代表着用系统的方法描述解决问题的策略机制。也就是说，能够对一定规范的输入，在有限时间内获得所要求的输出。如果一个算法有缺陷，或不适合于某个问题，执行这个算法将不会解决这个问题。不同的算法可能用不同的时间、空间或效率来完成同样的任务。一个算法的优劣可以用空间复杂度与时间复杂度来衡量。算法中的指令描述的是一个计算，当其运行时能从一个初始状态和（可能为空的）初始输入开始，经过一系列有限而清晰定义的状态，最终产生输出并停止于一个终态。一个状态到另一个状态的转移不一定是确定的。随机化算法在内的一些算法，包含了一些随机输入。形式化算法的概念部分源自尝试解决希尔伯特提出的判定问题，并在其后尝试定义有效计算性或者有效方法中成形。这些尝试包括库尔特·哥德尔、Jacques Herbrand和斯蒂芬·科尔·克莱尼分别于1930年、1934年和1935年提出的递归函数，阿隆佐·邱奇于1936年提出的λ演算，1936年Emil Leon Post的Formulation 1和艾伦·图灵1937年提出的图灵机。即使在当前，依然常有直觉想法难以定义为形式化算法的情况。,https://baike.baidu.com/item/%E7%AE%97%E6%B3%95/209025
19,同态,群的同态：设(M,*)和(S,·)是两个群，σ:M→S，∀a,b∈M，有σ(a*b)=σ(a)·σ(b)，则称σ为M到S的同态或群映射。,https://baike.baidu.com/item/%E5%90%8C%E6%80%81/1174148
24,燃爆,燃爆是一个汉语词语，拼音rán bào，是指点火使爆炸。,https://baike.baidu.com/item/%E7%87%83%E7%88%86/5039044
14,纳米,纳米（符号:nm），即为毫微米，是长度的度量单位。1纳米=10的负9次方米。1纳米相当于4倍原子大小，比单个细菌的长度还要小的多。,https://baike.baidu.com/item/%E7%BA%B3%E7%B1%B3/410859
13,SPECT,单光子发射计算机断层成像术(Single-Photon Emission Computed Tomography，SPECT)和正电子发射断层成像术(Positron Emission Tomography，PET)是核医学的两种CT技术，由于它们都是对从病人体内发射的γ射线成像，故统称发射型计算机断层成像术(Emission Computed Tomography，ECT)。,https://baike.baidu.com/item/SPECT/1763979
12,工程化,广义的工程化能力包括信息情报、国际化采购能力、新材料、新工艺、新技术应用能力、样机的工程实现与测试能力等。,https://baike.baidu.com/item/%E5%B7%A5%E7%A8%8B%E5%8C%96%E8%83%BD%E5%8A%9B/357768
15,光刻,光刻是平面型晶体管和集成电路生产中的一个主要工艺。是对半导体晶片表面的掩蔽物(如二氧化硅)进行开孔，以便进行杂质的定域扩散的一种加工技术。,https://baike.baidu.com/item/%E5%85%89%E5%88%BB/6533767
11,载体,载体，汉语词汇。读作 zài tǐ。科学技术上指某些能传递能量或承载其他物质的物质。现也泛指一切能够承载其他事物的事物。,https://baike.baidu.com/item/%E8%BD%BD%E4%BD%93/3330351
10,地震,地震（英文：earthquake），又称地动、地振动，是地壳快速释放能量过程中造成的振动，期间会产生地震波的一种自然现象。地球上板块与板块之间相互挤压碰撞，造成板块边沿及板块内部产生错动和破裂，是引起地震的主要原因。地震开始发生的地点称为震源，震源正上方的地面称为震中。破坏性地震的地面振动最烈处称为极震区，极震区往往也就是震中所在的地区。地震常常造成严重人员伤亡，能引起火灾、水灾、有毒气体泄漏、细菌及放射性物质扩散，还可能造成海啸、滑坡、崩塌、地裂缝等次生灾害。据统计，地球上每年约发生500多万次地震，即每天要发生上万次的地震。其中绝大多数太小或太远，以至于人们感觉不到；真正能对人类造成严重危害的地震大约有十几二十次；能造成特别严重灾害的地震大约有一两次。人们感觉不到的地震，必须用地震仪才能记录下来；不同类型的地震仪能记录不同强度、不同远近的地震。世界上运转着数以千计的各种地震仪器日夜监测着地震的动向。当前的科技水平尚无法预测地震的到来，未来相当长的一段时间内，地震也是无法预测的。所谓成功预测地震的例子，基本都是巧合。对于地震，我们更应该做的是提高建筑抗震等级、做好防御，而不是预测地震。,https://baike.baidu.com/item/%E5%9C%B0%E9%9C%87/40588
9,冲击波,冲击波（shock wave）是一种不连续峰在介质中的传播，这个峰导致介质的压强、温度、密度等物理性质跳跃式改变。任何波源，当运动速度超过了其波的传播速度时，这种波动形式都可以称为冲击波，或者称为激波。其特点是波前的跳跃式变化，即产生一个锋面。锋面处介质的物理性质发生跃变，造成强烈的破坏作用。冲击波的传播通常通过物质的媒介。,https://baike.baidu.com/item/%E5%86%B2%E5%87%BB%E6%B3%A2/10803
8,碳纳米管,碳纳米管，又名巴基管，是一种具有特殊结构（径向尺寸为纳米量级，轴向尺寸为微米量级，管子两端基本上都封口）的一维量子材料。碳纳米管主要由呈六边形排列的碳原子构成数层到数十层的同轴圆管。层与层之间保持固定的距离，约0.34nm，直径一般为2~20 nm。并且根据碳六边形沿轴向的不同取向可以将其分成锯齿形、扶手椅型和螺旋型三种。其中螺旋型的碳纳米管具有手性，而锯齿形和扶手椅型碳纳米管没有手性。碳纳米管作为一维纳米材料，重量轻，六边形结构连接完美，具有许多异常的力学、电学和化学性能。近些年随着碳纳米管及纳米材料研究的深入其广阔的应用前景也不断地展现出来。,https://baike.baidu.com/item/%E7%A2%B3%E7%BA%B3%E7%B1%B3%E7%AE%A1/126904
7,材料,,https://baike.baidu.com/item/%E6%9D%90%E6%96%99
6,CO2,二氧化碳（carbon dioxide），一种碳氧化合物，化学式为CO2，化学式量为44.0095，常温常压下是一种无色无味或无色无嗅而其水溶液略有酸味的气体，也是一种常见的温室气体，还是空气的组分之一（占大气总体积的0.03%-0.04%）。在物理性质方面，二氧化碳的熔点为-56.6℃，沸点为-78.5℃，密度比空气密度大（标准条件下），溶于水。在化学性质方面，二氧化碳的化学性质不活泼，热稳定性很高（2000℃时仅有1.8%分解），不能燃烧，通常也不支持燃烧，属于酸性氧化物，具有酸性氧化物的通性，因与水反应生成的是碳酸，所以是碳酸的酸酐。[2-3]二氧化碳一般可由高温煅烧石灰石或由石灰石和稀盐酸反应制得，主要应用于冷藏易腐败的食品（固态）、作致冷剂（液态）、制造碳化软饮料（气态）和作均相反应的溶剂（超临界状态）等。关于其毒性，研究表明：低浓度的二氧化碳没有毒性，高浓度的二氧化碳则会使动物中毒。,https://baike.baidu.com/item/%E4%BA%8C%E6%B0%A7%E5%8C%96%E7%A2%B3/349143
5,成像,成像就是生物样本的造影技术，依照样本尺度大小可以概分为组织造影与细胞分子的显微技术。这些大致都需要光学技术配合生物样本的特性发展，少数会使用光以外的波动性质，例如核磁共振、超音波等等。,https://baike.baidu.com/item/%E6%88%90%E5%83%8F/1795753
3,超高热,超高热是指人体温度达到41度（以口测法为准）以上。引起超高热的疾病有高温重症中暑、血型不合的输血所致的溶血反应、疟疾、流行性乙型脑炎、暴发型中毒性菌痢、暴发型流行性脑膜炎、其他化脓性脑膜炎、重症中毒性肺炎、甲状腺危象、输液致热原反应以及中枢性发热等。,https://baike.baidu.com/item/%E8%B6%85%E9%AB%98%E7%83%AD/10730558
4,SOT,sot，英语单词，主要用作名词、不及物动词、及物动词，作名词时译为“醉鬼；酗酒者”，作不及物动词时译为“嗜酒”，作及物动词时译为“因酗酒浪费掉”。,https://baike.baidu.com/item/sot/4729105
2,光栅,由大量等宽等间距的平行狭缝构成的光学器件称为光栅（grating）。一般常用的光栅是在玻璃片上刻出大量平行刻痕制成，刻痕为不透光部分，两刻痕之间的光滑部分可以透光，相当于一狭缝。精制的光栅，在1cm宽度内刻有几千条乃至上万条刻痕。这种利用透射光衍射的光栅称为透射光栅，还有利用两刻痕间的反射光衍射的光栅，如在镀有金属层的表面上刻出许多平行刻痕，两刻痕间的光滑金属面可以反射光，这种光栅称为反射光栅。,https://baike.baidu.com/item/%E5%85%89%E6%A0%85/941483
1,制氢,氢是一种化学元素，元素符号H，在元素周期表中位于第一位。氢通常的单质形态是氢气，无色无味无臭，是一种极易燃烧的由双原子分子组成的气体，氢气是最轻的气体。医学上用氢气来治疗疾病。氢气的爆炸极限为4.0~74.2%（氢气的体积占混合气总体积比）。,https://baike.baidu.com/item/%E6%B0%A2/642031
