page_id,keyword,annotation,url
14,耦合,两个或两个以上的电路构成一个网络时，若其中某一电路中电流或电压发生变化，能影响到其他电路也发生类似的变化，这种网络叫做耦合电路。耦合的作用就是把某一电路的能量输送（或转换）到其他的电路中去。,https://baike.baidu.com/item/%E8%80%A6%E5%90%88/2821124
14,流域,流域，指由分水线所包围的河流集水区。分地面集水区和地下集水区两类。如果地面集水区和地下集水区相重合，称为闭合流域；如果不重合，则称为非闭合流域。平时所称的流域，一般都指地面集水区。,https://baike.baidu.com/item/%E6%B5%81%E5%9F%9F/2883011
12,关键技术,亦称“关键动作”。动作技术中至关重要的部分，它是掌握动作技术、提高运动成绩起决定作用的环节。如跳远技术中的起跳。在体育教学与训练中都需要狠抓这个动作关键。,https://baike.baidu.com/item/%E5%85%B3%E9%94%AE%E6%8A%80%E6%9C%AF/5692286
13,岸线,岸线是一个汉语词语，拼音是àn xiàn，意思是一方以水为界的地区。,https://baike.baidu.com/item/%E5%B2%B8%E7%BA%BF/2440428
12,滩涂,滩涂，是海滩、河滩和湖滩的总称，指沿海大潮高潮位与低潮位之间的潮浸地带，河流湖泊常水位至洪水位间的滩地，时令湖、河洪水位以下的滩地，水库、坑塘的正常蓄水位与最大洪水位间的滩地面积。在地貌学上称谓“潮间带”。由于潮汐的作用，滩涂有时被水淹没，有时又出露水面，其上部经常露出水面，其下部则经常被水淹没。,https://baike.baidu.com/item/%E6%BB%A9%E6%B6%82/5993025
13,河湖,河湖水上酒楼位于元大都遗址公园内，周边环境很好，空气很清新，风景秀丽，是一处不错的所在。店内的菜品挺不错，卖相精致，味道可口。很适合约上朋友来这逛逛，欣赏美景，放松心情。,https://baike.baidu.com/item/%E6%B2%B3%E6%B9%96/14241500
11,调控,调控是一个汉语词语，读音tiáo kòng，调节、控制的意思。另有一个意思，读音diao kòng，调度、控制的意思。,https://baike.baidu.com/item/%E8%B0%83%E6%8E%A7/207531
11,泥沙,,https://baike.baidu.com//item/%E6%B3%A5%E6%B2%99/23199764
8,地质,地质泛指地球的性质和特征。主要是指地球的物质组成、结构、构造、发育历史等，包括地球的圈层分异、物理性质、化学性质、岩石性质、矿物成分、岩层和岩体的产出状态、接触关系，地球的构造发育史、生物进化史、气候变迁史，以及矿产资源的赋存状况和分布规律等。在我国，“地质”一词最早见于三国时魏国王弼（226～249）的《周易注·坤》，但当时属于哲学概念。1853年（清咸丰三年）出版的《地理全书》中的“地质”一词是我国目前所能见到的最早具有科学意义的概念。,https://baike.baidu.com/item/%E5%9C%B0%E8%B4%A8/1222845
8,库岸,水库库岸演变evolution of reservoir banks 在库水与库岸相互作用下，库岸的变化。水库蓄水后，水位迅速上升,水边线向外推移,水体范围扩大。在风的作用下库水面倾斜，生成波浪。上升的库水位抬高岸边地下水水位，使原先处于干燥状态的岩土湿化，增加其容重,降低土体或基岩中软弱结构面的抗剪强度,使岸坡岩土失去平衡，引起岸壁坍落（或滑坡），岸边淤积和岸坡变形。,https://baike.baidu.com/item/%E6%B0%B4%E5%BA%93%E5%BA%93%E5%B2%B8%E6%BC%94%E5%8F%98/3624656
10,干流,干流（main stream）亦称“主流”，干流是水系中主要的或最大的、汇集全流域径流，注入另一水体（海洋、湖泊或其他河流）的水道。是由两条以上大小不等的河流以不同形式汇合，构成一个河道体系。,https://baike.baidu.com/item/%E5%B9%B2%E6%B5%81/5419990
7,检测,用指定的方法检验测试某种物体（气体、液体、固体）指定的技术性能指标。适用于各种行业范畴的质量评定，如：土木建筑工程、水利、食品、化学、环境、机械、机器等等。,https://baike.baidu.com/item/%E6%A3%80%E6%B5%8B/1200916
7,工程,工程是科学和数学的某种应用，通过这一应用，使自然界的物质和能源的特性能够通过各种结构、机器、产品、系统和过程，是以最短的时间和最少的人力、物力做出高效、可靠且对人类有用的东西。将自然科学的理论应用到具体工农业生产部门中形成的各学科的总称。,https://baike.baidu.com/item/%E5%B7%A5%E7%A8%8B/890231
10,黑龙江,黑龙江省，简称“黑”，是中华人民共和国省级行政区，省会哈尔滨， 黑龙江省位于中国东北部，北、东部与俄罗斯隔江相望，西部与内蒙古相邻，南部与吉林省接壤，是中国最北端以及陆地最东端的省级行政区，介于东经121°11′—135°05′，北纬43°26′—53°33′之间，总面积47.3万平方千米，居全国第6位。边境线长2981.26千米。[1-2]黑龙江省地貌特征为“五山一水一草三分田”。地势大致呈西北、北部和东南部高，东北、西南部低，由山地、台地、平原和水面构成；地跨黑龙江、乌苏里江、松花江、绥芬河四大水系，属寒温带与温带大陆性季风气候。黑龙江省位于东北亚区域腹地，是亚洲与太平洋地区陆路通往俄罗斯和欧洲大陆的重要通道，中国沿边开放的重要窗口。2019年，黑龙江省下辖12个地级市、1个地区，共54个市辖区、21个县级市、45个县、1个自治县，常住总人口3751.3万人，实现地区生产总值（GDP）13612.7亿元，其中，第一产业增加值3182.5亿元，第二产业增加值3615.2亿元，第三产业增加值6815.0亿元，三次产业结构为23.4：26.6：50.0，人均地区生产总值实现36183元。,https://baike.baidu.com/item/%E9%BB%91%E9%BE%99%E6%B1%9F/7351
6,混凝土,混凝土，简称为"砼（tóng）"：是指由胶凝材料将集料胶结成整体的工程复合材料的统称。通常讲的混凝土一词是指用水泥作胶凝材料，砂、石作集料；与水（可含外加剂和掺合料）按一定比例配合，经搅拌而得的水泥混凝土，也称普通混凝土，它广泛应用于土木工程。,https://baike.baidu.com/item/%E6%B7%B7%E5%87%9D%E5%9C%9F/14447107
5,地下水,地下水（ground water），是指赋存于地面以下岩石空隙中的水，狭义上是指地下水面以下饱和含水层中的水。在国家标准《水文地质术语》（GB/T 14157-93）中，地下水是指埋藏在地表以下各种形式的重力水。国外学者认为地下水的定义有三种：一是指与地表水有显著区别的所有埋藏在地下水的水，特指含水层中饱水带的那部分水；二是向下流动或渗透，使土壤和岩石饱和，并补给泉和井的水；三是在地下的岩石空洞里、在组成地壳物质的空隙中储存的水。地下水是水资源的重要组成部分，由于水量稳定，水质好，是农业灌溉、工矿和城市的重要水源之一。但在一定条件下，地下水的变化也会引起沼泽化、盐渍化、滑坡、地面沉降等不利自然现象。,https://baike.baidu.com/item/%E5%9C%B0%E4%B8%8B%E6%B0%B4/681516
9,大坝,大坝，汉语词汇，拼音为dà bà，指截河拦水的堤堰，水库、江河等的拦水大堤。一般水库大坝主要由主坝、副坝、重力坝、正常溢洪道、非常溢洪道、新增非常溢洪道、灵正渠涵管及电站组成。,https://baike.baidu.com/item/%E5%A4%A7%E5%9D%9D/8663370
9,水库,水库，一般的解释为“拦洪蓄水和调节水流的水利工程建筑物，可以利用来灌溉、发电、防洪和养鱼。”它是指在山沟或河流的狭口处建造拦河坝形成的人工湖泊。水库建成后，可起防洪、蓄水灌溉、供水、发电、养鱼等作用。有时天然湖泊也称为水库（天然水库）。水库规模通常按库容大小划分，分为小型、中型、大型等。,https://baike.baidu.com/item/%E6%B0%B4%E5%BA%93/2537919
6,高寒,地理学术语，属气候特征的一种。指由于海拔高或者因为纬度高而形成的特别寒冷的气候区。,https://baike.baidu.com/item/%E9%AB%98%E5%AF%92/4227912
4,技术,技术是解决问题的方法及方法原理，是指人们利用现有事物形成新事物，或是改变现有事物功能、性能的方法。技术应具备明确的使用范围和被其它人认知的形式和载体，如原材料（输入）、产成品（输出）、工艺、工具、设备、设施、标准、规范、指标、计量方法等。技术与科学相比，技术更强调实用，而科学更强调研究；技术与艺术相比，技术更强调功能，艺术更强调表达。,https://baike.baidu.com/item/%E6%8A%80%E6%9C%AF/832247
4,示范,示范，读音为shì fàn，汉语词语，意思是做出榜样或典范,供人们学习；起示范作用；把事物摆出来或指出来使人知道。,https://baike.baidu.com/item/%E7%A4%BA%E8%8C%83/363731
3,节水,节约用水，又称节水。是指通过行政、技术、经济等管理手段加强用水管理，调整用水结构，改进用水方式，科学、合理、有计划、有重点的用水，提高水的利用率，避免水资源的浪费。特别要在全民中做好宣传，利用世界水日等活动，教育每个人都要在日常工作或生活中科学用水，自觉节水，达到节约用水，人人有责。节约用水要从点滴做起，看似是一滴水，但是那里的学问很深。我国是一个缺水国家，在日常生活中，我们一拧水龙头，水就源源不断地流出来，可能丝毫感觉不到水的危机。但事实上，我们赖以生存的水，正日益短缺。全世界还有超过10亿的人口用不上清洁的水，因此，人类每年有310万人因饮用不洁水患病而死亡。2019年4月，国家发展改革委、水利部联合印发《国家节水行动方案》,https://baike.baidu.com/item/%E8%8A%82%E7%BA%A6%E7%94%A8%E6%B0%B4/10784542
5,水资源,根据世界气象组织（WMO）和联合国教科文组织（UNESCO）的《INTERNATIONAL GLOSSARY OF HYDROLOGY》（国际水文学名词术语，第三版，2012年）中有关水资源的定义，水资源是指可资利用或有可能被利用的水源，这个水源应具有足够的数量和合适的质量，并满足某一地方在一段时间内具体利用的需求。根据全国科学技术名词审定委员会公布的水利科技名词（科学出版社，1997）中有关水资源的定义，水资源是指地球上具有一定数量和可用质量能从自然界获得补充并可资利用的水。,https://baike.baidu.com/item/%E6%B0%B4%E8%B5%84%E6%BA%90/326690
2,项目,项目是人们通过努力，运用新的方法，将人力的、材料的和财务的资源组织起来，在给定的费用和时间约束规范内，完成一项独立的、一次性的工作任务，以期达到由数量和质量指标所限定的目标。叶圣陶《倪焕之》二五：“教育这个项目当然是不容轻易忽略的。” 洪深 《戏剧导演的初步知识》上篇二：“它们的式样、大小、制造的材料、使用的方法等等，项目繁多。” 秦牧 《艺海拾贝·核心》：“生动的语言和丰富的词汇，看来该是技巧性很强的一个项目了。”项目参数包括项目范围、质量、成本、时间、资源。美国项目管理协会（project Management Institute，PMI)在其出版的《项目管理知识体系指南》（Project Management Body of Knowledge，PMBOK）中为项目所做的定义是：项目是为创造独特的产品、服务或成果而进行的临时性工作。以下活动都可以称为一个项目：1、开发一项新产品；2、计划举行一项大型活动（如策划组织婚礼、大型国际会议等）；3、策划一次自驾游旅游；4、ERP的咨询、开发、实施与培训。,https://baike.baidu.com/item/%E9%A1%B9%E7%9B%AE/477803
1,水资源,根据世界气象组织（WMO）和联合国教科文组织（UNESCO）的《INTERNATIONAL GLOSSARY OF HYDROLOGY》（国际水文学名词术语，第三版，2012年）中有关水资源的定义，水资源是指可资利用或有可能被利用的水源，这个水源应具有足够的数量和合适的质量，并满足某一地方在一段时间内具体利用的需求。根据全国科学技术名词审定委员会公布的水利科技名词（科学出版社，1997）中有关水资源的定义，水资源是指地球上具有一定数量和可用质量能从自然界获得补充并可资利用的水。,https://baike.baidu.com/item/%E6%B0%B4%E8%B5%84%E6%BA%90/326690
1,安全,安全，是一个汉语词语，是指不受威胁，没有危险、危害、损失。当汉语的“安全”一词用来译指英文时，可以与其对应的主要有safety和security两个单词，虽然这两个单词的含义及用法有所不同，但都可在不同意义上与中文“安全”相对应。,https://baike.baidu.com/item/%E5%AE%89%E5%85%A8/32778
2,申报,《申报》原名《申江新报》，1872年4月30日（清同治十一年三月二十三日）在上海创刊，1949年5月27日停刊。是近代中国发行时间最久、具有广泛社会影响的报纸，是中国现代报纸开端的标志。它前后总计经营了77年，历经晚清、北洋政府、国民政府三个时代，共出版27000余期，出版时间之长，影响之广泛，同时期其它报纸难以企及，在中国新闻史和社会史研究上都占有重要地位，被人称为研究中国近现代史的“百科全书”。,https://baike.baidu.com/item/%E7%94%B3%E6%8A%A5/3577852
3,城市污水,即城市地区范围内的生活污水、工业废水和径流污水。一般由城市管渠汇集并应经城市污水处理厂进行处理后排入水体。城市污水中除含有大量有机物及病菌、病毒外，由于工业的高度发展，工业废水的水量 (约占城市污水总量的60～80%) 水质日趋复杂和径流污水的污染日趋严重，使城市污水含有各种类型、不同程度的各种有毒、有害污染物。城市污水的处理涉及很多方面，必须对下水道体制，污水处理厂的位置和处理工艺，处理后污水的利用和排放要求等进行综合规划。,https://baike.baidu.com/item/%E5%9F%8E%E5%B8%82%E6%B1%A1%E6%B0%B4/6268617
