page_id,keyword,annotation,url
14,环氧,环氧是指在有机物里碳链中间加入氧原子，比如最常见的环氧乙烷（CH2-O-CH2）两个碳链在一起组成一个三角形。,https://baike.baidu.com/item/%E7%8E%AF%E6%B0%A7/224587
15,10kHz,时钟频率（又译：时钟频率速度，英语：clock rate），是指同步电路中时钟的基础频率，它以“若干次周期每秒”来度量，量度单位采用SI单位赫兹（Hz）。它是评定CPU性能的重要指标。一般来说主频数字值越大越好。外频，是CPU外部的工作频率，是由主板提供的基准时钟频率。FSB频率，是连接CPU和主板芯片组中的北桥芯片的前端总线（Front Side Bus）上的数据传输频率。CPU的主频和外频间存在这样的关系：主频=外频×倍频。,https://baike.baidu.com/item/%E6%97%B6%E9%92%9F%E9%A2%91%E7%8E%87/103708
14,绝缘材料,绝缘材料是在允许电压下不导电的材料，但不是绝对不导电的材料，在一定外加电场强度作用下，也会发生导电、极化、损耗、击穿等过程，而长期使用还会发生老化。它的电阻率很高，通常在1010～1022Ω·m的范围内。如在电机中，导体周围的绝缘材料将匝间隔离并与接地的定子铁芯隔离开来，以保证电机的安全运行。,https://baike.baidu.com/item/%E7%BB%9D%E7%BC%98%E6%9D%90%E6%96%99/1221405
13,抽水,抽水，是个贬义词，指某人在某事物或人拿取利益。,https://baike.baidu.com/item/%E6%8A%BD%E6%B0%B4/7069850
15,kg,,https://baike.baidu.com//item/KG/15808211
13,蓄能,蓄能技术主要针对热能或电能储存，并着眼于大规模、长时间应用。,https://baike.baidu.com/item/%E8%93%84%E8%83%BD%E6%8A%80%E6%9C%AF/4790489
11,互补,【词目】互补【拼音】hùbǔ【英译】[supplementary]【释义】补足或补充；互相补充，也指两个突变型同时感染E.Colik时，可以互相弥补对方的缺陷，共同增殖，引起细菌裂解，释放原来的两个突变型。,https://baike.baidu.com/item/%E4%BA%92%E8%A1%A5/4091653
10,电网,电力系统中各种电压的变电所及输配电线路组成的整体，称为电力网。它包含变电、输电、配电三个单元。电力网的任务是输送与分配电能，改变电压。,https://baike.baidu.com/item/%E7%94%B5%E7%BD%91/1250763
12,10MW,,https://baike.baidu.com//item/10MW%E9%AB%98%E6%B8%A9%E6%B0%94%E5%86%B7%E5%A0%86
9,柔性,1、物理方面柔性英文为Flexible，也可解释为挠性，是相对刚性而言的一种物体特性。挠性是指物体受力后变形，作用力失去之后物体自身不能恢复原来形状的一种物理性质。而刚性物体受力后，在宏观来看其形状可视为没有发生改变。弹性是指物体受力后变形，作用力失去之后物体自身能恢复原来形状的一种物理性质。其侧重物体的变形结果，而挠性侧重物体自身性质。2、社会方面常用于柔性管理、柔性生产等词语。,https://baike.baidu.com/item/%E6%9F%94%E6%80%A7/300024
8,方法,方法是一个汉语词汇，方法的含义较广泛，一般是指为获得某种东西或达到某种目的而采取的手段与行为方式。方法在哲学，科学及生活中有着不同的解释与定义。,https://baike.baidu.com/item/%E6%96%B9%E6%B3%95/2444
11,分布式,,https://baike.baidu.com//item/%E5%88%86%E5%B8%83%E5%BC%8F/19276232
7,电网,电力系统中各种电压的变电所及输配电线路组成的整体，称为电力网。它包含变电、输电、配电三个单元。电力网的任务是输送与分配电能，改变电压。,https://baike.baidu.com/item/%E7%94%B5%E7%BD%91/1250763
12,储能,储能主要是指电能的储存。储能又是石油油藏中的一个名词，代表储层储存油气的能力。储能本身不是新兴的技术，但从产业角度来说却是刚刚出现，正处在起步阶段。到目前为止，中国没有达到类似美国、日本将储能当作一个独立产业加以看待并出台专门扶持政策的程度，尤其在缺乏为储能付费机制的前提下，储能产业的商业化模式尚未成形。,https://baike.baidu.com/item/%E5%82%A8%E8%83%BD/9238581
10,分布式,,https://baike.baidu.com//item/%E5%88%86%E5%B8%83%E5%BC%8F/19276232
8,配电网,配电网是指从输电网或地区发电厂接受电能，通过配电设施就地分配或按电压逐级分配给各类用户的电力网。是由架空线路、电缆、杆塔、配电变压器、隔离开关、无功补偿器及一些附属设施等组成的，在电力网中起重要分配电能作用的网络。,https://baike.baidu.com/item/%E9%85%8D%E7%94%B5%E7%BD%91/10015844
6,绝缘,绝缘，物理学名词，指使用不导电的物质将带电体隔离或包裹起来，以对触电起保护作用的一种安全措施。良好的绝缘对于保证电气设备与线路的安全运行，防止人身触电事故的发生是最基本的和最可靠的手段。绝缘通常可分为气体绝缘、液体绝缘和固体绝缘三类。在实际应用中，固体绝缘仍是最为广泛使用，且最为可靠的一种绝缘物质。,https://baike.baidu.com/item/%E7%BB%9D%E7%BC%98/13466698
5,直流,直流电源，是维持电路中形成稳恒电压电流的装置。如干电池、蓄电池、直流发电机等。,https://baike.baidu.com/item/%E7%9B%B4%E6%B5%81%E7%94%B5%E6%BA%90/4213709
9,开关,开关的词语解释为开启和关闭。它还是指一个可以使电路开路、使电流中断或使其流到其他电路的电子元件。最常见的开关是让人操作的机电设备，其中有一个或数个电子接点。接点的“闭合”（closed）表示电子接点导通，允许电流流过；开关的“开路”（open）表示电子接点不导通形成开路，不允许电流流过。,https://baike.baidu.com/item/%E5%BC%80%E5%85%B3/2275072
4,互补,【词目】互补【拼音】hùbǔ【英译】[supplementary]【释义】补足或补充；互相补充，也指两个突变型同时感染E.Colik时，可以互相弥补对方的缺陷，共同增殖，引起细菌裂解，释放原来的两个突变型。,https://baike.baidu.com/item/%E4%BA%92%E8%A1%A5/4091653
3,再生能源,能源可以进一步分为再生能源和非再生能源两大类型。再生能源包括太阳能、水能、风能、生物质能、波浪能、潮汐能、海洋温差能、地热能等。它们在自然界可以循环再生。是取之不尽，用之不竭的能源，不需要人力参与便会自动再生，是相对于会穷尽的非再生能源的一种能源。,https://baike.baidu.com/item/%E5%86%8D%E7%94%9F%E8%83%BD%E6%BA%90/5898604
5,限流,,https://baike.baidu.com//item/%E9%99%90%E6%B5%81
3,机组,机组指一组机器，比如压缩机组，制冷机组，发电机组等，一般由原动机驱动压缩机，还包括辅机组成的一套系统。,https://baike.baidu.com/item/%E6%9C%BA%E7%BB%84/11056688
6,环保型,倡导节能环保，用以节约现有能源消耗量，提倡环保型新能源开发，造福社会。首先要了解我们日常生活中到底能源耗费在哪里？污染在哪里？针对主要问题，应提高节能环保效率，减少不必要的能源浪费。,https://baike.baidu.com/item/%E8%8A%82%E8%83%BD%E7%8E%AF%E4%BF%9D/9720948
2,再生能源,能源可以进一步分为再生能源和非再生能源两大类型。再生能源包括太阳能、水能、风能、生物质能、波浪能、潮汐能、海洋温差能、地热能等。它们在自然界可以循环再生。是取之不尽，用之不竭的能源，不需要人力参与便会自动再生，是相对于会穷尽的非再生能源的一种能源。,https://baike.baidu.com/item/%E5%86%8D%E7%94%9F%E8%83%BD%E6%BA%90/5898604
7,调度,调度，常用作动词，意为调动；安排人力、车辆。用作名词时，可以指担负指挥调派人力、工作、车辆等工作的人、调度员，也可以当人讲的一类称呼。见《汉书·佞幸传·董贤》：“哀帝崩。太皇太后召大司马贤，引见东厢，问以丧事调度。”,https://baike.baidu.com/item/%E8%B0%83%E5%BA%A6/206795
2,项目,项目是人们通过努力，运用新的方法，将人力的、材料的和财务的资源组织起来，在给定的费用和时间约束规范内，完成一项独立的、一次性的工作任务，以期达到由数量和质量指标所限定的目标。叶圣陶《倪焕之》二五：“教育这个项目当然是不容轻易忽略的。” 洪深 《戏剧导演的初步知识》上篇二：“它们的式样、大小、制造的材料、使用的方法等等，项目繁多。” 秦牧 《艺海拾贝·核心》：“生动的语言和丰富的词汇，看来该是技巧性很强的一个项目了。”项目参数包括项目范围、质量、成本、时间、资源。美国项目管理协会（project Management Institute，PMI)在其出版的《项目管理知识体系指南》（Project Management Body of Knowledge，PMBOK）中为项目所做的定义是：项目是为创造独特的产品、服务或成果而进行的临时性工作。以下活动都可以称为一个项目：1、开发一项新产品；2、计划举行一项大型活动（如策划组织婚礼、大型国际会议等）；3、策划一次自驾游旅游；4、ERP的咨询、开发、实施与培训。,https://baike.baidu.com/item/%E9%A1%B9%E7%9B%AE/477803
4,调度,调度，常用作动词，意为调动；安排人力、车辆。用作名词时，可以指担负指挥调派人力、工作、车辆等工作的人、调度员，也可以当人讲的一类称呼。见《汉书·佞幸传·董贤》：“哀帝崩。太皇太后召大司马贤，引见东厢，问以丧事调度。”,https://baike.baidu.com/item/%E8%B0%83%E5%BA%A6/206795
1,电网,电力系统中各种电压的变电所及输配电线路组成的整体，称为电力网。它包含变电、输电、配电三个单元。电力网的任务是输送与分配电能，改变电压。,https://baike.baidu.com/item/%E7%94%B5%E7%BD%91/1250763
1,专项,特定的某个项目。例句：～训练。进行～检查。～资金。[1-2],https://baike.baidu.com/item/%E4%B8%93%E9%A1%B9/10927791
