page_id,keyword,annotation,url
1,科学,科学（Science）是一个建立在可检验的解释和对客观事物的形式、组织等进行预测的有序知识系统，是已系统化和公式化了的知识。根据科学反映对象的领域，主要分为自然科学、社会科学、思维科学、形式科学和交叉学科。,https://baike.baidu.com/item/%E7%A7%91%E5%AD%A6/10406
4,实验,实验，指的是科学研究的基本方法之一。根据科学研究的目的，尽可能地排除外界的影响，突出主要因素并利用一些专门的仪器设备，而人为地变革、控制或模拟研究对象，使某一些事物（或过程）发生或再现，从而去认识自然现象、自然性质、自然规律。,https://baike.baidu.com/item/%E5%AE%9E%E9%AA%8C/1051291
4,声源,声音是由物体的振动产生的。一切发声的物体都在振动。物理学中，把正在发声的物体叫声源。如：正在振动的声带、正在振动的音叉、敲响的鼓等都是声源。但是声源是不能脱离其周围的弹性介质的，空间中同样的物体，同样的振动状态，如果脱离了弹性介质，那么就不能产生声波了，这时的振动着的物体不是声源。,https://baike.baidu.com/item/%E5%A3%B0%E6%BA%90/1531590
4,中子源,中子源是能释放出中子的装置。中子源有很多种，从手持放射性源到中子研究设施的研究堆和裂变源。根据中子的能量、中子通量、设备的大小、花费和政府的管制，这些装置在物理、工程、医药、核武器、石油勘探、生物、化学、核动力和其他工业中有着广泛的用途。,https://baike.baidu.com/item/%E4%B8%AD%E5%AD%90%E6%BA%90/10880144
3,湍流,湍流是流体的一种流动状态。当流速很小时，流体分层流动，互不混合，称为层流，也称为稳流或片流；逐渐增加流速，流体的流线开始出现波浪状的摆动，摆动的频率及振幅随流速的增加而增加，此种流况称为过渡流；当流速增加到很大时，流线不再清楚可辨，流场中有许多小漩涡，层流被破坏，相邻流层间不但有滑动，还有混合。这时的流体作不规则运动，有垂直于流管轴线方向的分速度产生，这种运动称为湍流，又称为乱流、扰流或紊流。,https://baike.baidu.com/item/%E6%B9%8D%E6%B5%81/68402
4,先进,先进是一个汉语词汇，拼音是xiānjìn，英文是advanced，意思是首先仕进；位于前列，可为表率。语出宋王安石《谢王司封启》：“不以先进畧后生，不以上官卑下吏。”,https://baike.baidu.com/item/%E5%85%88%E8%BF%9B/282153
3,速度,物理学中用速度来表示物体运动的快慢和方向。速度在数值上等于物体运动的位移跟发生这段位移所用的时间的比值。速度的计算公式为v=Δs/Δt。国际单位制中速度的单位是米每秒。,https://baike.baidu.com/item/%E9%80%9F%E5%BA%A6/5456
3,精度,精度是表示观测值与真值的接近程度。每一种物理量要用数值表示时，必须先要制定一种标准，并选定一种单位 (unit)。这种标准的制定，通常是根据人们对于所要测量的物理量的认识与了解，并且要考虑这标准是否容易复制，或测量的过程是否容易操作等实际问题。,https://baike.baidu.com/item/%E7%B2%BE%E5%BA%A6/5167954
3,技术,技术是解决问题的方法及方法原理，是指人们利用现有事物形成新事物，或是改变现有事物功能、性能的方法。技术应具备明确的使用范围和被其它人认知的形式和载体，如原材料（输入）、产成品（输出）、工艺、工具、设备、设施、标准、规范、指标、计量方法等。技术与科学相比，技术更强调实用，而科学更强调研究；技术与艺术相比，技术更强调功能，艺术更强调表达。,https://baike.baidu.com/item/%E6%8A%80%E6%9C%AF/832247
3,小于,小于等于是一种判断方式，用来表示不等式左侧的值小于等于不等式右侧的值，符号为“≤”。例如3≤5。在各种数学，或编程中会出现。命题中，小于等于是小于或者等于，只要满足一个条件即可成立。小于等于又称为不大于。,https://baike.baidu.com/item/%E5%B0%8F%E4%BA%8E%E7%AD%89%E4%BA%8E/3708346
4,同步,同步指两个或两个以上随时间变化的量在变化过程中保持一定的相对关系。本意是指某人或某事同时进行；同时产生，比如音画同步、动作同步等。同步（英语：Synchronization），指对在一个系统中所发生的事件（event）之间进行协调，在时间上出现一致性与统一化的现象。在系统中进行同步，也被称为及时（in time）、同步化的（synchronous、in sync）。,https://baike.baidu.com/item/%E5%90%8C%E6%AD%A5/984802
3,测量,测量是按照某种规律，用数据来描述观察到的现象，即对事物作出量化描述。测量是对非量化实物的量化过程。在机械工程里面，测量指将被测量与具有计量单位的标准量在数值上进行比较，从而确定二者比值的实验认识过程。,https://baike.baidu.com/item/%E6%B5%8B%E9%87%8F/398072
2,指南,指南，汉语词语，拼音是zhǐ nán，意思是指导，辨别方向的依据。,https://baike.baidu.com/item/%E6%8C%87%E5%8D%97/10153109
4,研究,研究，读音，汉语词语，意思是主动寻求根本性原因与更高可靠性依据，从而为提高事业或功利的可靠性和稳健性而做的工作。,https://baike.baidu.com/item/%E7%A0%94%E7%A9%B6/1883844
2,方向,方向词意是指东，西，南，北四个方位。在生活中，方向代表了人生的理想，追求的目标。生活中叫方向的同名人物，画家，诗人，同名图书，艺人，播音员有很多。,https://baike.baidu.com/item/%E6%96%B9%E5%90%91/4631
2,项目,项目是人们通过努力，运用新的方法，将人力的、材料的和财务的资源组织起来，在给定的费用和时间约束规范内，完成一项独立的、一次性的工作任务，以期达到由数量和质量指标所限定的目标。叶圣陶《倪焕之》二五：“教育这个项目当然是不容轻易忽略的。” 洪深 《戏剧导演的初步知识》上篇二：“它们的式样、大小、制造的材料、使用的方法等等，项目繁多。” 秦牧 《艺海拾贝·核心》：“生动的语言和丰富的词汇，看来该是技巧性很强的一个项目了。”项目参数包括项目范围、质量、成本、时间、资源。美国项目管理协会（project Management Institute，PMI)在其出版的《项目管理知识体系指南》（Project Management Body of Knowledge，PMBOK）中为项目所做的定义是：项目是为创造独特的产品、服务或成果而进行的临时性工作。以下活动都可以称为一个项目：1、开发一项新产品；2、计划举行一项大型活动（如策划组织婚礼、大型国际会议等）；3、策划一次自驾游旅游；4、ERP的咨询、开发、实施与培训。,https://baike.baidu.com/item/%E9%A1%B9%E7%9B%AE/477803
2,研究,研究，读音，汉语词语，意思是主动寻求根本性原因与更高可靠性依据，从而为提高事业或功利的可靠性和稳健性而做的工作。,https://baike.baidu.com/item/%E7%A0%94%E7%A9%B6/1883844
