page_id,keyword,annotation,url
7,活性,活性：原来是从溶液离子的活动度和酶的活性开始，上至高级生命系统和生理机构的功能活动都适用的一种极其概括的非专门术语。活性是指具有生命力 能够顽强活跃下去的一种活动性质。,https://baike.baidu.com/item/%E6%B4%BB%E6%80%A7/7208823
6,纳米,纳米（符号:nm），即为毫微米，是长度的度量单位。1纳米=10的负9次方米。1纳米相当于4倍原子大小，比单个细菌的长度还要小的多。,https://baike.baidu.com/item/%E7%BA%B3%E7%B1%B3/410859
7,纳米材料,纳米材料是指在三维空间中至少有一维处于纳米尺寸(1-100 nm)或由它们作为基本单元构成的材料，这大约相当于10~1000个原子紧密排列在一起的尺度。,https://baike.baidu.com/item/%E7%BA%B3%E7%B1%B3%E6%9D%90%E6%96%99/1534350
6,高频,“高频”指的是高频及感应加热技术，它目前对金属材料加热效率最高、速度最快，且低耗环保。它已经广泛应用于各行各业对金属材料的热加工、热处理、热装配及焊接、熔炼等工艺中。它不但可以对工件整体加热，还能对工件局部的针对性加热；可实现工件的深层透热，也可只对其表面、表层集中加热；不但可对金属材料直接加热，也可对非金属材料进行间接式加热。等等。因此，感应加热技术必将在各行各业中应用越来越广泛。感应加热是指金属受到频带由几十赫兹到几兆赫兹的高频电场的激发后，在金属表面或内部感应出电流并产热的过程。,https://baike.baidu.com/item/%E9%AB%98%E9%A2%91/5658112
6,超声,超声波是一种频率高于20000Hz（赫兹）的声波，它的方向性好，反射能力强，易于获得较集中的声能，在水中传播距离比空气中远，可用于测距、测速、清洗、焊接、碎石、杀菌消毒等。在医学、军事、工业、农业上有很多的应用。超声波因其频率下限超过人的听觉上限而得名。科学家们将每秒钟振动的次数称为声音的频率，它的单位是赫兹（Hz）。我们人类耳朵能听到的声波频率为20Hz~20000Hz。因此，我们把频率高于20000Hz的声波称为“超声波”。通常用于医学诊断的超声波频率为1MHz~30MHz。,https://baike.baidu.com/item/%E8%B6%85%E5%A3%B0%E6%B3%A2/603430
7,裂解,,https://baike.baidu.com//item/%E8%A3%82%E8%A7%A3%E6%B3%95
8,处理,处理是汉语词汇，读作chǔ lǐ，意思是处置、安排、加工，快速的解决问题，也泛指低价出售。,https://baike.baidu.com/item/%E5%A4%84%E7%90%86/4869736
8,削减,削减，读音为xuē jiǎn，汉语词汇，指从原定的数目中减去。,https://baike.baidu.com/item/%E5%89%8A%E5%87%8F/2731119
5,肿瘤,肿瘤（tumour）是指机体在各种致瘤因子作用下，局部组织细胞增生所形成的新生物（neogrowth），因为这种新生物多呈占位性块状突起，也称赘生物（neoplasm）。研究发现，肿瘤细胞会出现不同于正常细胞的代谢变化，同时肿瘤细胞自身可通过糖酵解和氧化磷酸化（OXPHOS）之间的转换来适应代谢环境的改变。2019年，Cancer Cell最新刊登了一篇文章，研究人员发现在禁食状态下使用二甲双胍可以显著抑制肿瘤生长，并提出PP2A-GSK3β-MCL-1通路可能是肿瘤治疗的新靶点。,https://baike.baidu.com/item/%E8%82%BF%E7%98%A4/15525
5,纳米,纳米（符号:nm），即为毫微米，是长度的度量单位。1纳米=10的负9次方米。1纳米相当于4倍原子大小，比单个细菌的长度还要小的多。,https://baike.baidu.com/item/%E7%BA%B3%E7%B1%B3/410859
8,毒性,毒性（toxicity）：又称生物有害性，一般是指外源化学物质与生命机体接触或进入生物活体体内后，能引起直接或间接损害作用的相对能力，或简称为损伤生物体的能力。也可简单表述为，外源化学物在一定条件下损伤生物体的能力。,https://baike.baidu.com/item/%E6%AF%92%E6%80%A7/1523971
4,纳米,纳米（符号:nm），即为毫微米，是长度的度量单位。1纳米=10的负9次方米。1纳米相当于4倍原子大小，比单个细菌的长度还要小的多。,https://baike.baidu.com/item/%E7%BA%B3%E7%B1%B3/410859
4,超快,,https://baike.baidu.com//item/%E8%B6%85%E7%BA%A7%E5%BF%AB
3,材料,,https://baike.baidu.com/item/%E6%9D%90%E6%96%99
3,实验,实验，指的是科学研究的基本方法之一。根据科学研究的目的，尽可能地排除外界的影响，突出主要因素并利用一些专门的仪器设备，而人为地变革、控制或模拟研究对象，使某一些事物（或过程）发生或再现，从而去认识自然现象、自然性质、自然规律。,https://baike.baidu.com/item/%E5%AE%9E%E9%AA%8C/1051291
3,纳米,纳米（符号:nm），即为毫微米，是长度的度量单位。1纳米=10的负9次方米。1纳米相当于4倍原子大小，比单个细菌的长度还要小的多。,https://baike.baidu.com/item/%E7%BA%B3%E7%B1%B3/410859
2,纳米材料,纳米材料是指在三维空间中至少有一维处于纳米尺寸(1-100 nm)或由它们作为基本单元构成的材料，这大约相当于10~1000个原子紧密排列在一起的尺度。,https://baike.baidu.com/item/%E7%BA%B3%E7%B1%B3%E6%9D%90%E6%96%99/1534350
2,纳米,纳米（符号:nm），即为毫微米，是长度的度量单位。1纳米=10的负9次方米。1纳米相当于4倍原子大小，比单个细菌的长度还要小的多。,https://baike.baidu.com/item/%E7%BA%B3%E7%B1%B3/410859
2,项目,项目是人们通过努力，运用新的方法，将人力的、材料的和财务的资源组织起来，在给定的费用和时间约束规范内，完成一项独立的、一次性的工作任务，以期达到由数量和质量指标所限定的目标。叶圣陶《倪焕之》二五：“教育这个项目当然是不容轻易忽略的。” 洪深 《戏剧导演的初步知识》上篇二：“它们的式样、大小、制造的材料、使用的方法等等，项目繁多。” 秦牧 《艺海拾贝·核心》：“生动的语言和丰富的词汇，看来该是技巧性很强的一个项目了。”项目参数包括项目范围、质量、成本、时间、资源。美国项目管理协会（project Management Institute，PMI)在其出版的《项目管理知识体系指南》（Project Management Body of Knowledge，PMBOK）中为项目所做的定义是：项目是为创造独特的产品、服务或成果而进行的临时性工作。以下活动都可以称为一个项目：1、开发一项新产品；2、计划举行一项大型活动（如策划组织婚礼、大型国际会议等）；3、策划一次自驾游旅游；4、ERP的咨询、开发、实施与培训。,https://baike.baidu.com/item/%E9%A1%B9%E7%9B%AE/477803
4,电子束,电子经过汇集成束。具有高能量密度。它是利用电子枪中阴极所产生的电子在阴阳极间的高压（25-300kV）加速电场作用下被加速至很高的速度（0.3-0.7倍光速），经透镜会聚作用后，形成密集的高速电子流。,https://baike.baidu.com/item/%E7%94%B5%E5%AD%90%E6%9D%9F/3516265
1,专项,特定的某个项目。例句：～训练。进行～检查。～资金。[1-2],https://baike.baidu.com/item/%E4%B8%93%E9%A1%B9/10927791
1,纳米,纳米（符号:nm），即为毫微米，是长度的度量单位。1纳米=10的负9次方米。1纳米相当于4倍原子大小，比单个细菌的长度还要小的多。,https://baike.baidu.com/item/%E7%BA%B3%E7%B1%B3/410859
1,科技,社会上习惯于把科学和技术连在一起，统称为科学技术，简称科技。实际二者既有密切联系，又有重要区别。科学解决理论问题，技术解决实际问题。科学要解决的问题，是发现自然界中确凿的事实与现象之间的关系，并建立理论把事实与现象联系起来；技术的任务则是把科学的成果应用到实际问题中去。科学主要是和未知的领域打交道，其进展，尤其是重大的突破，是难以预料的；技术是在相对成熟的领域内工作，可以做比较准确的规划。,https://baike.baidu.com/item/%E7%A7%91%E5%AD%A6%E6%8A%80%E6%9C%AF/3348043
5,转移,转移，意为将某物移动到某地。语出《周礼·天官·大宰》：“九曰闲民，无常职，转移执事。”,https://baike.baidu.com/item/%E8%BD%AC%E7%A7%BB/10973370
