page_id,keyword,annotation,url
22,项目,项目是人们通过努力，运用新的方法，将人力的、材料的和财务的资源组织起来，在给定的费用和时间约束规范内，完成一项独立的、一次性的工作任务，以期达到由数量和质量指标所限定的目标。叶圣陶《倪焕之》二五：“教育这个项目当然是不容轻易忽略的。” 洪深 《戏剧导演的初步知识》上篇二：“它们的式样、大小、制造的材料、使用的方法等等，项目繁多。” 秦牧 《艺海拾贝·核心》：“生动的语言和丰富的词汇，看来该是技巧性很强的一个项目了。”项目参数包括项目范围、质量、成本、时间、资源。美国项目管理协会（project Management Institute，PMI)在其出版的《项目管理知识体系指南》（Project Management Body of Knowledge，PMBOK）中为项目所做的定义是：项目是为创造独特的产品、服务或成果而进行的临时性工作。以下活动都可以称为一个项目：1、开发一项新产品；2、计划举行一项大型活动（如策划组织婚礼、大型国际会议等）；3、策划一次自驾游旅游；4、ERP的咨询、开发、实施与培训。,https://baike.baidu.com/item/%E9%A1%B9%E7%9B%AE/477803
23,项目,项目是人们通过努力，运用新的方法，将人力的、材料的和财务的资源组织起来，在给定的费用和时间约束规范内，完成一项独立的、一次性的工作任务，以期达到由数量和质量指标所限定的目标。叶圣陶《倪焕之》二五：“教育这个项目当然是不容轻易忽略的。” 洪深 《戏剧导演的初步知识》上篇二：“它们的式样、大小、制造的材料、使用的方法等等，项目繁多。” 秦牧 《艺海拾贝·核心》：“生动的语言和丰富的词汇，看来该是技巧性很强的一个项目了。”项目参数包括项目范围、质量、成本、时间、资源。美国项目管理协会（project Management Institute，PMI)在其出版的《项目管理知识体系指南》（Project Management Body of Knowledge，PMBOK）中为项目所做的定义是：项目是为创造独特的产品、服务或成果而进行的临时性工作。以下活动都可以称为一个项目：1、开发一项新产品；2、计划举行一项大型活动（如策划组织婚礼、大型国际会议等）；3、策划一次自驾游旅游；4、ERP的咨询、开发、实施与培训。,https://baike.baidu.com/item/%E9%A1%B9%E7%9B%AE/477803
21,示范,示范，读音为shì fàn，汉语词语，意思是做出榜样或典范,供人们学习；起示范作用；把事物摆出来或指出来使人知道。,https://baike.baidu.com/item/%E7%A4%BA%E8%8C%83/363731
20,医疗器械,医疗器械是指直接或者间接用于人体的仪器、设备、器具、体外诊断试剂及校准物、材料以及其他类似或者相关的物品，包括所需要的计算机软件。效用主要通过物理等方式获得，不是通过药理学、免疫学或者代谢的方式获得，或者虽然有这些方式参与但是只起辅助作用。目的是疾病的诊断、预防、监护、治疗或者缓解；损伤的诊断、监护、治疗、缓解或者功能补偿；生理结构或者生理过程的检验、替代、调节或者支持；生命的支持或者维持；妊娠控制；通过对来自人体的样本进行检查，为医疗或者诊断目的提供信息。,https://baike.baidu.com/item/%E5%8C%BB%E7%96%97%E5%99%A8%E6%A2%B0/883406
17,肿瘤,肿瘤（tumour）是指机体在各种致瘤因子作用下，局部组织细胞增生所形成的新生物（neogrowth），因为这种新生物多呈占位性块状突起，也称赘生物（neoplasm）。研究发现，肿瘤细胞会出现不同于正常细胞的代谢变化，同时肿瘤细胞自身可通过糖酵解和氧化磷酸化（OXPHOS）之间的转换来适应代谢环境的改变。2019年，Cancer Cell最新刊登了一篇文章，研究人员发现在禁食状态下使用二甲双胍可以显著抑制肿瘤生长，并提出PP2A-GSK3β-MCL-1通路可能是肿瘤治疗的新靶点。,https://baike.baidu.com/item/%E8%82%BF%E7%98%A4/15525
16,脉冲,脉冲通常是指电子技术中经常运用的一种像脉搏似的短暂起伏的电冲击(电压或电流)。主要特性有波形、幅度、宽度和重复频率。脉冲是相对于连续信号在整个信号周期内短时间发生的信号，大部分信号周期内没有信号。就像人的脉搏一样。现在一般指数字信号，它已经是一个周期内有一半时间有信号。计算机内的信号就是脉冲信号，又叫数字信号。此外，脉冲也用来表示思想感情上的冲动和要求。,https://baike.baidu.com/item/%E8%84%89%E5%86%B2/1938481
15,等离子体,等离子体(plasma)又叫做电浆，是由部分电子被剥夺后的原子及原子团被电离后产生的正负离子组成的离子化气体状物质，尺度大于德拜长度的宏观电中性电离气体，其运动主要受电磁力支配，并表现出显著的集体行为。它广泛存在于宇宙中，常被视为是除去固、液、气外，物质存在的第四态。等离子体是一种很好的导电体，利用经过巧妙设计的磁场可以捕捉、移动和加速等离子体。等离子体物理的发展为材料、能源、信息、环境空间、空间物理、地球物理等科学的进一步发展提供了新的技术和工艺。等离子体是不同于固体、液体和气体的物质第四态。物质由分子构成，分子由原子构成，原子由带正电的原子核和围绕它的、带负电的电子构成。当被加热到足够高的温度或其他原因，外层电子摆脱原子核的束缚成为自由电子，就像下课后的学生跑到操场上随意玩耍一样。电子离开原子核，这个过程就叫做“电离”。这时，物质就变成了由带正电的原子核和带负电的电子组成的、一团均匀的“浆糊”，因此人们戏称它为离子浆，这些离子浆中正负电荷总量相等，因此它是近似电中性的，所以就叫等离子体。,https://baike.baidu.com/item/%E7%AD%89%E7%A6%BB%E5%AD%90%E4%BD%93/106920
14,申报,《申报》原名《申江新报》，1872年4月30日（清同治十一年三月二十三日）在上海创刊，1949年5月27日停刊。是近代中国发行时间最久、具有广泛社会影响的报纸，是中国现代报纸开端的标志。它前后总计经营了77年，历经晚清、北洋政府、国民政府三个时代，共出版27000余期，出版时间之长，影响之广泛，同时期其它报纸难以企及，在中国新闻史和社会史研究上都占有重要地位，被人称为研究中国近现代史的“百科全书”。,https://baike.baidu.com/item/%E7%94%B3%E6%8A%A5/3577852
13,PET,pet里面有聚对苯二甲酸乙二醇酯是热塑性聚酯中最主要的品种，英文名为Polyethylene terephthalate 简称PET或PEIT(以下或称为PET)，俗称涤纶树脂。它是对苯二甲酸与乙二醇的缩聚物，与PBT一起统称为热塑性聚酯，或饱和聚酯。,https://baike.baidu.com/item/pet/13523
12,经费,经费是指行政事业单位为完成工作任务和事业计划所需经常费用的统称。这些单位一般不直接从事物质资料生产，没有独立、稳定的收入来源。或者虽有一部分收入，但大都不足以抵补本身的业务支出，需要国家预算拨付经费。经费按用途可分为人员经费和公用经费。或分为维持经费和发展经费。前者指维持原有行政事业单位机构及规模的人员经费和公用经费; 后者是指在计划年度内，经批准新增加的机构、人员或其他事业项目所需的经费。原单位增加少量人员，不增设机构和不扩大事业项目的，属于自然增长，不作为发展经费。,https://baike.baidu.com/item/%E7%BB%8F%E8%B4%B9/1705671
