page_id,keyword,annotation,url
12,保证率,保证率是某气象要素值小于或大于某一数值的可靠程度，通常以某气象要素在长时期内小于或大于某一数值的累积频率来表示。,https://baike.baidu.com/item/%E4%BF%9D%E8%AF%81%E7%8E%87/8967476
11,监测,监测是一个汉语词语，读音为jiān cè，动词，释义为监视、检测。监，监视监听监督的意思。测，测试测量测验的意思。,https://baike.baidu.com/item/%E7%9B%91%E6%B5%8B/1024076
11,水资源,根据世界气象组织（WMO）和联合国教科文组织（UNESCO）的《INTERNATIONAL GLOSSARY OF HYDROLOGY》（国际水文学名词术语，第三版，2012年）中有关水资源的定义，水资源是指可资利用或有可能被利用的水源，这个水源应具有足够的数量和合适的质量，并满足某一地方在一段时间内具体利用的需求。根据全国科学技术名词审定委员会公布的水利科技名词（科学出版社，1997）中有关水资源的定义，水资源是指地球上具有一定数量和可用质量能从自然界获得补充并可资利用的水。,https://baike.baidu.com/item/%E6%B0%B4%E8%B5%84%E6%BA%90/326690
10,长江口,长江口，是指长江在东海入海口的一段水域，从江苏江阴鹅鼻嘴起，到入海口的鸡骨礁为止，长约232公里。长江口平面呈喇叭形，窄口端江面宽度5.8公里，宽口江面宽度90公里。长江口一段长江干流，汇入的较大支流有黄浦江、浏河、练祁河等。是一段由岛屿、沙洲分割的多支汊河段。主要有北支、南支、北港、南港、北槽、南槽等构成。现代地理形势最终形成于20世纪初，并且在继续延伸的态势。长江口是长江出海和远洋航运的口门，航道、港口众多，给上海市及江苏东部的经济繁荣奠定了基础，自20世纪初开始长江口区域经济飞速发展，逐渐成为中国经济发展最快的地区之一。,https://baike.baidu.com/item/%E9%95%BF%E6%B1%9F%E5%8F%A3/69574
10,淮河,位于中国中东部，上游河南，下游华东苏皖，介于长江与黄河之间，是中国七大河之一。古称淮水，与长江、黄河和济水并称“四渎”，是中国七大江河之一。淮河发源于河南省南阳市桐柏县西部的桐柏山主峰太白顶西北侧河谷，干流流经河南、安徽、江苏三省，淮河干流可以分为上游、中游、下游三部分，全长1000公里，总落差200米。洪河口以上为上游，长360公里，地面落差178米，流域面积3.06万平方公里；洪河口以下至洪泽湖出口中渡为中游，长490公里，地面落差16米，中渡以上流域面积15.8万平方公里；中渡以下至三江营为下游入江水道，长150公里，三江营以上流域面积为16.46万平方公里。淮河流域地跨河南、安徽、江苏和山东四省，流域面积约为27万平方公里，以废黄河为界，整个流域分成淮河和沂沭泗河两大水系，流域面积分别为19万平方公里和8万平方公里。,https://baike.baidu.com/item/%E6%B7%AE%E6%B2%B3/230880
9,水库,水库，一般的解释为“拦洪蓄水和调节水流的水利工程建筑物，可以利用来灌溉、发电、防洪和养鱼。”它是指在山沟或河流的狭口处建造拦河坝形成的人工湖泊。水库建成后，可起防洪、蓄水灌溉、供水、发电、养鱼等作用。有时天然湖泊也称为水库（天然水库）。水库规模通常按库容大小划分，分为小型、中型、大型等。,https://baike.baidu.com/item/%E6%B0%B4%E5%BA%93/2537919
9,两湖,两湖指的是湖南、湖北两路。分界为洞庭湖。该名称历史悠久，宋代称荆湖南、湖北两路为“两湖”。清朝时合称湖南、湖北两省为“两湖”。,https://baike.baidu.com/item/%E4%B8%A4%E6%B9%96/3864777
8,工程,工程是科学和数学的某种应用，通过这一应用，使自然界的物质和能源的特性能够通过各种结构、机器、产品、系统和过程，是以最短的时间和最少的人力、物力做出高效、可靠且对人类有用的东西。将自然科学的理论应用到具体工农业生产部门中形成的各学科的总称。,https://baike.baidu.com/item/%E5%B7%A5%E7%A8%8B/890231
7,石坝,石坝镇位于惠州市博罗县东北部，与河源、紫金等地接壤，属珠江三角洲经济发展区，总面积180.6平方公里，常用耕地面积4.23万亩，辖22个村委会2个居委会，户籍人口44037人，暂住人口580人。08年全镇地区生产总值5.65亿元，同比增长18.5%，工农业总产值3.32亿元，其中农业总产值2.45亿元，工业总产值0.87亿元，农民人均纯收入5214元，是广东省农牧业较发达的乡镇之一。石坝镇交通便利，205国道、惠(州)河(源)高速公路、广梅汕铁路及拟建的广河高速公路纵贯全镇中心，构筑了流畅、高效的陆路运输网络。地理位置优越，距惠州市60公里，离河原25公里，至广州135公里，到深圳120公里，是珠三角地区通往粤北山区的交通重镇。石坝镇是典型的农业镇。目前拥有3个黑皮果蔗标准化种植示范基地和9000亩的花生、蔬菜、菊花生产基地，“黑皮果蔗”、“三黄胡须鸡”，“三元杂猪苗”远销全国，是广东省的名优产品。由于交通便利，石坝已成为远近闻名的“中巴镇”，共有200多辆客运车，运输业成为石坝镇的特色产业。,https://baike.baidu.com/item/%E7%9F%B3%E5%9D%9D%E9%95%87/23762
12,调度,调度，常用作动词，意为调动；安排人力、车辆。用作名词时，可以指担负指挥调派人力、工作、车辆等工作的人、调度员，也可以当人讲的一类称呼。见《汉书·佞幸传·董贤》：“哀帝崩。太皇太后召大司马贤，引见东厢，问以丧事调度。”,https://baike.baidu.com/item/%E8%B0%83%E5%BA%A6/206795
