page_id,keyword,annotation,url
1,网络,网络是由若干节点和连接这些节点的链路构成，表示诸多对象及其相互联系。在1999年之前，人们一般认为网络的结构都是随机的。但随着Barabasi和Watts在1999年分别发现了网络的无标度和小世界特性并分别在世界著名的《科学》和《自然》杂志上发表了他们的发现之后，人们才认识到网络的复杂性。网络会借助文字阅读、图片查看、影音播放、下载传输、游戏、聊天等软件工具从文字、图片、声音、视频等方面给人们带来极其丰富的生活和美好的享受。,https://baike.baidu.com/item/%E7%BD%91%E7%BB%9C/143243
27,智能,智能，是智慧和能力的总称，中国古代思想家一般把智与能看做是两个相对独立的概念。也有不少思想家把二者结合起来作为一个整体看待。,https://baike.baidu.com/item/%E6%99%BA%E8%83%BD/66637
29,终端,,https://baike.baidu.com/item/%E7%BB%88%E7%AB%AF/1903878
24,频段,频段，是一个有关波和通讯方面的词语。在机械波中，频段是指声音频率和波长而言，人耳对声音频率的感觉是从最低的20Hz到最高的20KHz，而人的语音频率范围则集中在80Hz~12kHz之间，人对不同频段的声音的感受是不同的。在通讯领域中，频段指的是电磁波的频率范围，单位为Hz，按照频率的大小，可以分为：甚低频（VLF）3 kHz~30 kHz，对应电磁波的波长为甚长波100 km~10 km。低频（LF）30 kHz ~300 kHz，对应电磁波的波长为长波10 km~1 km。中频（MF）300 kHz～3000 kHz，对应电磁波的波长为中波1000 m~100 m。高频（HF）3 MHz～30 MHz，对应电磁波的波长为短波100 m~10 m。甚高频（VHF）30 MHz~300 MHz，对应电磁波的波长为米波10 m~1 m。特高频（UHF）300 MHz～3000 MHz，对应电磁波的波长为分米波100cm~10 cm。超高频（SHF）3 GHz~30 GHz，对应电磁波的波长为厘米波10 cm~1 cm。极高频（EHF）30 GHz~300 GHz，对应电磁波的波长为毫米波10 mm～1 mm。至高频300 GHz～3000 GHz，，对应电磁波的波长为丝米波1 mm～0.1 mm。,https://baike.baidu.com/item/%E9%A2%91%E6%AE%B5/10828844
26,智能,智能，是智慧和能力的总称，中国古代思想家一般把智与能看做是两个相对独立的概念。也有不少思想家把二者结合起来作为一个整体看待。,https://baike.baidu.com/item/%E6%99%BA%E8%83%BD/66637
25,射频,射频（RF）是Radio Frequency的缩写，表示可以辐射到空间的电磁频率，频率范围从300kHz～300GHz之间。射频就是射频电流，简称RF，它是一种高频交流变化电磁波的简称。每秒变化小于1000次的交流电称为低频电流，大于10000次的称为高频电流，而射频就是这样一种高频电流。射频（300K-300G）是高频(大于10K)的较高频段，微波频段（300M-300G）又是射频的较高频段。在电子学理论中，电流流过导体，导体周围会形成磁场；交变电流通过导体，导体周围会形成交变的电磁场，称为电磁波。在电磁波频率低于100kHz时，电磁波会被地表吸收，不能形成有效的传输，但电磁波频率高于100kHz时，电磁波可以在空气中传播，并经大气层外缘的电离层反射，形成远距离传输能力。我们把具有远距离传输能力的高频电磁波称为射频。射频技术在无线通信领域中被广泛使用，有线电视系统就是采用射频传输方式。,https://baike.baidu.com/item/%E5%B0%84%E9%A2%91/775402
28,覆盖,覆盖是一个汉语词语，读音是fù gài，意思是指遮盖、掩盖，也指空中某点发出的电波笼罩下方一定范围的地面。该词语在《后汉书·张衡传》和《玉台新咏·古诗为焦仲卿妻作》等文献均有记载。,https://baike.baidu.com/item/%E8%A6%86%E7%9B%96/33299
23,毫米波,毫米波 （millimeter wave ）：波长为1～10毫米的电磁波称毫米波，它位于微波与远红外波相交叠的波长范围，因而兼有两种波谱的特点。毫米波的理论和技术分别是微波向高频的延伸和光波向低频的发展。2020年6月15日，中国工程院院士刘韵洁表示，南京网络通讯与安全紫金山实验室已研制出CMOS毫米波全集成4通道相控阵芯片。,https://baike.baidu.com/item/%E6%AF%AB%E7%B1%B3%E6%B3%A2/2458350
22,可见光,可见光是电磁波谱中人眼可以感知的部分，可见光谱没有精确的范围；一般人的眼睛可以感知的电磁波的频率在380~750THz，波长在780～400nm之间，但还有一些人能够感知到频率大约在340~790THz，波长大约在880～380nm之间的电磁波。正常视力的人眼对绿光最为敏感。人眼可以看见的光的范围受大气层影响。大气层对于大部分的电磁辐射来讲都是不透明的，只有可见光波段和其他少数如无线电通讯波段等例外。不少其他生物能看见的光波范围跟人类不一样，例如包括蜜蜂在内的一些昆虫能看见紫外线波段，对于寻找花蜜有很大帮助。最近的一项研究发现，可见光也有可能“透视”肉身。,https://baike.baidu.com/item/%E5%8F%AF%E8%A7%81%E5%85%89/1241853
17,同轴,同轴输出是(英文Sony/Philips Digital Inter Face(简称SPDIF)，是SONY、PHILIPS家用数字音频接口的简称）。可以传输LPCM流和Dolby Digital、DTS这类环绕声压缩音频信号。SPDIF从传输介质上来分为同轴和光纤两种，其实它们可传输的信号是相同的，只不过是载体不同，接口和连线外观也有差异。但光信号传输是今后流行的趋势，其主要优势在于无需考虑接口电平及阻抗问题，接口灵活且抗干扰能力更强。,https://baike.baidu.com/item/%E5%90%8C%E8%BD%B4%E8%BE%93%E5%87%BA/8975508
19,赫兹,赫兹是国际单位制中频率的单位，它是每秒钟的周期性变动重复次数的计量。赫兹简称赫。每秒钟振动（或振荡、波动）一次为1赫兹，或可写成次/秒，周/秒。因德国科学家赫兹而命名。,https://baike.baidu.com/item/%E8%B5%AB%E5%85%B9/7245576
21,复用,通信术语中的复用，指的是信道复用技术。复用（multiplexing）是通信技术中的基本概念。在计算机网络中的信道广泛地使用各种复用技术。,https://baike.baidu.com/item/%E5%A4%8D%E7%94%A8/9857249
18,宽带接入,宽带是相对传统拨号上网而言，尽管目前没有统一标准规定宽带的带宽应达到多少，但依据大众习惯和网络多媒体数据流量考虑，网络的数据传输速率至少应达到256Kbps才能称之为宽带，其最大优势是带宽远远超过56Kbps拨号上网方式。,https://baike.baidu.com/item/%E5%AE%BD%E5%B8%A6%E6%8E%A5%E5%85%A5/1179442
20,互连,互连是指不用接插软线或跳线，使用连接器件把一端的电缆或光缆与另一端的光缆、电缆直接相连的一种连接方式。,https://baike.baidu.com/item/%E4%BA%92%E8%BF%9E/5922473
14,无线通信,无线通信（英语：Wireless communication）是指多个节点间不经由导体或缆线传播进行的远距离传输通讯，利用收音机、无线电等都可以进行无线通讯。无线通讯包括各种固定式、移动式和便携式应用，例如双向无线电、手机、个人数码助理及无线网络。其他无线电无线通讯的例子还有GPS、车库门遥控器、无线鼠标等。大部分无线通讯技术会用到无线电，包括距离只到数米的Wi-fi，也包括和航海家1号通讯、距离超过数百万公里的深空网络。但有些无线通讯的技术不使用无线电，而是使用其他的电磁波无线技术，例如光、磁场、电场等。,https://baike.baidu.com/item/%E6%97%A0%E7%BA%BF%E9%80%9A%E4%BF%A1/80254
12,传输,传输是一个汉语词语，意义为传递，输送。在电信业中，传输是一种传输电学消息（连带经过媒介的辐射能现象）的行为。消息可以是一串或者一组数据单元，比如二进制数字，通常也称为帧或者块。,https://baike.baidu.com/item/%E4%BC%A0%E8%BE%93/7078195
