page_id,keyword,annotation,url
17,压裂,在石油领域，压裂是指采油或采气过程中，利用水力作用，使油气层形成裂缝的一种方法，又称水力压裂。压裂是人为地使地层产生裂缝，改善油在地下的流动环境，使油井产量增加，对改善油井井底流动条件、减缓层间和改善油层动用状况可起到重要的作用。在塑料领域，压裂是层合塑料的一种缺陷。通常是指以纸、布或其他材料为基材的层合塑料，因成型压力过大而引起的基材破坏的现象。透过表层树脂可观察到有明显裂纹。,https://baike.baidu.com/item/%E5%8E%8B%E8%A3%82/2433044
18,微生物,微生物包括：细菌、病毒、真菌以及一些小型的原生生物、显微藻类等在内的一大类生物群体，它个体微小，与人类关系密切。涵盖了有益跟有害的众多种类，广泛涉及食品、医药、工农业、环保、体育等诸多领域。在我国教科书中，将微生物划分为以下8大类：细菌、病毒、真菌、放线菌、立克次氏体、支原体、衣原体、螺旋体。有些微生物是肉眼可以看见的，像属于真菌的蘑菇、灵芝、香菇等。还有微生物是一类由核酸和蛋白质等少数几种成分组成的“非细胞生物”,https://baike.baidu.com/item/%E5%BE%AE%E7%94%9F%E7%89%A9/147527
16,控温,,https://baike.baidu.com//item/%E6%8E%A7%E6%B8%A9
15,轴承,轴承（Bearing）是当代机械设备中一种重要零部件。它的主要功能是支撑机械旋转体，降低其运动过程中的摩擦系数（friction coefficient），并保证其回转精度（accuracy）。,https://baike.baidu.com/item/%E8%BD%B4%E6%89%BF/177492
18,健康,健康是指一个人在身体、精神和社会等方面都处于良好的状态。健康包括两个方面的内容：一是主要脏器无疾病，身体形态发育良好，体形均匀，人体各系统具有良好的生理功能，有较强的身体活动能力和劳动能力，这是对健康最基本的要求；二是对疾病的抵抗能力较强，能够适应环境变化，各种生理刺激以及致病因素对身体的作用。传统的健康观是“无病即健康”，现代人的健康观是整体健康，世界卫生组织提出“健康不仅是躯体没有疾病，还要具备心理健康、社会适应良好和有道德”。因此，现代人的健康内容包括：躯体健康、心理健康、心灵健康、社会健康、智力健康、道德健康、环境健康等。健康是人的基本权利。健康是人生的第一财富。,https://baike.baidu.com/item/%E5%81%A5%E5%BA%B7/352662
17,燃爆,燃爆是一个汉语词语，拼音rán bào，是指点火使爆炸。,https://baike.baidu.com/item/%E7%87%83%E7%88%86/5039044
14,升力,升力，就是向上的力。 使你上升的力。 有很多种了。一般都是说在空气中。 也就是向上的力大于向下的力，其合力可以使物体上升。 这个力就是升力。升力的成因较复杂，因为要考虑实际流体的粘性、可压缩性等诸多条件。大多用的是库塔儒可夫斯基定理，它是工程师计算飞机升力最精确的方法。具体内容就是由绕翼环流导致升力，产生了上下压力差，这个压力差就是升力 (Y)，升力和向后的诱导阻力（d）合成为空气动力（R）。流过各个剖面升力总合就是机翼的升力。升力维持飞机在空中飞行。,https://baike.baidu.com/item/%E5%8D%87%E5%8A%9B/5747784
16,架构,架构，又名软件架构，是有关软件整体结构与组件的抽象描述，用于指导大型软件系统各个方面的设计。架构描述语言（ADL）用于描述软件的体系架构。现在已有多种架构描述语言，如Wright（由卡内基梅隆大学开发），Acme（由卡内基梅隆大学开发），C2（由UCI开发），Darwin（由伦敦帝国学院开发）。ADL的基本构成包括组件、连接器和配置。,https://baike.baidu.com/item/%E6%9E%B6%E6%9E%84/13004195
13,工程化,广义的工程化能力包括信息情报、国际化采购能力、新材料、新工艺、新技术应用能力、样机的工程实现与测试能力等。,https://baike.baidu.com/item/%E5%B7%A5%E7%A8%8B%E5%8C%96%E8%83%BD%E5%8A%9B/357768
12,载体,载体，汉语词汇。读作 zài tǐ。科学技术上指某些能传递能量或承载其他物质的物质。现也泛指一切能够承载其他事物的事物。,https://baike.baidu.com/item/%E8%BD%BD%E4%BD%93/3330351
12,纳米,纳米（符号:nm），即为毫微米，是长度的度量单位。1纳米=10的负9次方米。1纳米相当于4倍原子大小，比单个细菌的长度还要小的多。,https://baike.baidu.com/item/%E7%BA%B3%E7%B1%B3/410859
13,纤维化,纤维化（fibrosis）是一个医学概念，纤维化可发生于多种器官，主要病理改变为器官组织内纤维结缔组织增多，实质细胞减少，持续进展可致器官结构破坏和功能减退，乃至衰竭，严重威胁人类健康和生命。,https://baike.baidu.com/item/%E7%BA%A4%E7%BB%B4%E5%8C%96/4459120
