page_id,keyword,annotation,url
17,火力发电,火力发电（thermal power，thermoelectricity power generation），利用可燃物在燃烧时产生的热能，通过发电动力装置转换成电能的一种发电方式。中国的煤炭资源丰富，1990年产煤10.9亿吨，其中发电用煤仅占12%。火力发电仍有巨大潜力。,https://baike.baidu.com/item/%E7%81%AB%E5%8A%9B%E5%8F%91%E7%94%B5/1041668
17,再生能源,能源可以进一步分为再生能源和非再生能源两大类型。再生能源包括太阳能、水能、风能、生物质能、波浪能、潮汐能、海洋温差能、地热能等。它们在自然界可以循环再生。是取之不尽，用之不竭的能源，不需要人力参与便会自动再生，是相对于会穷尽的非再生能源的一种能源。,https://baike.baidu.com/item/%E5%86%8D%E7%94%9F%E8%83%BD%E6%BA%90/5898604
15,储供,储具，汉语词语，拼音是chǔ jù，意思是犹储备、储供。,https://baike.baidu.com/item/%E5%82%A8%E5%85%B7/905595
14,ppm,ppm指Pages per minute，即为每分钟打印的页数，这是衡量打印机打印速度的重要参数，是指连续打印时的平均速度。又指用溶质质量占全部溶液质量的百万分比来表示的浓度，也称百万分比浓度。ppm是英文part per million的缩写，表示百万分之几，在不同的场合与某些物理量组合，常用于表示器件某个直流参数的精度。Private placement memorandum，基金购买说明书。估计不良率（PPM compression algorithm），衡量制程能力。Pulse-position modulation，脉冲位置调变。一种图片格式，常见类型为24位RGB二进制保存。,https://baike.baidu.com/item/ppm/1192317
15,加氢,氢与其他化合物相互作用的反应过程，通常是在催化剂存在下进行的。加氢反应属还原的范畴。,https://baike.baidu.com/item/%E5%8A%A0%E6%B0%A2/2837694
16,高压,高压，读音gāo yā，汉语词语，意思是指高高遮盖，用强权压制和迫害。,https://baike.baidu.com/item/%E9%AB%98%E5%8E%8B/32950
14,氢气,氢气，化学式为H₂，分子量为2.01588，常温常压下，是一种极易燃烧。无色透明、无臭无味且难溶于水的气体。氢气是世界上已知的密度最小的气体，氢气的密度只有空气的1/14，即在1标准大气压和0℃，氢气的密度为0.089g/L。所以氢气可作为飞艇、氢气球的填充气体（由于氢气具有可燃性，安全性不高，飞艇现多用氦气填充）。氢气是相对分子质量最小的物质，还原性较强，常作为还原剂参与化学反应。氢气 （H2） 最早于16世纪初被人工制备，当时使用的方法是将金属置于强酸中。1766–1781年，亨利·卡文迪许发现氢元素，氢气燃烧生成水（2H₂+O₂点燃=2H₂O），拉瓦锡根据这一性质将该元素命名为 “hydrogenium”（“生成水的物质”之意，“hydro”是“水”，“gen”是“生成”，”ium"是元素通用后缀）。19 世纪50 年代英国医生合信（B.Hobson）编写《博物新编》（1855 年）时，把“hydrogen”翻译为“轻气”，意为最轻气体。工业上一般从天然气或水煤气制氢气，而不采用高耗能的电解水的方法。制得的氢气大量用于石化行业的裂化反应和生产氨气。氢气分子可以进入许多金属的晶格中，造成“氢脆”现象，使得氢气的存储罐和管道需要使用特殊材料（如蒙耐尔合金），设计也更加复杂。2018年2月，中国实现氢气的低温制备和存储，荣获科技部2017年度中国科学十大进展。,https://baike.baidu.com/item/%E6%B0%A2%E6%B0%94/1760269
16,测试,测试是具有试验性质的测量，即测量和试验的综合。而测试手段就是仪器仪表。由于测试和测量密切相关，在实际使用中往往并不严格区分测试与测量。测试的基本任务就是获取有用的信息，通过借助专门的仪器、设备，设计合理的实验方法以及进行必要的信号分析与数据处理，从而获得与被测对象有关的信息。测试最终的结果是将显示的信息输入到信息处理库中，进行控制。,https://baike.baidu.com/item/测试

12,燃料电池,燃料电池是一种把燃料所具有的化学能直接转换成电能的化学装置，又称电化学发电器。它是继水力发电、热能发电和原子能发电之后的第四种发电技术。由于燃料电池是通过电化学反应把燃料的化学能中的吉布斯自由能部分转换成电能，不受卡诺循环效应的限制，因此效率高; 另外，燃料电池用燃料和氧气作为原料；同时没有机械传动部件，故没有噪声污染，排放出的有害气体极少。由此可见，从节约能源和保护生态环境的角度来看，燃料电池是最有发展前途的发电技术。,https://baike.baidu.com/item/%E7%87%83%E6%96%99%E7%94%B5%E6%B1%A0/111249
13,储氢,储氢材料(hydrogen storage material)一类能可逆地吸收和释放氢气的材料。最早发现的是金属钯，1体积钯能溶解几百体积的氢气，但钯很贵，缺少实用价值。,https://baike.baidu.com/item/%E5%82%A8%E6%B0%A2%E6%9D%90%E6%96%99/2375853
13,技术,技术是解决问题的方法及方法原理，是指人们利用现有事物形成新事物，或是改变现有事物功能、性能的方法。技术应具备明确的使用范围和被其它人认知的形式和载体，如原材料（输入）、产成品（输出）、工艺、工具、设备、设施、标准、规范、指标、计量方法等。技术与科学相比，技术更强调实用，而科学更强调研究；技术与艺术相比，技术更强调功能，艺术更强调表达。,https://baike.baidu.com/item/%E6%8A%80%E6%9C%AF/832247
11,电极,电子或电器装置、设备中的一种部件，用做导电介质(固体、气体、真空或电解质溶液)中输入或导出电流的两个端。输入电流的一极叫阳极或正极，放出电流的一极叫阴极或负极。电极有各种类型，如阴极、阳极、焊接电极、电炉电极等。在电池中电极一般指与电解质溶液发生氧化还原反应的位置。电极有正负之分，一般正极为阴极，获得电子，发生还原反应，负极则为阳极，失去电子发生氧化反应。电极可以是金属或非金属，只要能够与电解质溶液交换电子，即成为电极。,https://baike.baidu.com/item/%E7%94%B5%E6%9E%81/10614240
12,空压机,空气压缩机是一种用以压缩气体的设备。空气压缩机与水泵构造类似。大多数空气压缩机是往复活塞式，旋转叶片或旋转螺杆。离心式压缩机是非常大的应用程序。,https://baike.baidu.com/item/%E7%A9%BA%E6%B0%94%E5%8E%8B%E7%BC%A9%E6%9C%BA/3736299
10,温差,温差是指物体温度的高低差别数值。按所取平均方法不同可分为算术平均温差和对数平均温差。温差在不同的学科领域，有不同的应用，比如昼夜温差、海洋温差，热岛强度和噪声等效温差等。,https://baike.baidu.com/item/%E6%B8%A9%E5%B7%AE/3521784
