page_id,keyword,annotation,url
6,基于,基于是一个汉语词语，拼音是jī yú，意思是由于、根据。出自老舍 《四世同堂》四五：“友情的结合，往往是基于一件偶然的事情与遭遇的。”,https://baike.baidu.com/item/%E5%9F%BA%E4%BA%8E/763397
5,环境,人类生存的空间及其中可以直接或间接影响人类生活和发展的各种自然因素称为环境。对人的心理发生实际影响的整个生活环境也称为环境，更多称为心理环境。,https://baike.baidu.com/item/%E7%8E%AF%E5%A2%83/277567
6,人工,泛指人造的；人为的 。语出晋陶潜《饮酒》诗之十五：“贫居乏人工，灌木荒余宅。”,https://baike.baidu.com/item/%E4%BA%BA%E5%B7%A5/4377695
6,高性能,高性能计算(High performance computing， 缩写HPC) 指通常使用很多处理器（作为单个机器的一部分）或者某一集群中组织的几台计算机（作为单个计 算资源操作）的计算系统和环境。有许多类型的HPC 系统，其范围从标准计算机的大型集群，到高度专用的硬件。大多数基于集群的HPC系统使用高性能网络互连，比如那些来自 InfiniBand 或 Myrinet 的网络互连。基本的网络拓扑和组织可以使用一个简单的总线拓扑，在性能很高的环境中，网状网络系统在主机之间提供较短的潜伏期，所以可改善总体网络性能和传输速率。,https://baike.baidu.com/item/%E9%AB%98%E6%80%A7%E8%83%BD%E8%AE%A1%E7%AE%97/329249
5,计算,计算，汉语词语。有“核算数目，根据已 知量算出未知量；运算”和“考虑；谋虑”两种含义。,https://baike.baidu.com/item/%E8%AE%A1%E7%AE%97/81857
5,高性能,高性能计算(High performance computing， 缩写HPC) 指通常使用很多处理器（作为单个机器的一部分）或者某一集群中组织的几台计算机（作为单个计 算资源操作）的计算系统和环境。有许多类型的HPC 系统，其范围从标准计算机的大型集群，到高度专用的硬件。大多数基于集群的HPC系统使用高性能网络互连，比如那些来自 InfiniBand 或 Myrinet 的网络互连。基本的网络拓扑和组织可以使用一个简单的总线拓扑，在性能很高的环境中，网状网络系统在主机之间提供较短的潜伏期，所以可改善总体网络性能和传输速率。,https://baike.baidu.com/item/%E9%AB%98%E6%80%A7%E8%83%BD%E8%AE%A1%E7%AE%97/329249
4,数据,数据（data）是事实或观察的结果，是对客观事物的逻辑归纳，是用于表示客观事物的未经加工的原始素材。数据可以是连续的值，比如声音、图像，称为模拟数据；也可以是离散的，如符号、文字，称为数字数据。在计算机系统中，数据以二进制信息单元0、1的形式表示。,https://baike.baidu.com/item/%E6%95%B0%E6%8D%AE/5947370
4,虚拟,虚拟是一个汉语词汇，读音为xūnǐ，指不符合或不一定符合事实的虚拟的情况；凭想象编造的事；由高科技术实现的仿实物或伪实物的技术。,https://baike.baidu.com/item/%E8%99%9A%E6%8B%9F/10866735
4,高性能,高性能计算(High performance computing， 缩写HPC) 指通常使用很多处理器（作为单个机器的一部分）或者某一集群中组织的几台计算机（作为单个计 算资源操作）的计算系统和环境。有许多类型的HPC 系统，其范围从标准计算机的大型集群，到高度专用的硬件。大多数基于集群的HPC系统使用高性能网络互连，比如那些来自 InfiniBand 或 Myrinet 的网络互连。基本的网络拓扑和组织可以使用一个简单的总线拓扑，在性能很高的环境中，网状网络系统在主机之间提供较短的潜伏期，所以可改善总体网络性能和传输速率。,https://baike.baidu.com/item/%E9%AB%98%E6%80%A7%E8%83%BD%E8%AE%A1%E7%AE%97/329249
5,实践,实践有着诸多的含义，经典的观点是主观见之于客观，包含客观对于主观的必然及主观对于客观的必然。实践就是人们能动地改造和探索现实世界一切客观物质的社会性活动。实践的基本特征：客观性、能动性和社会历史性。实践的基本形式：经济、政治、军事、教育、科学技术、文化、卫生、体育、民族、宗教、司法、社会治安、社会管理、社会交往、劳动就业与社会保障、公共服务等活动。,https://baike.baidu.com/item/%E5%AE%9E%E8%B7%B5/5800441
