page_id,keyword,annotation,url
14,申报,《申报》原名《申江新报》，1872年4月30日（清同治十一年三月二十三日）在上海创刊，1949年5月27日停刊。是近代中国发行时间最久、具有广泛社会影响的报纸，是中国现代报纸开端的标志。它前后总计经营了77年，历经晚清、北洋政府、国民政府三个时代，共出版27000余期，出版时间之长，影响之广泛，同时期其它报纸难以企及，在中国新闻史和社会史研究上都占有重要地位，被人称为研究中国近现代史的“百科全书”。,https://baike.baidu.com/item/%E7%94%B3%E6%8A%A5/3577852
12,加工,加工是通过一定工序和方式将原材料、半成品转化为目标需求的过程的总称。,https://baike.baidu.com/item/%E5%8A%A0%E5%B7%A5/7353178
13,项目数,项目数据分析是通过对项目数据全方位的科学分析来评估项目的可行性，为投资方决策项目提供科学、严谨的依据，降低项目投资的风险。,https://baike.baidu.com/item/%E9%A1%B9%E7%9B%AE%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90/5104557
14,经费,经费是指行政事业单位为完成工作任务和事业计划所需经常费用的统称。这些单位一般不直接从事物质资料生产，没有独立、稳定的收入来源。或者虽有一部分收入，但大都不足以抵补本身的业务支出，需要国家预算拨付经费。经费按用途可分为人员经费和公用经费。或分为维持经费和发展经费。前者指维持原有行政事业单位机构及规模的人员经费和公用经费; 后者是指在计划年度内，经批准新增加的机构、人员或其他事业项目所需的经费。原单位增加少量人员，不增设机构和不扩大事业项目的，属于自然增长，不作为发展经费。,https://baike.baidu.com/item/%E7%BB%8F%E8%B4%B9/1705671
10,养殖,养殖是指培育和繁殖动植物。养殖包括家畜养殖、家禽养殖、水产养殖和特种养殖等种类。,https://baike.baidu.com/item/%E5%85%BB%E6%AE%96/2946467
10,加工,加工是通过一定工序和方式将原材料、半成品转化为目标需求的过程的总称。,https://baike.baidu.com/item/%E5%8A%A0%E5%B7%A5/7353178
11,养殖,养殖是指培育和繁殖动植物。养殖包括家畜养殖、家禽养殖、水产养殖和特种养殖等种类。,https://baike.baidu.com/item/%E5%85%BB%E6%AE%96/2946467
9,东海,东海是由中国大陆和中国台湾岛以及朝鲜半岛与日本九州岛、琉球群岛等围绕的边缘海。东北部通过对马海峡与日本海相通，西南部通过台湾海峡与南海相连。,https://baike.baidu.com/item/%E4%B8%9C%E6%B5%B7/18322
13,方及,,https://baike.baidu.com//item/%E6%96%B9%E5%8F%8A%EF%BC%88%E5%B9%BF%E5%B7%9E%EF%BC%89%E5%95%86%E8%B4%B8%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8
9,养殖,养殖是指培育和繁殖动植物。养殖包括家畜养殖、家禽养殖、水产养殖和特种养殖等种类。,https://baike.baidu.com/item/%E5%85%BB%E6%AE%96/2946467
12,捕捞,捕捞是汉语词汇，拼音bǔ lāo，意思是捕捉捞取鱼类和其他水产经济动物。,https://baike.baidu.com/item/%E6%8D%95%E6%8D%9E/8125289
11,南海,南海，位于中国大陆的南方，是太平洋西部海域，中国三大边缘海之一，该海域自然海域面积约350万平方公里，其中中国领海总面积约210万平方公里，为中国近海中面积最大、水最深的海区，平均水深1212米，最大深度5559米。[1-4]南海南北纵跨约2000公里，东西横越约1000公里，北起广东省南澳岛与台湾岛南端鹅銮鼻一线，南至加里曼丹岛、苏门答腊岛，西依中国大陆、中南半岛、马来半岛，东抵菲律宾，通过海峡或水道东与太平洋相连，西与印度洋相通，是一个东北-西南走向的半封闭海。[2-6]中国汉代、南北朝时称为涨海、沸海。清代逐渐改称南海。南海诸岛包括东沙群岛、西沙群岛、中沙群岛和南沙群岛。南海中国大陆海岸线长5800多公里，沿海地区包括广东、广西和海南、台湾。南海北部沿岸海域是传统经济鱼类的重要产卵场和索饵场。[5-6]南海有丰富的海洋油气矿产资源、滨海和海岛旅游资源、海洋能资源、港口航运资源、热带亚热带生物资源，是中国最重要的海岛和珊瑚礁、红树林、海草床等热带生态系统分布区。20世纪70年代始，越南、菲律宾、马来西亚等国相继出兵侵占了南沙部分岛礁，引发南海争端。,https://baike.baidu.com/item/%E5%8D%97%E6%B5%B7/27429
