page_id,keyword,annotation,url
17,探针,探针是电测试的接触媒介，为高端精密型电子五金元器件。,https://baike.baidu.com/item/%E6%8E%A2%E9%92%88/1846154
17,PDX,Pro/ENGINEER级进模（Pro/ENGINEER Progressive Die）简称PDXPDX（progressive die extension）扩展级进模是pro/e程序的一个扩展模块。（1）该模块可以用于为钣金件快速和方便地设计级进模和单工序模。（2）利用定制的解决方案来开发级进模的模具能取得更好的效果。（3）向导可指导用户完成自定义钢带布局定义、冲头模具创建以及模具组件的放置和修改。（4）文档、间隙切口和钻孔均会自动创建，能避免手动执行容易出现的错误。,https://baike.baidu.com/item/PDX/6729505
16,探针,探针是电测试的接触媒介，为高端精密型电子五金元器件。,https://baike.baidu.com/item/%E6%8E%A2%E9%92%88/1846154
15,造影剂,造影剂（又称对比剂，contrast media）是为增强影像观察效果而注入（或服用）到人体组织或器官的化学制品。这些制品的密度高于或低于周围组织，形成的对比用某些器械显示图像。如X线观察常用的碘制剂、硫酸钡等。,https://baike.baidu.com/item/%E9%80%A0%E5%BD%B1%E5%89%82/153924
14,生物学,生物分类学通常直接称分类学（英语：taxonomy），是一门研究生物类群间的异同以及异同程度，阐明生物间的亲缘关系、基因遗传、物种进化过程和发展规律的基础科学。要将生物分类，首先要知道生物与非生物的定义，但是我们似乎没有办法准确定义，以病毒来说，虽然可在其他生物体内寄生并复制，但在生物体外却没有一般生物的特征如制造或摄取营养，生殖等现象。又如引起疯牛病的朊粒(prion)可以造成感染却无DNA成分，一直以来，DNA被视为生命遗传物质，经由与RNA的转录转译过程, 形成蛋白质，再进一步形成组成细胞的各个部分，如细胞膜、胞器等，而细胞则是我们长久以来所认为组成生命体的最小单位。这种分类应该反映不同生物体间的进化树关系。分类学把生物划分为不同的群，而系统学试图寻找生物之间的关系。占主导地位的分类法是林奈氏分类系统（Linnaean），它包括一个属名和种加词。,https://baike.baidu.com/item/%E7%94%9F%E7%89%A9%E5%88%86%E7%B1%BB%E5%AD%A6/1298770
13,正交,正交是线性代数的概念，是垂直这一直观概念的推广。作为一个形容词，只有在一个确定的内积空间中才有意义。若内积空间中两向量的内积为0，则称它们是正交的。如果能够定义向量间的夹角，则正交可以直观的理解为垂直。物理中：运动的独立性，也可以用正交来解释。,https://baike.baidu.com/item/%E6%AD%A3%E4%BA%A4/36310
16,微纳,,https://baike.baidu.com//item/%E5%BE%AE%E7%BA%B3%E5%88%B6%E9%80%A0%E6%8A%80%E6%9C%AF
12,蛋白质,蛋白质是组成人体一切细胞、组织的重要成分。机体所有重要的组成部分都需要有蛋白质的参与。一般说，蛋白质约占人体全部质量的18%，最重要的还是其与生命现象有关。蛋白质（protein）是生命的物质基础，是有机大分子，是构成细胞的基本有机物，是生命活动的主要承担者。没有蛋白质就没有生命。氨基酸是蛋白质的基本组成单位。它是与生命及与各种形式的生命活动紧密联系在一起的物质。机体中的每一个细胞和所有重要组成部分都有蛋白质参与。蛋白质占人体重量的16%~20%，即一个60kg重的成年人其体内约有蛋白质9.6~12kg。人体内蛋白质的种类很多，性质、功能各异，但都是由20种氨基酸（Amino acid）按不同比例组合而成的，并在体内不断进行代谢与更新。,https://baike.baidu.com/item/%E8%9B%8B%E7%99%BD%E8%B4%A8/309120
13,元件,元件即是小型的机器、仪器的组成部分，其本身常由若干零件构成，可以在同类产品中通用；常指电器、无线电、仪表等工业的某些零件，如电容、晶体管、游丝、发条等。主要分为：杀毒元件，电子元件，气动元件，霍尔元件等。元件是可反复取出使用的图形、按钮或一段小动画，元件中的小动画可以独立于主动画进行播放，每个元件可由多个独立的元素组合而成。许多商用计算机辅助工程(CAE)软件设计包能够在给定的应用功率电平和给定的电路参数设置条件下建模经过射频/微波电路的热量流动，包括PCB的热导率。,https://baike.baidu.com/item/%E5%85%83%E4%BB%B6/7390839
12,细胞,细胞（英文名：cell）并没有统一的定义，比较普遍的提法是：细胞是生物体基本的结构和功能单位。已知除病毒之外的所有生物均由细胞所组成，但病毒生命活动也必须在细胞中才能体现。一般来说，细菌等绝大部分微生物以及原生动物由一个细胞组成，即单细胞生物，高等植物与高等动物则是多细胞生物。细胞可分为原核细胞、真核细胞两类，但也有人提出应分为三类，即把原属于原核细胞的古核细胞独立出来作为与之并列的一类。研究细胞的学科称为细胞生物学。细胞体形极微，在显微镜下始能窥见，形状多种多样。主要由细胞核与细胞质构成，表面有细胞膜。高等植物细胞膜外有细胞壁，细胞质中常有质体，体内有叶绿体和液泡，还有线粒体。动物细胞无细胞壁，细胞质中常有中心体，而高等植物细胞中则无。细胞有运动、营养和繁殖等机能。,https://baike.baidu.com/item/%E7%BB%86%E8%83%9E/84931
