page_id,keyword,annotation,url
58,协同,协同一词来自古希腊语, 或曰协和、同步、和谐、协调、协作、合作, 是协同(Synergetics)的基本范畴。协同的定义, 《说文》提到“协, 众之同和也。同, 合会也”。所谓协同，就是指协调两个或者两个以上的不同资源或者个体，协同一致地完成某一目标的过程或能力。而所有有助于协同的软件都可以称作是协同软件。协同，按照康德关于范畴表中关于关系范畴的论述，协同至主动与受动之间的交互作用。,https://baike.baidu.com/item/%E5%8D%8F%E5%90%8C/5865610
57,协同,协同一词来自古希腊语, 或曰协和、同步、和谐、协调、协作、合作, 是协同(Synergetics)的基本范畴。协同的定义, 《说文》提到“协, 众之同和也。同, 合会也”。所谓协同，就是指协调两个或者两个以上的不同资源或者个体，协同一致地完成某一目标的过程或能力。而所有有助于协同的软件都可以称作是协同软件。协同，按照康德关于范畴表中关于关系范畴的论述，协同至主动与受动之间的交互作用。,https://baike.baidu.com/item/%E5%8D%8F%E5%90%8C/5865610
56,协同,协同一词来自古希腊语, 或曰协和、同步、和谐、协调、协作、合作, 是协同(Synergetics)的基本范畴。协同的定义, 《说文》提到“协, 众之同和也。同, 合会也”。所谓协同，就是指协调两个或者两个以上的不同资源或者个体，协同一致地完成某一目标的过程或能力。而所有有助于协同的软件都可以称作是协同软件。协同，按照康德关于范畴表中关于关系范畴的论述，协同至主动与受动之间的交互作用。,https://baike.baidu.com/item/%E5%8D%8F%E5%90%8C/5865610
55,协同,协同一词来自古希腊语, 或曰协和、同步、和谐、协调、协作、合作, 是协同(Synergetics)的基本范畴。协同的定义, 《说文》提到“协, 众之同和也。同, 合会也”。所谓协同，就是指协调两个或者两个以上的不同资源或者个体，协同一致地完成某一目标的过程或能力。而所有有助于协同的软件都可以称作是协同软件。协同，按照康德关于范畴表中关于关系范畴的论述，协同至主动与受动之间的交互作用。,https://baike.baidu.com/item/%E5%8D%8F%E5%90%8C/5865610
54,协同,协同一词来自古希腊语, 或曰协和、同步、和谐、协调、协作、合作, 是协同(Synergetics)的基本范畴。协同的定义, 《说文》提到“协, 众之同和也。同, 合会也”。所谓协同，就是指协调两个或者两个以上的不同资源或者个体，协同一致地完成某一目标的过程或能力。而所有有助于协同的软件都可以称作是协同软件。协同，按照康德关于范畴表中关于关系范畴的论述，协同至主动与受动之间的交互作用。,https://baike.baidu.com/item/%E5%8D%8F%E5%90%8C/5865610
53,协同,协同一词来自古希腊语, 或曰协和、同步、和谐、协调、协作、合作, 是协同(Synergetics)的基本范畴。协同的定义, 《说文》提到“协, 众之同和也。同, 合会也”。所谓协同，就是指协调两个或者两个以上的不同资源或者个体，协同一致地完成某一目标的过程或能力。而所有有助于协同的软件都可以称作是协同软件。协同，按照康德关于范畴表中关于关系范畴的论述，协同至主动与受动之间的交互作用。,https://baike.baidu.com/item/%E5%8D%8F%E5%90%8C/5865610
52,协同,协同一词来自古希腊语, 或曰协和、同步、和谐、协调、协作、合作, 是协同(Synergetics)的基本范畴。协同的定义, 《说文》提到“协, 众之同和也。同, 合会也”。所谓协同，就是指协调两个或者两个以上的不同资源或者个体，协同一致地完成某一目标的过程或能力。而所有有助于协同的软件都可以称作是协同软件。协同，按照康德关于范畴表中关于关系范畴的论述，协同至主动与受动之间的交互作用。,https://baike.baidu.com/item/%E5%8D%8F%E5%90%8C/5865610
50,协同,协同一词来自古希腊语, 或曰协和、同步、和谐、协调、协作、合作, 是协同(Synergetics)的基本范畴。协同的定义, 《说文》提到“协, 众之同和也。同, 合会也”。所谓协同，就是指协调两个或者两个以上的不同资源或者个体，协同一致地完成某一目标的过程或能力。而所有有助于协同的软件都可以称作是协同软件。协同，按照康德关于范畴表中关于关系范畴的论述，协同至主动与受动之间的交互作用。,https://baike.baidu.com/item/%E5%8D%8F%E5%90%8C/5865610
51,协同,协同一词来自古希腊语, 或曰协和、同步、和谐、协调、协作、合作, 是协同(Synergetics)的基本范畴。协同的定义, 《说文》提到“协, 众之同和也。同, 合会也”。所谓协同，就是指协调两个或者两个以上的不同资源或者个体，协同一致地完成某一目标的过程或能力。而所有有助于协同的软件都可以称作是协同软件。协同，按照康德关于范畴表中关于关系范畴的论述，协同至主动与受动之间的交互作用。,https://baike.baidu.com/item/%E5%8D%8F%E5%90%8C/5865610
49,协同,协同一词来自古希腊语, 或曰协和、同步、和谐、协调、协作、合作, 是协同(Synergetics)的基本范畴。协同的定义, 《说文》提到“协, 众之同和也。同, 合会也”。所谓协同，就是指协调两个或者两个以上的不同资源或者个体，协同一致地完成某一目标的过程或能力。而所有有助于协同的软件都可以称作是协同软件。协同，按照康德关于范畴表中关于关系范畴的论述，协同至主动与受动之间的交互作用。,https://baike.baidu.com/item/%E5%8D%8F%E5%90%8C/5865610
48,协同,协同一词来自古希腊语, 或曰协和、同步、和谐、协调、协作、合作, 是协同(Synergetics)的基本范畴。协同的定义, 《说文》提到“协, 众之同和也。同, 合会也”。所谓协同，就是指协调两个或者两个以上的不同资源或者个体，协同一致地完成某一目标的过程或能力。而所有有助于协同的软件都可以称作是协同软件。协同，按照康德关于范畴表中关于关系范畴的论述，协同至主动与受动之间的交互作用。,https://baike.baidu.com/item/%E5%8D%8F%E5%90%8C/5865610
47,协同,协同一词来自古希腊语, 或曰协和、同步、和谐、协调、协作、合作, 是协同(Synergetics)的基本范畴。协同的定义, 《说文》提到“协, 众之同和也。同, 合会也”。所谓协同，就是指协调两个或者两个以上的不同资源或者个体，协同一致地完成某一目标的过程或能力。而所有有助于协同的软件都可以称作是协同软件。协同，按照康德关于范畴表中关于关系范畴的论述，协同至主动与受动之间的交互作用。,https://baike.baidu.com/item/%E5%8D%8F%E5%90%8C/5865610
45,回收,回收利用的一种。指从废物中分离出来的有用物质经过物理或机械加工成为再利用的制品。,https://baike.baidu.com/item/%E5%9B%9E%E6%94%B6/6369931
44,测量,测量是按照某种规律，用数据来描述观察到的现象，即对事物作出量化描述。测量是对非量化实物的量化过程。在机械工程里面，测量指将被测量与具有计量单位的标准量在数值上进行比较，从而确定二者比值的实验认识过程。,https://baike.baidu.com/item/%E6%B5%8B%E9%87%8F/398072
39,制造,把原材料加工成适用的产品制作，或将原材料加工成器物。也可指造成某种气氛或局面。,https://baike.baidu.com/item/%E5%88%B6%E9%80%A0/8681656
40,应用,应用（Application），一般指手机和平板电脑的应用。在面向对象上通常分为个人用户应用与企业级应用，在移动端系统分类上主要包括iOS（如：同步推等）、Android（如：AirDroid、百度应用等）和windows phone的xap和appx。,https://baike.baidu.com/item/%E5%BA%94%E7%94%A8/3994271
41,制造,把原材料加工成适用的产品制作，或将原材料加工成器物。也可指造成某种气氛或局面。,https://baike.baidu.com/item/%E5%88%B6%E9%80%A0/8681656
46,拆解,拆，汉语常用字（一级字），读作chāi或者cā，会意字，最早见于《说文》小篆。本义是“拆开”，这一本义在现代汉语中仍然沿用，如“拆信”“拆除”“拆毁”等；引申义有分别、辨析等。（基本信息栏参考资料：）,https://baike.baidu.com/item/%E6%8B%86/22057
36,服务型,服务型模式全称服务型政府行政模式，是一种与后工业经济社会相适应的，从政府提供公共服务的观念出发、以公共委托代理为特征的政府行政范式。,https://baike.baidu.com/item/%E6%9C%8D%E5%8A%A1%E5%9E%8B%E6%A8%A1%E5%BC%8F/12803571
34,价值链,价值链(value chain)概念首先由迈克尔·波特(Michael E.Porter)于1985年提出。最初，波特所指的价值链主要是指针对垂直一体化公司的，强调单个企业的竞争优势。随着国际外包业务的开展，波特于1998年进一步提出了价值体系(value system)的概念，将研究视角扩展到不同的公司之间，这与后来出现的全球价值链(global value chain)概念有一定的共通之处。之后，寇伽特(Kogut)也提出了价值链的概念，他的观点比波特的观点更能反映价值链的垂直分离和全球空间再配置之间的关系。2001年，格里芬在分析全球范围内国际分工与产业联系问题时，提出了全球价值链概念。全球价值链概念提供了一种基于网络、用来分析国际性生产的地理和组织特征的分析方法，揭示了全球产业的动态性特征。,https://baike.baidu.com/item/%E4%BB%B7%E5%80%BC%E9%93%BE/4766235
37,协同,协同一词来自古希腊语, 或曰协和、同步、和谐、协调、协作、合作, 是协同(Synergetics)的基本范畴。协同的定义, 《说文》提到“协, 众之同和也。同, 合会也”。所谓协同，就是指协调两个或者两个以上的不同资源或者个体，协同一致地完成某一目标的过程或能力。而所有有助于协同的软件都可以称作是协同软件。协同，按照康德关于范畴表中关于关系范畴的论述，协同至主动与受动之间的交互作用。,https://baike.baidu.com/item/%E5%8D%8F%E5%90%8C/5865610
35,价值链,价值链(value chain)概念首先由迈克尔·波特(Michael E.Porter)于1985年提出。最初，波特所指的价值链主要是指针对垂直一体化公司的，强调单个企业的竞争优势。随着国际外包业务的开展，波特于1998年进一步提出了价值体系(value system)的概念，将研究视角扩展到不同的公司之间，这与后来出现的全球价值链(global value chain)概念有一定的共通之处。之后，寇伽特(Kogut)也提出了价值链的概念，他的观点比波特的观点更能反映价值链的垂直分离和全球空间再配置之间的关系。2001年，格里芬在分析全球范围内国际分工与产业联系问题时，提出了全球价值链概念。全球价值链概念提供了一种基于网络、用来分析国际性生产的地理和组织特征的分析方法，揭示了全球产业的动态性特征。,https://baike.baidu.com/item/%E4%BB%B7%E5%80%BC%E9%93%BE/4766235
