page_id,keyword,annotation,url
10,开采区,开发区是指由国务院和省、自治区、直辖市人民政府批准在城市规划区内设立的经济技术开发区、保税区、高新技术产业开发区、国家旅游度假区等实行国家特定优惠政策的各类开发区。同时，开发区特指的是未被开发的地方，是具有经济或人文环境潜力的地方，所以称之为开发区。,https://baike.baidu.com/item/%E5%BC%80%E5%8F%91%E5%8C%BA/5630742
9,技术,技术是解决问题的方法及方法原理，是指人们利用现有事物形成新事物，或是改变现有事物功能、性能的方法。技术应具备明确的使用范围和被其它人认知的形式和载体，如原材料（输入）、产成品（输出）、工艺、工具、设备、设施、标准、规范、指标、计量方法等。技术与科学相比，技术更强调实用，而科学更强调研究；技术与艺术相比，技术更强调功能，艺术更强调表达。,https://baike.baidu.com/item/%E6%8A%80%E6%9C%AF/832247
9,开采区,开发区是指由国务院和省、自治区、直辖市人民政府批准在城市规划区内设立的经济技术开发区、保税区、高新技术产业开发区、国家旅游度假区等实行国家特定优惠政策的各类开发区。同时，开发区特指的是未被开发的地方，是具有经济或人文环境潜力的地方，所以称之为开发区。,https://baike.baidu.com/item/%E5%BC%80%E5%8F%91%E5%8C%BA/5630742
10,配套,配套，汉语词汇，读音是 pèi tào，解释是把多种相关事物组合在一起成为一个整体。,https://baike.baidu.com/item/%E9%85%8D%E5%A5%97/4887575
7,大湾,大湾镇地处重庆市渝北区北部，北与四川邻水接壤，南与古路、统景，西与茨竹，东与大盛等镇相接，幅员面积117.71平方千米。渝邻高速路贯穿境内，区级中心镇，距重庆江北国际机场仅半小时车程，距区政府38千米，到龙头寺火车站、寸滩深水港口只需40分钟时间，水陆空交通运输方便快捷。,https://baike.baidu.com/item/%E5%A4%A7%E6%B9%BE%E9%95%87/10195
6,场地,场地，是指工程群体所在地，具有相似的反应谱特征，其范围相当于厂区、居民小区和自然村或不小于1.0km2的平面面积。,https://baike.baidu.com/item/%E5%9C%BA%E5%9C%B0/2585002
7,场地,场地，是指工程群体所在地，具有相似的反应谱特征，其范围相当于厂区、居民小区和自然村或不小于1.0km2的平面面积。,https://baike.baidu.com/item/%E5%9C%BA%E5%9C%B0/2585002
6,技术,技术是解决问题的方法及方法原理，是指人们利用现有事物形成新事物，或是改变现有事物功能、性能的方法。技术应具备明确的使用范围和被其它人认知的形式和载体，如原材料（输入）、产成品（输出）、工艺、工具、设备、设施、标准、规范、指标、计量方法等。技术与科学相比，技术更强调实用，而科学更强调研究；技术与艺术相比，技术更强调功能，艺术更强调表达。,https://baike.baidu.com/item/%E6%8A%80%E6%9C%AF/832247
8,化工,化工是“化学工艺”、“化学工业”、“化学工程”等的简称。凡运用化学方法改变物质组成、结构或合成新物质的技术，都属于化学生产技术，也就是化学工艺，所得产品被称为化学品或化工产品。起初，生产这类产品的是手工作坊，后来演变为工厂，并逐渐形成了一个特定的生产行业即化学工业。化学工程是研究化工产品生产过程共性规律的一门科学。人类与化工的关系十分密切，有些化工产品在人类发展历史中，起着划时代的重要作用，它们的生产和应用，甚至代表着人类文明的一定历史阶段。,https://baike.baidu.com/item/%E5%8C%96%E5%B7%A5/1262631
9,油田,单一地质构造（或地层）因素控制下的、同一产油气面积内的油气藏总和。一个油气田可能有一个或多个油气藏。在同一面积内主要为油藏的称油田，主要为气藏的称气田。按控制产油气面积内的地质因素，将油气田分为3类：①构造型油气田。指产油气面积受单一的构造因素控制，如褶皱和断层。②地层型油气田，区域背斜或单斜构造背景上由地层因素控制（如地层的不整合、尖灭和岩性变化等）的含油面积。③复合型油气田。产油气面积内不受单一的构造或地层因素控制，而受多种地质因素控制的油气田。2019年9月，长庆油田在甘肃庆阳勘探发现了储量10亿吨级的庆城大油田，该新发现也标志着中国在非常规石油勘探领域获得重大突破。,https://baike.baidu.com/item/%E6%B2%B9%E7%94%B0/808815
8,污染,,https://baike.baidu.com//item/%E6%B1%A1%E6%9F%93/19140258
4,冶炼,冶炼是一种提炼技术，是指用焙烧、熔炼、电解以及使用化学药剂等方法把矿石中的金属提取出来；减少金属中所含的杂质或增加金属中某种成分，炼成所需要的金属。,https://baike.baidu.com/item/%E5%86%B6%E7%82%BC/7702326
4,修复,修复是一个汉语词汇，拼音是xiū fù。释义：（1）修理使恢复完整（多指建筑物）：～河堤。～铁路。～两国关系.（2）恢复。语出《南史·刘穆之传》：“堰久决坏，公私废业。 孝武遣秀之 修复， 雍 部由是大丰。”,https://baike.baidu.com/item/%E4%BF%AE%E5%A4%8D/10973178
5,场地,场地，是指工程群体所在地，具有相似的反应谱特征，其范围相当于厂区、居民小区和自然村或不小于1.0km2的平面面积。,https://baike.baidu.com/item/%E5%9C%BA%E5%9C%B0/2585002
4,场地,场地，是指工程群体所在地，具有相似的反应谱特征，其范围相当于厂区、居民小区和自然村或不小于1.0km2的平面面积。,https://baike.baidu.com/item/%E5%9C%BA%E5%9C%B0/2585002
6,污染,,https://baike.baidu.com//item/%E6%B1%A1%E6%9F%93/19140258
3,重金属,重金属原义是指密度大于4.5g/cm3的金属，包括金、银、铜、铁、汞、铅、镉等，重金属在人体中累积达到一定程度，会造成慢性中毒。但就环境污染方面所说的重金属主要是指汞（水银）、镉、铅、铬以及类金属砷等生物毒性显著的重元素。重金属非常难以被生物降解，相反却能在食物链的生物放大作用下，成千百倍地富集，最后进入人体。重金属在人体内能和蛋白质及酶等发生强烈的相互作用，使它们失去活性，也可能在人体的某些器官中累积，造成慢性中毒。,https://baike.baidu.com/item/%E9%87%8D%E9%87%91%E5%B1%9E/22099
8,园区,园区是一个汉语词汇，读音为yuán qū，是指政府集中统一规划指定区域，区域内专门设置某类特定行业、形态的企业、公司等进行统一管理，典型的如工业园区，自贸园区，产业园区，动漫园区。,https://baike.baidu.com/item/%E5%9B%AD%E5%8C%BA/10349467
3,选冶,选冶联合流程，一种以选矿和冶金的方法交替使用来处理矿石的工艺流程。对于某些难选的矿石，有时单用选矿的方法往往得不到满意的效果，甚至不能分选，因而需要采用选冶联合流程进行处理。,https://baike.baidu.com/item/%E9%80%89%E5%86%B6%E8%81%94%E5%90%88%E6%B5%81%E7%A8%8B/9075930
5,污染区,,https://baike.baidu.com//item/%E6%B1%A1%E6%9F%93%E5%8C%BA
7,污染,,https://baike.baidu.com//item/%E6%B1%A1%E6%9F%93/19140258
2,污染物,污染物是指进入环境后能够直接或者间接危害人类的物质。种类很多，危害很大还可以解释为：进入环境后使得环境的正常组成发生变化，直接或者间接有害于人类的物质。实际上，污染物可以定义为：进入环境后使环境的正常组成发生变化，直接或者间接有害于生物生长、发育和繁殖的物质。污染物的作用对象是包括人在内的所有生物。环境污染物是指由于人类的活动进入环境，使环境正常组成和性质发生改变，直接或者间接有害于生物和人类的物质。,https://baike.baidu.com/item/%E6%B1%A1%E6%9F%93%E7%89%A9/5660142
2,土壤,土壤是指地球表面的一层疏松的物质，由各种颗粒状矿物质、有机物质、水分、空气、微生物等组成，能生长植物。土壤由岩石风化而成的矿物质、动植物、微生物残体腐解产生的有机质、土壤生物（固相物质）以及水分（液相物质）、空气（气相物质）、氧化的腐殖质等组成。固体物质包括土壤矿物质、有机质和微生物通过光照抑菌灭菌后得到的养料等。液体物质主要指土壤水分。气体是存在于土壤孔隙中的空气。土壤中这三类物质构成了一个矛盾的统一体。它们互相联系，互相制约，为作物提供必需的生活条件，是土壤肥力的物质基础。,https://baike.baidu.com/item/%E5%9C%9F%E5%A3%A4/33675
5,拆解,拆，汉语常用字（一级字），读作chāi或者cā，会意字，最早见于《说文》小篆。本义是“拆开”，这一本义在现代汉语中仍然沿用，如“拆信”“拆除”“拆毁”等；引申义有分别、辨析等。（基本信息栏参考资料：）,https://baike.baidu.com/item/%E6%8B%86/22057
2,场地,场地，是指工程群体所在地，具有相似的反应谱特征，其范围相当于厂区、居民小区和自然村或不小于1.0km2的平面面积。,https://baike.baidu.com/item/%E5%9C%BA%E5%9C%B0/2585002
3,渣场,,https://baike.baidu.com//item/%E6%B8%A3%E7%BD%90
1,场地,场地，是指工程群体所在地，具有相似的反应谱特征，其范围相当于厂区、居民小区和自然村或不小于1.0km2的平面面积。,https://baike.baidu.com/item/%E5%9C%BA%E5%9C%B0/2585002
1,土壤污染,土壤污染物大致可分为无机污染物和有机污染物两大类。无机污染物主要包括酸、碱、重金属，盐类、放射性元素铯、锶的化合物、含砷、硒、氟的化合物等。有机污染物主要包括有机农药、酚类、氰化物、石油、合成洗涤剂、3, 4-苯并芘以及由城市污水、污泥及厩肥带来的有害微生物等。当土壤中含有害物质过多，超过土壤的自净能力，就会引起土壤的组成、结构和功能发生变化，微生物活动受到抑制，有害物质或其分解产物在土壤中逐渐积累通过“土壤→植物→人体”，或通过“土壤→水→人体” 间接被人体吸收，达到危害人体健康的程度，就是土壤污染。,https://baike.baidu.com/item/%E5%9C%9F%E5%A3%A4%E6%B1%A1%E6%9F%93/3755402
1,专项,特定的某个项目。例句：～训练。进行～检查。～资金。[1-2],https://baike.baidu.com/item/%E4%B8%93%E9%A1%B9/10927791
