page_id,keyword,annotation,url
7,项目,项目是人们通过努力，运用新的方法，将人力的、材料的和财务的资源组织起来，在给定的费用和时间约束规范内，完成一项独立的、一次性的工作任务，以期达到由数量和质量指标所限定的目标。叶圣陶《倪焕之》二五：“教育这个项目当然是不容轻易忽略的。” 洪深 《戏剧导演的初步知识》上篇二：“它们的式样、大小、制造的材料、使用的方法等等，项目繁多。” 秦牧 《艺海拾贝·核心》：“生动的语言和丰富的词汇，看来该是技巧性很强的一个项目了。”项目参数包括项目范围、质量、成本、时间、资源。美国项目管理协会（project Management Institute，PMI)在其出版的《项目管理知识体系指南》（Project Management Body of Knowledge，PMBOK）中为项目所做的定义是：项目是为创造独特的产品、服务或成果而进行的临时性工作。以下活动都可以称为一个项目：1、开发一项新产品；2、计划举行一项大型活动（如策划组织婚礼、大型国际会议等）；3、策划一次自驾游旅游；4、ERP的咨询、开发、实施与培训。,https://baike.baidu.com/item/%E9%A1%B9%E7%9B%AE/477803
6,节水,节约用水，又称节水。是指通过行政、技术、经济等管理手段加强用水管理，调整用水结构，改进用水方式，科学、合理、有计划、有重点的用水，提高水的利用率，避免水资源的浪费。特别要在全民中做好宣传，利用世界水日等活动，教育每个人都要在日常工作或生活中科学用水，自觉节水，达到节约用水，人人有责。节约用水要从点滴做起，看似是一滴水，但是那里的学问很深。我国是一个缺水国家，在日常生活中，我们一拧水龙头，水就源源不断地流出来，可能丝毫感觉不到水的危机。但事实上，我们赖以生存的水，正日益短缺。全世界还有超过10亿的人口用不上清洁的水，因此，人类每年有310万人因饮用不洁水患病而死亡。2019年4月，国家发展改革委、水利部联合印发《国家节水行动方案》,https://baike.baidu.com/item/%E8%8A%82%E7%BA%A6%E7%94%A8%E6%B0%B4/10784542
5,生态,生态，汉语词语，拼音是shēng tài，意思是指生物在一定的自然环境下生存和发展的状态，也指生物的生理特性和生活习性。,https://baike.baidu.com/item/%E7%94%9F%E6%80%81/259459
5,水资源,根据世界气象组织（WMO）和联合国教科文组织（UNESCO）的《INTERNATIONAL GLOSSARY OF HYDROLOGY》（国际水文学名词术语，第三版，2012年）中有关水资源的定义，水资源是指可资利用或有可能被利用的水源，这个水源应具有足够的数量和合适的质量，并满足某一地方在一段时间内具体利用的需求。根据全国科学技术名词审定委员会公布的水利科技名词（科学出版社，1997）中有关水资源的定义，水资源是指地球上具有一定数量和可用质量能从自然界获得补充并可资利用的水。,https://baike.baidu.com/item/%E6%B0%B4%E8%B5%84%E6%BA%90/326690
4,经济带,经济区是在劳动地域分工基础上形成的、不同层次和各具特色的以地域专门化为主要特征的经济地域单元。 经济带是带状经济区的简称。经济带类似于城市带。经济带（或城市群、城市带、大城市连绵区（Megalopolis）），由多个相邻的都市圈组成，经济带内大城市间的距离，以200～300公里为宜（小于200公里，难于就近提供农产品和生态产品，也不利于废弃物的就近消纳和交通畅通等，容易形成严重的城市群病），最远不大于400公里（中心城区与卫星城市，实现1小时通勤；中心城区与圈内镇村，能当天来回，办事方便；大于400公里，会造成大片被边缘化、贫困化区域）。,https://baike.baidu.com/item/%E7%BB%8F%E6%B5%8E%E5%B8%A6/3761014
5,湖泊,湖盆及其承纳的水体。湖盆是地表相对封闭可蓄水的天然洼池。湖泊按成因可分为构造湖、火山口湖、冰川湖、堰塞湖、喀斯特湖、河成湖、风成湖、海成湖和人工湖（水库）等。按泄水情况可分为外流湖（吞吐湖）和内陆湖；按湖水含盐度可分为淡水湖（含盐度小于1g/L）、咸水湖（含盐度为1-35g/L）和盐湖（含盐度大于35g/L）。湖水的来源是降水、地面径流、地下水，有的则来自冰雪融水。湖水的消耗主要是蒸发、渗漏、排泄和开发利用。,https://baike.baidu.com/item/%E6%B9%96%E6%B3%8A/242936
7,项目数,,https://baike.baidu.com//item/%E9%A1%B9%E7%9B%AE%E5%8F%82%E6%95%B0
7,支持,支持，汉语词语，拼音是zhī chí，意思是支撑，供应，赞同鼓励。,https://baike.baidu.com/item/%E6%94%AF%E6%8C%81/676624
3,关键技术,亦称“关键动作”。动作技术中至关重要的部分，它是掌握动作技术、提高运动成绩起决定作用的环节。如跳远技术中的起跳。在体育教学与训练中都需要狠抓这个动作关键。,https://baike.baidu.com/item/%E5%85%B3%E9%94%AE%E6%8A%80%E6%9C%AF/5692286
4,水资源,根据世界气象组织（WMO）和联合国教科文组织（UNESCO）的《INTERNATIONAL GLOSSARY OF HYDROLOGY》（国际水文学名词术语，第三版，2012年）中有关水资源的定义，水资源是指可资利用或有可能被利用的水源，这个水源应具有足够的数量和合适的质量，并满足某一地方在一段时间内具体利用的需求。根据全国科学技术名词审定委员会公布的水利科技名词（科学出版社，1997）中有关水资源的定义，水资源是指地球上具有一定数量和可用质量能从自然界获得补充并可资利用的水。,https://baike.baidu.com/item/%E6%B0%B4%E8%B5%84%E6%BA%90/326690
6,生活,生活是一个汉语词语，拼音是shēng huó，意思有1、生存；2、使活命；3、指恤养活人；4、指为生存发展而进行各种活动；5、指为生存发展而进行各种活动的经验；6、指衣食住行等方面的情况，境况；7、指生长；8、指家产，生计；9、活儿、工作；10、指生活费用；11、指用品；器物；12、美事；美好的时光；13、笔的别称。出自《孟子·尽心上》：“民非水火不生活”。广义上指人的各种活动，包括日常生活行为、学习、工作、休闲、社交、娱乐等。生活是比生存更高层面的一种状态。,https://baike.baidu.com/item/%E7%94%9F%E6%B4%BB/18684
3,非常规,《非常规》是连载于起点中文网的一部异界大陆类小说，作者是墨子鱼。,https://baike.baidu.com/item/%E9%9D%9E%E5%B8%B8%E8%A7%84/14030933
3,水资源,根据世界气象组织（WMO）和联合国教科文组织（UNESCO）的《INTERNATIONAL GLOSSARY OF HYDROLOGY》（国际水文学名词术语，第三版，2012年）中有关水资源的定义，水资源是指可资利用或有可能被利用的水源，这个水源应具有足够的数量和合适的质量，并满足某一地方在一段时间内具体利用的需求。根据全国科学技术名词审定委员会公布的水利科技名词（科学出版社，1997）中有关水资源的定义，水资源是指地球上具有一定数量和可用质量能从自然界获得补充并可资利用的水。,https://baike.baidu.com/item/%E6%B0%B4%E8%B5%84%E6%BA%90/326690
