page_id,keyword,annotation,url
23,时空,时空，时间与空间的简略集合名词（时间+空间）（时空是物质运动的方向和速度,比如光线经过引力场时,光子会改变其运动的方向和速度）。是力学、物理学、天文学和哲学的基本概念。在力学和物理学中，这些概念是从对物体及其运动和相互作用的测量和描述中抽象出来的；涉及物体及运动和相互作用的广延性和持续性。哲学上，空间和时间的依存关系表达着事物的演化秩序。涉及的发散性概念有周易里的“乾坤”，道家的“道”以及孔孟之道的大成智慧。时、空都是绝对概念，是存在的基本属性。但其测量数值却是相对于参照系而言的。“时间”是抽象概念，表达事物的生灭排列。其内涵是无尽永前，其外延是一切事件过程长短和发生顺序的度量。“无尽”指时间没有起始和终结，“永前”指时间的增量总是正数。“空间”是抽象概念，表达事物的生灭范围。其内涵是无界永在，其外延是一切物件占位大小和相对位置的度量。“无界”指空间里任一点都居中，“永在”指空间永现于当前时刻。因为在狭义相对论中，光速是测量时、空的共同尺子，时、空的变化在此共尺上表现依存规律，即遵从洛伦兹变换。所以，时、空的测量数值是相对于具体惯性系的，如同时性在测量上不是绝对的，相对于某一参照系为同时发生的两个事件，相对于另一参照系可能并不同时发生；长度和时段在测量上也不是绝对的，运动的尺相对于静止的尺变短，运动的钟相对于静止的钟变慢。光速在狭义相对论中是绝对量，对于任何惯性参照系光速都是常量c。,https://baike.baidu.com/item/%E6%97%B6%E7%A9%BA/724683
21,术语,术语（terminology）是在特定学科领域用来表示概念的称谓的集合，在我国又称为名词或科技名词（不同于语法学中的名词）。术语是通过语音或文字来表达或限定科学概念的约定性语言符号，是思想和认识交流的工具。根据国际标准，“术语”一词仅指“文字指称”。但许多人使用此词颇为混乱，时而指指称，时而指概念。这可能是由于言者脑中概念漂移，但也可能同加拿大术语学家隆多给出的另一定义有关，即视术语为索绪尔意义的语言符号，为所指和能指的统一体。,https://baike.baidu.com/item/%E6%9C%AF%E8%AF%AD/3038697
22,叙词,主题词又称叙词，是在标引和检索中用以表达文献主题的人工语言，具有概念化和规范化的特征。主题词的选取需要依据主题词表。,https://baike.baidu.com/item/%E4%B8%BB%E9%A2%98%E8%AF%8D/11013269
24,科学技术部,科学技术部海峡两岸科学技术交流中心是一个科学技术类型的事业单位，负责人马连芳。,https://baike.baidu.com/item/%E7%A7%91%E5%AD%A6%E6%8A%80%E6%9C%AF%E9%83%A8%E6%B5%B7%E5%B3%A1%E4%B8%A4%E5%B2%B8%E7%A7%91%E5%AD%A6%E6%8A%80%E6%9C%AF%E4%BA%A4%E6%B5%81%E4%B8%AD%E5%BF%83/15284675
17,水生,水生是电视剧《雪豹》中角色，由樊营扮演。,https://baike.baidu.com/item/%E6%B0%B4%E7%94%9F/9670894
20,矿物,矿物是具有一定化学组成的天然化合物，它具有稳定的相界面和结晶习性。由内部结晶习性决定了矿物的晶型和对称性；由化学键的性质决定了矿物的硬度、光泽和导电性质；由矿物的化学成分、结合的紧密度决定了矿物的颜色和比重等。在识别矿物时，矿物的形态和物理性质由于其易于鉴定而成为鉴定矿物最常用的标志。,https://baike.baidu.com/item/%E7%9F%BF%E7%89%A9/133026
18,海岛,海岛，现代汉语指被海水环绕的小片陆地。地质学定义，中国国家标准《海洋学术语 海洋地质学 GB/T18190-2000 》，海岛指散布于海洋中面积不小于500平方米的小块陆地。但是，海岛的法学定义一直以来在国际上存在争议，历经多次修改，通常是引用1982年《联合国海洋法公约》第121条的明确规定：“岛屿是四面环水并在高潮时高于水面的自然形成的陆地区域”。根据不同属性，海岛有多种分类方法，可分为大陆岛、列岛、群岛、陆连岛、特大岛等。中国有500平方米以上的海岛6500个以上，总面积6600多平方公里，其中455个海岛人口470多万。中国海岛有94%属于无居民海岛，它们大多面积狭小，地域结构简单，环境相对封闭，生态系统构成也较为单一，而且生物多样性指数小，稳定性差。,https://baike.baidu.com/item/%E6%B5%B7%E5%B2%9B/5698755
16,大别山区,大别山区，按照《中国农村扶贫开发纲要（2011―2020年）》，和六盘山区、秦巴山区、武陵山区、乌蒙山区、滇桂黔石漠化区、滇西边境山区、大兴安岭南麓山区、燕山―太行山区、吕梁山区、罗霄山区等11个是中国集中连片特殊困难地区。,https://baike.baidu.com/item/%E5%A4%A7%E5%88%AB%E5%B1%B1%E5%8C%BA/5848449
13,病原,病原，指病因。引起疾病的根源。,https://baike.baidu.com/item/%E7%97%85%E5%8E%9F/307416
15,多样性,广义的遗传多样性是指地球上生物所携带的各种遗传信息的总和。这些遗传信息储存在生物个体的基因之中。多样性也是生物遗传基因的多样性。任何一个物种或一个生物个体都保存着大量的遗传基因，因此可被看作是一个基因库（Gene pool）。一个物种所包含的基因越丰富，它对环境的适应能力越强。基因的多样性是生命进化和物种分化的基础。[1-3],https://baike.baidu.com/item/%E5%A4%9A%E6%A0%B7%E6%80%A7/2162003
