page_id,keyword,annotation,url
11,发票,发票是指一切单位和个人在购销商品、提供或接受服务以及从事其他经营活动中，所开具和收取的业务凭证，是会计核算的原始依据，也是审计机关、税务机关执法检查的重要依据。收据才是收付款凭证，发票只能证明业务发生了，不能证明款项是否收付。发票是指经济活动中，由出售方向购买方签发的文本，内容包括向购买者提供产品或服务的名称、质量、协议价格。除了预付款以外，发票必须具备的要素是根据议定条件由购买方向出售方付款，必须包含日期和数量，是会计账务的重要凭证。中国会计制度规定有效的购买产品或服务的发票称为税务发票。政府部门收费、征款的凭证各个时期和不同收费征款项目称呼不一样，但多被统称为行政事业收费收款收据。为内部审计及核数，每一张发票都必须有独一无二的流水账号码，防止发票重复或跳号。简单来说，发票就是发生的成本、费用或收入的原始凭证。对于公司来讲，发票主要是公司做账的依据，同时也是缴税的费用凭证；而对于员工来讲，发票主要是用来报销的。,https://baike.baidu.com/item/%E5%8F%91%E7%A5%A8/91261
10,发票,发票是指一切单位和个人在购销商品、提供或接受服务以及从事其他经营活动中，所开具和收取的业务凭证，是会计核算的原始依据，也是审计机关、税务机关执法检查的重要依据。收据才是收付款凭证，发票只能证明业务发生了，不能证明款项是否收付。发票是指经济活动中，由出售方向购买方签发的文本，内容包括向购买者提供产品或服务的名称、质量、协议价格。除了预付款以外，发票必须具备的要素是根据议定条件由购买方向出售方付款，必须包含日期和数量，是会计账务的重要凭证。中国会计制度规定有效的购买产品或服务的发票称为税务发票。政府部门收费、征款的凭证各个时期和不同收费征款项目称呼不一样，但多被统称为行政事业收费收款收据。为内部审计及核数，每一张发票都必须有独一无二的流水账号码，防止发票重复或跳号。简单来说，发票就是发生的成本、费用或收入的原始凭证。对于公司来讲，发票主要是公司做账的依据，同时也是缴税的费用凭证；而对于员工来讲，发票主要是用来报销的。,https://baike.baidu.com/item/%E5%8F%91%E7%A5%A8/91261
9,国产,国产就是指本国生产的东西。以中国为例，印有“中国制造”或“made in China”字样的就叫国产。但随着经济全球化的深入，国产的概念发生了变化，在手机业和汽车业，国产是指中国自主研发生产制造，或者零部件半数以上国产化的产品。,https://baike.baidu.com/item/%E5%9B%BD%E4%BA%A7/7732415
9,算法,算法（Algorithm）是指解题方案的准确而完整的描述，是一系列解决问题的清晰指令，算法代表着用系统的方法描述解决问题的策略机制。也就是说，能够对一定规范的输入，在有限时间内获得所要求的输出。如果一个算法有缺陷，或不适合于某个问题，执行这个算法将不会解决这个问题。不同的算法可能用不同的时间、空间或效率来完成同样的任务。一个算法的优劣可以用空间复杂度与时间复杂度来衡量。算法中的指令描述的是一个计算，当其运行时能从一个初始状态和（可能为空的）初始输入开始，经过一系列有限而清晰定义的状态，最终产生输出并停止于一个终态。一个状态到另一个状态的转移不一定是确定的。随机化算法在内的一些算法，包含了一些随机输入。形式化算法的概念部分源自尝试解决希尔伯特提出的判定问题，并在其后尝试定义有效计算性或者有效方法中成形。这些尝试包括库尔特·哥德尔、Jacques Herbrand和斯蒂芬·科尔·克莱尼分别于1930年、1934年和1935年提出的递归函数，阿隆佐·邱奇于1936年提出的λ演算，1936年Emil Leon Post的Formulation 1和艾伦·图灵1937年提出的图灵机。即使在当前，依然常有直觉想法难以定义为形式化算法的情况。,https://baike.baidu.com/item/%E7%AE%97%E6%B3%95/209025
8,版权保护,版权保护，又称著作权，最终目的不是“如何防止使用”，而是“如何控制使用”，版权法的实质是一种控制作品使用的机制。中国因特网版权保护的关键是在促进网络发展和保护著作权人利益间寻求平衡，当务之急是尽快完善这方面的立法。,https://baike.baidu.com/item/%E7%89%88%E6%9D%83%E4%BF%9D%E6%8A%A4/1775777
7,版权保护,版权保护，又称著作权，最终目的不是“如何防止使用”，而是“如何控制使用”，版权法的实质是一种控制作品使用的机制。中国因特网版权保护的关键是在促进网络发展和保护著作权人利益间寻求平衡，当务之急是尽快完善这方面的立法。,https://baike.baidu.com/item/%E7%89%88%E6%9D%83%E4%BF%9D%E6%8A%A4/1775777
7,终端,,https://baike.baidu.com/item/%E7%BB%88%E7%AB%AF/1903878
11,开具,开具是一个汉语词汇，读音为kāi jù，基本意思是开列。,https://baike.baidu.com/item/%E5%BC%80%E5%85%B7/3285169
6,技术,技术是解决问题的方法及方法原理，是指人们利用现有事物形成新事物，或是改变现有事物功能、性能的方法。技术应具备明确的使用范围和被其它人认知的形式和载体，如原材料（输入）、产成品（输出）、工艺、工具、设备、设施、标准、规范、指标、计量方法等。技术与科学相比，技术更强调实用，而科学更强调研究；技术与艺术相比，技术更强调功能，艺术更强调表达。,https://baike.baidu.com/item/%E6%8A%80%E6%9C%AF/832247
5,安全,安全，是一个汉语词语，是指不受威胁，没有危险、危害、损失。当汉语的“安全”一词用来译指英文时，可以与其对应的主要有safety和security两个单词，虽然这两个单词的含义及用法有所不同，但都可在不同意义上与中文“安全”相对应。,https://baike.baidu.com/item/%E5%AE%89%E5%85%A8/32778
10,电子,最早发现的基本粒子。带负电，电量为1.602176634×10-19库仑，是电量的最小单元。质量为9.10956×10-31kg。 常用符号e表示。1897年由英国物理学家约瑟夫·约翰·汤姆生在研究阴极射线时发现。一切原子都由一个带正电的原子核和围绕它运动的若干电子组成。电荷的定向运动形成电流，如金属导线中的电流。利用电场和磁场，能按照需要控制电子的运动(在固体、真空中)，从而制造出各种电子仪器和元件，如各种电子管、电子显微镜等。电子的波动性于1927年由晶体衍射实验得到证实。,https://baike.baidu.com/item/%E7%94%B5%E5%AD%90/143051
4,ICS,ICS是由国际标准化组织编制的标准文献分类法。它主要用于国际标准、区域标准和国家标准以及相关标准化文献的分类、编目、订购与建库，从而促进国际标准、区域标准、国家标准以及其他标准化文献在世界范围的传播。,https://baike.baidu.com/item/ICS/3941037
8,超高,超高指的是列车在圆曲线上行驶时，受横向力或离心力作用会产生滑移，为抵消车辆在圆曲线路段上行驶时所产生的离心力，保证列车能安全、稳定、满足设计速度和经济、舒适地通过圆曲线，在该路段横断面上设置的外侧高于内侧的单向横坡 。,https://baike.baidu.com/item/%E8%B6%85%E9%AB%98/8024636
3,安全,安全，是一个汉语词语，是指不受威胁，没有危险、危害、损失。当汉语的“安全”一词用来译指英文时，可以与其对应的主要有safety和security两个单词，虽然这两个单词的含义及用法有所不同，但都可在不同意义上与中文“安全”相对应。,https://baike.baidu.com/item/%E5%AE%89%E5%85%A8/32778
3,智慧,智慧是一个汉语词语，拼音是zhì huì，一指聪明才智，二指梵语“般若”（音bo-re）的意译。出自《墨子·尚贤中》：“若此之使治国家，则此使不智慧者治国家也，国家之乱，既可得而知已。”智慧 是生命所具有的基于生理和心理器官的一种高级创造思维能力，包含对自然与人文的感知、记忆、理解、分析、判断、升华等所有能力。智慧与智力不同，智慧表达智力器官的综合终极功能，与“形而上之道”有异曲同工之处；智力则谓“形而下之器”，是生命的一部分技能。在我们的日常生活中，智慧体现为更好的解决问题的能力。,https://baike.baidu.com/item/%E6%99%BA%E6%85%A7/129438
4,安全,安全，是一个汉语词语，是指不受威胁，没有危险、危害、损失。当汉语的“安全”一词用来译指英文时，可以与其对应的主要有safety和security两个单词，虽然这两个单词的含义及用法有所不同，但都可在不同意义上与中文“安全”相对应。,https://baike.baidu.com/item/%E5%AE%89%E5%85%A8/32778
6,移动,移动含义指改换原来的位置。,https://baike.baidu.com/item/%E7%A7%BB%E5%8A%A8/22826
2,研究,研究，读音，汉语词语，意思是主动寻求根本性原因与更高可靠性依据，从而为提高事业或功利的可靠性和稳健性而做的工作。,https://baike.baidu.com/item/%E7%A0%94%E7%A9%B6/1883844
