page_id,keyword,annotation,url
1,时延,时延是指一个报文或分组从一个网络的一端传送到另一个端所需要的时间。它包括了发送时延，传播时延，处理时延，排队时延。（时延=发送时延+传播时延+处理时延+排队时延）一般，发送时延与传播时延是我们主要考虑的。对于报文长度较大的情况，发送时延是主要矛盾；报文长度较小的情况，传播时延是主要矛盾。时延是指数据包第一个比特进入路由器到最后一比特从路由器输出的时间间隔。在测试中通常使用测试仪表发出测试包到收到数据包的时间间隔。时延与数据包长相关，通常在路由器端口吞吐量范围内测试，超过吞吐量测试该指标没有意义。,https://baike.baidu.com/item/%E6%97%B6%E5%BB%B6/8668446
10,频段,频段，是一个有关波和通讯方面的词语。在机械波中，频段是指声音频率和波长而言，人耳对声音频率的感觉是从最低的20Hz到最高的20KHz，而人的语音频率范围则集中在80Hz~12kHz之间，人对不同频段的声音的感受是不同的。在通讯领域中，频段指的是电磁波的频率范围，单位为Hz，按照频率的大小，可以分为：甚低频（VLF）3 kHz~30 kHz，对应电磁波的波长为甚长波100 km~10 km。低频（LF）30 kHz ~300 kHz，对应电磁波的波长为长波10 km~1 km。中频（MF）300 kHz～3000 kHz，对应电磁波的波长为中波1000 m~100 m。高频（HF）3 MHz～30 MHz，对应电磁波的波长为短波100 m~10 m。甚高频（VHF）30 MHz~300 MHz，对应电磁波的波长为米波10 m~1 m。特高频（UHF）300 MHz～3000 MHz，对应电磁波的波长为分米波100cm~10 cm。超高频（SHF）3 GHz~30 GHz，对应电磁波的波长为厘米波10 cm~1 cm。极高频（EHF）30 GHz~300 GHz，对应电磁波的波长为毫米波10 mm～1 mm。至高频300 GHz～3000 GHz，，对应电磁波的波长为丝米波1 mm～0.1 mm。,https://baike.baidu.com/item/%E9%A2%91%E6%AE%B5/10828844
10,天线,天线是一种变换器，它把传输线上传播的导行波，变换成在无界媒介（通常是自由空间）中传播的电磁波，或者进行相反的变换。在无线电设备中用来发射或接收电磁波的部件。无线电通信、广播、电视、雷达、导航、电子对抗、遥感、射电天文等工程系统，凡是利用电磁波来传递信息的，都依靠天线来进行工作。此外，在用电磁波传送能量方面，非信号的能量辐射也需要天线。一般天线都具有可逆性，即同一副天线既可用作发射天线，也可用作接收天线。同一天线作为发射或接收的基本特性参数是相同的。这就是天线的互易定理。,https://baike.baidu.com/item/%E5%A4%A9%E7%BA%BF/790545
8,nm,nm命令主要是用来列出某些文件中的符号,https://baike.baidu.com/item/nm/4592092
9,设计,设计是把一种设想通过合理的规划、周密的计划、通过各种方式表达出来的过程。人类通过劳动改造世界，创造文明，创造物质财富和精神财富，而最基础、最主要的创造活动是造物。设计便是造物活动进行预先的计划，可以把任何造物活动的计划技术和计划过程理解为设计。,https://baike.baidu.com/item/%E8%AE%BE%E8%AE%A1/290622
10,波束,波束（wave beam）是指由卫星天线发射出来的电磁波在地球表面上形成的形状（比如说像手电筒向黑暗处射出的光束。）。主要有全球波束、点形波束、赋形波束。它们由发射天线来决定其形状。,https://baike.baidu.com/item/%E6%B3%A2%E6%9D%9F/10953697
8,传输,传输是一个汉语词语，意义为传递，输送。在电信业中，传输是一种传输电学消息（连带经过媒介的辐射能现象）的行为。消息可以是一串或者一组数据单元，比如二进制数字，通常也称为帧或者块。,https://baike.baidu.com/item/%E4%BC%A0%E8%BE%93/7078195
8,波段,在无线电技术中，波段（wave band）这个名词具有两种含义。其一是指电磁波频谱的划分，例如长波、短波、超短波等波段。其二是指发射机、接收机等设备的工作频率范围的划分。若把工作频率范围分成几个部分，这些部分也称为波段，例如三波段收音机等。,https://baike.baidu.com/item/%E6%B3%A2%E6%AE%B5/2554375
7,超宽带,超宽带技术（UWB，Ultra Wide Band）技术是一种新型的无线通信技术。它通过对具有很陡上升和下降时间的冲激脉冲进行直接调制，使信号具有GHz量级的带宽。超宽带技术解决了困扰传统无线技术多年的有关传播方面的重大难题，它具有对信道衰落不敏感、发射信号功率谱密度低、低截获能力、系统复杂度低、能提供数厘米的定位精度等优点。超宽带（UWB）在早期被用来应用在近距离高速数据传输，近年来国外开始利用其亚纳秒级超窄脉冲来做近距离精确室内定位。,https://baike.baidu.com/item/%E8%B6%85%E5%AE%BD%E5%B8%A6/5934698
7,赫兹,赫兹是国际单位制中频率的单位，它是每秒钟的周期性变动重复次数的计量。赫兹简称赫。每秒钟振动（或振荡、波动）一次为1赫兹，或可写成次/秒，周/秒。因德国科学家赫兹而命名。,https://baike.baidu.com/item/%E8%B5%AB%E5%85%B9/7245576
