page_id,keyword,annotation,url
21,经费,经费是指行政事业单位为完成工作任务和事业计划所需经常费用的统称。这些单位一般不直接从事物质资料生产，没有独立、稳定的收入来源。或者虽有一部分收入，但大都不足以抵补本身的业务支出，需要国家预算拨付经费。经费按用途可分为人员经费和公用经费。或分为维持经费和发展经费。前者指维持原有行政事业单位机构及规模的人员经费和公用经费; 后者是指在计划年度内，经批准新增加的机构、人员或其他事业项目所需的经费。原单位增加少量人员，不增设机构和不扩大事业项目的，属于自然增长，不作为发展经费。,https://baike.baidu.com/item/%E7%BB%8F%E8%B4%B9/1705671
19,水肥,水肥，拼音shuǐ féi，是指腐熟的人粪尿等加上水而成的肥料。,https://baike.baidu.com/item/%E6%B0%B4%E8%82%A5/10666153
11,丰产,丰产是一个汉语词语，拼音是fēng chǎn，意思是财产多，富足。,https://baike.baidu.com/item/%E4%B8%B0%E4%BA%A7/2240320
20,增效,,https://baike.baidu.com//item/%E5%A2%9E%E6%95%88
13,丰产,丰产是一个汉语词语，拼音是fēng chǎn，意思是财产多，富足。,https://baike.baidu.com/item/%E4%B8%B0%E4%BA%A7/2240320
18,双季稻,在同一块稻田里，一年中种植和收获两季水稻的一种稻作制度。按其栽培方式不同，又可分为双季连作稻、间作稻和混作稻等。,https://baike.baidu.com/item/%E5%8F%8C%E5%AD%A3%E7%A8%BB/2633231
17,双季稻,在同一块稻田里，一年中种植和收获两季水稻的一种稻作制度。按其栽培方式不同，又可分为双季连作稻、间作稻和混作稻等。,https://baike.baidu.com/item/%E5%8F%8C%E5%AD%A3%E7%A8%BB/2633231
6,粳稻,粳稻，稻的一种(Oryza saliva subsp keng)，茎杆较矮，叶子较窄，深绿色，米粒短而粗，其米粒不粘。粳稻籽粒阔而短，较厚，呈椭圆形或卵圆形。籽粒强度大，耐压性能好，加工时不易产生碎米，出米率较高，米饭胀性较小。与釉稻相比，分蘖直立，叶色较深无毛。植株较矮，质地较硬，叶片较短，与茎间角度较小，花序主轴较长，小穗数增多，密集，穗重，稃毛较长而密，粒形变卵圆而较短宽。主产我国黄河流域、北部和东北部；在南方则分布于海拔1800米以上，较耐冷寒，是为中纬度和较高海拔地区发展形成的亚种。粳稻（“粳”，拼音：jing，注音：ㄐㄧㄥ 或 ㄍㄥ，音同“晶 或 耕”）粳稻是水稻的一个品种。粳稻需要日照时间短，但生长期长，比较耐寒，米质粘性强，米粒短圆，蛋白质含量较高，口味好。粳稻碾出的米叫“粳米”，有的地方把“粳米”称作“大米”，其实粳米只是大米（稻米）的一个品种。,https://baike.baidu.com/item/%E7%B2%B3%E7%A8%BB/6076057
10,小麦,小麦是小麦属植物的统称，代表种为普通小麦（学名：Triticum aestivumL.）是禾本科植物，是一种在世界各地广泛种植的谷类作物，小麦的颖果是人类的主食之一，磨成面粉后可制作面包、馒头、饼干、面条等食物，发酵后可制成啤酒、酒精、白酒（如伏特加），或生物质燃料。小麦是三大谷物之一，几乎全作食用，仅约有六分之一作为饲料使用。两河流域是世界上最早栽培小麦的地区，中国是世界较早种植小麦的国家之一。,https://baike.baidu.com/item/%E5%B0%8F%E9%BA%A6/10237
16,双季稻,在同一块稻田里，一年中种植和收获两季水稻的一种稻作制度。按其栽培方式不同，又可分为双季连作稻、间作稻和混作稻等。,https://baike.baidu.com/item/%E5%8F%8C%E5%AD%A3%E7%A8%BB/2633231
15,公斤,千克（符号kg）是国际单位制中度量质量的基本单位，千克也是日常生活中最常使用的基本单位之一。一千克的定义是普朗克常数为6.62607015×10⁻³⁴J·s时的质量单位，几乎与一升的水等重。千克是唯一一个有国际单位制词头的基本单位。2018年11月16日，第26届国际计量大会通过“修订国际单位制”决议，正式更新包括国际标准质量单位“千克”的定义。新国际单位体系于2019年5月20日世界计量日起正式生效。,https://baike.baidu.com/item/%E5%8D%83%E5%85%8B/3000079
12,增效,,https://baike.baidu.com//item/%E5%A2%9E%E6%95%88
14,增效,,https://baike.baidu.com//item/%E5%A2%9E%E6%95%88
9,增效,,https://baike.baidu.com//item/%E5%A2%9E%E6%95%88
7,玉米,玉米（Zea maysL.）是禾本科的一年生草本植物。又名苞谷、苞米棒子、玉蜀黍、珍珠米等。原产于中美洲和南美洲，它是世界重要的粮食作物，广泛分布于美国、中国、巴西和其他国家。玉米与传统的水稻、小麦等粮食作物相比，玉米具有很强的耐旱性、耐寒性、耐贫瘠性以及极好的环境适应性。玉米的营养价值较高，是优良的粮食作物。作为中国的高产粮食作物，玉米是畜牧业、养殖业、水产养殖业等的重要饲料来源，也是食品、医疗卫生、轻工业、化工业等的不可或缺的原料之一。由于玉米资源极为丰富、廉价且易于获得，它们还具有许多生物活性，如抗氧化、抗肿瘤、降血糖、提高免疫力和抑菌杀菌等，其具有广阔的开发及应用前景。2018年8月，财政部、农业农村部、银保监会印发通知，将玉米作物制种纳入中央财政农业保险保险费补贴目录。2018年，中国玉米产量25733万吨。截至2020年10月，现货玉米的均价最高超过2600元/吨，创下了近4年以来的新高。玉米淀粉价格上涨到2900元每吨左右，上涨幅度超过30%。,https://baike.baidu.com/item/%E7%8E%89%E7%B1%B3/18401
8,玉米,玉米（Zea maysL.）是禾本科的一年生草本植物。又名苞谷、苞米棒子、玉蜀黍、珍珠米等。原产于中美洲和南美洲，它是世界重要的粮食作物，广泛分布于美国、中国、巴西和其他国家。玉米与传统的水稻、小麦等粮食作物相比，玉米具有很强的耐旱性、耐寒性、耐贫瘠性以及极好的环境适应性。玉米的营养价值较高，是优良的粮食作物。作为中国的高产粮食作物，玉米是畜牧业、养殖业、水产养殖业等的重要饲料来源，也是食品、医疗卫生、轻工业、化工业等的不可或缺的原料之一。由于玉米资源极为丰富、廉价且易于获得，它们还具有许多生物活性，如抗氧化、抗肿瘤、降血糖、提高免疫力和抑菌杀菌等，其具有广阔的开发及应用前景。2018年8月，财政部、农业农村部、银保监会印发通知，将玉米作物制种纳入中央财政农业保险保险费补贴目录。2018年，中国玉米产量25733万吨。截至2020年10月，现货玉米的均价最高超过2600元/吨，创下了近4年以来的新高。玉米淀粉价格上涨到2900元每吨左右，上涨幅度超过30%。,https://baike.baidu.com/item/%E7%8E%89%E7%B1%B3/18401
4,气候变化,气候变化是指气候平均状态随时间的变化，即气候平均状态和离差（距平）两者中的一个或两个一起出现了统计意义上的显著变化。离差值越大，表明气候变化的幅度越大，气候状态越不稳定。泛指各种时间尺度气候状态的变化。范围从最长的几十亿年到最短的年际变化。可分为地质时期气候变化、历史时期气候变化和现代气候变化。地质时期气候变化的尺度约104～108年，主要根据动、植物化石及各种遗迹间接研究。据考证其间经历过几次冰期与间冰期交替变化的过程;历史时期气候变化的尺度约102～103年，这时期已有人类出现，主要依据历史文献记录、动植物群的变化、树木年轮分析等手段研究。其间经历过温暖期与寒冷期、干期与湿期的交替变化过程，全球不同地区既有同步变化，又有反向变化;现代气候变化的尺度100～101年， 利用系统的气象记录研究。一般认为从19世纪末到20世纪上半叶，北半球广大地区气候回暖，尤其是北极和高纬度地区，气温上升显著，而南半球变化不大，到1940年前后变暖现象达到高峰，以后即开始变冷。气候变化的原因很复杂，,https://baike.baidu.com/item/%E6%B0%94%E5%80%99%E5%8F%98%E5%8C%96/22377
3,气候变化,气候变化是指气候平均状态随时间的变化，即气候平均状态和离差（距平）两者中的一个或两个一起出现了统计意义上的显著变化。离差值越大，表明气候变化的幅度越大，气候状态越不稳定。泛指各种时间尺度气候状态的变化。范围从最长的几十亿年到最短的年际变化。可分为地质时期气候变化、历史时期气候变化和现代气候变化。地质时期气候变化的尺度约104～108年，主要根据动、植物化石及各种遗迹间接研究。据考证其间经历过几次冰期与间冰期交替变化的过程;历史时期气候变化的尺度约102～103年，这时期已有人类出现，主要依据历史文献记录、动植物群的变化、树木年轮分析等手段研究。其间经历过温暖期与寒冷期、干期与湿期的交替变化过程，全球不同地区既有同步变化，又有反向变化;现代气候变化的尺度100～101年， 利用系统的气象记录研究。一般认为从19世纪末到20世纪上半叶，北半球广大地区气候回暖，尤其是北极和高纬度地区，气温上升显著，而南半球变化不大，到1940年前后变暖现象达到高峰，以后即开始变冷。气候变化的原因很复杂，,https://baike.baidu.com/item/%E6%B0%94%E5%80%99%E5%8F%98%E5%8C%96/22377
5,气候变化,气候变化是指气候平均状态随时间的变化，即气候平均状态和离差（距平）两者中的一个或两个一起出现了统计意义上的显著变化。离差值越大，表明气候变化的幅度越大，气候状态越不稳定。泛指各种时间尺度气候状态的变化。范围从最长的几十亿年到最短的年际变化。可分为地质时期气候变化、历史时期气候变化和现代气候变化。地质时期气候变化的尺度约104～108年，主要根据动、植物化石及各种遗迹间接研究。据考证其间经历过几次冰期与间冰期交替变化的过程;历史时期气候变化的尺度约102～103年，这时期已有人类出现，主要依据历史文献记录、动植物群的变化、树木年轮分析等手段研究。其间经历过温暖期与寒冷期、干期与湿期的交替变化过程，全球不同地区既有同步变化，又有反向变化;现代气候变化的尺度100～101年， 利用系统的气象记录研究。一般认为从19世纪末到20世纪上半叶，北半球广大地区气候回暖，尤其是北极和高纬度地区，气温上升显著，而南半球变化不大，到1940年前后变暖现象达到高峰，以后即开始变冷。气候变化的原因很复杂，,https://baike.baidu.com/item/%E6%B0%94%E5%80%99%E5%8F%98%E5%8C%96/22377
2,水稻,水稻是稻属谷类作物，代表种为稻（学名：Oryza sativaL.）。水稻原产于中国和印度，七千年前中国长江流域的先民们就曾种植水稻。水稻按稻谷类型分为籼稻和粳稻、早稻和中晚稻、糯稻和非糯稻。按留种方式分为常规水稻和杂交水稻。还有其它分类，按是否无土栽培分为水田稻与浮水稻；按生存周期分为季节稻与“懒人稻”（越年再生稻）；按高矮分为普通水稻与2米左右的巨型稻；按耐盐碱性分为普通淡水稻与“海水稻”（其实它主要使用淡水）。水稻所结子实即稻谷，稻谷脱去颖壳后称糙米，糙米碾去米糠层即可得到大米。世界上近一半人口以大米为主食。水稻除可食用外，还可以酿酒、制糖作工业原料，稻壳和稻秆可以作为牲畜饲料。中国水稻主产区主要是长江流域、珠江流域、东北地区。水稻属于直接经济作物，大米饭是中国居民的主食，目前国内的水稻种植面积常规稻是2.45亿亩，而杂交稻的种植面积是2亿亩。中国科学家群体对水稻科研做出了全球罕见的贡献：袁隆平院士被誉为“杂交水稻之父”，朱英国院士对杂交水稻的研究作出了突出贡献，农民胡代书发明越年再生稻等等。,https://baike.baidu.com/item/%E6%B0%B4%E7%A8%BB/21285
1,增效,,https://baike.baidu.com//item/%E5%A2%9E%E6%95%88
