page_id,keyword,annotation,url
43,综合,综合，本词汇的基本原意来源于纺织技术：“综”是织机上使经线上下提放以接受纬线的机构。一综可提数千根经丝，故含有“总聚”、“集合”之意。“综合”就是将几千根不同的经线通过“综丝”把它们合并起来便于操作。因此，“综合”是在头脑中把事物或对象的各个部分与属性联合为一个整体。,https://baike.baidu.com/item/%E7%BB%BC%E5%90%88/3374369
41,堰塞湖,堰塞湖yàn sè hú （堰：是指较低的挡水建筑物。塞sè 通“僿”，实、堵、填充空隙，用于书面词语中，此处意为“堵塞”。） 英文翻译：barrier lake, dammed lake, quake lake （推荐用 barrier lake。） 堰塞湖是由火山熔岩流，冰碛物或由地震活动使山体岩石崩塌下来等原因引起山崩滑坡体等堵截山谷，河谷或河床后贮水而形成的湖泊。由火山熔岩流堵截而形成的湖泊又称为熔岩堰塞湖。,https://baike.baidu.com/item/%E5%A0%B0%E5%A1%9E%E6%B9%96/309594
45,期低,青春期低血糖是在青春期时，少数人才生的的低血糖症状。因为胰岛素分泌旺盛，血糖分解的较快一些，若胰岛素分泌不足，则易患糖尿病。,https://baike.baidu.com/item/%E9%9D%92%E6%98%A5%E6%9C%9F%E4%BD%8E%E8%A1%80%E7%B3%96/1811916
40,堰塞坝,堰塞湖yàn sè hú （堰：是指较低的挡水建筑物。塞sè 通“僿”，实、堵、填充空隙，用于书面词语中，此处意为“堵塞”。） 英文翻译：barrier lake, dammed lake, quake lake （推荐用 barrier lake。） 堰塞湖是由火山熔岩流，冰碛物或由地震活动使山体岩石崩塌下来等原因引起山崩滑坡体等堵截山谷，河谷或河床后贮水而形成的湖泊。由火山熔岩流堵截而形成的湖泊又称为熔岩堰塞湖。,https://baike.baidu.com/item/%E5%A0%B0%E5%A1%9E%E6%B9%96/309594
42,研发,研发即研究开发、研究与开发、研究发展，是指各种研究机构、企业或个人为获得科学技术（不包括人文、社会科学）新知识，创造性运用科学技术新知识，或实质性改进技术、产品和服务而持续进行的具有明确目标的系统活动，包括系统及设备的测试，安装，维护，维修等一系列的系统活动。2016年2月，美国国家科学基金会发布的《美国科学与工程指标》显示，中国已成为不容置疑的世界第二研发大国。所了解，全球研发支出总体呈上升趋势，并仍集中在北美、欧洲及东亚和东南亚地区。美国仍然是世界第一研发大国，中国居第二位，中国的研发开支接近欧盟的总和。在按购买力平价计算的全球研发总支出当中，中国约占20%，仅次于美国（27%）；日本居第三位，占10%；德国第四，占6%；接下来是韩国、法国、俄罗斯、英国和印度，他们分别占全球研发支出总额的2%至4%。,https://baike.baidu.com/item/%E7%A0%94%E5%8F%91/4815440
44,气候,气候(Climate)，自然科学名词，是指一个地区大气的多年平均状况，主要的气候要素包括光照、气温和降水等，其中降水是气候重要的一个要素。中国的气候类型有：热带季风气候，亚热带季风气候，温带季风气候 ，温带大陆性气候，高山高原气候。气候是大气物理特征的长期平均状态，与天气不同，它具有一定的稳定性。根据世界气象组织（WMO）的规定，一个标准气候计算时间为30年。气候以冷、暖、干、湿这些特征来衡量，通常由某一时期的平均值和离差值表征。,https://baike.baidu.com/item/%E6%B0%94%E5%80%99/384697
39,凌汛,凌汛，俗称“冰排”。冰凌堵塞河道，对水流产生阻力而引起的江河水位明显上涨的水文现象。水面结冰的河道，上游河冰先融，下游河道尚未解冻，易出现“凌汛”。主要受气温、水温、流量与河道形态等几方面因素的综合影响而形成，可能导致堤防溃决，洪水泛滥成灾。中国北方的河流，如黄河、黑龙江、松花江，在冬季的封河期和春季的开河期都有可能发生凌汛。黄河凌汛洪水在发生频次和规模上远较其他地区为高，往往造成较大灾害。凌汛期一般需采取破冰措施，防漫堤决口，酿成灾害。（概述图参考来源：）,https://baike.baidu.com/item/%E5%87%8C%E6%B1%9B/474269
36,流域,流域，指由分水线所包围的河流集水区。分地面集水区和地下集水区两类。如果地面集水区和地下集水区相重合，称为闭合流域；如果不重合，则称为非闭合流域。平时所称的流域，一般都指地面集水区。,https://baike.baidu.com/item/%E6%B5%81%E5%9F%9F/2883011
38,涝渍,,https://baike.baidu.com//item/%E6%B6%9D%E6%B8%8D
33,预报,预报，读音yù bào，汉语词语，意思是先报告，预先告知。,https://baike.baidu.com/item/%E9%A2%84%E6%8A%A5/646213
35,预警,预警是指在灾害或灾难以及其他需要提防的危险发生之前，根据以往的总结的规律或观测得到的可能性前兆，向相关部门发出紧急信号，报告危险情况，以避免危害在不知情或准备不足的情况下发生，从而最大程度的减轻危害所造成的损失的行为。,https://baike.baidu.com/item/%E9%A2%84%E8%AD%A6/75122
32,强对流,强对流天气是指伴随雷暴现象的对流性大风（≥17.2m/s）、冰雹、短时强降水。强对流天气发生于中小尺度天气系统，空间尺度小，一般水平范围大约在十几公里至二三百公里，有的水平范围只有几十米至十几公里。其生命史短暂并带有明显的突发性，约为一小时至十几小时，较短的仅有几分钟至一小时。,https://baike.baidu.com/item/%E5%BC%BA%E5%AF%B9%E6%B5%81%E5%A4%A9%E6%B0%94/6456960
37,洪水,河流、海洋、湖泊等水体上涨超过一定水位，威胁有关地区的安全，甚至造成灾害的水流。又称大水。洪水一词，在中国出自先秦《尚书·尧典》。从那时起，四千多年中有过很多次水灾记载，欧洲最早的洪水记载也远在公元前1450年。在西亚的底格里斯－幼发拉底河以及非洲的尼罗河关于洪水的记载，则可追溯到公元前40世纪。,https://baike.baidu.com/item/%E6%B4%AA%E6%B0%B4/3550932
34,预警,预警是指在灾害或灾难以及其他需要提防的危险发生之前，根据以往的总结的规律或观测得到的可能性前兆，向相关部门发出紧急信号，报告危险情况，以避免危害在不知情或准备不足的情况下发生，从而最大程度的减轻危害所造成的损失的行为。,https://baike.baidu.com/item/%E9%A2%84%E8%AD%A6/75122
31,暴雨,中国气象上规定，24小时降水量为50毫米以上的强降雨称为“暴雨”。由于各地降水和地形特点不同，所以各地暴雨洪涝的标准也有所不同。特大暴雨是一种灾害性天气，往往造成洪涝灾害和严重的水土流失，导致工程失事、堤防溃决和农作物被淹等重大的经济损失。特别是对于一些地势低洼、地形闭塞的地区，雨水不能迅速宣泄造成农田积水和土壤水分过度饱和，会造成更多的地质灾害。,https://baike.baidu.com/item/%E6%9A%B4%E9%9B%A8/10365
30,预报,预报，读音yù bào，汉语词语，意思是先报告，预先告知。,https://baike.baidu.com/item/%E9%A2%84%E6%8A%A5/646213
29,预报,预报，读音yù bào，汉语词语，意思是先报告，预先告知。,https://baike.baidu.com/item/%E9%A2%84%E6%8A%A5/646213
24,探空,,https://baike.baidu.com/item/%E6%8E%A2%E7%A9%BA/5004074
27,多源,,https://baike.baidu.com//item/%E5%A4%9A%E6%BA%90%E6%95%B0%E6%8D%AE%E8%9E%8D%E5%90%88
28,预报,预报，读音yù bào，汉语词语，意思是先报告，预先告知。,https://baike.baidu.com/item/%E9%A2%84%E6%8A%A5/646213
21,预报,预报，读音yù bào，汉语词语，意思是先报告，预先告知。,https://baike.baidu.com/item/%E9%A2%84%E6%8A%A5/646213
23,龙卷风,龙卷风是发生于直展云系（cumuliform clouds）底部和下垫面之间的直立空管状旋转气流，是一类局地尺度的剧烈天气现象。龙卷风可见于热带和温带地区，包括美洲内陆、澳洲西部、印度半岛东北部等。龙卷风的季节性较弱，春季、夏季、秋季均可发生。按形态和产生环境，龙卷风可以分为多涡旋龙卷、陆龙卷（landspout）、水龙卷（waterspout）等。龙卷风在观测上表现为狭长的漏斗云（funnel cloud）或类似形态的尘土/水柱。龙卷风的风速通常在30至130 米每秒，直径小于2 公里，活动范围在0至25 公里不等，持续时间在10分钟左右，强度按增强的藤田级数（Enhanced Fujita scale, EF）可分为5个等级。尘卷风和火龙卷是与龙卷风相近的旋风（whirlwind），但不属于龙卷风。龙卷风的产生条件包括近地面的风切变、垂直运动和不稳定能量。雷暴是能够满足以上条件的理想环境，也是引发龙卷风的主要原因，其中由超级单体（supercell）引发的龙卷被称为超级单体龙卷（supercell tornado），其它情形被称为非超级单体龙卷（nonsupercell tornado）。超级单体龙卷占龙卷风个例总数的80%，其强度和发展规模通常大于非超级单体龙卷。龙卷风是一类气象灾害，现代天气预报可以通过高频率观测对龙卷风进行预警，但对预报经验有较高要求。此外一些地区也对龙卷风进行人工观测和数据收集，即“风暴追踪（storm spotting）”项目。,https://baike.baidu.com/item/%E9%BE%99%E5%8D%B7%E9%A3%8E/7601
25,台风,台风（英语：Typhoon），属于热带气旋的一种。热带气旋是发生在热带或副热带洋面上的低压涡旋，是一种强大而深厚的“热带天气系统”。我国把南海与西北太平洋的热带气旋按其底层中心附近最大平均风力（风速）大小划分为6个等级，其中风力达12级或以上的，统称为台风。广义上而言，“台风”这个词并非一种热带气旋强度。将中心持续风速每秒17.2米或以上的热带气旋（包括世界气象组织定义中的热带风暴、强热带风暴和台风）均称台风。在非正式场合，“台风”甚至直接泛指热带气旋本身。当西北太平洋的热带气旋达到热带风暴的强度，名称由世界气象组织台风委员会的14个国家和地区提供。据美国海军的联合台风警报中心统计，1959年至2004年间西北太平洋及南海海域的台风发生的个数与月份有关，平均每年有26.5个台风生成，出现最多台风的月份是公历8月，其次是7月和9月。2020年7月西北太平洋及南海均无台风生成，是中国1949年以来首次7月“空台”。,https://baike.baidu.com/item/%E5%8F%B0%E9%A3%8E/17003
26,台风,台风（英语：Typhoon），属于热带气旋的一种。热带气旋是发生在热带或副热带洋面上的低压涡旋，是一种强大而深厚的“热带天气系统”。我国把南海与西北太平洋的热带气旋按其底层中心附近最大平均风力（风速）大小划分为6个等级，其中风力达12级或以上的，统称为台风。广义上而言，“台风”这个词并非一种热带气旋强度。将中心持续风速每秒17.2米或以上的热带气旋（包括世界气象组织定义中的热带风暴、强热带风暴和台风）均称台风。在非正式场合，“台风”甚至直接泛指热带气旋本身。当西北太平洋的热带气旋达到热带风暴的强度，名称由世界气象组织台风委员会的14个国家和地区提供。据美国海军的联合台风警报中心统计，1959年至2004年间西北太平洋及南海海域的台风发生的个数与月份有关，平均每年有26.5个台风生成，出现最多台风的月份是公历8月，其次是7月和9月。2020年7月西北太平洋及南海均无台风生成，是中国1949年以来首次7月“空台”。,https://baike.baidu.com/item/%E5%8F%B0%E9%A3%8E/17003
17,滑坡,滑坡是指斜坡上的土体或者岩体，受河流冲刷、地下水活动、雨水浸泡、地震及人工切坡等因素影响，在重力作用下，沿着一定的软弱面或者软弱带，整体地或者分散地顺坡向下滑动的自然现象。运动的岩（土）体称为变位体或滑移体，未移动的下伏岩（土）体称为滑床。,https://baike.baidu.com/item/%E6%BB%91%E5%9D%A1/2607393
19,地质灾害,地质灾害是指在自然或者人为因素的作用下形成的，对人类生命财产造成的损失、对环境造成破坏的地质作用或地质现象。地质灾害在时间和空间上的分布变化规律，既受制于自然环境，又与人类活动有关，往往是人类与自然界相互作用的结果。,https://baike.baidu.com/item/%E5%9C%B0%E8%B4%A8%E7%81%BE%E5%AE%B3/1782025
15,滑坡,滑坡是指斜坡上的土体或者岩体，受河流冲刷、地下水活动、雨水浸泡、地震及人工切坡等因素影响，在重力作用下，沿着一定的软弱面或者软弱带，整体地或者分散地顺坡向下滑动的自然现象。运动的岩（土）体称为变位体或滑移体，未移动的下伏岩（土）体称为滑床。,https://baike.baidu.com/item/%E6%BB%91%E5%9D%A1/2607393
13,黄土,黄土是指在地质时代中的第四纪期间，以风力搬运的黄色粉土沉积物。它是原生的、成厚层连续分布，掩覆在低分水岭、山坡、丘陵，常与基岩不整合接触，无层理，常含有古土壤层及钙质结核层，垂直节理发育，常形成陡壁。,https://baike.baidu.com/item/%E9%BB%84%E5%9C%9F/63244
12,地震,地震（英文：earthquake），又称地动、地振动，是地壳快速释放能量过程中造成的振动，期间会产生地震波的一种自然现象。地球上板块与板块之间相互挤压碰撞，造成板块边沿及板块内部产生错动和破裂，是引起地震的主要原因。地震开始发生的地点称为震源，震源正上方的地面称为震中。破坏性地震的地面振动最烈处称为极震区，极震区往往也就是震中所在的地区。地震常常造成严重人员伤亡，能引起火灾、水灾、有毒气体泄漏、细菌及放射性物质扩散，还可能造成海啸、滑坡、崩塌、地裂缝等次生灾害。据统计，地球上每年约发生500多万次地震，即每天要发生上万次的地震。其中绝大多数太小或太远，以至于人们感觉不到；真正能对人类造成严重危害的地震大约有十几二十次；能造成特别严重灾害的地震大约有一两次。人们感觉不到的地震，必须用地震仪才能记录下来；不同类型的地震仪能记录不同强度、不同远近的地震。世界上运转着数以千计的各种地震仪器日夜监测着地震的动向。当前的科技水平尚无法预测地震的到来，未来相当长的一段时间内，地震也是无法预测的。所谓成功预测地震的例子，基本都是巧合。对于地震，我们更应该做的是提高建筑抗震等级、做好防御，而不是预测地震。,https://baike.baidu.com/item/%E5%9C%B0%E9%9C%87/40588
18,泥石流,泥石流是指在山区或者其他沟谷深壑，地形险峻的地区，因为暴雨、暴雪或其他自然灾害引发的山体滑坡并携带有大量泥沙以及石块的特殊洪流。泥石流具有突然性以及流速快，流量大，物质容量大和破坏力强等特点。发生泥石流常常会冲毁公路铁路等交通设施甚至村镇等，造成巨大损失。泥石流是暴雨、洪水将含有沙石且松软的土质山体经饱和稀释后形成的洪流，它的面积、体积和流量都较大，而滑坡是经稀释土质山体小面积的区域，典型的泥石流由悬浮着粗大固体碎屑物并富含粉砂及粘土的粘稠泥浆组成。在适当的地形条件下，大量的水体浸透流水山坡或沟床中的固体堆积物质，使其稳定性降低，饱含水分的固体堆积物质在自身重力作用下发生运动，就形成了泥石流。泥石流是一种灾害性的地质现象。通常泥石流爆发突然、来势凶猛，可携带巨大的石块。因其高速前进，具有强大的能量，因而破坏性极大。泥石流流动的全过程一般只有几个小时，短的只有几分钟，是一种广泛分布于世界各国一些具有特殊地形、地貌状况地区的自然灾害。这是山区沟谷或山地坡面上，由暴雨、冰雪融化等水源激发的、含有大量泥沙石块的介于挟沙水流和滑坡之间的土、水、气混合流。泥石流大多伴随山区洪水而发生。它与一般洪水的区别是洪流中含有足够数量的泥沙石等固体碎屑物，其体积含量最少为15%，最高可达80%左右，因此比洪水更具有破坏力。,https://baike.baidu.com/item/%E6%B3%A5%E7%9F%B3%E6%B5%81/204382
14,红层,红层（red beds）在我国主要是指中生代以来即三叠系、侏罗系、白垩系和新生代古近系的湖相、河流相、河湖交替相或是山麓洪积相等陆相碎屑岩，多以夹层互层出现，从外表来看主要颜色为红色。,https://baike.baidu.com/item/%E7%BA%A2%E5%B1%82/3822107
11,地震,地震（英文：earthquake），又称地动、地振动，是地壳快速释放能量过程中造成的振动，期间会产生地震波的一种自然现象。地球上板块与板块之间相互挤压碰撞，造成板块边沿及板块内部产生错动和破裂，是引起地震的主要原因。地震开始发生的地点称为震源，震源正上方的地面称为震中。破坏性地震的地面振动最烈处称为极震区，极震区往往也就是震中所在的地区。地震常常造成严重人员伤亡，能引起火灾、水灾、有毒气体泄漏、细菌及放射性物质扩散，还可能造成海啸、滑坡、崩塌、地裂缝等次生灾害。据统计，地球上每年约发生500多万次地震，即每天要发生上万次的地震。其中绝大多数太小或太远，以至于人们感觉不到；真正能对人类造成严重危害的地震大约有十几二十次；能造成特别严重灾害的地震大约有一两次。人们感觉不到的地震，必须用地震仪才能记录下来；不同类型的地震仪能记录不同强度、不同远近的地震。世界上运转着数以千计的各种地震仪器日夜监测着地震的动向。当前的科技水平尚无法预测地震的到来，未来相当长的一段时间内，地震也是无法预测的。所谓成功预测地震的例子，基本都是巧合。对于地震，我们更应该做的是提高建筑抗震等级、做好防御，而不是预测地震。,https://baike.baidu.com/item/%E5%9C%B0%E9%9C%87/40588
10,承灾体,承灾体是指直接受到灾害影响和损害的人类社会主体。主要包括人类本身和社会发展的各个方面，如工业、农业、能源、建筑业、交通、通信、教育、文化、娱乐、各种减灾工程设施及生产、生活服务设施，以及人们所积累起来的各类财富等。承灾体受灾害的程度，除与致灾因子的强度有关外，很大程度上取决于承灾体自身的脆弱性。,https://baike.baidu.com/item/%E6%89%BF%E7%81%BE%E4%BD%93/8800648
20,降温,降温是一个词语，读音是jiàng wēn，意思是温度下降，见于《文汇报》。,https://baike.baidu.com/item/%E9%99%8D%E6%B8%A9/9414
