page_id,keyword,annotation,url
19,低于,《低于零度》是由Justin Thomas Ostensen执导的加拿大惊悚片，爱德华·福隆、迈克尔·贝里曼等参加演出，于2011年上映。该片讲述了创作进入瓶颈的作家杰克，在经纪人的安排下来到了冰天雪地的山区。将所处的环境和遇到的人和事编入故事中，却发生意想不到的事情的故事。,https://baike.baidu.com/item/%E4%BD%8E%E4%BA%8E%E9%9B%B6%E5%BA%A6/13834751
18,通信,通信，指人与人或人与自然之间通过某种行为或媒介进行的信息交流与传递，从广义上指需要信息的双方或多方在不违背各自意愿的情况下采用任意方法，任意媒质，将信息从某方准确安全地传送到另方。,https://baike.baidu.com/item/%E9%80%9A%E4%BF%A1/300982
17,诊疗,诊疗，读音zhěn liáo，汉语词语，指诊断治疗。,https://baike.baidu.com/item/%E8%AF%8A%E7%96%97/1863016
16,冬季运动,冬季运动是指在天然或人工冰雪场地借助各种装具进行的体育运动。冬季运动项目通常分为冰上运动和滑雪运动两大类。冰上运动包括短道速滑、速度滑冰、花样滑冰、冰球和冰壶等。滑雪运动包括自由式滑雪、冬季两项、越野滑雪、跳台滑雪、北欧两项（越野滑雪、跳台滑雪）、无舵雪橇、有舵雪橇、钢架雪车（俯式冰橇）、单板滑雪和高山滑雪等。随着冬季运动项目的国际比赛日益增多，在1920年安特卫普奥运会后，国际奥林匹克委员会决定为冬季运动项目单独举行冬季奥林匹克运动会。,https://baike.baidu.com/item/%E5%86%AC%E5%AD%A3%E8%BF%90%E5%8A%A8/5296191
17,创伤,创伤（trauma）是机械因素引起人体组织或器官的破坏。加于人体的任何外来因素还包括高温、寒冷、电流、放射线、酸、碱、毒气、毒虫、蚊咬等所造成的结构或功能方面的破坏。创伤极为常见。不仅可以大量发生在战争时期，也可发生在和平时期。包括：割伤、刺伤、挫伤、扭伤。由于工业、农业、交通业及体育事业的高速发展，各种事故所造成的创伤日趋增多。创伤不仅发生率高,而且程度差别很大，伤情可以严重而复杂，甚至危及伤员的生命。严重创伤可引起全身反应，局部表现有伤区疼痛、肿胀、压痛;骨折脱位时有畸形及功能障碍。严重创伤还可能有致命的大出血、休克、窒息及意识障碍。急救时应先防治休克，保持呼吸道通畅，对伤口包扎止血，并进行伤肢固定，将伤员安全、平稳、迅速地转送到医院进一步处理，开放性伤口要及时行清创术。对大量出血的患者，宜首先采取止血方法；对切割伤、刺伤等小伤口，若能挤出少量血液反而能排出细菌和尘垢；伤口宜用清洁的水洗净，无法彻底清洁的伤口，须用清洁的布覆盖其表面，不可直接用棉花、卫生纸覆盖。,https://baike.baidu.com/item/%E5%88%9B%E4%BC%A4/2380487
14,训练,训练，汉语词语，拼音是xùn liàn，意思是指有计划有步骤地通过学习和辅导掌握某种技能。有意识地使受训者发生生理反应，从而改变受训者素质、能力的活动。和教育一样，训练也是培养人的一种手段。,https://baike.baidu.com/item/%E8%AE%AD%E7%BB%83/84116
12,检测,用指定的方法检验测试某种物体（气体、液体、固体）指定的技术性能指标。适用于各种行业范畴的质量评定，如：土木建筑工程、水利、食品、化学、环境、机械、机器等等。,https://baike.baidu.com/item/%E6%A3%80%E6%B5%8B/1200916
18,基站,基站即公用移动通信基站，是移动设备接入互联网的接口设备，也是无线电台站的一种形式，是指在一定的无线电覆盖区中，通过移动通信交换中心，与移动电话终端之间进行信息传递的无线电收发信电台。移动通信基站的建设是移动通信运营商投资的重要部分，移动通信基站的建设一般都是围绕覆盖面、通话质量、投资效益、建设难易、维护方便等要素进行。随着移动通信网络业务向数据化、分组化方向发展，移动通信基站的发展趋势也必然是宽带化、大覆盖面建设及IP化。,https://baike.baidu.com/item/%E5%9F%BA%E7%AB%99/1260692
13,训练,训练，汉语词语，拼音是xùn liàn，意思是指有计划有步骤地通过学习和辅导掌握某种技能。有意识地使受训者发生生理反应，从而改变受训者素质、能力的活动。和教育一样，训练也是培养人的一种手段。,https://baike.baidu.com/item/%E8%AE%AD%E7%BB%83/84116
15,公共安全,所谓公共安全，是指社会和公民个人从事和进行正常的生活、工作、学习、娱乐和交往所需要的稳定的外部环境和秩序。所谓公共安全管理，则是指国家行政机关为了维护社会的公共安全和秩序，保障公民的合法权益，以及社会各项活动的正常进行而做出的各种行政活动的总和。,https://baike.baidu.com/item/%E5%85%AC%E5%85%B1%E5%AE%89%E5%85%A8/2956734
