page_id,keyword,annotation,url
30,算法,算法（Algorithm）是指解题方案的准确而完整的描述，是一系列解决问题的清晰指令，算法代表着用系统的方法描述解决问题的策略机制。也就是说，能够对一定规范的输入，在有限时间内获得所要求的输出。如果一个算法有缺陷，或不适合于某个问题，执行这个算法将不会解决这个问题。不同的算法可能用不同的时间、空间或效率来完成同样的任务。一个算法的优劣可以用空间复杂度与时间复杂度来衡量。算法中的指令描述的是一个计算，当其运行时能从一个初始状态和（可能为空的）初始输入开始，经过一系列有限而清晰定义的状态，最终产生输出并停止于一个终态。一个状态到另一个状态的转移不一定是确定的。随机化算法在内的一些算法，包含了一些随机输入。形式化算法的概念部分源自尝试解决希尔伯特提出的判定问题，并在其后尝试定义有效计算性或者有效方法中成形。这些尝试包括库尔特·哥德尔、Jacques Herbrand和斯蒂芬·科尔·克莱尼分别于1930年、1934年和1935年提出的递归函数，阿隆佐·邱奇于1936年提出的λ演算，1936年Emil Leon Post的Formulation 1和艾伦·图灵1937年提出的图灵机。即使在当前，依然常有直觉想法难以定义为形式化算法的情况。,https://baike.baidu.com/item/%E7%AE%97%E6%B3%95/209025
29,计算,计算，汉语词语。有“核算数目，根据已 知量算出未知量；运算”和“考虑；谋虑”两种含义。,https://baike.baidu.com/item/%E8%AE%A1%E7%AE%97/81857
27,测序,测序指的是对基因的序列进行判断的一种方法。,https://baike.baidu.com/item/%E6%B5%8B%E5%BA%8F/8198232
26,测序,测序指的是对基因的序列进行判断的一种方法。,https://baike.baidu.com/item/%E6%B5%8B%E5%BA%8F/8198232
25,肿瘤,肿瘤（tumour）是指机体在各种致瘤因子作用下，局部组织细胞增生所形成的新生物（neogrowth），因为这种新生物多呈占位性块状突起，也称赘生物（neoplasm）。研究发现，肿瘤细胞会出现不同于正常细胞的代谢变化，同时肿瘤细胞自身可通过糖酵解和氧化磷酸化（OXPHOS）之间的转换来适应代谢环境的改变。2019年，Cancer Cell最新刊登了一篇文章，研究人员发现在禁食状态下使用二甲双胍可以显著抑制肿瘤生长，并提出PP2A-GSK3β-MCL-1通路可能是肿瘤治疗的新靶点。,https://baike.baidu.com/item/%E8%82%BF%E7%98%A4/15525
28,家犬,家犬，通常指犬，俗称狗。一种常见的犬科哺乳动物，是灰狼的亚种。狗是一种不晚于14000年前——甚至可能在15000年前，就已经被人类驯化的家畜。今天，家犬的种类已达数百种，身高从只有十几厘米的吉娃娃到近一米高的爱尔兰猎狼犬，颜色也从白色到黑、灰或棕都有。家犬是一种高度社会化的集体猎食动物。,https://baike.baidu.com/item/%E5%AE%B6%E7%8A%AC/9302960
24,降解,降解，一般指有机化合物分子中的碳原子数目减少，分子量降低。对于降解，不同的学者持有有不同的观点，有一种观点认为降解物最终要被分解成二氧化碳和水才能称为降解。,https://baike.baidu.com/item/%E9%99%8D%E8%A7%A3/2752067
20,树脂,树脂通常是指受热后有软化或熔融范围，软化时在外力作用下有流动倾向，常温下是固态、半固态，有时也可以是液态的有机聚合物。广义上的定义，可以作为塑料制品加工原料的任何高分子化合物都称为树脂。,https://baike.baidu.com/item/%E6%A0%91%E8%84%82/281282
17,面板,明清家具部件名称。凡椅面、桌面、案面、几面等都采用攒边作法，芯板所取用的板材俗称“面板”。钢板在粗下料时，所切形状为矩形时（形同面板），便称之为面板。,https://baike.baidu.com/item/%E9%9D%A2%E6%9D%BF/441699
18,mm,MM(美眉)此词的缩写最早出现在BBS上，当时因为电脑的储存空间和网络传输带宽极其有限而出现了很多汉字词组的缩写，在当时甚至发表帖子都尽量使用半角的标点符号来节省空间。,https://baike.baidu.com/item/MM/3903835
19,LED,LED电视其实是LCD电视（Liquid Crystal Display），即液晶电视的一种，它与传统液晶电视的不同主要在于采用了不同的背光源，从而带来性能上的诸多不同，如下表所示，LED电视采用发光二极管作为背光源，比CCFL背光的传统液晶电视在厚度、画面质量、寿命、节能环保上更具优势，已成为业内公认的LCD电视发展方向。严格意义上的LED电视是指完全采用LED（发光二极管）做为显像器件的电视机，一般用于低精度显示或户外大屏幕。中国大陆地区家电行业中通常所指的LED电视严格的名称是“LED背光源液晶电视”，是指以LED做为背光源的液晶电视，仍是LCD的一种。它用LED光源替代了传统的荧光灯管，画面更优质，理论寿命更长，制作工艺更环保，并且能使液晶显示面板更薄。,https://baike.baidu.com/item/led%E7%94%B5%E8%A7%86/4756349
