page_id,keyword,annotation,url
12,技术规程,,https://baike.baidu.com/item/%E6%8A%80%E6%9C%AF%E8%A7%84%E7%A8%8B/5975525
11,技术落后,技术落后风险是指由于科技发展，租赁物件发生严重无形损耗，影响企业经济利益，造成承租人无法偿还租金。技术落后风险管理的重点应放在项目的技术可行性研究和财务经济可行性研究上。技术上，应在做好设备、科技水平、本行业发展趋势的预测和国际上同类产品调查的基础上，尽可能选择先进适用的设备。在财务效益的测定上必须充分考虑租赁物件价格的变动以及租金受汇价变动的冲击，留有租金调整的余地。,https://baike.baidu.com/item/%E6%8A%80%E6%9C%AF%E8%90%BD%E5%90%8E%E9%A3%8E%E9%99%A9/12748088
11,依托,依托，读音yī tuō，汉语词语，意思是依靠、凭借。,https://baike.baidu.com/item/%E4%BE%9D%E6%89%98/5542569
9,集成,集成，读音jí chéng，汉语词语，意思是总体;尤指知识的或证据的。,https://baike.baidu.com/item/%E9%9B%86%E6%88%90/1829613
8,示范,示范，读音为shì fàn，汉语词语，意思是做出榜样或典范,供人们学习；起示范作用；把事物摆出来或指出来使人知道。,https://baike.baidu.com/item/%E7%A4%BA%E8%8C%83/363731
10,增效,,https://baike.baidu.com//item/%E5%A2%9E%E6%95%88
9,种苗,种苗就是指种子播种发芽后，一般生长到2对真叶，以长到丰满盘为标准，到适合移植到其它环境生长幼小植株。,https://baike.baidu.com/item/%E7%A7%8D%E8%8B%97/4577679
13,阿克陶县,阿克陶县，隶属于新疆维吾尔自治区克孜勒苏柯尔克孜自治州的。阿克陶县地处新疆维吾尔自治区西南部，帕米尔高原东部，塔里木盆地的西部边缘，地处东经73°26'5"～76°43'31"、北纬37°41'28"～39°29'55"之间。北部与乌恰县和疏附县为邻，东北部以岳普湖河为界与疏勒县、新疆生产建设兵团第三师四十一团场隔河相望，东部与英吉沙县、莎车县相连，南部与塔什库尔干塔吉克自治县相接，西部、西南部分别与吉尔吉斯斯坦共和国和塔吉克斯坦共和国接壤，国境线长380千米。是中国最西端的县级行政区。因县城选定在原英吉沙县六区阿克托巴什，由此得名。但正式定名为阿克陶。阿克托，维吾尔语意为“白旗”，古代居民在村落附近有插挂白旗习俗而得名。现阿克陶通常按柯尔克孜语解释为“白山”，因境有白色雪峰得名。阿克陶县辖2镇、10乡、2场，面积24176平方公里。阿克陶县2015年人口为221526人。2012年，阿克陶县实现生产总值16.02亿元，比2011年增长15.1%。1954年8月，阿克陶建县，由喀什专区的英吉沙县、疏附县、蒲犁县和乌恰县析置组成，隶属于克孜勒苏柯尔克孜自治州。,https://baike.baidu.com/item/%E9%98%BF%E5%85%8B%E9%99%B6%E5%8E%BF/4730980
5,技术,世界知识产权组织在1977年版的《供发展中国家使用的许可证贸易手册》中，给技术下的定义：“技术是制造一种产品的系统知识，所采用的一种工艺或提供的一项服务，不论这种知识是否反映在一项发明、一项外形设计、一项实用新型或者一种植物新品种，或者反映在技术情报或技能中，或者反映在专家为设计、安装、开办或维修一个工厂或为管理一个工商业企业或其活动而提供的服务或协助等方面。”这是至今为止国际上给技术所下的最为全面和完整的定义。知识产权组织把世界上所有能带来经济效益的科学知识都定义为技术。,https://baike.baidu.com/item/%E6%8A%80%E6%9C%AF/13014499
12,建立,建立是一个动词，读音为Jiàn Lì，顾名思义让某种事物从无到有的一个过程。有开始成立，产生。设置，设立，兴建，建设等的含义在内。,https://baike.baidu.com/item/%E5%BB%BA%E7%AB%8B/1080156
10,增收,增收是指预算执行结果比上年增加的财政收入。普通语境仅为动宾短语。,https://baike.baidu.com/item/%E5%A2%9E%E6%94%B6/4696489
7,集成,集成，读音jí chéng，汉语词语，意思是总体;尤指知识的或证据的。,https://baike.baidu.com/item/%E9%9B%86%E6%88%90/1829613
5,高效,高效，汉语词语，拼音是ɡāo xiào，指效能高的，效率高的。,https://baike.baidu.com/item/%E9%AB%98%E6%95%88/6764908
