page_id,keyword,annotation,url
9,技术,世界知识产权组织在1977年版的《供发展中国家使用的许可证贸易手册》中，给技术下的定义：“技术是制造一种产品的系统知识，所采用的一种工艺或提供的一项服务，不论这种知识是否反映在一项发明、一项外形设计、一项实用新型或者一种植物新品种，或者反映在技术情报或技能中，或者反映在专家为设计、安装、开办或维修一个工厂或为管理一个工商业企业或其活动而提供的服务或协助等方面。”这是至今为止国际上给技术所下的最为全面和完整的定义。知识产权组织把世界上所有能带来经济效益的科学知识都定义为技术。,https://baike.baidu.com/item/%E6%8A%80%E6%9C%AF/13014499
10,污染源,污染源是指造成环境污染的污染物发生源，通常指向环境排放有害物质或对环境产生有害影响的场所、设备、装置或人体。任何以不适当的浓度，数量，速度，形态和途径进入环境系统并对环境产生污染或破坏的物质或能量，统称为污染物。可分为天然污染源、大气污染源、人为污染源、工业污染源等。对于污染源排放的监测有两种方法，一是监督性监测，二是研究性监测。治理大气污染源的方法有电站锅炉烟气排放控制、工业锅炉及炉窑烟气排放控制、典型有毒有害工业废气净化、机动车尾气排放控制等。,https://baike.baidu.com/item/%E6%B1%A1%E6%9F%93%E6%BA%90/8555911
10,大气,空气（Air，kōng qì），我们每天都呼吸着的“生命气体”，它分层覆盖在地球表面，透明且无色无味，它主要由氮气和氧气组成，对人类的生存和生产有重要影响。空气是指地球大气层中的混合气体，因此空气属于混合物，它主要由氮气、氧气、稀有气体（氦、氖、氩、氪、氙、氡），二氧化碳以及其他物质（如水蒸气、杂质等）组合而成。其中氮气的体积分数约为78%，氧气的体积分数约为21%，稀有气体（氦、氖、氩、氪、氙、氡）的体积分数约为0.934%，二氧化碳的体积分数约为0.04%（2017年数据），其他物质（如水蒸气、杂质等）的体积分数约为0.002%。空气的成分不是固定的，随着高度的改变、气压的改变，空气的组成比例也会改变。但是长期以来人们一直认为空气是一种单一的物质，直到后来法国科学家拉瓦锡通过实验首先得出了空气是由氧气和氮气组成的结论。19世纪末，科学家们又通过大量的实验发现，空气里还有氦、氩、氙等稀有气体。在自然状态下空气是无色无味的。空气中的氧气对于所有需氧生物来说是必须的。所有动物都需要呼吸氧气，绿色植物的呼吸作用也需要氧气。此外绿色植物利用空气中的二氧化碳进行光合作用，空气几乎是所有植物所需二氧化碳的唯一来源。,https://baike.baidu.com/item/%E7%A9%BA%E6%B0%94/2735809
10,园区,产业园区是指以为促进某一产业发展为目标而创立的特殊区位环境，是区域经济发展、产业调整升级的重要空间聚集形式，担负着聚集创新资源、培育新兴产业、推动城市化建设等一系列的重要使命。产业园区能够有效地创造聚集力，通过共享资源、克服外部负效应，带动关联产业的发展，从而有效地推动产业集群的形成。按照不同的角度有多种类型分类，根据玩转园区（cnyuanqu）里的分法，最常见类型有：物流园区、科技园区、文化创意园区、总部基地、生态农业园区等。,https://baike.baidu.com/item/%E4%BA%A7%E4%B8%9A%E5%9B%AD%E5%8C%BA/7307651
8,区域,区域是一个汉语词语，读音为qū yù，是指土地的界划；地区区域自治。指国家管辖范围以外的海床和洋底及其底土。语出《周礼·地官·序官》“廛人” 汉郑玄注：“廛，民居区域之称。”、陈康祺《郎潜纪闻》卷三：“咨其风土，考其区域。”等。,https://baike.baidu.com/item/%E5%8C%BA%E5%9F%9F/6787979
8,PM2.5,PM2.5口罩是指能有效过滤PM2.5微粒的口罩，口罩的密闭性决定了滤过悬浮颗粒分子能力。能够有效过滤空气中的隐形杀手——雾霾、病毒、细菌、尘螨、花粉等微小颗粒。适用于空气质量较差的环境。PM2.5口罩的基本结构是外层为一个抗菌的面料，材质为碳纤维毡垫、高分子织物、无纺布等。,https://baike.baidu.com/item/pm2.5%E5%8F%A3%E7%BD%A9/6875250
9,成渝,成渝地区指四川成都和重庆及之间的地区，但这是一个模糊的概念。该地区面积约20万平方公里，人口8724万，分别占中国西南地区的6.6%和35%。成渝地区是中国西部经济最发达的地区，也是中国重要的城市带之一。2018年11月，《中共中央 国务院关于建立更加有效的区域协调发展新机制的意见》明确要求以成都、重庆为中心，引领成渝城市群发展，带动相关板块融合发展。,https://baike.baidu.com/item/%E6%88%90%E6%B8%9D%E5%9C%B0%E5%8C%BA/4465796
8,臭氧,臭氧是氧气的一种同素异形体，化学式是O3，式量47.998，有鱼腥气味的淡蓝色气体。臭氧有强氧化性，是比氧气更强的氧化剂，可在较低温度下发生氧化反应，如能将银氧化成过氧化银，将硫化铅氧化成硫酸铅、跟碘化钾反应生成碘。松节油、煤气等在臭氧中能自燃。有水存在时臭氧是一种强力漂白剂。跟不饱和有机化合物在低温下也容易生成臭氧化物。用作强氧化剂，漂白剂、皮毛脱臭剂、空气净化剂，消毒杀菌剂，饮用水的消毒脱臭。在化工生产中可用臭氧代替许多催化氧化或高温氧化，简化生产工艺并提高生产率。液态臭氧还可用作火箭燃料的氧化剂。存在于大气中，靠近地球表面浓度为0.001～0.03ppm，是由大气中氧气吸收了太阳的波长小于185nm紫外线后生成的，此臭氧层可吸收太阳光中对人体有害的短波（30nm以下）光线，防止这种短波光线射到地面，使生物免受紫外线的伤害。,https://baike.baidu.com/item/%E8%87%AD%E6%B0%A7/366494
9,大气污染,大气污染是由于人类活动或自然过程引起某些物质进入大气中，呈现出足够的浓度，达到足够的时间，并因此危害了人体的舒适、健康和福利或环境的现象。大气污染物由人为源或者天然源进入大气（输入），参与大气的循环过程，经过一定的滞留时间之后，又通过大气中的化学反应、生物活动和物理沉降从大气中去除（输出）。如果输出的速率小于输入的速率，就会在大气中相对集聚，造成大气中某种物质的浓度升高。当浓度升高到一定程度时，就会直接或间接地对人、生物或材料等造成急性、慢性危害，大气就被污染了。,https://baike.baidu.com/item/%E5%A4%A7%E6%B0%94%E6%B1%A1%E6%9F%93/778495
7,政策,国家政权机关、政党组织和其他社会政治集团为了实现自己所代表的阶级、阶层的利益与意志，以权威形式标准化地规定在一定的历史时期内，应该达到的奋斗目标、遵循的行动原则、完成的明确任务、实行的工作方式、采取的一般步骤和具体措施。,https://baike.baidu.com/item/%E6%94%BF%E7%AD%96/32783
