page_id,keyword,annotation,url
11,申报,《申报》原名《申江新报》，1872年4月30日（清同治十一年三月二十三日）在上海创刊，1949年5月27日停刊。是近代中国发行时间最久、具有广泛社会影响的报纸，是中国现代报纸开端的标志。它前后总计经营了77年，历经晚清、北洋政府、国民政府三个时代，共出版27000余期，出版时间之长，影响之广泛，同时期其它报纸难以企及，在中国新闻史和社会史研究上都占有重要地位，被人称为研究中国近现代史的“百科全书”。,https://baike.baidu.com/item/%E7%94%B3%E6%8A%A5/3577852
11,经费,经费是指行政事业单位为完成工作任务和事业计划所需经常费用的统称。这些单位一般不直接从事物质资料生产，没有独立、稳定的收入来源。或者虽有一部分收入，但大都不足以抵补本身的业务支出，需要国家预算拨付经费。经费按用途可分为人员经费和公用经费。或分为维持经费和发展经费。前者指维持原有行政事业单位机构及规模的人员经费和公用经费; 后者是指在计划年度内，经批准新增加的机构、人员或其他事业项目所需的经费。原单位增加少量人员，不增设机构和不扩大事业项目的，属于自然增长，不作为发展经费。,https://baike.baidu.com/item/%E7%BB%8F%E8%B4%B9/1705671
10,质量,质量（mass）是物体所具有的一种物理属性，是物质的量的量度，它是一个正的标量。质量分为惯性质量和引力质量。自然界中的任何物质既有惯性质量又有引力质量。这里所说的“物质”是自然界中的宏观物体和电磁场、天体和星系、微观世界的基本粒子等的总称。质量是物理学中的一个基本概念，它的含义和内容随着科学的发展而不断清晰和充实。最初，牛顿把质量说成是物质的数量，即物质多少的量度。在牛顿力学中，给定的物体具有一定的惯性质量（用字母表示），它作为一个与时间和空间位置无关的常数出现在牛顿力学第二定律之中：F=ma（物体加速度的大小a与所受力F的大小成正比，比例系数m称为该物体的惯性质量）。惯性质量是物体惯性的量度：对于m越大的物体，就越难改变其运动状态（速度）。在牛顿力学中，没有惯性质量等于零的物体存在。在狭义相对论中，惯性质量又细分为静质量、动质量、相对论质量（总质量）。相对论质量与静质量的差称为动质量。对于可以在实验室里测试的物体，惯性质量和引力质量相等。20世纪，爱因斯坦在广义相对论中提出等效原理就是以惯性质量和引力质量相等这一前提为依据的。可以认为，一切与广义相对论有关的观察和实验的精确结果都可以看成是这两种质量相等的证明。因此，惯性质量和引力质量是表征物体内在性质的同一个物理量的不同表现。,https://baike.baidu.com/item/%E8%B4%A8%E9%87%8F/2640907
9,技术规范,技术规范是对标准化的对象提出技术要求，也就是用于规定标准化对象的能力。,https://baike.baidu.com/item/%E6%8A%80%E6%9C%AF%E8%A7%84%E8%8C%83/8788769
9,建立,建立是一个动词，读音为Jiàn Lì，顾名思义让某种事物从无到有的一个过程。有开始成立，产生。设置，设立，兴建，建设等的含义在内。,https://baike.baidu.com/item/%E5%BB%BA%E7%AB%8B/1080156
8,系统,系统一词来源于英文system的音译，即若干部分相互联系、相互作用，形成的具有某些功能的整体。中国著名学者钱学森认为：系统是由相互作用相互依赖的若干组成部分结合而成的，具有特定功能的有机整体，而且这个有机整体又是它从属的更大系统的组成部分。在数字信号处理的理论中，人们把能加工、变换数字信号的实体称作系统。由于处理数字信号的系统是在指定的时刻或时序对信号进行加工运算，所以这种系统被看作是离散时间的，也可以用基于时间的语言、表格、公式、波形四种方法来描述。从抽象的意义来说，系统和信号都可以看作序列。但是，系统是加工信号的机构，这点与信号不同。人们研究系统，设计系统，利用系统加工信号、服务人类。除上文的四种描述方法，描述系统的方法还有符号、单位脉冲响应、差分方程和图形。,https://baike.baidu.com/item/%E7%B3%BB%E7%BB%9F/479832
7,试剂,试剂（reagent），又称生物化学试剂或试药。主要是实现化学反应、分析化验、研究试验、教学实验、化学配方使用的纯净化学品。一般按用途分为通用试剂、高纯试剂、分析试剂、仪器分析试剂、临床诊断试剂、生化试剂、无机离子显色剂试剂等。,https://baike.baidu.com/item/%E8%AF%95%E5%89%82/1311086
6,光栅,由大量等宽等间距的平行狭缝构成的光学器件称为光栅（grating）。一般常用的光栅是在玻璃片上刻出大量平行刻痕制成，刻痕为不透光部分，两刻痕之间的光滑部分可以透光，相当于一狭缝。精制的光栅，在1cm宽度内刻有几千条乃至上万条刻痕。这种利用透射光衍射的光栅称为透射光栅，还有利用两刻痕间的反射光衍射的光栅，如在镀有金属层的表面上刻出许多平行刻痕，两刻痕间的光滑金属面可以反射光，这种光栅称为反射光栅。,https://baike.baidu.com/item/%E5%85%89%E6%A0%85/941483
10,基础设施,基础设施（infrastructure）是指为社会生产和居民生活提供公共服务的物质工程设施，是用于保证国家或地区社会经济活动正常进行的公共服务系统。它是社会赖以生存发展的一般物质条件。基础设施包括交通、邮电、供水供电、商业服务、科研与技术服务、园林绿化、环境保护、文化教育、卫生事业等市政公用工程设施和公共生活服务设施等。它们是国民经济各项事业发展的基础。在现代社会中，经济越发展，对基础设施的要求越高；完善的基础设施对加速社会经济活动，促进其空间分布形态演变起着巨大的推动作用。建立完善的基础设施往往需较长时间和巨额投资。对新建、扩建项目，特别是远离城市的重大项目和基地建设，更需优先发展基础设施，以便项目建成后尽快发挥效益。,https://baike.baidu.com/item/%E5%9F%BA%E7%A1%80%E8%AE%BE%E6%96%BD/3831695
5,校准,校准：在规定条件下，为确定计量器具示值误差的一组操作。是在规定条件下，为确定计量仪器或测量系统的示值，或实物量具或标准物质所代表的值，与相对应的被测量的已知值之间关系的一组操作。校准结果可用以评定计量仪器、测量系统或实物量具的示值误差，或给任何标尺上的标记赋值。,https://baike.baidu.com/item/%E6%A0%A1%E5%87%86/3918191
8,测试,测试是具有试验性质的测量，即测量和试验的综合。而测试手段就是仪器仪表。由于测试和测量密切相关，在实际使用中往往并不严格区分测试与测量。测试的基本任务就是获取有用的信息，通过借助专门的仪器、设备，设计合理的实验方法以及进行必要的信号分析与数据处理，从而获得与被测对象有关的信息。测试最终的结果是将显示的信息输入到信息处理库中，进行控制。,https://baike.baidu.com/item/测试

5,三相点,三相点是指在热力学里，可使一种物质三相（气相，液相，固相）共存的一个温度和压强的数值。举例来说，水的三相点在0.01℃（273.16K）及610.75Pa 出现；而汞的三相点在−38.8344℃及0.2MPa出现。,https://baike.baidu.com/item/%E4%B8%89%E7%9B%B8%E7%82%B9/1132672
3,燃气轮机,燃气轮机（Gas Turbine）是以连续流动的气体为工质带动叶轮高速旋转，将燃料的能量转变为有用功的内燃式动力机械，是一种旋转叶轮式热力发动机。,https://baike.baidu.com/item/%E7%87%83%E6%B0%94%E8%BD%AE%E6%9C%BA/475568
3,洁净度,洁净度系指空气环境中空气所含尘埃量多少的程度。在一般的情况下，是指单位体积的空气中所含大于等于某一粒径粒子的数量。含尘量高则洁净度低，含尘量低则洁净度高。,https://baike.baidu.com/item/%E6%B4%81%E5%87%80%E5%BA%A6/7376356
4,科学,科学（Science）是一个建立在可检验的解释和对客观事物的形式、组织等进行预测的有序知识系统，是已系统化和公式化了的知识。根据科学反映对象的领域，主要分为自然科学、社会科学、思维科学、形式科学和交叉学科。,https://baike.baidu.com/item/%E7%A7%91%E5%AD%A6/10406
2,高功率,高功率微波（High-Power Microwave，HPM）是强电磁脉冲的一种，其频率范围为0.5GHz～300GHz，峰值功率高于1MW。HPM具有高频率、短脉冲（几十纳秒）和高功率等特点，是强电磁脉冲的一种重要形式。2003 年 3 月美国发动的伊拉克战争，美英联军第一次使用了微波脉冲炸弹空袭了伊拉克国家电视台，并造成电视台一段时间瘫痪。从此，高功率微波武器正式登上了历史舞台。,https://baike.baidu.com/item/%E9%AB%98%E5%8A%9F%E7%8E%87%E5%BE%AE%E6%B3%A2/4969552
7,定值,定值也叫整定值、设定值，就是在自动控制系统里，当某一物理量，达到某一数值时，将发生某一动作。数学学科中，指某个固定的数值。中文名称：整定值 英文名称：setting value 定义：经过整定计算和试验，所得出保护装置(或继电器)完成预定保护功能所需的动作参数(动作值、动作时间等)规定值。应用学科：电力（一级学科）；继电保护与自动化（二级学科）,https://baike.baidu.com/item/%E5%AE%9A%E5%80%BC/5275732
1,质量,质量（mass）是物体所具有的一种物理属性，是物质的量的量度，它是一个正的标量。质量分为惯性质量和引力质量。自然界中的任何物质既有惯性质量又有引力质量。这里所说的“物质”是自然界中的宏观物体和电磁场、天体和星系、微观世界的基本粒子等的总称。质量是物理学中的一个基本概念，它的含义和内容随着科学的发展而不断清晰和充实。最初，牛顿把质量说成是物质的数量，即物质多少的量度。在牛顿力学中，给定的物体具有一定的惯性质量（用字母表示），它作为一个与时间和空间位置无关的常数出现在牛顿力学第二定律之中：F=ma（物体加速度的大小a与所受力F的大小成正比，比例系数m称为该物体的惯性质量）。惯性质量是物体惯性的量度：对于m越大的物体，就越难改变其运动状态（速度）。在牛顿力学中，没有惯性质量等于零的物体存在。在狭义相对论中，惯性质量又细分为静质量、动质量、相对论质量（总质量）。相对论质量与静质量的差称为动质量。对于可以在实验室里测试的物体，惯性质量和引力质量相等。20世纪，爱因斯坦在广义相对论中提出等效原理就是以惯性质量和引力质量相等这一前提为依据的。可以认为，一切与广义相对论有关的观察和实验的精确结果都可以看成是这两种质量相等的证明。因此，惯性质量和引力质量是表征物体内在性质的同一个物理量的不同表现。,https://baike.baidu.com/item/%E8%B4%A8%E9%87%8F/2640907
2,光纤,光纤是光导纤维的简写，是一种由玻璃或塑料制成的纤维，可作为光传导工具。传输原理是“光的全反射”。前香港中文大学校长高锟和George A. Hockham首先提出光纤可以用于通讯传输的设想，高锟因此获得2009年诺贝尔物理学奖。,https://baike.baidu.com/item/%E5%85%89%E7%BA%A4/171632
1,NQI,占肖卫，中科院化学所有机固体院重点实验室， 研究员、博士生导师、中科院“百人计划”。长期从事金属有机催化剂的制备及催化聚合、有机高分子光电功能材料的设计合成、光电性能表征和器件研究（发光二极管、场效应晶体管、太阳能电池、传感器、非线性光学），其研究成果显著。,https://baike.baidu.com/item/%E5%8D%A0%E8%82%96%E5%8D%AB/7763637
6,晶圆,晶圆是指制作硅半导体电路所用的硅晶片，其原始材料是硅。高纯度的多晶硅溶解后掺入硅晶体晶种，然后慢慢拉出，形成圆柱形的单晶硅。硅晶棒在经过研磨，抛光，切片后，形成硅晶圆片，也就是晶圆。目前国内晶圆生产线以 8英寸和 12 英寸为主。晶圆的主要加工方式为片加工和批加工，即同时加工1 片或多片晶圆。随着半导体特征尺寸越来越小，加工及测量设备越来越先进，使得晶圆加工出现了新的数据特点。同时，特征尺寸的减小，使得晶圆加工时，空气中的颗粒数对晶圆加工后质量及可靠性的影响增大，而随着洁净的提高，颗粒数也出现了新的数据特点。,https://baike.baidu.com/item/%E6%99%B6%E5%9C%86/1375681
