page_id,keyword,annotation,url
3,物理,物理学（physics）是研究物质最一般的运动规律和物质基本结构的学科。作为自然科学的带头学科，物理学研究大至宇宙，小至基本粒子等一切物质最基本的运动形式和规律，因此成为其他各自然科学学科的研究基础。物理学起始于伽利略和牛顿的年代，它已经成为一门有众多分支的基础科学。物理学是一门实验科学，也是一门崇尚理性、重视逻辑推理的科学。物理学充分用数学作为自己的工作语言，它是当今最精密的一门自然科学学科。,https://baike.baidu.com/item/%E7%89%A9%E7%90%86%E5%AD%A6/313183
3,研究所,研究所是指以科学研究为主要目的的社会企事业机构。在中国是一种完成为特殊科研目的和任务而建立的研究机构。随着社会的发展，现多以企业形式存在。在学术界，称其为科学试验的研究部门。研究所一直是国家重点扶持和照顾的对象，特别是军工类的研究所，比如航天两大集团，中电集团，航空，中船等重点研究所，一直是很多名校毕业生就业的首选。,https://baike.baidu.com/item/%E7%A0%94%E7%A9%B6%E6%89%80/1884021
3,单位,单位，指机关、团体或属于一个机关、团体的各个部门；指数学方面或物理方面计量事物的标准量的名称。一般有：米（m）、千米（km）、牛（顿） N、帕（斯卡）Pa等单位；在佛教传统意义上讲单位，特指长度、质量、时间等的定量单位，也有专门的术语如：刹那、一瞬、弹指、须臾等。准确的说，单位就是将一定数量物质的集合规定为“1” ，成为一个单位。从广义上讲：单位是一个相对概念，其为事物坐标系中的坐标轴中能构成个体的抽象概念。事物的最小单位为零。,https://baike.baidu.com/item/%E5%8D%95%E4%BD%8D/32292
2,伦理,伦理，汉语词， 意思是人伦道德之理，指人与人相处的各种道德准则。该词在汉语中指的就是人与人的关系和处理这些关系的规则。如：“天地君亲师”为五天伦；又如：君臣、父子、兄弟、夫妻、朋友为五人伦。忠、孝、悌、忍、信为处理人伦的规则。从学术角度来看，人们往往把伦理看作是对道德标准的寻求。,https://baike.baidu.com/item/%E4%BC%A6%E7%90%86/538
3,中科院,中国科学院（英文名称：Chinese Academy of Sciences，简称中科院）成立于1949年11月，为中国自然科学最高学术机构、科学技术最高咨询机构、自然科学与高技术综合研究发展中心。中国科学院提出了建设国家创新体系的构想，先后实施知识创新工程、“创新2020”、《“率先行动”计划暨全面深化改革纲要》，提出了《迎接知识经济时代，建设国家创新体系》、《创新促进发展，科技引领未来》、《创新2050：科学技术与中国的未来》、《科技发展新态势与面向2020年的战略选择》等战略研究报告。据2018年11月中国科学院官网显示，全院共拥有12个分院、100多家科研院所、3所大学（中国科学院大学、中国科学技术大学，与上海市共建上海科技大学）、130多个国家级重点实验室和工程中心、210多个野外观测台站，承担20余项国家重大科技基础设施的建设与运行，正式职工7.1万余人，在学研究生6.4万余人；建成了完整的自然科学学科体系，物理、化学、材料科学、数学、环境与生态学、地球科学等学科整体水平已进入世界先进行列，一些领域方向也具备了进入世界第一方阵的良好态势。在解决关系国家全局和长远发展的重大问题上，已成为不可替代的国家战略科技力量。一批科学家在国家重大科技任务中发挥了关键和中坚作用，并作为我国科技界的代表活跃在国际科技前沿。2019年9月，经党中央批准，十九届中央第四轮巡视将对中国科学院党组织开展常规巡视。,https://baike.baidu.com/item/%E4%B8%AD%E5%9B%BD%E7%A7%91%E5%AD%A6%E9%99%A2/271375
2,细胞,细胞（英文名：cell）并没有统一的定义，比较普遍的提法是：细胞是生物体基本的结构和功能单位。已知除病毒之外的所有生物均由细胞所组成，但病毒生命活动也必须在细胞中才能体现。一般来说，细菌等绝大部分微生物以及原生动物由一个细胞组成，即单细胞生物，高等植物与高等动物则是多细胞生物。细胞可分为原核细胞、真核细胞两类，但也有人提出应分为三类，即把原属于原核细胞的古核细胞独立出来作为与之并列的一类。研究细胞的学科称为细胞生物学。细胞体形极微，在显微镜下始能窥见，形状多种多样。主要由细胞核与细胞质构成，表面有细胞膜。高等植物细胞膜外有细胞壁，细胞质中常有质体，体内有叶绿体和液泡，还有线粒体。动物细胞无细胞壁，细胞质中常有中心体，而高等植物细胞中则无。细胞有运动、营养和繁殖等机能。,https://baike.baidu.com/item/%E7%BB%86%E8%83%9E/84931
3,申报,《申报》原名《申江新报》，1872年4月30日（清同治十一年三月二十三日）在上海创刊，1949年5月27日停刊。是近代中国发行时间最久、具有广泛社会影响的报纸，是中国现代报纸开端的标志。它前后总计经营了77年，历经晚清、北洋政府、国民政府三个时代，共出版27000余期，出版时间之长，影响之广泛，同时期其它报纸难以企及，在中国新闻史和社会史研究上都占有重要地位，被人称为研究中国近现代史的“百科全书”。,https://baike.baidu.com/item/%E7%94%B3%E6%8A%A5/3577852
2,记忆,记忆是人脑对经验过事物的识记、保持、再现或再认，它是进行思维、想象等高级心理活动的基础。人类记忆与大脑海马结构、大脑内部的化学成分变化有关。记忆作为一种基本的心理过程，是和其他心理活动密切联系着的。记忆联结着人的心理活动，是人们学习、工作和生活的基本机能。把抽象无序转变成形象有序的过程就是记忆的关键。关于记忆的研究属于心理学或脑部科学的范畴。现代人类对记忆的研究仍在继续，尽管当今的科学技术已经有了长足的发展。运用那些经过实践后能有效提高记忆力的方法、技巧，可以使之更好地服务于人类的工作、生活、学习中。,https://baike.baidu.com/item/%E8%AE%B0%E5%BF%86/34494
3,作为,作为是一个汉语词汇，读音为zuò wéi，意思是行为，所作所为；建树，成就；可以做的事，大有作为。出自唐白居易《策项一》。,https://baike.baidu.com/item/%E4%BD%9C%E4%B8%BA/33823
2,实验,实验，指的是科学研究的基本方法之一。根据科学研究的目的，尽可能地排除外界的影响，突出主要因素并利用一些专门的仪器设备，而人为地变革、控制或模拟研究对象，使某一些事物（或过程）发生或再现，从而去认识自然现象、自然性质、自然规律。,https://baike.baidu.com/item/%E5%AE%9E%E9%AA%8C/1051291
