page_id,keyword,annotation,url
5,1kbps,kbps（千比特每秒），又称千比特率，指的是数字信号的传输速率，也就是每秒钟传送多少个千位的信息（k表示千，kb表示的是多少千个位），也可以表示网络的传输速度。为了在直观上显得网络的传输速度较快，一般公司都使用kb（千位）来表示。如果是大写B的kBps，则表示每秒传送多少千字节。1kByte/s=8kbit/s(一般简写为1kB/s=8kb/s)。,https://baike.baidu.com/item/kbps/4793719
5,随机数,随机数是专门的随机试验的结果。在统计学的不同技术中需要使用随机数，比如在从统计总体中抽取有代表性的样本的时候，或者在将实验动物分配到不同的试验组的过程中，或者在进行蒙特卡罗模拟法计算的时候等等。产生随机数有多种不同的方法。这些方法被称为随机数发生器。随机数最重要的特性是：它所产生的后面的那个数与前面的那个数毫无关系。,https://baike.baidu.com/item/%E9%9A%8F%E6%9C%BA%E6%95%B0/2454368
5,量子,量子（quantum）是现代物理的重要概念。即一个物理量如果存在最小的不可分割的基本单位，则这个物理量是量子化的，并把最小单位称为量子。量子一词来自拉丁语quantus，意为“有多少”，代表“相当数量的某物质”，它最早是由德国物理学家M·普朗克在1900年提出的。他假设黑体辐射中的辐射能量是不连续的，只能取能量基本单位的整数倍，从而很好地解释了黑体辐射的实验现象。后来的研究表明，不但能量表现出这种不连续的分离化性质，其他物理量诸如角动量、自旋、电荷等也都表现出这种不连续的量子化现象。这同以牛顿力学为代表的经典物理有根本的区别。量子化现象主要表现在微观物理世界。描写微观物理世界的物理理论是量子力学。自从普朗克提出量子这一概念以来，经爱因斯坦、玻尔、德布罗意、海森伯、薛定谔、狄拉克、玻恩等人的完善，在20世纪的前半期，初步建立了完整的量子力学理论。绝大多数物理学家将量子力学视为理解和描述自然的基本理论。,https://baike.baidu.com/item/%E9%87%8F%E5%AD%90/135660
4,分发,[释义](1) （动）一个个地发给。分发慰问品。（作谓语）  (2) （动）分派（人员到工作岗位）。  （3）从发布服务器将事务或数据的快照移动到订阅服务器，在订阅服务器上将它们应用于订阅数据库中的目的表。,https://baike.baidu.com/item/%E5%88%86%E5%8F%91/11031883
4,密钥,秘钥，即密钥，在密码学中，密钥（key，又常称金钥）是指某个用来完成加密、解密、完整性验证等密码学应用的秘密信息。在对称密码学（或称密钥密码学）中，加密和解密用的是同一个钥匙，因此钥匙需要保密。而在公钥密码学（或称非对称密码学）中，加密和解密用的钥匙不同：通常一个是公开的，称为公钥；另一个保密，称为私钥。,https://baike.baidu.com/item/%E7%A7%98%E9%92%A5/9200183
4,量子,量子（quantum）是现代物理的重要概念。即一个物理量如果存在最小的不可分割的基本单位，则这个物理量是量子化的，并把最小单位称为量子。量子一词来自拉丁语quantus，意为“有多少”，代表“相当数量的某物质”，它最早是由德国物理学家M·普朗克在1900年提出的。他假设黑体辐射中的辐射能量是不连续的，只能取能量基本单位的整数倍，从而很好地解释了黑体辐射的实验现象。后来的研究表明，不但能量表现出这种不连续的分离化性质，其他物理量诸如角动量、自旋、电荷等也都表现出这种不连续的量子化现象。这同以牛顿力学为代表的经典物理有根本的区别。量子化现象主要表现在微观物理世界。描写微观物理世界的物理理论是量子力学。自从普朗克提出量子这一概念以来，经爱因斯坦、玻尔、德布罗意、海森伯、薛定谔、狄拉克、玻恩等人的完善，在20世纪的前半期，初步建立了完整的量子力学理论。绝大多数物理学家将量子力学视为理解和描述自然的基本理论。,https://baike.baidu.com/item/%E9%87%8F%E5%AD%90/135660
5,送审稿,标准送审稿是在对标准征求意见稿广泛征求意见的基础上，由编制组认真汇总、研究和修改完善后形成的一种供审查用的标准草案。该草案经审查、修改后即成为标准报批稿。标准送审稿属标准草案形式之一，因没有经过公认机构批准，所以它也不是标准，不具有有效性。因此，标准送审稿不能像正式标准一样应用，也不能被法规或标准引用。,https://baike.baidu.com/item/%E6%A0%87%E5%87%86%E9%80%81%E5%AE%A1%E7%A8%BF/3567266
3,量子,量子（quantum）是现代物理的重要概念。即一个物理量如果存在最小的不可分割的基本单位，则这个物理量是量子化的，并把最小单位称为量子。量子一词来自拉丁语quantus，意为“有多少”，代表“相当数量的某物质”，它最早是由德国物理学家M·普朗克在1900年提出的。他假设黑体辐射中的辐射能量是不连续的，只能取能量基本单位的整数倍，从而很好地解释了黑体辐射的实验现象。后来的研究表明，不但能量表现出这种不连续的分离化性质，其他物理量诸如角动量、自旋、电荷等也都表现出这种不连续的量子化现象。这同以牛顿力学为代表的经典物理有根本的区别。量子化现象主要表现在微观物理世界。描写微观物理世界的物理理论是量子力学。自从普朗克提出量子这一概念以来，经爱因斯坦、玻尔、德布罗意、海森伯、薛定谔、狄拉克、玻恩等人的完善，在20世纪的前半期，初步建立了完整的量子力学理论。绝大多数物理学家将量子力学视为理解和描述自然的基本理论。,https://baike.baidu.com/item/%E9%87%8F%E5%AD%90/135660
4,时频,时频分布是一项让我们能够同时观察一个讯号的时域和频域资讯的工具，而时频分析就是在分析时频分布。传统上，我们常用傅里叶变换来观察一个讯号的频谱。然而，这样的方法不适合用来分析一个频率会随着时间而改变的讯号。,https://baike.baidu.com/item/%E6%97%B6%E9%A2%91%E5%88%86%E6%9E%90/963008
3,二维,在一个平面上的内容就是二维。 二维即左右、前后两个方向，不存在上下。在一张纸上的内容就可以看做成是二维。 即只有面积，没有体积。二维是平面技术的一种，例如普通的平面动漫，称之为二维动漫、简称二维。（富有立体感的是三维）。,https://baike.baidu.com/item/二维

3,自旋,自旋，即是由粒子内禀角动量引起的内禀运动。在量子力学中，自旋（英语：Spin）是粒子所具有的内禀性质，其运算规则类似于经典力学的角动量，并因此产生一个磁场。虽然有时会与经典力学中的自转（例如行星公转时同时进行的自转）相类比，但实际上本质是迥异的。,https://baike.baidu.com/item/%E8%87%AA%E6%97%8B/123744
4,测评,测评，是以现代心理学和行为科学为基础，通过心理测验、面试、情景模拟等科学方法对人的价值观、性格特征以及发展潜力等的心理特征进行客观的测量与科学评价。,https://baike.baidu.com/item/%E6%B5%8B%E8%AF%84/3006118
5,评测,测评，是以现代心理学和行为科学为基础，通过心理测验、面试、情景模拟等科学方法对人的价值观、性格特征以及发展潜力等的心理特征进行客观的测量与科学评价。,https://baike.baidu.com/item/%E6%B5%8B%E8%AF%84/3006118
2,支持,支持，汉语词语，拼音是zhī chí，意思是支撑，供应，赞同鼓励。,https://baike.baidu.com/item/%E6%94%AF%E6%8C%81/676624
