page_id,keyword,annotation,url
8,国标,中华人民共和国国家标准，简称国标，是包括语编码系统的国家标准码，由在国际标准化组织（ISO）和国际电工委员会（或称国际电工协会，IEC）代表中华人民共和国的会员机构：国家标准化管理委员会发布。在1994年及之前发布的标准，以2位数字代表年份。由1995年开始发布的标准，标准编号后的年份，才改以4个数字代表。强制性国家标准的代号为“GB”,推荐性国家标准的代号为“GB/T”。,https://baike.baidu.com/item/%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%9B%BD%E5%AE%B6%E6%A0%87%E5%87%86/1682464
7,纳米,纳米材料是指在三维空间中至少有一维处于纳米尺寸(1-100 nm)或由它们作为基本单元构成的材料，这大约相当于10~1000个原子紧密排列在一起的尺度。,https://baike.baidu.com/item/%E7%BA%B3%E7%B1%B3%E6%9D%90%E6%96%99/1534350
8,危险废物,随着工业的发展，工业生产过程排放的危险废物日益增多。据估计，全世界每年的危险废物产生量为3.3亿吨。由于危险废物带来的严重污染和潜在的严重影响，在工业发达国家危险废物已称为"政治废物"，公众对危险废物问题十分敏感，反对在自己居住的地区设立危险废物处置场，加上危险废物的处置费用高昂，一些公司极力试图向工业不发达国家和地区转移危险废物。,https://baike.baidu.com/item/%E5%8D%B1%E9%99%A9%E5%BA%9F%E7%89%A9/5509933
8,重金属,重金属原义是指密度大于4.5g/cm3的金属，包括金、银、铜、铁、汞、铅、镉等，重金属在人体中累积达到一定程度，会造成慢性中毒。但就环境污染方面所说的重金属主要是指汞（水银）、镉、铅、铬以及类金属砷等生物毒性显著的重元素。重金属非常难以被生物降解，相反却能在食物链的生物放大作用下，成千百倍地富集，最后进入人体。重金属在人体内能和蛋白质及酶等发生强烈的相互作用，使它们失去活性，也可能在人体的某些器官中累积，造成慢性中毒。,https://baike.baidu.com/item/%E9%87%8D%E9%87%91%E5%B1%9E/22099
7,危险废物,随着工业的发展，工业生产过程排放的危险废物日益增多。据估计，全世界每年的危险废物产生量为3.3亿吨。由于危险废物带来的严重污染和潜在的严重影响，在工业发达国家危险废物已称为"政治废物"，公众对危险废物问题十分敏感，反对在自己居住的地区设立危险废物处置场，加上危险废物的处置费用高昂，一些公司极力试图向工业不发达国家和地区转移危险废物。,https://baike.baidu.com/item/%E5%8D%B1%E9%99%A9%E5%BA%9F%E7%89%A9/5509933
7,重金属,重金属原义是指密度大于4.5g/cm3的金属，包括金、银、铜、铁、汞、铅、镉等，重金属在人体中累积达到一定程度，会造成慢性中毒。但就环境污染方面所说的重金属主要是指汞（水银）、镉、铅、铬以及类金属砷等生物毒性显著的重元素。重金属非常难以被生物降解，相反却能在食物链的生物放大作用下，成千百倍地富集，最后进入人体。重金属在人体内能和蛋白质及酶等发生强烈的相互作用，使它们失去活性，也可能在人体的某些器官中累积，造成慢性中毒。,https://baike.baidu.com/item/%E9%87%8D%E9%87%91%E5%B1%9E/22099
6,纳米,纳米（符号:nm），即为毫微米，是长度的度量单位。1纳米=10的负9次方米。1纳米相当于4倍原子大小，比单个细菌的长度还要小的多。,https://baike.baidu.com/item/%E7%BA%B3%E7%B1%B3/410859
5,纳米,纳米（符号:nm），即为毫微米，是长度的度量单位。1纳米=10的负9次方米。1纳米相当于4倍原子大小，比单个细菌的长度还要小的多。,https://baike.baidu.com/item/%E7%BA%B3%E7%B1%B3/410859
5,纳米材料,纳米材料是指在三维空间中至少有一维处于纳米尺寸(1-100 nm)或由它们作为基本单元构成的材料，这大约相当于10~1000个原子紧密排列在一起的尺度。,https://baike.baidu.com/item/%E7%BA%B3%E7%B1%B3%E6%9D%90%E6%96%99/1534350
6,亚毫米波,亚毫米波是无线电中一个有限频率范围，属于微波，在波动性和粒子性之间，范围是300ghz到3thz，是无线电波的最高频。,https://baike.baidu.com/item/%E4%BA%9A%E6%AF%AB%E7%B1%B3%E6%B3%A2/12666233
4,纳米,纳米（符号:nm），即为毫微米，是长度的度量单位。1纳米=10的负9次方米。1纳米相当于4倍原子大小，比单个细菌的长度还要小的多。,https://baike.baidu.com/item/%E7%BA%B3%E7%B1%B3/410859
6,燃料电池,燃料电池是一种把燃料所具有的化学能直接转换成电能的化学装置，又称电化学发电器。它是继水力发电、热能发电和原子能发电之后的第四种发电技术。由于燃料电池是通过电化学反应把燃料的化学能中的吉布斯自由能部分转换成电能，不受卡诺循环效应的限制，因此效率高; 另外，燃料电池用燃料和氧气作为原料；同时没有机械传动部件，故没有噪声污染，排放出的有害气体极少。由此可见，从节约能源和保护生态环境的角度来看，燃料电池是最有发展前途的发电技术。,https://baike.baidu.com/item/%E7%87%83%E6%96%99%E7%94%B5%E6%B1%A0/111249
3,纳米,纳米（符号:nm），即为毫微米，是长度的度量单位。1纳米=10的负9次方米。1纳米相当于4倍原子大小，比单个细菌的长度还要小的多。,https://baike.baidu.com/item/%E7%BA%B3%E7%B1%B3/410859
4,谱学,谱学，汉语词语，读音pǔ xué，意思是研究谱牒的学问。出自《南齐书·文学传·贾渊》。,https://baike.baidu.com/item/%E8%B0%B1%E5%AD%A6/5427639
2,纳米材料,纳米材料是指在三维空间中至少有一维处于纳米尺寸(1-100 nm)或由它们作为基本单元构成的材料，这大约相当于10~1000个原子紧密排列在一起的尺度。,https://baike.baidu.com/item/%E7%BA%B3%E7%B1%B3%E6%9D%90%E6%96%99/1534350
