page_id,keyword,annotation,url
12,直流,直流电源，是维持电路中形成稳恒电压电流的装置。如干电池、蓄电池、直流发电机等。,https://baike.baidu.com/item/%E7%9B%B4%E6%B5%81%E7%94%B5%E6%BA%90/4213709
11,叶片,叶片是叶的主体部分，通常为一很薄的扁平体，有利于光穿透叶的组织以及最大面积的吸收光、二氧化碳进行光合作用。叶片有上表面（腹面）和下表面（背面）之分。有些植物叶片的两面或仅在背面生有各种毛状物，如柔毛、茸毛、硬毛、刺毛、鳞片状毛，或者有分枝的向四面辐射的星状毛等。叶的光合作用和蒸腾作用，主要通过叶片进行。叶片的全形称叶形，顶端称叶端或叶尖，基部称为叶基，周边称叶缘，叶片内分布有许多叶脉。,https://baike.baidu.com/item/%E5%8F%B6%E7%89%87/6728903
12,变换器,变换器，是将信源发出的信息按一定的目的进行变换。矩阵式变换器是一种新型的交－交电源变换器。和传统的变换器相比，它具有如下优点：不需要中间直流储能环节；能够四象限运行；具有优良的输入电流波形和输出电压波形；可自由控制的功率因数。矩阵式变换器已成为电力电子技术研究的热点之一，并有着广泛的应用前景。,https://baike.baidu.com/item/%E5%8F%98%E6%8D%A2%E5%99%A8/556758
10,风能,风能(wind energy) 空气流动所产生的动能。太阳能的一种转化形式。由于太阳辐射造成地球表面各部分受热不均匀，引起大气层中压力分布不平衡，在水平气压梯度的作用下，空气沿水平方向运动形成风。风能资源的总储量非常巨大，一年中技术可开发的能量约5.3X10^13千瓦时。风能是可再生的清洁能源，储量大、分布广，但它的能量密度低（只有水能的1/800），并且不稳定。在一定的技术条件下，风能可作为一种重要的能源得到开发利用。风能利用是综合性的工程技术，通过风力机将风的动能转化成机械能、电能和热能等。风能资源决定于风能密度和可利用的风能年累积小时数。风能密度是单位迎风面积可获得的风的功率，与风速的三次方和空气密度成正比关系。,https://baike.baidu.com/item/%E9%A3%8E%E8%83%BD/1200124
9,器件,电子、电工仪器上能独立起控制变换作用的单元，常有几个元件组成，有时也指较大的元件。,https://baike.baidu.com/item/%E5%99%A8%E4%BB%B6/8755458
11,柔性,1、物理方面柔性英文为Flexible，也可解释为挠性，是相对刚性而言的一种物体特性。挠性是指物体受力后变形，作用力失去之后物体自身不能恢复原来形状的一种物理性质。而刚性物体受力后，在宏观来看其形状可视为没有发生改变。弹性是指物体受力后变形，作用力失去之后物体自身能恢复原来形状的一种物理性质。其侧重物体的变形结果，而挠性侧重物体自身性质。2、社会方面常用于柔性管理、柔性生产等词语。,https://baike.baidu.com/item/%E6%9F%94%E6%80%A7/300024
8,电联,电联控股集团有限公司是一家以产业投资为背景的综合性集团公司，总资产超过20亿元人民币。经过十多年的创业发展，电联控股集团已形成了“产业、金融与投资并举”的战略布局。,https://baike.baidu.com/item/%E7%94%B5%E8%81%94%E6%8E%A7%E8%82%A1%E9%9B%86%E5%9B%A2%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/3937603
7,液氢,液氢是由氢气经过降温而得到的液体，是一种无色、无味的高能低温液体燃料。一个大气压下的正常氢沸点为20.37 K（-252.78℃），凝固点为13.96 K（-259.19℃），密度为 70.85 kg/m³。,https://baike.baidu.com/item/%E6%B6%B2%E6%B0%A2/9471112
7,加注,《加注》是2009年在美国上映的剧情片，由乔纳森·萨莱米执导，斯科特·哈里斯等领衔主演。,https://baike.baidu.com/item/%E5%8A%A0%E6%B3%A8/4402733
8,燃料电池,燃料电池是一种把燃料所具有的化学能直接转换成电能的化学装置，又称电化学发电器。它是继水力发电、热能发电和原子能发电之后的第四种发电技术。由于燃料电池是通过电化学反应把燃料的化学能中的吉布斯自由能部分转换成电能，不受卡诺循环效应的限制，因此效率高; 另外，燃料电池用燃料和氧气作为原料；同时没有机械传动部件，故没有噪声污染，排放出的有害气体极少。由此可见，从节约能源和保护生态环境的角度来看，燃料电池是最有发展前途的发电技术。,https://baike.baidu.com/item/%E7%87%83%E6%96%99%E7%94%B5%E6%B1%A0/111249
