page_id,keyword,annotation,url
12,氢同位素,自然界中的氢以氕（1H）、氘（2H）、氚（3H）三种同位素的形式存在。,https://baike.baidu.com/item/%E6%B0%A2%E5%90%8C%E4%BD%8D%E7%B4%A0/7824186
12,辐照,辐射加工，是指将电子加速器（0.2MeV~10MeV）产生的电子线（β射线）或放射性同位素（Cs-137或Co-60）产生的γ射线的能量转移给被辐照物质，电离辐射作用到被辐照的物质上，产生电离和激发，释放出轨道电子，形成自由基，通过控制辐射条件，而使被辐照物质的物理性能和化学组成发生变化并能使其成为人们所需要的一种新的物质，或使生物体（微生物等）受到不可恢复的损失和破坏，达到人们所需要的目标。这种新的加工技术称为辐射加工技术。比如，使高分子材料分别实现接枝、聚合、裂变或交联，抑制或刺激生物生长，有效地杀灭害虫、虫卵、病菌等。,https://baike.baidu.com/item/%E8%BE%90%E7%85%A7/10017725
11,氢同位素,自然界中的氢以氕（1H）、氘（2H）、氚（3H）三种同位素的形式存在。,https://baike.baidu.com/item/%E6%B0%A2%E5%90%8C%E4%BD%8D%E7%B4%A0/7824186
11,辐照,辐射加工，是指将电子加速器（0.2MeV~10MeV）产生的电子线（β射线）或放射性同位素（Cs-137或Co-60）产生的γ射线的能量转移给被辐照物质，电离辐射作用到被辐照的物质上，产生电离和激发，释放出轨道电子，形成自由基，通过控制辐射条件，而使被辐照物质的物理性能和化学组成发生变化并能使其成为人们所需要的一种新的物质，或使生物体（微生物等）受到不可恢复的损失和破坏，达到人们所需要的目标。这种新的加工技术称为辐射加工技术。比如，使高分子材料分别实现接枝、聚合、裂变或交联，抑制或刺激生物生长，有效地杀灭害虫、虫卵、病菌等。,https://baike.baidu.com/item/%E8%BE%90%E7%85%A7/10017725
9,射频,射频（RF）是Radio Frequency的缩写，表示可以辐射到空间的电磁频率，频率范围从300kHz～300GHz之间。射频就是射频电流，简称RF，它是一种高频交流变化电磁波的简称。每秒变化小于1000次的交流电称为低频电流，大于10000次的称为高频电流，而射频就是这样一种高频电流。射频（300K-300G）是高频(大于10K)的较高频段，微波频段（300M-300G）又是射频的较高频段。在电子学理论中，电流流过导体，导体周围会形成磁场；交变电流通过导体，导体周围会形成交变的电磁场，称为电磁波。在电磁波频率低于100kHz时，电磁波会被地表吸收，不能形成有效的传输，但电磁波频率高于100kHz时，电磁波可以在空气中传播，并经大气层外缘的电离层反射，形成远距离传输能力。我们把具有远距离传输能力的高频电磁波称为射频。射频技术在无线通信领域中被广泛使用，有线电视系统就是采用射频传输方式。,https://baike.baidu.com/item/%E5%B0%84%E9%A2%91/775402
9,四极管,四极管种类很多，常见的有：束射四极管，直热四极管和多子四极管等。 四极管，有音色浑厚，具有速度感等特点，实际上纯粹意义的四极管只是在电子管的发展史上作为验证管出现过而没有进入实用，这是另一话题不去说它，下面就说前面提及的在商品功放里超过半数以上的机种用的这东西----束射四极管。,https://baike.baidu.com/item/%E5%9B%9B%E6%9E%81%E7%AE%A1/9290037
8,模块,模块是一个设计术语，是指对词条中部分内容进行格式化整理的模板。例如歌手类词条中的“音乐作品”模块，电视剧类词条的“分集剧情”模块。,https://baike.baidu.com/item/%E6%A8%A1%E5%9D%97/437198
8,包层,包层（Cladding）是指在携带光波的光纤芯纤外面覆盖的一层玻璃或其他的透明材料，它具有比芯线略低的折射系数，因此能将光限制在芯线里传播。在包层外面还应有一层外包层。对于有包层的阶跃型光纤，要测定的基本参数有四个：纤芯和包层半径以及它们的相对折射率。,https://baike.baidu.com/item/%E5%8C%85%E5%B1%82/5930459
10,台基,,https://baike.baidu.com//item/%E5%8F%B0%E5%9F%BA/15890853
6,输运,输运，汉语词语，读音shū yùn，意思是运输；运送。,https://baike.baidu.com/item/%E8%BE%93%E8%BF%90/11056768
10,滤器,中文读音lǜ qì；英文读法[filter; strainer] 过滤用的装置，一定是对液体或气体进行过滤的器具。,https://baike.baidu.com/item/%E6%BB%A4%E5%99%A8/11042759
4,稳态,稳态（Homeostasis ）指的是生理学家把正常机体通过调节作用，使得各个器官、系统的协调活动，共同维持内环境的相对稳定状态。内环境保持相对稳定是生物体自由生存的条件。,https://baike.baidu.com/item/%E7%A8%B3%E6%80%81/1107097
7,负荷,负荷是人类社会中的一种专业词语，拼音是fù hè。指机器或主动机所克服的外界阻力，对某一系统业务能力所提出的要求（如电路交换台，邮政，铁路），又指物体所承载的重量。引申为资源被占用的比例。,https://baike.baidu.com/item/%E8%B4%9F%E8%8D%B7/11010944
4,ELM,Elm是一个为基于Unix操作系统的用户使用的流行的电子邮件程序。,https://baike.baidu.com/item/Elm/10596154
6,CFETR,,https://baike.baidu.com//item/%E4%B8%AD%E5%9B%BD%E8%81%9A%E5%8F%98%E5%B7%A5%E7%A8%8B%E5%AE%9E%E9%AA%8C%E5%A0%86
2,项目,项目是人们通过努力，运用新的方法，将人力的、材料的和财务的资源组织起来，在给定的费用和时间约束规范内，完成一项独立的、一次性的工作任务，以期达到由数量和质量指标所限定的目标。叶圣陶《倪焕之》二五：“教育这个项目当然是不容轻易忽略的。” 洪深 《戏剧导演的初步知识》上篇二：“它们的式样、大小、制造的材料、使用的方法等等，项目繁多。” 秦牧 《艺海拾贝·核心》：“生动的语言和丰富的词汇，看来该是技巧性很强的一个项目了。”项目参数包括项目范围、质量、成本、时间、资源。美国项目管理协会（project Management Institute，PMI)在其出版的《项目管理知识体系指南》（Project Management Body of Knowledge，PMBOK）中为项目所做的定义是：项目是为创造独特的产品、服务或成果而进行的临时性工作。以下活动都可以称为一个项目：1、开发一项新产品；2、计划举行一项大型活动（如策划组织婚礼、大型国际会议等）；3、策划一次自驾游旅游；4、ERP的咨询、开发、实施与培训。,https://baike.baidu.com/item/%E9%A1%B9%E7%9B%AE/477803
7,滤器,中文读音lǜ qì；英文读法[filter; strainer] 过滤用的装置，一定是对液体或气体进行过滤的器具。,https://baike.baidu.com/item/%E6%BB%A4%E5%99%A8/11042759
5,ITER,,https://baike.baidu.com//item/ITER/22127586
1,聚变,核聚变（nuclear fusion），又称核融合、融合反应、聚变反应或热核反应。核是指由质量小的原子，主要是指氘，在一定条件下（如超高温和高压），只有在极高的温度和压力下才能让核外电子摆脱原子核的束缚，让两个原子核能够互相吸引而碰撞到一起，发生原子核互相聚合作用，生成新的质量更重的原子核（如氦），中子虽然质量比较大，但是由于中子不带电，因此也能够在这个碰撞过程中逃离原子核的束缚而释放出来，大量电子和中子的释放所表现出来的就是巨大的能量释放。这是一种核反应的形式。原子核中蕴藏巨大的能量，原子核的变化（从一种原子核变化为另外一种原子核）往往伴随着能量的释放。核聚变是核裂变相反的核反应形式。科学家正在努力研究可控核聚变，核聚变可能成为未来的能量来源。核聚变燃料可来源于海水和一些轻核，所以核聚变燃料是无穷无尽的。 人类已经可以实现不受控制的核聚变，如氢弹的爆炸。,https://baike.baidu.com/item/%E6%A0%B8%E8%81%9A%E5%8F%98/426375
5,等离子体,等离子体(plasma)又叫做电浆，是由部分电子被剥夺后的原子及原子团被电离后产生的正负离子组成的离子化气体状物质，尺度大于德拜长度的宏观电中性电离气体，其运动主要受电磁力支配，并表现出显著的集体行为。它广泛存在于宇宙中，常被视为是除去固、液、气外，物质存在的第四态。等离子体是一种很好的导电体，利用经过巧妙设计的磁场可以捕捉、移动和加速等离子体。等离子体物理的发展为材料、能源、信息、环境空间、空间物理、地球物理等科学的进一步发展提供了新的技术和工艺。等离子体是不同于固体、液体和气体的物质第四态。物质由分子构成，分子由原子构成，原子由带正电的原子核和围绕它的、带负电的电子构成。当被加热到足够高的温度或其他原因，外层电子摆脱原子核的束缚成为自由电子，就像下课后的学生跑到操场上随意玩耍一样。电子离开原子核，这个过程就叫做“电离”。这时，物质就变成了由带正电的原子核和带负电的电子组成的、一团均匀的“浆糊”，因此人们戏称它为离子浆，这些离子浆中正负电荷总量相等，因此它是近似电中性的，所以就叫等离子体。,https://baike.baidu.com/item/%E7%AD%89%E7%A6%BB%E5%AD%90%E4%BD%93/106920
3,粒子,粒子（particle），是指能够以自由状态存在的最小物质组成部分。最早发现的粒子是原子、电子和质子，1932年又发现中子，确认原子由电子、质子和中子组成，它们比起原子来是更为基本的物质组分，于是称之为基本粒子。以后这类粒子发现越来越多，累计已超过几百种，且还有不断增多的趋势；此外这些粒子中有些粒子迄今的实验尚未发现其有内部结构，有些粒子实验显示具有明显的内部结构。看来这些粒子并不属于同一层次，因此基本粒子一词已成为历史，如今统称为粒子。粒子并不是像中子、质子等实际存在的具体的物质，而是它们的统称，是一种模型理念。词条详细介绍了电子、原子核、介子、夸克、轻子、强子族等粒子。,https://baike.baidu.com/item/%E7%B2%92%E5%AD%90/81757
1,CFETR,,https://baike.baidu.com//item/%E4%B8%AD%E5%9B%BD%E8%81%9A%E5%8F%98%E5%B7%A5%E7%A8%8B%E5%AE%9E%E9%AA%8C%E5%A0%86
3,破裂,破裂，拼音为pò liè，汉语词汇，指破坏；分裂。,https://baike.baidu.com/item/%E7%A0%B4%E8%A3%82/4319559
2,指南,指南，汉语词语，拼音是zhǐ nán，意思是指导，辨别方向的依据。,https://baike.baidu.com/item/%E6%8C%87%E5%8D%97/10153109
