page_id,keyword,annotation,url
13,生物,生物体的共同物质基础是：在基本组成物质中都含有蛋白质和核酸。 生物体的结构基础是：除病毒等少数种类以外，生物体都是由细胞构成的。病毒不具备细胞结构，需要依赖于寄主细胞才能进行繁殖，所以生命都需要细胞来表现，病毒等也不例外。,https://baike.baidu.com/item/%E7%94%9F%E7%89%A9%E4%BD%93/5087111
14,海洋生物,海洋生物，生物学术语，是指海洋里有生命的物种，包括海洋动物、海洋植物、微生物及病毒等，其中海洋动物包括无脊椎动物和脊椎动物。无脊椎动物包括各种螺类和贝类。脊椎动物包括各种鱼类和大型海洋动物，如鲸鱼，鲨鱼等。,https://baike.baidu.com/item/%E6%B5%B7%E6%B4%8B%E7%94%9F%E7%89%A9/4745479
13,深海,国际上对深海的定义是200米以下水深的海域。深海特点为：高压、底层水流速缓慢、无光、水温低，盐度高、氧含量较丰、沉积物多。,https://baike.baidu.com/item/%E6%B7%B1%E6%B5%B7/10308076
12,材料,,https://baike.baidu.com/item/%E6%9D%90%E6%96%99
12,防污,防污就是防止污渍，其多用在一些名词的前面，做修饰，以显示物体的作用，比如防污涂料、防污剂、防污布料等等。,https://baike.baidu.com/item/%E9%98%B2%E6%B1%A1/4993551
11,梯度,梯度的本意是一个向量（矢量），表示某一函数在该点处的方向导数沿着该方向取得最大值，即函数在该点处沿着该方向（此梯度的方向）变化最快，变化率最大（为该梯度的模）。,https://baike.baidu.com/item/%E6%A2%AF%E5%BA%A6/13014729
11,钻井,利用机械设备或人力从地面将地层钻成孔眼的工作称为钻井。通常指勘探或开发石油、天然气等液态和气态矿产而钻凿井眼及大直径供水井的工程。钻井在国民经济建设中的应用极为广泛。目前我国油 (气) 田广泛使用转盘钻钻井。主要设备有井架、操作平台、柴 油机、钻机、钻具、泥浆泵、发电机和测试 装备以及燃料油罐、锅炉等。,https://baike.baidu.com/item/%E9%92%BB%E4%BA%95/1707236
15,海洋生物,海洋生物，生物学术语，是指海洋里有生命的物种，包括海洋动物、海洋植物、微生物及病毒等，其中海洋动物包括无脊椎动物和脊椎动物。无脊椎动物包括各种螺类和贝类。脊椎动物包括各种鱼类和大型海洋动物，如鲸鱼，鲨鱼等。,https://baike.baidu.com/item/%E6%B5%B7%E6%B4%8B%E7%94%9F%E7%89%A9/4745479
10,海量,海量，汉语词语，通俗的意思就是像大海一样多的量。,https://baike.baidu.com/item/%E6%B5%B7%E9%87%8F/10728671
15,海洋,海洋资源是指海洋中的生产资料和生活资料的天然来源。海洋资源包括海洋矿物资源、海水化学资源、海洋生物 (水产) 资源和海洋动力资源等四项。海洋矿物资源主要有石油、煤、铁、铝钒土、锰、铜、石英研等。海水化学资源主要有氯、钠、镁、硫、碘、铀、金、镍等，它们溶解在海水中，其性质同海洋矿物资源一样，都是矿物资源 (区别于生物资源)，但其开发方法同海洋矿物资源的方法完全不同。,https://baike.baidu.com/item/%E6%B5%B7%E6%B4%8B%E8%B5%84%E6%BA%90/738434
9,深海,国际上对深海的定义是200米以下水深的海域。深海特点为：高压、底层水流速缓慢、无光、水温低，盐度高、氧含量较丰、沉积物多。,https://baike.baidu.com/item/%E6%B7%B1%E6%B5%B7/10308076
7,潜水器,潜水器是指具有水下观察和作业能力的活动深潜水装置。主要用来执行水下考察、海底勘探、海底开发和打捞、救生等任务，并可以作为潜水员活动的水下作业基地。又称深潜器、可潜器。,https://baike.baidu.com/item/%E6%BD%9C%E6%B0%B4%E5%99%A8/566180
10,节点,在电信网络中，一个节点(英语：node，拉丁语：nodus）是一个连接点，表示一个再分发点（redistribution point）或一个通信端点（一些终端设备）。节点的定义依赖于所提及的网络和协议层。一个物理网络节点是一个连接到网络的有源电子设备，能够通过通信通道发送、接收或转发信息。因此，无源分发点（如配线架或接插板）不是节点。在网络理论或图论中，术语节点表示网络拓扑中，线相交或分支的点。,https://baike.baidu.com/item/%E8%8A%82%E7%82%B9/865052
6,气枪,气枪（英语：Air gun），是通过加压气体为动力发射弹丸的枪支的统称，是不运用发射火药的轻武器，靠压缩空气或气体的压力将弹头射出的手枪。气枪的雏形是古代的鼓气管。世界上第一支气枪呈现于1430年的欧洲国家。,https://baike.baidu.com/item/%E6%B0%94%E6%9E%AA/4362560
5,声学,声学是指研究声波的产生、传播、接收和效应的科学。声学是物理学中最早深入研究的分支学科之一，随着19世纪无线电技术的发明和应用，声波的产生、传输、接收和测量技术都有了飞跃发展，此声学从古老的经典声学进人了近代声学的发展时期。近代声学的渗透性极强，声学与许多其他学科（如物理、化学、材料、生命、地学、环境等）、工程技术（如机械、建筑、电子、通讯等）及艺术领域相交叉，在这些领域发挥了重要又独特的作用，并进一步发展了相应的理论和技术，从而逐步形成为独立的声学分支，如物理声学、非线性声学、量子声学、分子声学、超声学、光声学、电声学、建筑声学、环境声学、语言声学、生物声学、水声学、大气声学、地声学、生理声学、心理声学、音乐声学及声化学等，所以声学已不仅仅是一门科学，也是一门技术，同时又是一门艺术。,https://baike.baidu.com/item/%E5%A3%B0%E5%AD%A6/473275
9,沉船,世界六大沉船，是指玛丽.罗斯号、泰坦尼克号、路西塔尼亚号、俾斯麦号、贝尔格拉诺号、阿托卡夫人号沉船。那些曾经的水上“霸主”，但因为不同的原因，都已经长眠水下。然而它们身上都有着不曾消逝的历史印记。,https://baike.baidu.com/item/%E4%B8%96%E7%95%8C%E5%85%AD%E5%A4%A7%E6%B2%89%E8%88%B9/1797168
4,深海,国际上对深海的定义是200米以下水深的海域。深海特点为：高压、底层水流速缓慢、无光、水温低，盐度高、氧含量较丰、沉积物多。,https://baike.baidu.com/item/%E6%B7%B1%E6%B5%B7/10308076
7,VR,VR是Virtual Reality的缩写，中文的意思就是虚拟现实，早期译为“灵境技术”。虚拟现实是多媒体技术的终极应用形式，它是计算机软硬件技术、传感技术、机器人技术、人工智能及行为心理学等科学领域飞速发展的结晶。主要依赖于三维实时图形显示、三维定位跟踪、触觉及嗅觉传感技术、人工智能技术、高速计算与并行计算技术以及人的行为学研究等多项关键技术的发展。随着虚拟现实技术的发展，真正地实现虚拟现实，将引起整个人类生活与发展的很大变革。人们戴上立体眼镜、数据手套等特制的传感设备，面对一种三维的模拟现实，似乎置身于一个具有三维的视觉、听觉、触觉甚至嗅觉的感觉世界，并且人与这个环境可以通过人的自然技能和相应的设施进行信息交互。,https://baike.baidu.com/item/VR%E6%8A%80%E6%9C%AF/4802684
6,潜水器,潜水器是指具有水下观察和作业能力的活动深潜水装置。主要用来执行水下考察、海底勘探、海底开发和打捞、救生等任务，并可以作为潜水员活动的水下作业基地。又称深潜器、可潜器。,https://baike.baidu.com/item/%E6%BD%9C%E6%B0%B4%E5%99%A8/566180
2,视频,视频（Video）泛指将一系列静态影像以电信号的方式加以捕捉、纪录、处理、储存、传送与重现的各种技术。连续的图像变化每秒超过24帧（frame）画面以上时，根据视觉暂留原理，人眼无法辨别单幅的静态画面；看上去是平滑连续的视觉效果，这样连续的画面叫做视频。视频技术最早是为了电视系统而发展，但现在已经发展为各种不同的格式以利消费者将视频记录下来。网络技术的发达也促使视频的纪录片段以串流媒体的形式存在于因特网之上并可被电脑接收与播放。视频与电影属于不同的技术，后者是利用照相术将动态的影像捕捉为一系列的静态照片。,https://baike.baidu.com/item/%E8%A7%86%E9%A2%91/321962
8,应急,应急（yìngjí），应对突然发生的需要紧急处理的事件。,https://baike.baidu.com/item/%E5%BA%94%E6%80%A5/10328153
