page_id,keyword,annotation,url
34,无障碍,无障碍的英文相关词汇：barrier free、Accessibility、barrier-free design（无障碍设计）无障碍，在发展过程中没有阻碍，活动能够顺利进行。截至2020年5月21日，中国500多个县区以上人民政府完成了政务信息无障碍服务平台的建设，无障碍政务网站数量达到3万多个。,https://baike.baidu.com/item/%E6%97%A0%E9%9A%9C%E7%A2%8D/5827122
33,无障碍,无障碍的英文相关词汇：barrier free、Accessibility、barrier-free design（无障碍设计）无障碍，在发展过程中没有阻碍，活动能够顺利进行。截至2020年5月21日，中国500多个县区以上人民政府完成了政务信息无障碍服务平台的建设，无障碍政务网站数量达到3万多个。,https://baike.baidu.com/item/%E6%97%A0%E9%9A%9C%E7%A2%8D/5827122
32,廊道,廊道是指不同于两侧基质的狭长地带。廊道是线性的不同于两侧基质的狭长景观单元，具有通道和阻隔的双重作用。所有的景观都会被廊道分割同时又被廊道连结在一起，其结构特征对一个景观的生态过程有强烈的影响。,https://baike.baidu.com/item/%E5%BB%8A%E9%81%93/388970
29,VR,VR是Virtual Reality的缩写，中文的意思就是虚拟现实，早期译为“灵境技术”。虚拟现实是多媒体技术的终极应用形式，它是计算机软硬件技术、传感技术、机器人技术、人工智能及行为心理学等科学领域飞速发展的结晶。主要依赖于三维实时图形显示、三维定位跟踪、触觉及嗅觉传感技术、人工智能技术、高速计算与并行计算技术以及人的行为学研究等多项关键技术的发展。随着虚拟现实技术的发展，真正地实现虚拟现实，将引起整个人类生活与发展的很大变革。人们戴上立体眼镜、数据手套等特制的传感设备，面对一种三维的模拟现实，似乎置身于一个具有三维的视觉、听觉、触觉甚至嗅觉的感觉世界，并且人与这个环境可以通过人的自然技能和相应的设施进行信息交互。,https://baike.baidu.com/item/VR%E6%8A%80%E6%9C%AF/4802684
28,VR,VR是Virtual Reality的缩写，中文的意思就是虚拟现实，早期译为“灵境技术”。虚拟现实是多媒体技术的终极应用形式，它是计算机软硬件技术、传感技术、机器人技术、人工智能及行为心理学等科学领域飞速发展的结晶。主要依赖于三维实时图形显示、三维定位跟踪、触觉及嗅觉传感技术、人工智能技术、高速计算与并行计算技术以及人的行为学研究等多项关键技术的发展。随着虚拟现实技术的发展，真正地实现虚拟现实，将引起整个人类生活与发展的很大变革。人们戴上立体眼镜、数据手套等特制的传感设备，面对一种三维的模拟现实，似乎置身于一个具有三维的视觉、听觉、触觉甚至嗅觉的感觉世界，并且人与这个环境可以通过人的自然技能和相应的设施进行信息交互。,https://baike.baidu.com/item/VR%E6%8A%80%E6%9C%AF/4802684
31,冬奥,,https://baike.baidu.com/item/2020%E5%B9%B4%E5%8C%97%E4%BA%AC%E5%86%AC%E5%A5%A5%E4%BC%9A/18032261
35,导盲犬,导盲犬是经过严格训练的狗，是工作犬的一种。经过训练后的导盲犬可帮助盲人去学校、商店、洗衣店、街心花园等。它们习惯于颈圈、导盲牵引带和其他配件的约束，懂得很多口令，可以带领盲人安全地走路，当遇到障碍和需要拐弯时，会引导主人停下以免发生危险。导盲犬具有自然平和的心态，会适时站立、拒食、帮助盲人乘车、传递物品，对路人的干扰不予理睬，同时也不会对他们进行攻击。导盲犬的历史可以追溯到19世纪初。1819年一个叫海尔.约翰的人在维也纳创办了世界上第一个导盲犬训练机构。后来海尔还出版了一本小册子详细描述了中心的工作，但在当时这个项目并没有被世人广泛知晓。几乎100年之后人们才开始重视导盲犬，原因是在第一次世界大战后，很多德国士兵失去了视力，医生赭哈德得到灵感在德国开办了世界上第一个导盲犬训练学校。,https://baike.baidu.com/item/%E5%AF%BC%E7%9B%B2%E7%8A%AC/5908024
30,冬奥,,https://baike.baidu.com/item/2020%E5%B9%B4%E5%8C%97%E4%BA%AC%E5%86%AC%E5%A5%A5%E4%BC%9A/18032261
23,检测,用指定的方法检验测试某种物体（气体、液体、固体）指定的技术性能指标。适用于各种行业范畴的质量评定，如：土木建筑工程、水利、食品、化学、环境、机械、机器等等。,https://baike.baidu.com/item/%E6%A3%80%E6%B5%8B/1200916
27,转播,转播，汉语词语，拼音是zhuǎn bō，意思是转送播出。,https://baike.baidu.com/item/%E8%BD%AC%E6%92%AD/9749915
25,8K,8K分辨率是一种实验中的数字视频标准，由日本放送协会（NHK）、英国广播公司（BBC）及意大利广播电视公司（RAI）等机构所倡议推动。2012年8月23日，联合国旗下的国际电讯联盟通过以日本NHK电视台所建议的7680x4320解像度作为国际的8K超高画质电视(SHV)标准，SHV作为超越现行数字电视的“超高精细影像系统”，由NHK从1995年开始研发。,https://baike.baidu.com/item/8K%E5%88%86%E8%BE%A8%E7%8E%87/3047693
26,8K,8K分辨率是一种实验中的数字视频标准，由日本放送协会（NHK）、英国广播公司（BBC）及意大利广播电视公司（RAI）等机构所倡议推动。2012年8月23日，联合国旗下的国际电讯联盟通过以日本NHK电视台所建议的7680x4320解像度作为国际的8K超高画质电视(SHV)标准，SHV作为超越现行数字电视的“超高精细影像系统”，由NHK从1995年开始研发。,https://baike.baidu.com/item/8K%E5%88%86%E8%BE%A8%E7%8E%87/3047693
20,急救,急救即紧急救治的意思，是指当有任何意外或急病发生时，施救者在医护人员到达前，按医学护理的原则，利用现场适用物资临时及适当地为伤病者进行的初步救援及护理，然后从速送往医院。,https://baike.baidu.com/item/%E6%80%A5%E6%95%91/33813
