page_id,keyword,annotation,url
19,申报,《申报》原名《申江新报》，1872年4月30日（清同治十一年三月二十三日）在上海创刊，1949年5月27日停刊。是近代中国发行时间最久、具有广泛社会影响的报纸，是中国现代报纸开端的标志。它前后总计经营了77年，历经晚清、北洋政府、国民政府三个时代，共出版27000余期，出版时间之长，影响之广泛，同时期其它报纸难以企及，在中国新闻史和社会史研究上都占有重要地位，被人称为研究中国近现代史的“百科全书”。,https://baike.baidu.com/item/%E7%94%B3%E6%8A%A5/3577852
19,经费,经费是指行政事业单位为完成工作任务和事业计划所需经常费用的统称。这些单位一般不直接从事物质资料生产，没有独立、稳定的收入来源。或者虽有一部分收入，但大都不足以抵补本身的业务支出，需要国家预算拨付经费。经费按用途可分为人员经费和公用经费。或分为维持经费和发展经费。前者指维持原有行政事业单位机构及规模的人员经费和公用经费; 后者是指在计划年度内，经批准新增加的机构、人员或其他事业项目所需的经费。原单位增加少量人员，不增设机构和不扩大事业项目的，属于自然增长，不作为发展经费。,https://baike.baidu.com/item/%E7%BB%8F%E8%B4%B9/1705671
18,防控,风险防控是企业经营管理过程中的一个重要环节，为了进一步提高员工的风险防控意识。,https://baike.baidu.com/item/%E9%98%B2%E6%8E%A7%E9%A3%8E%E9%99%A9/3360267
16,化肥,肥料是指提供一种或一种以上植物必需的营养元素，改善土壤性质、提高土壤肥力水平的一类物质，是农业生产的物质基础之一。主要包括磷酸铵类肥料、大量元素水溶性肥料、中量元素肥料、生物肥料、有机肥料、多维场能浓缩有机肥等。,https://baike.baidu.com/item/%E8%82%A5%E6%96%99/1283269
17,技术,技术是解决问题的方法及方法原理，是指人们利用现有事物形成新事物，或是改变现有事物功能、性能的方法。技术应具备明确的使用范围和被其它人认知的形式和载体，如原材料（输入）、产成品（输出）、工艺、工具、设备、设施、标准、规范、指标、计量方法等。技术与科学相比，技术更强调实用，而科学更强调研究；技术与艺术相比，技术更强调功能，艺术更强调表达。,https://baike.baidu.com/item/%E6%8A%80%E6%9C%AF/832247
17,黄龙,黄龙作为年号先后被汉宣帝刘询、吴大帝孙权、黄龙梁王段子璋所用。,https://baike.baidu.com/item/%E9%BB%84%E9%BE%99/8477616
15,化肥,肥料是指提供一种或一种以上植物必需的营养元素，改善土壤性质、提高土壤肥力水平的一类物质，是农业生产的物质基础之一。主要包括磷酸铵类肥料、大量元素水溶性肥料、中量元素肥料、生物肥料、有机肥料、多维场能浓缩有机肥等。,https://baike.baidu.com/item/%E8%82%A5%E6%96%99/1283269
18,黄龙,黄龙作为年号先后被汉宣帝刘询、吴大帝孙权、黄龙梁王段子璋所用。,https://baike.baidu.com/item/%E9%BB%84%E9%BE%99/8477616
14,蔬菜,蔬菜是指可以做菜、烹饪成为食品的一类植物或菌类，蔬菜是人们日常饮食中必不可少的食物之一。蔬菜可提供人体所必需的多种维生素和矿物质等营养物质。据国际物质粮农组织1990年统计，人体必需的维生素C的90%、维生素A的60%来自蔬菜。此外，蔬菜中还有多种多样的植物化学物质，是人们公认的对健康有效的成分，目前果蔬中的营养素可以有效预防慢性、退行性疾病的多种物质，正在被人们研究发现。,https://baike.baidu.com/item/%E8%94%AC%E8%8F%9C/453
16,减施,,https://baike.baidu.com//item/%E5%86%9C%E8%8D%AF%E5%87%8F%E6%96%BD%E5%A2%9E%E6%95%88%E5%86%9C%E4%B8%9A%E7%BB%BF%E8%89%B2%E5%8F%91%E5%B1%95
14,农药,农药，是指农业上用于防治病虫害及调节植物生长的化学药剂。广泛用于农林牧业生产、环境和家庭卫生除害防疫、工业品防霉与防蛀等。农药品种很多，按用途主要可分为杀虫剂、杀螨剂、杀鼠剂、杀线虫剂、杀软体动物剂、杀菌剂、除草剂、植物生长调节剂等；按原料来源可分为矿物源农药（无机农药）、生物源农药（天然有机物、微生物、抗生素等）及化学合成农药；按化学结构分，主要有有机氯、有机磷、有机氮、有机硫、氨基甲酸酯、拟除虫菊酯、酰胺类化合物、脲类化合物、醚类化合物、酚类化合物、苯氧羧酸类、脒类、三唑类、杂环类、苯甲酸类、有机金属化合物类等，它们都是有机合成农药；根据加工剂型可分为粉剂、可湿性粉剂、乳剂、乳油、乳膏、糊剂、胶体剂、熏蒸剂、熏烟剂、烟雾剂、颗粒剂、微粒剂及油剂等。,https://baike.baidu.com/item/%E5%86%9C%E8%8D%AF/1112131
15,减施,,https://baike.baidu.com//item/%E5%86%9C%E8%8D%AF%E5%87%8F%E6%96%BD%E5%A2%9E%E6%95%88%E5%86%9C%E4%B8%9A%E7%BB%BF%E8%89%B2%E5%8F%91%E5%B1%95
11,减施,,https://baike.baidu.com//item/%E5%86%9C%E8%8D%AF%E5%87%8F%E6%96%BD%E5%A2%9E%E6%95%88%E5%86%9C%E4%B8%9A%E7%BB%BF%E8%89%B2%E5%8F%91%E5%B1%95
10,减施,,https://baike.baidu.com//item/%E5%86%9C%E8%8D%AF%E5%87%8F%E6%96%BD%E5%A2%9E%E6%95%88%E5%86%9C%E4%B8%9A%E7%BB%BF%E8%89%B2%E5%8F%91%E5%B1%95
13,减施,,https://baike.baidu.com//item/%E5%86%9C%E8%8D%AF%E5%87%8F%E6%96%BD%E5%A2%9E%E6%95%88%E5%86%9C%E4%B8%9A%E7%BB%BF%E8%89%B2%E5%8F%91%E5%B1%95
12,花生,花生（peanut），原名落花生（学名：Arachis hypogaeaLinn.），是我国产量丰富、食用广泛的一种坚果，又名“长生果”、“泥豆”、“番豆”等。属蔷薇目，豆科一年生草本植物，茎直立或匍匐，长30～80厘米，翼瓣与龙骨瓣分离，荚果长2～5厘米，宽1～1.3厘米，膨胀，荚厚，花果期6～8月。主要分布于巴西、中国、埃及等地。可用于制皂和生发油等化妆品的原料。,https://baike.baidu.com/item/%E8%8A%B1%E7%94%9F/588725
11,油菜,油菜花，别名芸薹(YUN TAI)，拉丁文名Brassica campestris，原产地在欧洲与中亚一带，是一种十字花科的一年生草本植物。在我国集中在江西婺源篁（huáng）岭、汉中盆地和江岭万亩梯田、云南罗平平原、青海门源高原等,https://baike.baidu.com/item/%E6%B2%B9%E8%8F%9C%E8%8A%B1/3787
9,化肥,肥料是指提供一种或一种以上植物必需的营养元素，改善土壤性质、提高土壤肥力水平的一类物质，是农业生产的物质基础之一。主要包括磷酸铵类肥料、大量元素水溶性肥料、中量元素肥料、生物肥料、有机肥料、多维场能浓缩有机肥等。,https://baike.baidu.com/item/%E8%82%A5%E6%96%99/1283269
13,化肥,肥料是指提供一种或一种以上植物必需的营养元素，改善土壤性质、提高土壤肥力水平的一类物质，是农业生产的物质基础之一。主要包括磷酸铵类肥料、大量元素水溶性肥料、中量元素肥料、生物肥料、有机肥料、多维场能浓缩有机肥等。,https://baike.baidu.com/item/%E8%82%A5%E6%96%99/1283269
12,大豆,大豆（学名：Glycine max(Linn.) Merr.）通称黄豆。为双子叶植物纲、豆科、大豆属的一年生草本，高30-90厘米。茎粗壮，直立，密被褐色长硬毛。叶通常具3小叶；托叶具脉纹，被黄色柔毛；叶柄长2-20厘米；小叶宽卵形，纸质；总状花序短的少花，长的多花；总花梗通常有5-8朵无柄、紧挤的花；苞片披针形，被糙伏毛；小苞片披针形，被伏贴的刚毛；花萼披针形，花紫色、淡紫色或白色，基部具瓣柄，翼瓣蓖状。荚果肥大，稍弯，下垂，黄绿色，密被褐黄色长毛；种子2-5颗，椭圆形、近球形，种皮光滑，有淡绿、黄、褐和黑色等多样。花期6-7月，果期7-9月。原产中国，中国各地均有栽培，亦广泛栽培于世界各地。大豆是中国重要粮食作物之一，已有五千年栽培历史，古称菽，中国东北为主产区，是一种其种子含有丰富植物蛋白质的作物。大豆最常用来做各种豆制品、榨取豆油、酿造酱油和提取蛋白质。,https://baike.baidu.com/item/%E5%A4%A7%E8%B1%86/567793
7,冬小麦,冬小麦，在我国一般以长城为界，以北大体为春小麦，以南则为冬小麦，我国以冬小麦为主。,https://baike.baidu.com/item/%E5%86%AC%E5%B0%8F%E9%BA%A6/508343
8,减施,,https://baike.baidu.com//item/%E5%86%9C%E8%8D%AF%E5%87%8F%E6%96%BD%E5%A2%9E%E6%95%88%E5%86%9C%E4%B8%9A%E7%BB%BF%E8%89%B2%E5%8F%91%E5%B1%95
8,夏玉米,,https://baike.baidu.com//item/%E5%A4%8F%E7%8E%89%E7%B1%B3
9,减施,,https://baike.baidu.com//item/%E5%86%9C%E8%8D%AF%E5%87%8F%E6%96%BD%E5%A2%9E%E6%95%88%E5%86%9C%E4%B8%9A%E7%BB%BF%E8%89%B2%E5%8F%91%E5%B1%95
7,减施,,https://baike.baidu.com//item/%E5%86%9C%E8%8D%AF%E5%87%8F%E6%96%BD%E5%A2%9E%E6%95%88%E5%86%9C%E4%B8%9A%E7%BB%BF%E8%89%B2%E5%8F%91%E5%B1%95
5,农药,农药，是指农业上用于防治病虫害及调节植物生长的化学药剂。广泛用于农林牧业生产、环境和家庭卫生除害防疫、工业品防霉与防蛀等。农药品种很多，按用途主要可分为杀虫剂、杀螨剂、杀鼠剂、杀线虫剂、杀软体动物剂、杀菌剂、除草剂、植物生长调节剂等；按原料来源可分为矿物源农药（无机农药）、生物源农药（天然有机物、微生物、抗生素等）及化学合成农药；按化学结构分，主要有有机氯、有机磷、有机氮、有机硫、氨基甲酸酯、拟除虫菊酯、酰胺类化合物、脲类化合物、醚类化合物、酚类化合物、苯氧羧酸类、脒类、三唑类、杂环类、苯甲酸类、有机金属化合物类等，它们都是有机合成农药；根据加工剂型可分为粉剂、可湿性粉剂、乳剂、乳油、乳膏、糊剂、胶体剂、熏蒸剂、熏烟剂、烟雾剂、颗粒剂、微粒剂及油剂等。,https://baike.baidu.com/item/%E5%86%9C%E8%8D%AF/1112131
10,马铃薯,马铃薯（学名：Solanum tuberosumL.），属茄科，一年生草本植物，块茎可供食用，是全球第四大重要的粮食作物，仅次于小麦、稻谷和玉米。马铃薯又名山药蛋、洋芋、洋山芋、洋芋头、香山芋、洋番芋、山洋芋、阳芋、地蛋、土豆等。马铃薯在不同国度，名称称谓也不一样，如美国称爱尔兰豆薯、俄罗斯称荷兰薯、法国称地苹果、德国称地梨、意大利称地豆、秘鲁称巴巴等。与小麦、稻谷、玉米、高粱并称为世界五大作物。马铃薯块茎含有大量的淀粉，能为人体提供丰富的热量，且富含蛋白质、氨基酸及多种维生素、矿物质，尤其是其维生素含量是所有粮食作物中最全的，在欧美国家特别是北美，马铃薯早就成为第二主食。马铃薯原产于南美洲安第斯山区，人工栽培历史最早可追溯到大约公元前8000年到5000年的秘鲁南部地区。马铃薯主要生产国有中国、俄罗斯、印度、乌克兰、美国等。中国是世界马铃薯总产最多的国家。[1-2],https://baike.baidu.com/item/%E9%A9%AC%E9%93%83%E8%96%AF/416928
4,化肥,肥料是指提供一种或一种以上植物必需的营养元素，改善土壤性质、提高土壤肥力水平的一类物质，是农业生产的物质基础之一。主要包括磷酸铵类肥料、大量元素水溶性肥料、中量元素肥料、生物肥料、有机肥料、多维场能浓缩有机肥等。,https://baike.baidu.com/item/%E8%82%A5%E6%96%99/1283269
3,农药,农药，是指农业上用于防治病虫害及调节植物生长的化学药剂。广泛用于农林牧业生产、环境和家庭卫生除害防疫、工业品防霉与防蛀等。农药品种很多，按用途主要可分为杀虫剂、杀螨剂、杀鼠剂、杀线虫剂、杀软体动物剂、杀菌剂、除草剂、植物生长调节剂等；按原料来源可分为矿物源农药（无机农药）、生物源农药（天然有机物、微生物、抗生素等）及化学合成农药；按化学结构分，主要有有机氯、有机磷、有机氮、有机硫、氨基甲酸酯、拟除虫菊酯、酰胺类化合物、脲类化合物、醚类化合物、酚类化合物、苯氧羧酸类、脒类、三唑类、杂环类、苯甲酸类、有机金属化合物类等，它们都是有机合成农药；根据加工剂型可分为粉剂、可湿性粉剂、乳剂、乳油、乳膏、糊剂、胶体剂、熏蒸剂、熏烟剂、烟雾剂、颗粒剂、微粒剂及油剂等。,https://baike.baidu.com/item/%E5%86%9C%E8%8D%AF/1112131
